Module	Section	Sample Name	Source
FastQC	all_sections	20201222_POL_II_VHL_2h_MP8548_S9_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_POL_II_VHL_2h_MP8548_S9_R2_001_fastqc.zip
FastQC	all_sections	20201222_MED1_DMSO_2h_MP8548_S3_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MED1_DMSO_2h_MP8548_S3_R1_001_fastqc.zip
FastQC	all_sections	20201222_MEF2C_DMSO_2h_MP8548_S5_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MEF2C_DMSO_2h_MP8548_S5_R2_001_fastqc.zip
FastQC	all_sections	20201222_FLAG_VHL_2h_MP8548_S6_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_FLAG_VHL_2h_MP8548_S6_R1_001_fastqc.zip
FastQC	all_sections	20201222_MEF2C_VHL_2h_MP8548_S10_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MEF2C_VHL_2h_MP8548_S10_R1_001_fastqc.zip
FastQC	all_sections	20201222_MYC_VHL_2h_MP8548_S7_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MYC_VHL_2h_MP8548_S7_R2_001_fastqc.zip
FastQC	all_sections	20201222_MYC_DMSO_2h_MP8548_S2_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MYC_DMSO_2h_MP8548_S2_R1_001_fastqc.zip
FastQC	all_sections	20201222_MED1_VHL_2h_MP8548_S8_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MED1_VHL_2h_MP8548_S8_R2_001_fastqc.zip
FastQC	all_sections	20201222_FLAG_DMSO_2h_MP8548_S1_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_FLAG_DMSO_2h_MP8548_S1_R1_001_fastqc.zip
FastQC	all_sections	20201222_POL_II_DMSO_2h_MP8548_S4_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_POL_II_DMSO_2h_MP8548_S4_R1_001_fastqc.zip
FastQC	all_sections	20201222_MEF2C_VHL_2h_MP8548_S10_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MEF2C_VHL_2h_MP8548_S10_R2_001_fastqc.zip
FastQC	all_sections	20201222_FLAG_VHL_2h_MP8548_S6_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_FLAG_VHL_2h_MP8548_S6_R2_001_fastqc.zip
FastQC	all_sections	20201222_MEF2C_DMSO_2h_MP8548_S5_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MEF2C_DMSO_2h_MP8548_S5_R1_001_fastqc.zip
FastQC	all_sections	20201222_POL_II_VHL_2h_MP8548_S9_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_POL_II_VHL_2h_MP8548_S9_R1_001_fastqc.zip
FastQC	all_sections	20201222_MED1_DMSO_2h_MP8548_S3_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MED1_DMSO_2h_MP8548_S3_R2_001_fastqc.zip
FastQC	all_sections	20201222_FLAG_DMSO_2h_MP8548_S1_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_FLAG_DMSO_2h_MP8548_S1_R2_001_fastqc.zip
FastQC	all_sections	20201222_POL_II_DMSO_2h_MP8548_S4_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_POL_II_DMSO_2h_MP8548_S4_R2_001_fastqc.zip
FastQC	all_sections	20201222_MYC_DMSO_2h_MP8548_S2_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MYC_DMSO_2h_MP8548_S2_R2_001_fastqc.zip
FastQC	all_sections	20201222_MED1_VHL_2h_MP8548_S8_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MED1_VHL_2h_MP8548_S8_R1_001_fastqc.zip
FastQC	all_sections	20201222_MYC_VHL_2h_MP8548_S7_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/201222_MP8548_fastq/Reports/20201222_MYC_VHL_2h_MP8548_S7_R1_001_fastqc.zip
