GENE,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
A1BG,0,0,0,1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0
NAT1,5,8,3,2,1,3,3,8,5,2,6,12
AADAC,0,0,0,0,0,0,0,0,0,0,0,0
AAMP,7,6,13,17,2,11,14,18,9,12,6,12
AARS1,19,15,29,29,9,15,24,36,24,22,6,27
ABAT,12,9,8,11,5,9,18,19,15,16,4,4
ABCA1,5,8,7,17,3,7,5,14,6,3,2,3
ABCA2,7,4,4,4,4,6,1,1,2,3,0,2
ABCB7,0,0,2,1,0,0,0,0,0,1,0,0
ABCF1,24,17,32,31,24,28,26,41,23,19,11,20
ABL1,36,33,54,68,20,34,53,67,45,52,9,40
AOC1,0,0,0,0,0,0,0,0,0,0,0,0
ABL2,20,29,42,53,18,29,54,64,35,45,11,38
ABO,0,0,0,0,0,0,0,0,0,0,0,0
ABR,74,63,94,97,52,67,89,140,71,82,24,89
ACAA1,17,15,10,14,6,11,13,8,11,17,9,8
ACACA,40,28,59,52,24,40,47,61,50,42,6,39
ACACB,0,1,1,4,0,1,1,5,3,1,0,0
ACADM,2,3,0,1,2,8,3,4,3,2,0,3
ACADS,0,0,2,1,0,4,3,1,2,1,1,2
ACADSB,5,6,3,17,11,19,9,26,6,10,3,11
ACADVL,8,4,9,5,2,4,4,6,4,3,1,4
ACAT1,0,2,1,0,1,2,1,1,3,3,0,1
ACAT2,4,2,4,0,1,8,5,13,7,7,6,8
ASIC2,0,0,0,0,0,0,0,0,0,0,0,0
ASIC1,2,0,1,1,0,0,4,1,1,1,0,4
ACLY,36,26,41,38,24,57,56,85,39,41,18,50
ACO1,1,1,2,0,0,2,0,3,0,0,0,0
ACO2,4,4,12,3,2,3,6,8,9,7,2,7
ACOX1,17,18,17,32,11,15,25,33,15,21,9,21
ACP1,32,35,52,72,28,42,60,65,33,36,13,45
ACP2,10,3,9,11,5,6,6,4,2,7,3,6
ACP3,1,5,4,5,1,2,2,7,3,4,2,2
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,641,496,841,938,463,832,996,1403,741,736,298,966
ACTG1,1339,913,1584,1785,670,1124,1610,1991,1310,1468,587,1353
ACTN4,43,40,73,73,30,55,48,65,41,55,7,59
ACTL6A,2,4,13,8,5,9,4,11,4,2,2,7
ACTN1,9,8,10,11,1,11,13,2,1,6,3,14
ACVR1,2,1,1,2,0,2,4,5,4,0,2,0
ACVR1B,19,12,30,33,15,31,25,61,22,31,12,30
ACVR2A,2,2,3,5,6,2,8,14,4,1,0,2
ACVR2B,11,6,19,15,15,17,18,33,17,18,3,16
ACVRL1,1,3,1,0,0,1,2,4,0,1,0,0
ACY1,0,0,1,0,0,0,3,0,0,2,1,0
ACYP1,6,8,13,1,2,9,9,9,4,9,2,10
ACYP2,0,0,0,3,0,1,0,0,0,0,0,0
ADA,3,1,9,12,5,6,6,3,4,3,0,2
ADAM8,5,3,4,4,3,7,6,12,8,9,2,7
ADAM10,41,33,47,57,32,52,51,85,45,40,6,51
ADAR,90,93,117,160,84,96,139,182,93,124,33,123
ADARB1,12,13,15,11,6,14,10,11,15,16,1,19
ADCY1,0,0,0,0,0,0,0,0,0,0,0,0
ADCY2,0,0,0,0,0,0,0,0,0,0,0,0
ADCY3,6,5,6,7,4,3,10,11,13,4,2,3
ADCY5,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,1,0,1,2,0,0,1,4,0,2,0,3
ADCY7,68,76,83,120,37,100,118,156,96,104,21,112
ADCY9,196,159,200,254,87,168,143,199,123,175,60,144
ADCYAP1R1,0,0,0,0,0,0,0,0,1,1,0,0
ADD1,30,15,28,39,17,25,42,55,35,32,13,34
ADD2,16,14,20,33,19,22,16,24,16,23,6,6
ADD3,3,4,5,7,3,5,6,12,1,2,1,5
PLIN2,3,3,0,6,0,4,1,5,4,3,2,0
ADH5,4,7,10,11,3,7,11,12,10,3,1,13
ADH6,0,0,0,0,0,0,0,0,0,0,0,0
ADK,6,1,3,3,1,2,4,3,6,8,1,2
ADORA1,0,0,1,0,0,0,1,1,1,0,0,1
ADORA2A,2,1,5,1,3,2,1,4,4,2,5,0
ADORA2B,8,4,13,11,6,12,13,20,10,8,1,9
ADORA3,1,0,0,0,2,0,0,0,0,0,1,1
ADPRH,1,1,2,2,5,0,1,4,4,0,1,1
PARP1,12,13,22,19,10,16,15,24,12,16,4,11
PARP4,2,2,6,5,1,3,2,11,4,4,1,3
ADRA1A,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2B,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2C,0,0,0,0,0,0,0,0,0,0,0,2
ADRB1,2,0,0,4,0,3,1,6,0,1,0,3
ADRB2,11,3,2,10,7,8,3,5,0,0,2,0
GRK2,63,48,75,86,34,53,47,44,46,43,7,38
GRK3,11,10,22,21,15,14,15,37,16,19,5,19
ADSL,2,1,5,5,1,0,0,3,0,1,1,3
ADSS2,5,8,3,5,3,6,5,7,5,6,2,11
AP2A1,3,4,3,6,5,6,4,12,8,2,3,5
