chr	start	end	interval_id	num_peaks	num_samples	MV411_1_771_R1.bool	MV411_2_772_R1.bool	MV411_1_771_R1.fc	MV411_2_772_R1.fc	MV411_1_771_R1.qval	MV411_2_772_R1.qval	MV411_1_771_R1.pval	MV411_2_772_R1.pval	MV411_1_771_R1.start	MV411_2_772_R1.start	MV411_1_771_R1.end	MV411_2_772_R1.end	MV411_1_771_R1.summit	MV411_2_772_R1.summit
chr1	633889	634169	Interval_1	2	2	TRUE	TRUE	1.7676	2.77877	5.77776	16.75207	9.99484	22.27723	633889	633990	634169	634070	139	38
chr1	1000820	1001024	Interval_2	1	1	TRUE	FALSE	7.30749	NA	11.78712	NA	16.59933	NA	1000820	NA	1001024	NA	80	NA
chr1	2290685	2291005	Interval_3	1	1	TRUE	FALSE	7.89209	NA	13.72676	NA	18.68076	NA	2290685	NA	2291005	NA	151	NA
chr1	3313079	3313410	Interval_4	1	1	TRUE	FALSE	6.33758	NA	11.2113	NA	15.96846	NA	3313079	NA	3313410	NA	173	NA
chr1	6603010	6603236	Interval_5	1	1	TRUE	FALSE	3.50957	NA	2.13351	NA	5.71431	NA	6603010	NA	6603236	NA	10	NA
chr1	7108325	7108647	Interval_6	1	1	TRUE	FALSE	5.32269	NA	7.07207	NA	11.43647	NA	7108325	NA	7108647	NA	123	NA
chr1	8096739	8096931	Interval_7	1	1	TRUE	FALSE	5.19696	NA	6.20933	NA	10.4683	NA	8096739	NA	8096931	NA	148	NA
chr1	8218784	8218958	Interval_8	1	1	TRUE	FALSE	3.97751	NA	3.29867	NA	7.13044	NA	8218784	NA	8218958	NA	99	NA
chr1	9164104	9164315	Interval_9	1	1	TRUE	FALSE	4.67763	NA	5.28816	NA	9.42973	NA	9164104	NA	9164315	NA	91	NA
chr1	9275620	9275856	Interval_10	1	1	TRUE	FALSE	4.9691	NA	4.90816	NA	9.012	NA	9275620	NA	9275856	NA	137	NA
chr1	9290111	9290346	Interval_11	1	1	TRUE	FALSE	3.92731	NA	3.90781	NA	7.8306	NA	9290111	NA	9290346	NA	129	NA
chr1	10510974	10511281	Interval_12	1	1	TRUE	FALSE	6.07723	NA	8.0502	NA	12.53063	NA	10510974	NA	10511281	NA	147	NA
chr1	10986223	10986461	Interval_13	1	1	TRUE	FALSE	7.52735	NA	10.86205	NA	15.60208	NA	10986223	NA	10986461	NA	127	NA
chr1	11806036	11806255	Interval_14	1	1	TRUE	FALSE	4.33041	NA	3.38559	NA	7.24046	NA	11806036	NA	11806255	NA	87	NA
chr1	11908228	11908429	Interval_15	1	1	TRUE	FALSE	5.31892	NA	5.1695	NA	9.29391	NA	11908228	NA	11908429	NA	76	NA
chr1	12528528	12528785	Interval_16	1	1	TRUE	FALSE	5.46619	NA	6.01842	NA	10.25955	NA	12528528	NA	12528785	NA	125	NA
chr1	15352520	15352713	Interval_17	1	1	TRUE	FALSE	4.44545	NA	4.60238	NA	8.64354	NA	15352520	NA	15352713	NA	113	NA
chr1	15617400	15617661	Interval_18	1	1	TRUE	FALSE	4.46385	NA	3.33803	NA	7.1869	NA	15617400	NA	15617661	NA	108	NA
chr1	16905225	16905456	Interval_19	1	1	TRUE	FALSE	3.04515	NA	1.91997	NA	5.37062	NA	16905225	NA	16905456	NA	197	NA
chr1	19011149	19011383	Interval_20	1	1	TRUE	FALSE	3.89102	NA	4.52112	NA	8.55	NA	19011149	NA	19011383	NA	121	NA
chr1	21022386	21022605	Interval_21	1	1	TRUE	FALSE	2.87597	NA	1.45904	NA	4.79854	NA	21022386	NA	21022605	NA	118	NA
chr1	21091158	21091449	Interval_22	1	1	TRUE	FALSE	5.67191	NA	5.68968	NA	9.89791	NA	21091158	NA	21091449	NA	131	NA
