,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
A1BG,332.3333333333333,417.6666666666667,391.6666666666667,428.0,378.3333333333333
NAT1,139.33333333333334,69.0,86.0,89.0,108.83333333333333
AAMP,2406.6666666666665,3740.0,2444.6666666666665,4053.0,3557.5
AARS1,713.0,1161.6666666666667,1014.3333333333334,717.5,939.8333333333334
ABAT,1.3333333333333333,1.0,1.3333333333333333,6.0,1.8333333333333333
ABCA1,39.333333333333336,19.0,19.666666666666668,13.0,23.666666666666668
ABCA2,117.66666666666667,144.66666666666666,76.66666666666667,172.5,139.83333333333334
ABCA3,2.6666666666666665,5.0,2.3333333333333335,7.5,3.0
ABCB7,396.3333333333333,464.3333333333333,355.3333333333333,529.0,435.3333333333333
ABCF1,1576.0,1930.6666666666667,1874.6666666666667,1825.0,1861.5
ABL1,480.3333333333333,688.0,487.6666666666667,741.0,649.5
ABL2,112.0,109.33333333333333,78.33333333333333,93.0,115.83333333333333
ABR,332.6666666666667,458.0,309.6666666666667,501.0,489.0
ACAA1,561.0,727.0,542.3333333333334,667.5,751.8333333333334
ACACA,308.0,375.6666666666667,279.0,332.0,367.3333333333333
ACACB,20.333333333333332,39.333333333333336,13.333333333333334,23.5,35.0
ACADM,409.3333333333333,580.3333333333334,424.0,561.5,537.1666666666666
ACADS,603.6666666666666,868.3333333333334,879.0,751.0,787.3333333333334
ACADSB,151.33333333333334,197.33333333333334,139.0,223.5,196.0
ACADVL,433.0,788.3333333333334,628.3333333333334,797.0,709.5
ACAT1,245.33333333333334,308.6666666666667,228.33333333333334,584.0,380.0
ACAT2,3783.0,4795.0,3757.3333333333335,4748.5,4524.666666666667
ACLY,1269.6666666666667,1834.0,1358.3333333333333,2124.5,1844.6666666666667
ACO1,316.0,356.3333333333333,306.3333333333333,430.0,369.3333333333333
ACO2,2043.0,3548.3333333333335,2611.0,3151.5,3194.5
ACOX1,324.0,351.6666666666667,271.6666666666667,346.0,351.5
ACP1,879.3333333333334,1017.3333333333334,712.6666666666666,1196.0,1026.0
ACP2,249.66666666666666,344.0,295.6666666666667,262.5,310.8333333333333
ACPP,51.0,48.333333333333336,31.666666666666668,74.5,50.5
ACTB,37868.0,50804.333333333336,41152.0,48909.5,46463.0
ACTG1,29179.0,49630.666666666664,32170.333333333332,52105.5,47908.333333333336
ACTN4,11025.666666666666,19785.0,12753.666666666666,19691.5,18179.166666666668
ACTL6A,134.66666666666666,158.0,122.0,229.5,169.83333333333334
ACTN1,5774.0,7933.0,6129.333333333333,7123.5,7149.833333333333
ACVR1,13.0,20.0,9.666666666666666,23.0,21.833333333333332
ACVR1B,160.33333333333334,108.0,98.66666666666667,141.0,135.5
ACVR2A,6.333333333333333,3.6666666666666665,8.0,4.0,4.333333333333333
ACVR2B,55.666666666666664,27.0,23.666666666666668,38.0,33.666666666666664
ACY1,215.33333333333334,260.3333333333333,224.33333333333334,275.0,249.83333333333334
ACYP1,122.0,141.66666666666666,107.33333333333333,131.5,134.16666666666666
ACYP2,49.666666666666664,28.0,20.666666666666668,42.5,36.666666666666664
ADA,97.0,132.33333333333334,96.0,159.0,130.33333333333334
ADAM8,88.66666666666667,207.33333333333334,108.0,138.0,165.5
ADAM10,178.66666666666666,204.33333333333334,162.33333333333334,287.5,217.33333333333334
ADAR,1219.3333333333333,1468.6666666666667,1102.0,1736.5,1450.5
ADARB1,126.33333333333333,156.66666666666666,126.0,196.0,158.16666666666666
ADCY3,154.66666666666666,185.33333333333334,131.0,372.0,229.83333333333334
ADCY6,1.6666666666666667,5.666666666666667,2.0,8.5,4.833333333333333
ADCY7,257.0,392.0,335.6666666666667,559.0,411.6666666666667
ADCY9,66.66666666666667,103.66666666666667,57.666666666666664,106.0,101.5
ADD1,281.6666666666667,433.0,280.0,461.0,397.8333333333333
ADD3,195.66666666666666,197.0,149.66666666666666,262.0,186.0
PLIN2,673.3333333333334,671.3333333333334,615.0,675.5,630.3333333333334
ADH5,311.3333333333333,445.0,339.3333333333333,515.0,419.5
ADK,409.3333333333333,455.6666666666667,339.3333333333333,469.0,458.8333333333333
ADORA2A,260.6666666666667,367.6666666666667,302.3333333333333,277.5,308.6666666666667
ADORA2B,37.333333333333336,43.666666666666664,18.0,48.0,39.666666666666664
ADORA3,11.0,5.333333333333333,9.666666666666666,9.5,2.8333333333333335
ADPRH,230.0,221.66666666666666,168.0,202.5,197.5
PARP1,673.6666666666666,916.6666666666666,692.3333333333334,1388.0,948.0
PARP4,57.333333333333336,48.666666666666664,27.666666666666668,89.5,60.0
ADRA2C,45.666666666666664,34.333333333333336,51.333333333333336,57.0,41.0
ADRB1,107.0,20.0,33.333333333333336,17.5,35.833333333333336
ADRB2,134.66666666666666,44.333333333333336,78.0,68.5,54.5
GRK2,1832.6666666666667,3103.0,2308.0,2678.5,2785.5
GRK3,151.33333333333334,245.66666666666666,150.66666666666666,196.5,215.33333333333334
ADSL,926.3333333333334,865.6666666666666,715.6666666666666,871.0,862.8333333333334
ADSS2,403.6666666666667,506.0,359.3333333333333,745.0,607.1666666666666
AP2A1,67.0,68.0,37.666666666666664,81.0,74.66666666666667
AP2A2,513.6666666666666,749.3333333333334,494.6666666666667,685.5,700.6666666666666
AP1B1,1796.6666666666667,2925.3333333333335,2256.3333333333335,2697.5,2649.0
AP2B1,351.3333333333333,366.6666666666667,250.66666666666666,453.5,359.5
AP1G1,1110.6666666666667,1170.6666666666667,1093.0,1187.5,1255.1666666666667
TLE5,1952.0,2325.3333333333335,2103.0,2347.0,2151.1666666666665
AFG3L1P,271.6666666666667,345.6666666666667,262.3333333333333,327.0,327.5
AGA,297.6666666666667,445.3333333333333,394.3333333333333,367.0,414.8333333333333
AGER,13.666666666666666,31.0,23.0,32.0,25.833333333333332
AGL,157.33333333333334,183.0,114.0,213.0,195.33333333333334
JAG1,171.0,55.333333333333336,76.33333333333333,99.0,65.83333333333333
AGT,115.66666666666667,156.0,117.0,184.0,173.83333333333334
AHCY,1612.6666666666667,1817.0,1268.6666666666667,2532.5,2051.6666666666665
AHR,41.333333333333336,29.666666666666668,40.333333333333336,32.5,33.5
AIF1,998.6666666666666,1300.3333333333333,950.6666666666666,1466.5,1289.6666666666667
CRYBG1,625.6666666666666,720.6666666666666,695.3333333333334,784.0,676.6666666666666
AK1,86.33333333333333,123.33333333333333,91.66666666666667,125.5,107.33333333333333
AK2,4238.0,5532.0,4375.666666666667,5602.5,5077.333333333333
AK4,214.33333333333334,241.66666666666666,202.66666666666666,225.5,231.5
AKT1,120.66666666666667,190.66666666666666,128.33333333333334,356.0,198.83333333333334
AKT2,5530.0,8298.0,6930.666666666667,6371.0,6885.833333333333
ALAD,139.33333333333334,149.33333333333334,109.0,163.5,147.66666666666666
ALAS1,105.0,89.66666666666667,75.66666666666667,81.5,112.16666666666667
ALCAM,345.3333333333333,306.6666666666667,249.33333333333334,352.5,318.6666666666667
ALDH2,64.66666666666667,74.0,47.333333333333336,98.5,76.66666666666667
ALDH1B1,221.0,217.66666666666666,197.33333333333334,219.0,218.5
ALDH1A3,21.0,17.0,11.333333333333334,21.0,16.333333333333332
ALDH3B1,205.33333333333334,248.0,249.33333333333334,190.0,224.16666666666666
ALDH9A1,660.6666666666666,766.3333333333334,574.6666666666666,798.5,774.6666666666666
ALDH3A2,114.0,121.66666666666667,92.33333333333333,149.5,147.16666666666666
ALDOA,8505.0,13324.333333333334,10403.0,11852.0,11763.166666666666
ALDOC,45.333333333333336,62.333333333333336,47.666666666666664,44.0,59.333333333333336
AKR1B1,309.3333333333333,383.6666666666667,328.0,433.5,380.1666666666667
ALOX12,6.333333333333333,7.0,3.6666666666666665,6.5,6.0
ALOX5,7.333333333333333,12.666666666666666,13.666666666666666,11.0,9.666666666666666
ALOX5AP,1468.6666666666667,2177.3333333333335,1797.3333333333333,2126.0,1974.3333333333333
AMD1,836.0,685.6666666666666,677.3333333333334,743.5,826.3333333333334
AMFR,139.33333333333334,202.66666666666666,115.66666666666667,246.5,190.83333333333334
AMPD2,221.0,240.33333333333334,209.0,249.5,209.66666666666666
AMPD3,97.33333333333333,127.66666666666667,79.0,123.5,118.16666666666667
AMT,48.333333333333336,116.66666666666667,88.0,86.0,87.16666666666667
ANGPT1,37.0,40.0,39.666666666666664,36.0,30.5
ANK2,6.0,4.0,5.333333333333333,0.5,3.6666666666666665
SLC25A4,18.666666666666668,22.333333333333332,19.0,33.0,28.666666666666668
SLC25A5,3604.3333333333335,4498.666666666667,2641.3333333333335,6291.5,4763.5
SLC25A6,16887.333333333332,22723.333333333332,18990.0,19461.5,20611.5
ANXA1,24.0,18.333333333333332,13.333333333333334,28.0,21.0
ANXA2,329.0,367.6666666666667,362.6666666666667,439.0,393.1666666666667
ANXA4,66.33333333333333,79.66666666666667,80.0,129.0,92.16666666666667
ANXA5,140.66666666666666,112.66666666666667,120.0,192.5,132.66666666666666
ANXA6,83.33333333333333,136.66666666666666,113.66666666666667,95.5,125.83333333333333
ANXA7,190.33333333333334,261.0,180.66666666666666,339.0,262.6666666666667
ANXA11,386.6666666666667,487.6666666666667,445.6666666666667,491.5,456.1666666666667
AOAH,14.0,26.333333333333332,30.333333333333332,18.5,19.833333333333332
APAF1,43.666666666666664,30.0,26.666666666666668,77.0,35.0
NUDT2,575.3333333333334,632.3333333333334,530.6666666666666,686.0,604.3333333333334
APBA2,46.333333333333336,50.666666666666664,39.666666666666664,42.5,50.5
APBB2,57.0,40.666666666666664,59.333333333333336,62.5,49.0
APC,156.33333333333334,146.66666666666666,160.33333333333334,192.5,152.33333333333334
APEH,1933.0,2495.3333333333335,2126.3333333333335,2164.5,2172.6666666666665
APEX1,149.33333333333334,129.66666666666666,90.33333333333333,289.0,164.33333333333334
BIRC2,430.3333333333333,493.6666666666667,470.6666666666667,465.5,488.3333333333333
XIAP,226.0,196.33333333333334,199.66666666666666,220.0,215.83333333333334
BIRC5,1280.0,1767.6666666666667,1309.3333333333333,1769.5,1626.6666666666667
APLP2,2158.0,3005.6666666666665,2175.0,3517.5,3072.0
APOC1,236.0,246.66666666666666,230.66666666666666,228.0,242.66666666666666
APOC2,2098.3333333333335,3224.0,2732.0,2543.5,2853.6666666666665
APP,70.0,92.33333333333333,71.33333333333333,106.0,98.0
APRT,1705.3333333333333,2228.3333333333335,1942.0,2069.5,2052.8333333333335
FAS,12.666666666666666,15.333333333333334,23.333333333333332,8.0,15.0
AQP3,40.666666666666664,32.333333333333336,29.0,134.5,54.333333333333336
ABCC6,14.0,14.333333333333334,6.666666666666667,8.0,15.166666666666666
ARAF,201.33333333333334,351.6666666666667,266.3333333333333,313.5,309.8333333333333
ARCN1,147.0,128.33333333333334,94.33333333333333,364.0,196.0
TRIM23,38.333333333333336,22.666666666666668,34.666666666666664,28.5,26.0
ARF1,2820.0,3772.6666666666665,2553.6666666666665,3933.0,3683.8333333333335
ARF3,1157.6666666666667,1791.0,1405.0,1555.0,1640.0
ARF4,847.6666666666666,1051.3333333333333,761.6666666666666,1325.0,1094.3333333333333
ARL4D,76.0,21.0,28.0,12.0,42.5
ARF5,1526.6666666666667,1796.0,1531.3333333333333,1866.5,1696.3333333333333
ARF6,1077.0,903.0,877.0,1041.5,1005.8333333333334
ARG2,17.0,22.666666666666668,11.0,34.5,22.333333333333332
RHOA,7889.0,12293.333333333334,9878.0,10476.5,10752.166666666666
RHOB,25.0,11.333333333333334,14.666666666666666,10.5,26.833333333333332
RHOC,61.666666666666664,56.0,51.0,67.0,55.666666666666664
RHOG,777.3333333333334,1120.3333333333333,934.3333333333334,869.5,1031.0
ARHGAP1,483.0,736.0,594.6666666666666,690.0,667.1666666666666
ARHGAP4,3067.6666666666665,4311.0,4007.0,3973.0,3668.3333333333335
ARHGDIA,1536.0,2353.6666666666665,1878.3333333333333,2217.5,2021.3333333333333
ARHGDIB,3328.0,4605.333333333333,3625.6666666666665,4519.5,4307.166666666667
ARL1,643.3333333333334,750.3333333333334,625.3333333333334,750.0,710.3333333333334
ARL2,874.0,1497.6666666666667,1213.3333333333333,1061.0,1240.3333333333333
ARL3,62.0,77.66666666666667,70.0,80.5,76.0
