chr	start	end	interval_id	num_peaks	num_samples	MV411_1_430_R1.bool	MV411_2_431_R1.bool	MV411_3_575_R1.bool	MV411_9_718_R1.bool	MV411_1_430_R1.fc	MV411_2_431_R1.fc	MV411_3_575_R1.fc	MV411_9_718_R1.fc	MV411_1_430_R1.qval	MV411_2_431_R1.qval	MV411_3_575_R1.qval	MV411_9_718_R1.qval	MV411_1_430_R1.pval	MV411_2_431_R1.pval	MV411_3_575_R1.pval	MV411_9_718_R1.pval	MV411_1_430_R1.start	MV411_2_431_R1.start	MV411_3_575_R1.start	MV411_9_718_R1.start	MV411_1_430_R1.end	MV411_2_431_R1.end	MV411_3_575_R1.end	MV411_9_718_R1.end	MV411_1_430_R1.summit	MV411_2_431_R1.summit	MV411_3_575_R1.summit	MV411_9_718_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	181388	181563	Interval_1	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.87702	NA	NA	NA	7.59736	NA	NA	NA	11.51161	NA	NA	NA	181388	NA	NA	NA	181563	NA	NA	NA	63	NA	Intergenic	NA	-7084	LOC100996442								
chr1	778584	778949	Interval_2	3	3	TRUE	TRUE	FALSE	TRUE	7.00695	7.50721	NA	6.43682	7.70791	8.06366	NA	8.39874	12.11003	12.53462	NA	12.37024	778588	778600	NA	778584	778828	778923	NA	778949	135	96	NA	239	NA	promoter-TSS (LOC100288069)	NA	-79	LOC100288069								
chr1	921132	921414	Interval_3	3	3	TRUE	TRUE	FALSE	TRUE	7.61864	8.13746	NA	11.93662	12.39432	10.55309	NA	31.07129	17.18656	15.25153	NA	36.02411	921163	921132	NA	921134	921386	921339	NA	921414	119	76	NA	140	NA	TTS (LOC101928801)	NA	-1836	LOC100130417								
chr1	923709	923948	Interval_4	3	3	TRUE	TRUE	FALSE	TRUE	8.92854	6.73978	NA	8.97803	13.64428	6.95073	NA	13.80392	18.52369	11.28914	NA	18.09957	923726	923760	NA	923709	923916	923941	NA	923948	108	78	NA	121	NA	promoter-TSS (LOC101928801)	NA	-84	LOC101928801								
chr1	1000672	1001052	Interval_5	4	4	TRUE	TRUE	TRUE	TRUE	9.60648	7.41821	4.93508	9.43639	16.24847	9.45256	2.74567	16.56462	21.28366	14.05194	6.85053	20.98573	1000794	1000798	1000672	1000722	1000988	1001052	1000832	1001031	104	168	91	137	NA	promoter-TSS (HES4)	NA	362	HES4								
chr1	1013214	1013545	Interval_6	3	3	TRUE	TRUE	FALSE	TRUE	3.77504	5.55319	NA	4.89442	3.82655	8.18061	NA	7.33381	7.74629	12.66075	NA	11.21981	1013353	1013214	NA	1013237	1013545	1013521	NA	1013533	67	181	NA	189	NA	promoter-TSS (ISG15)	NA	-87	ISG15								
chr1	1040660	1040840	Interval_7	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.60082	NA	NA	NA	5.0747	NA	NA	NA	8.75317	NA	NA	NA	1040660	NA	NA	NA	1040840	NA	NA	NA	108	NA	exon (AGRN, exon 4 of 38)	NA	-18965	LOC100288175								
chr1	1064257	1064421	Interval_8	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.85732	NA	NA	NA	3.12529	NA	NA	NA	6.98089	NA	NA	NA	1064257	NA	NA	NA	1064421	NA	NA	NA	87	NA	NA	NA	intron (LOC100288175, intron 3 of 3)	NA	4624	LOC100288175								
chr1	1123686	1123971	Interval_9	2	2	TRUE	TRUE	FALSE	FALSE	4.53336	4.97736	NA	NA	3.70587	4.61212	NA	NA	7.60142	8.69771	NA	NA	1123714	1123686	NA	NA	1123971	1123922	NA	NA	200	122	NA	NA	NA	Intergenic	NA	-11502	C1orf159								
chr1	1307951	1308133	Interval_10	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.71819	NA	NA	NA	3.79052	NA	NA	NA	7.32245	NA	NA	NA	1307951	NA	NA	NA	1308133	NA	NA	NA	97	NA	promoter-TSS (ACAP3)	NA	-153	ACAP3								
chr1	1308399	1308624	Interval_11	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.75889	NA	NA	NA	2.99209	NA	NA	NA	6.82563	NA	NA	NA	1308399	NA	NA	NA	1308624	NA	NA	NA	190	NA	NA	NA	promoter-TSS (ACAP3)	NA	-102	PUSL1								
chr1	1371459	1371794	Interval_12	2	2	TRUE	FALSE	FALSE	TRUE	4.20594	NA	NA	4.71913	3.6861	NA	NA	4.88613	7.57919	NA	NA	8.55283	1371459	NA	NA	1371492	1371625	NA	NA	1371794	107	NA	NA	45	NA	Intergenic	NA	3811	AURKAIP1								
chr1	1375207	1375402	Interval_13	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.24083	NA	NA	NA	2.49674	NA	NA	NA	5.81589	NA	NA	NA	1375207	NA	NA	NA	1375402	NA	NA	NA	53	NA	promoter-TSS (AURKAIP1)	NA	133	AURKAIP1								
chr1	1399457	1399594	Interval_14	1	1	TRUE	FALSE	FALSE	FALSE	5.5422	NA	NA	NA	5.20817	NA	NA	NA	9.32738	NA	NA	NA	1399457	NA	NA	NA	1399594	NA	NA	NA	53	NA	NA	NA	NA	promoter-TSS (CCNL2)	NA	-4	LOC148413								
chr1	1471663	1471912	Interval_15	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.5184	NA	NA	NA	7.06672	NA	NA	NA	10.92989	NA	NA	NA	1471663	NA	NA	NA	1471912	NA	NA	NA	83	NA	promoter-TSS (ATAD3B)	NA	4	ATAD3B								
chr1	1511882	1512111	Interval_16	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.38752	NA	NA	NA	9.11954	NA	NA	NA	13.13998	NA	NA	NA	1511882	NA	NA	NA	1512111	NA	NA	NA	100	NA	promoter-TSS (ATAD3A)	NA	-146	ATAD3A								
chr1	1574306	1574442	Interval_17	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.21563	NA	NA	NA	4.69767	NA	NA	NA	9.15707	NA	NA	NA	1574306	NA	NA	NA	1574442	NA	NA	NA	63	NA	NA	intron (SSU72, intron 1 of 2)	NA	495	SSU72								
chr1	1574816	1575069	Interval_18	2	2	TRUE	FALSE	FALSE	TRUE	6.65064	NA	NA	5.6494	7.89873	NA	NA	5.45115	12.32886	NA	NA	9.1616	1574841	NA	NA	1574816	1575038	NA	NA	1575069	103	NA	NA	183	NA	promoter-TSS (SSU72)	NA	-74	SSU72								
chr1	1615326	1615478	Interval_19	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.71913	NA	NA	NA	4.88613	NA	NA	NA	8.55283	NA	NA	NA	1615326	NA	NA	NA	1615478	NA	NA	NA	48	NA	promoter-TSS (MIB2)	NA	-41	MIB2								
chr1	1615588	1615730	Interval_20	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.40414	NA	NA	NA	3.33867	NA	NA	NA	6.80188	NA	NA	NA	1615588	NA	NA	NA	1615730	NA	NA	NA	62	NA	promoter-TSS (MIB2)	NA	216	MIB2								
chr1	1658939	1659270	Interval_21	4	4	TRUE	TRUE	TRUE	TRUE	6.74349	9.50913	7.84978	8.13072	7.68347	12.6306	7.62841	13.36178	12.07751	17.51224	12.43786	17.63488	1658948	1658949	1658957	1658939	1659239	1659251	1659270	1659192	80	199	181	122	NA	promoter-TSS (CDK11B)	NA	-93	CDK11B								
chr1	1674863	1675023	Interval_22	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.72658	NA	NA	NA	1.95299	NA	NA	NA	5.17818	NA	NA	NA	1674863	NA	NA	NA	1675023	NA	NA	NA	72	NA	intron (SLC35E2B, intron 4 of 8)	NA	-15931	CDK11B								
chr1	1686256	1686460	Interval_23	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.28844	NA	3.29183	NA	5.40449	NA	1.87288	NA	9.58638	NA	5.07704	NA	1686269	NA	1686256	NA	1686460	NA	1686443	NA	100	NA	92	NA	intron (SLC35E2B, intron 1 of 8)	NA	6446	SLC35E2B								
chr1	1724299	1724570	Interval_24	3	3	TRUE	FALSE	TRUE	TRUE	3.71113	NA	5.18077	4.71913	2.41433	NA	3.76062	4.88613	6.10016	NA	8.07661	8.55283	1724314	NA	1724406	1724299	1724570	NA	1724542	1724530	64	NA	40	111	NA	promoter-TSS (CDK11A)	NA	-83	CDK11A								
chr1	1763892	1764501	Interval_25	4	4	TRUE	TRUE	TRUE	TRUE	7.22327	10.06765	8.60762	14.51752	9.99143	16.40123	10.10883	33.84743	14.60878	21.52935	15.13735	38.88101	1764294	1764254	1764309	1763892	1764501	1764486	1764457	1764497	127	97	105	458	NA	intron (NADK, intron 2 of 11)	NA	15837	NADK								
chr1	1778769	1779183	Interval_26	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	5.62862	6.00847	NA	NA	4.11278	6.62707	NA	NA	8.48668	10.46449	NA	NA	1778769	1778830	NA	NA	1778981	1779183	NA	NA	19	251	NA	promoter-TSS (NADK)	NA	1058	NADK								
chr1	1780379	1780638	Interval_27	3	3	TRUE	TRUE	FALSE	TRUE	8.31036	5.91061	NA	9.16066	16.00478	7.08122	NA	19.76686	21.0201	11.43576	NA	24.32726	1780430	1780423	NA	1780379	1780638	1780589	NA	1780635	112	86	NA	149	NA	promoter-TSS (NADK)	NA	-475	NADK								
chr1	1890454	1890900	Interval_28	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	9.53512	NA	NA	NA	11.94047	NA	NA	NA	17.10185	NA	NA	NA	1890454	NA	NA	NA	1890900	NA	NA	NA	215	NA	NA	intron (GNB1, intron 1 of 11)	NA	440	GNB1								
chr1	2133132	2133681	Interval_29	3	3	TRUE	TRUE	FALSE	TRUE	7.6737	6.82977	NA	10.46608	10.71833	7.42511	NA	18.81982	15.39317	11.82059	NA	23.33592	2133191	2133132	NA	2133194	2133667	2133602	NA	2133681	121	362	NA	277	NA	promoter-TSS (PRKCZ)	NA	11872	LOC101929017								
chr1	2234472	2234804	Interval_30	2	2	TRUE	FALSE	FALSE	TRUE	5.52172	NA	NA	6.58975	5.18385	NA	NA	7.89482	9.29323	NA	NA	11.82141	2234647	NA	NA	2234472	2234804	NA	NA	2234759	59	NA	NA	229	NA	intron (SKI, intron 1 of 6)	NA	5943	SKI								
chr1	2255360	2256360	Interval_31	5	4	TRUE	TRUE	TRUE	TRUE	10.04732	11.37363	5.25444;7.50483	9.52035	18.03124	19.57261	3.16563;8.06268	16.18197	23.17438	24.88697	7.35746;12.92112	20.59111	2255504	2255360	2255488;2255693	2255432	2256306	2256261	2255624;2256088	2256360	444	619	123;165	352	NA	intron (SKI, intron 1 of 6)	NA	27165	SKI								
chr1	2290661	2291003	Interval_32	3	3	TRUE	TRUE	FALSE	TRUE	7.83786	6.87559	NA	6.22441	11.42033	7.49209	NA	6.96883	16.14759	11.89551	NA	10.82412	2290699	2290661	NA	2290744	2290984	2290992	NA	2291003	117	184	NA	135	NA	intron (SKI, intron 1 of 6)	NA	61829	LOC100129534								
chr1	2300944	2301201	Interval_33	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.25741	NA	NA	NA	4.87147	NA	NA	NA	8.51983	NA	NA	NA	2300944	NA	NA	NA	2301201	NA	NA	NA	239	NA	intron (SKI, intron 1 of 6)	NA	51588	LOC100129534								
chr1	3307046	3307210	Interval_34	1	1	TRUE	FALSE	FALSE	FALSE	4.39988	NA	NA	NA	3.49727	NA	NA	NA	7.36464	NA	NA	NA	3307046	NA	NA	NA	3307210	NA	NA	NA	107	NA	NA	NA	NA	intron (PRDM16, intron 3 of 16)	NA	-164484	ARHGEF16								
chr1	3313083	3313453	Interval_35	3	3	TRUE	TRUE	FALSE	TRUE	8.54806	10.16405	NA	6.00968	16.4438	19.23606	NA	8.43002	21.48903	24.53146	NA	12.40352	3313083	3313142	NA	3313135	3313399	3313402	NA	3313453	171	121	NA	195	NA	intron (PRDM16, intron 3 of 16)	NA	-158344	ARHGEF16								
chr1	3316565	3316785	Interval_36	2	2	TRUE	TRUE	FALSE	FALSE	5.52251	5.65567	NA	NA	5.49262	5.03967	NA	NA	9.64362	9.1718	NA	NA	3316622	3316565	NA	NA	3316756	3316785	NA	NA	80	120	NA	NA	NA	intron (PRDM16, intron 3 of 16)	NA	-154937	ARHGEF16								
chr1	3900148	3900359	Interval_37	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.57862	NA	NA	NA	5.04045	NA	NA	NA	8.71753	NA	NA	NA	3900148	NA	NA	NA	3900359	NA	NA	NA	116	NA	promoter-TSS (C1orf174)	NA	8	C1orf174								
chr1	3900705	3900889	Interval_38	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.13082	NA	NA	NA	2.50623	NA	NA	NA	5.82984	NA	NA	NA	3900705	NA	NA	NA	3900889	NA	NA	NA	123	NA	promoter-TSS (C1orf174)	NA	393	LINC01134								
chr1	3992134	3992535	Interval_39	3	3	TRUE	TRUE	FALSE	TRUE	7.55233	5.26134	NA	6.09804	9.68555	4.46741	NA	7.47949	14.27722	8.5263	NA	11.37947	3992134	3992253	NA	3992353	3992409	3992507	NA	3992535	64	200	NA	84	NA	intron (LOC102724415, intron 2 of 2)	NA	6744	LOC102724415								
chr1	4007739	4008138	Interval_40	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.88634	NA	NA	NA	2.79206	NA	NA	NA	6.17384	NA	NA	NA	4007739	NA	NA	NA	4008138	NA	NA	NA	131	NA	Intergenic	NA	22348	LOC102724415								
chr1	4655860	4656118	Interval_41	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	11.92017	NA	NA	NA	20.62831	NA	NA	NA	25.21902	NA	NA	NA	4655860	NA	NA	NA	4656118	NA	NA	NA	135	NA	intron (AJAP1, intron 1 of 5)	NA	944	AJAP1								
chr1	6245122	6245316	Interval_42	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.44636	NA	NA	NA	5.13967	NA	NA	NA	8.83018	NA	NA	NA	6245122	NA	NA	NA	6245316	NA	NA	NA	72	NA	exon (HES3, exon 4 of 4)	NA	1027	HES3								
