Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20210331_DMSO_FLAG_A_MP8777_S94_R1_001	12.531586813862589	40.0	100.0	9.090909090909092	38078937.0
20210331_DMSO_FLAG_A_MP8777_S94_R2_001	12.015766621127781	40.0	100.0	0.0	38078937.0
20210331_DMSO_FLAG_B_MP8777_S95_R1_001	13.168443524346458	40.0	100.0	9.090909090909092	37502992.0
20210331_DMSO_FLAG_B_MP8777_S95_R2_001	12.866690233354191	40.0	100.0	0.0	37502992.0
20210331_DMSO_H3K27ac_A_MP8777_S98_R1_001	11.294859727989518	45.0	100.0	27.27272727272727	54351344.0
20210331_DMSO_H3K27ac_A_MP8777_S98_R2_001	11.416882113869391	45.0	100.0	18.181818181818183	54351344.0
20210331_DMSO_H3K27ac_B_MP8777_S99_R1_001	7.676850029655057	44.0	100.0	18.181818181818183	50420837.0
20210331_DMSO_H3K27ac_B_MP8777_S99_R2_001	7.439470064728482	44.0	100.0	0.0	50420837.0
20210331_DMSO_MED1_A_MP8777_S96_R1_001	19.138507331180918	40.0	100.0	9.090909090909092	42701974.0
20210331_DMSO_MED1_A_MP8777_S96_R2_001	18.41437937519551	40.0	100.0	0.0	42701974.0
20210331_DMSO_MED1_B_MP8777_S97_R1_001	19.421512339579692	40.0	100.0	9.090909090909092	38621427.0
20210331_DMSO_MED1_B_MP8777_S97_R2_001	17.824144674564053	40.0	100.0	0.0	38621427.0
20210331_VHL_FLAG_A_MP8777_S100_R1_001	12.761603463597638	40.0	100.0	9.090909090909092	44332865.0
20210331_VHL_FLAG_A_MP8777_S100_R2_001	12.121827543917519	40.0	100.0	0.0	44332865.0
20210331_VHL_FLAG_B_MP8777_S101_R1_001	9.927711277700396	40.0	100.0	9.090909090909092	30203930.0
20210331_VHL_FLAG_B_MP8777_S101_R2_001	9.257232562038936	40.0	100.0	0.0	30203930.0
20210331_VHL_H3K27ac_A_MP8777_S104_R1_001	10.221148652738108	44.0	100.0	18.181818181818183	53667803.0
20210331_VHL_H3K27ac_A_MP8777_S104_R2_001	10.935819826802046	44.0	100.0	18.181818181818183	53667803.0
20210331_VHL_H3K27ac_B_MP8777_S105_R1_001	7.232263089327034	43.0	100.0	9.090909090909092	54155523.0
20210331_VHL_H3K27ac_B_MP8777_S105_R2_001	6.836911538271977	42.0	100.0	0.0	54155523.0
20210331_VHL_MED1_A_MP8777_S102_R1_001	17.976029462446178	40.0	100.0	9.090909090909092	39474599.0
20210331_VHL_MED1_A_MP8777_S102_R2_001	16.975455193292277	40.0	100.0	0.0	39474599.0
20210331_VHL_MED1_B_MP8777_S103_R1_001	13.898070942694176	40.0	100.0	9.090909090909092	29540105.0
20210331_VHL_MED1_B_MP8777_S103_R2_001	13.503371515669599	40.0	100.0	0.0	29540105.0
