#mp183-MV411_DMSO-H3K27ac-r1 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp183-MV411_DMSO-H3K27ac-r1_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp183.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam
#Using cutoff of 10010.4432 for Super-Enhancers
#Created on Jun 01 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp183.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
87_MV411-DMSO_1_183_R1_peak_5650_lociStitched	chr1	234827326	235105923	87	117577	190978.2435	32985.8848	1	1
33_MV411-DMSO_1_183_R1_peak_49019_lociStitched	chr6	7100734	7206548	33	74370	123950.5196	11533.726	2	1
29_MV411-DMSO_1_183_R1_peak_27534_lociStitched	chr18	77039511	77134786	29	63766	122037.7475	12662.0475	3	1
30_MV411-DMSO_1_183_R1_peak_45811_lociStitched	chr5	342728	449077	30	63980	116792.4718	12634.2612	4	1
23_MV411-DMSO_1_183_R1_peak_53314_lociStitched	chr7	38222925	38318888	23	56957	105607.2815	9212.448	5	1
63_MV411-DMSO_1_183_R1_peak_12508_lociStitched	chr12	11711124	11863627	63	90807	110869.681	16485.5743	6	1
29_MV411-DMSO_1_183_R1_peak_57786_lociStitched	chr8	129487100	129600997	29	51854	108532.4513	17414.8513	7	1
45_MV411-DMSO_1_183_R1_peak_1780_lociStitched	chr1	43762368	43886144	45	61884	99119.8208	12885.0816	8	1
22_MV411-DMSO_1_183_R1_peak_18607_lociStitched	chr15	50050890	50146405	22	56358	95706.03	9713.8755	9	1
14_MV411-DMSO_1_183_R1_peak_7191_lociStitched	chr10	69037972	69101933	14	51597	89961.1465	6818.2426	10	1
48_MV411-DMSO_1_183_R1_peak_31340_lociStitched	chr2	43083634	43245639	48	57468	100135.2905	19246.194	11	1
MV411-DMSO_1_183_R1_peak_28493	chr19	13833120	13851851	1	18732	81551.0278	3532.6666	12	1
34_MV411-DMSO_1_183_R1_peak_34932_lociStitched	chr2	231290304	231425709	34	55990	87038.334	14420.6325	13	1
MV411-DMSO_1_183_R1_peak_33484	chr2	144501810	144525018	1	23209	72982.1976	2550.5592	14	1
12_MV411-DMSO_1_183_R1_peak_11294_lociStitched	chr11	94528174	94586438	12	45322	76017.0408	5756.4832	15	1
23_MV411-DMSO_1_183_R1_peak_29096_lociStitched	chr19	33241323	33304207	23	33887	78806.2288	11941.6716	16	1
29_MV411-DMSO_1_183_R1_peak_58109_lociStitched	chr8	141084354	141165502	29	37000	80644.8824	14095.4076	17	1
18_MV411-DMSO_1_183_R1_peak_33486_lociStitched	chr2	144644237	144717462	18	52042	72646.5225	7168.7275	18	1
20_MV411-DMSO_1_183_R1_peak_27491_lociStitched	chr18	76449215	76507139	20	40096	72399.2076	7837.1172	19	1
6_MV411-DMSO_1_183_R1_peak_48071_lociStitched	chr5	150751151	150791770	6	34943	68308.9723	3834.4336	20	1
12_MV411-DMSO_1_183_R1_peak_46406_lociStitched	chr5	50630237	50703823	12	50165	68847.0616	5724.9908	21	1
18_MV411-DMSO_1_183_R1_peak_40400_lociStitched	chr3	18387788	18457879	18	41119	69628.3994	6840.8816	22	1
9_MV411-DMSO_1_183_R1_peak_3765_lociStitched	chr1	156480065	156528801	9	27541	67855.1328	5321.9712	23	1
34_MV411-DMSO_1_183_R1_peak_20922_lociStitched	chr16	17292683	17389299	34	51613	70549.0032	10618.0984	24	1
28_MV411-DMSO_1_183_R1_peak_37895_lociStitched	chr21	34808257	34912467	28	34997	71060.799	11452.679	25	1
19_MV411-DMSO_1_183_R1_peak_43575_lociStitched	chr3	196604123	196663906	19	29904	64673.2494	6211.4537	26	1
4_MV411-DMSO_1_183_R1_peak_29330_lociStitched	chr19	39393770	39412238	4	15053	61138.314	3292.8444	27	1
10_MV411-DMSO_1_183_R1_peak_9927_lociStitched	chr11	47358368	47405341	10	22931	63305.5121	5509.9329	28	1
35_MV411-DMSO_1_183_R1_peak_21270_lociStitched	chr16	29107009	29188980	35	50561	63511.1308	6451.1177	29	1
24_MV411-DMSO_1_183_R1_peak_18760_lociStitched	chr15	55216273	55291147	24	51250	63882.4968	7345.1394	30	1
14_MV411-DMSO_1_183_R1_peak_2661_lociStitched	chr1	92446477	92502795	14	27941	60874.1262	5361.4736	31	1
16_MV411-DMSO_1_183_R1_peak_22498_lociStitched	chr16	85523413	85579780	16	24257	61118.7381	6921.8676	32	1
33_MV411-DMSO_1_183_R1_peak_2612_lociStitched	chr1	89632039	89726510	33	56304	62596.4846	8899.1682	33	1
22_MV411-DMSO_1_183_R1_peak_27158_lociStitched	chr18	59855444	59922564	22	37246	61387.952	7926.872	34	1
7_MV411-DMSO_1_183_R1_peak_24378_lociStitched	chr17	40316707	40357975	7	29582	58311.684	5203.8948	35	1
11_MV411-DMSO_1_183_R1_peak_5607_lociStitched	chr1	234582522	234624612	11	21724	57406.551	4709.871	36	1
23_MV411-DMSO_1_183_R1_peak_29598_lociStitched	chr19	43724286	43785358	23	28285	63649.2384	11182.2832	37	1
23_MV411-DMSO_1_183_R1_peak_31176_lociStitched	chr2	38593456	38668644	23	39692	59270.7004	7992.4844	38	1
18_MV411-DMSO_1_183_R1_peak_27939_lociStitched	chr19	4050016	4116218	18	26884	62057.7548	11360.2632	39	1
4_MV411-DMSO_1_183_R1_peak_28438_lociStitched	chr19	12777818	12796634	4	16075	53794.944	3328.5504	40	1
6_MV411-DMSO_1_183_R1_peak_29787_lociStitched	chr19	47093150	47114512	6	17782	53351.595	3781.074	41	1
9_MV411-DMSO_1_183_R1_peak_27795_lociStitched	chr19	2056121	2096654	9	21395	56126.0451	6598.7724	42	1
11_MV411-DMSO_1_183_R1_peak_41184_lociStitched	chr3	50573966	50633082	11	28939	56172.0232	7294.9144	43	1
22_MV411-DMSO_1_183_R1_peak_5742_lociStitched	chr1	235821765	235901526	22	31331	56662.2144	7864.4346	44	1
11_MV411-DMSO_1_183_R1_peak_55935_lociStitched	chr8	26571046	26612676	11	26236	54872.503	6194.544	45	1
17_MV411-DMSO_1_183_R1_peak_57808_lociStitched	chr8	129625775	129696461	17	34244	59765.013	11528.8866	46	1
MV411-DMSO_1_183_R1_peak_12321	chr12	6950429	6963435	1	13007	49878.01	1975.6114	47	1
