#mp702-MV411_DMSO-H3K27ac-r1 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp702-MV411_DMSO-H3K27ac-r1_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp702.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam
#Using cutoff of 9753.6233 for Super-Enhancers
#Created on Jun 01 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp702.MV411_DMSO.H3K27ac.r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
19_MV411_DMSO_8h_2_702_R1_peak_40088_lociStitched	chr6	7106244	7206126	19	73275	129507.0012	10987.02	1	1
20_MV411_DMSO_8h_2_702_R1_peak_37905_lociStitched	chr5	50628178	50727664	20	57953	115622.6292	7859.394	2	1
21_MV411_DMSO_8h_2_702_R1_peak_34657_lociStitched	chr3	152241938	152333138	21	74449	114592.8	7961.76	3	1
12_MV411_DMSO_8h_2_702_R1_peak_32699_lociStitched	chr3	18381045	18449713	12	49056	103702.4136	6557.794	4	1
36_MV411_DMSO_8h_2_702_R1_peak_10103_lociStitched	chr12	11704236	11863765	36	102204	107267.2996	17436.5197	5	1
25_MV411_DMSO_8h_2_702_R1_peak_37371_lociStitched	chr5	354332	448941	25	68713	98308.2119	11362.5409	6	1
25_MV411_DMSO_8h_2_702_R1_peak_27317_lociStitched	chr2	159546998	159642359	25	62622	92414.3451	7905.4269	7	1
MV411_DMSO_8h_2_702_R1_peak_27179	chr2	144500162	144525449	1	25288	82056.315	2728.4673	8	1
MV411_DMSO_8h_2_702_R1_peak_23195	chr19	13832971	13851838	1	18868	82354.455	3554.5428	9	1
10_MV411_DMSO_8h_2_702_R1_peak_9141_lociStitched	chr11	94525882	94585426	10	50824	82129.0392	5894.856	10	1
14_MV411_DMSO_8h_2_702_R1_peak_15488_lociStitched	chr15	50051024	50117460	14	50506	81842.5084	6444.292	11	1
28_MV411_DMSO_8h_2_702_R1_peak_4850_lociStitched	chr1	235818803	235972909	28	54602	90290.7054	15826.6862	12	1
12_MV411_DMSO_8h_2_702_R1_peak_27188_lociStitched	chr2	144642890	144717205	12	58416	77978.7295	7320.0275	13	1
13_MV411_DMSO_8h_2_702_R1_peak_5894_lociStitched	chr10	69038201	69106986	13	50624	73324.81	7325.6025	14	1
12_MV411_DMSO_8h_2_702_R1_peak_43577_lociStitched	chr7	38222778	38283450	12	43822	68820.2496	5126.784	15	1
10_MV411_DMSO_8h_2_702_R1_peak_2198_lociStitched	chr1	92456513	92516371	10	33562	69171.9048	5662.5668	16	1
26_MV411_DMSO_8h_2_702_R1_peak_22402_lociStitched	chr18	77052452	77134701	26	46419	74427.1201	11021.366	17	1
