#mp136-MV411-H3K27ac-r1 Enhancers
#Created from /home/jeremie/data/MV411_H3K27ac/mp136-MV411-H3K27ac-r1_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by mp136.MV411.H3K27ac.r1.mLb.clN.sorted.bam
#Using cutoff of 2467.4727 for Super-Enhancers
#Created on Jun 01 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp136.MV411.H3K27ac.r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam	enhancerRank	isSuper
18_MV411_3_136_R1_peak_14730_lociStitched	chr6	7106691	7167984	18	35015	30867.1548	6711.5835	1	1
18_MV411_3_136_R1_peak_2099_lociStitched	chr10	69044349	69092624	18	22386	24707.145	5392.3175	2	1
MV411_3_136_R1_peak_10277	chr2	144506717	144520223	1	13507	20421.072	1647.732	3	1
13_MV411_3_136_R1_peak_13791_lociStitched	chr5	360273	425561	13	15376	26252.3048	7939.0208	4	1
20_MV411_3_136_R1_peak_12850_lociStitched	chr3	152244389	152303016	20	23310	23280.7817	5047.7847	5	1
19_MV411_3_136_R1_peak_13964_lociStitched	chr5	50633878	50677614	19	27415	20595.2824	3232.0904	6	1
14_MV411_3_136_R1_peak_1674_lociStitched	chr1	234933758	234986073	14	20354	23264.4805	6204.559	7	1
17_MV411_3_136_R1_peak_3351_lociStitched	chr11	94533733	94584239	17	18090	21197.3682	5005.1446	8	1
4_MV411_3_136_R1_peak_9216_lociStitched	chr19	47094167	47114142	4	9325	19122.0675	3521.5925	9	1
6_MV411_3_136_R1_peak_1640_lociStitched	chr1	234598712	234614477	6	13756	17122.3665	1743.609	10	1
12_MV411_3_136_R1_peak_14456_lociStitched	chr5	150761366	150790291	12	20244	17719.455	2609.035	11	1
8_MV411_3_136_R1_peak_12154_lociStitched	chr3	18407842	18437637	8	17452	17781.656	3039.09	12	1
6_MV411_3_136_R1_peak_9889_lociStitched	chr2	66435618	66452011	6	14158	16142.1871	1567.1708	13	1
18_MV411_3_136_R1_peak_3658_lociStitched	chr12	11745068	11813632	18	20567	21474.2448	7398.0556	14	1
