Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20200723_10_MP8095_S220_R1_001	20200723_10_MP8095_S220_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36020196.0	0.0	100.0	49.0	85.76520432809431	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20200723_10_MP8095_S220_R2_001	20200723_10_MP8095_S220_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36020196.0	0.0	100.0	49.0	86.47686093827352	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20200723_11_MP8095_S221_R1_001	20200723_11_MP8095_S221_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36465352.0	0.0	100.0	47.0	84.10656853133457	100.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20200723_11_MP8095_S221_R2_001	20200723_11_MP8095_S221_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36465352.0	0.0	100.0	47.0	85.39998628690338	100.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20200723_12_MP8095_S222_R1_001	20200723_12_MP8095_S222_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33689163.0	0.0	100.0	48.0	84.5080238510866	100.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20200723_12_MP8095_S222_R2_001	20200723_12_MP8095_S222_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33689163.0	0.0	100.0	48.0	85.96337170334073	100.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20200723_13_MP8095_S223_R1_001	20200723_13_MP8095_S223_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23731780.0	0.0	100.0	49.0	89.61634752924807	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20200723_13_MP8095_S223_R2_001	20200723_13_MP8095_S223_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23731780.0	0.0	100.0	49.0	90.04618126436614	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20200723_14_MP8095_S224_R1_001	20200723_14_MP8095_S224_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40881942.0	0.0	100.0	48.0	85.9269415580176	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20200723_14_MP8095_S224_R2_001	20200723_14_MP8095_S224_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40881942.0	0.0	100.0	48.0	86.7842921495798	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
