GENE,MV411-DMSO,MV411-Mebendazole
A1BG,1.0,0.0
NAT1,109.0,156.0
AAMP,311.0,393.0
AARS1,260.0,246.0
ABAT,70.0,66.0
ABCA1,15.0,35.0
ABCA2,32.0,37.0
ABCB7,44.0,71.0
ABCF1,347.0,370.0
ABL1,189.0,229.0
ABL2,213.0,247.0
ABR,484.0,484.0
ACAA1,493.0,541.0
ACACA,445.0,505.0
ACACB,8.0,14.0
ACADM,763.0,1291.0
ACADS,28.0,36.0
ACADSB,834.0,1071.0
ACADVL,131.0,214.0
ACAT1,428.0,507.0
ACAT2,2156.0,2815.0
ASIC1,79.0,84.0
ACLY,1157.0,1203.0
ACO1,110.0,125.0
ACO2,320.0,311.0
ACOX1,346.0,428.0
ACP1,1910.0,2616.0
ACP2,45.0,33.0
ACP3,340.0,401.0
ACRV1,0.0,3.0
ACTB,18744.0,26050.0
ACTG1,23751.0,27537.0
ACTN4,890.0,1053.0
ACTL6A,656.0,987.0
ACTN1,294.0,417.0
ACVR1,15.0,19.0
ACVR1B,88.0,97.0
ACVR2A,31.0,67.0
ACVR2B,60.0,79.0
ACVRL1,21.0,28.0
ACY1,60.0,70.0
ACYP1,320.0,343.0
ACYP2,90.0,128.0
ADA,461.0,469.0
ADAM8,8.0,16.0
ADAM10,1853.0,2851.0
ADAR,1803.0,1833.0
ADARB1,81.0,120.0
ADCY3,201.0,196.0
ADCY5,4.0,4.0
ADCY7,408.0,539.0
ADCY9,150.0,157.0
ADD1,520.0,461.0
ADD2,442.0,450.0
ADD3,444.0,733.0
PLIN2,197.0,278.0
ADH5,734.0,1081.0
ADK,635.0,989.0
ADORA1,0.0,1.0
ADORA2A,5.0,6.0
ADORA2B,165.0,258.0
ADORA3,2.0,4.0
PARP1,910.0,1043.0
PARP4,48.0,61.0
ADRB1,1.0,5.0
ADRB2,38.0,26.0
GRK2,365.0,494.0
GRK3,341.0,402.0
ADSL,224.0,330.0
ADSS2,702.0,1096.0
AP2A1,63.0,111.0
AP2A2,62.0,71.0
AP1B1,156.0,159.0
AP2B1,2006.0,2283.0
AP1G1,2105.0,2548.0
TLE5,193.0,229.0
AFG3L1P,223.0,282.0
AGA,420.0,526.0
AGER,38.0,45.0
AGL,227.0,347.0
JAG1,6.0,7.0
AGT,21.0,18.0
AHCY,1621.0,1738.0
AHR,494.0,767.0
AIF1,867.0,1459.0
CRYBG1,377.0,456.0
AK1,8.0,10.0
AK2,11757.0,15689.0
AK4,8.0,13.0
AKT1,520.0,620.0
AKT2,602.0,663.0
ALAD,385.0,428.0
ALAS1,33.0,34.0
ALCAM,592.0,937.0
ABCD1,64.0,60.0
ALDH2,3.0,3.0
ALDH1B1,649.0,699.0
ALDH1A3,27.0,31.0
ALDH3B1,106.0,128.0
ALDH9A1,829.0,1049.0
ALDH3A2,97.0,134.0
ABCD2,81.0,129.0
ALDOA,2018.0,2301.0
ALDOB,3.0,5.0
ALDOC,109.0,131.0
AKR1B1,309.0,386.0
ALOX12,8.0,11.0
ALOX5AP,548.0,710.0
ALOX15,4.0,3.0
ALX3,7.0,5.0
AMD1,3689.0,5963.0
AMFR,190.0,203.0
AMH,0.0,0.0
AMPD2,47.0,71.0
AMPD3,22.0,22.0
AMPH,1.0,1.0
BIN1,4.0,10.0
AMT,37.0,34.0
AMY1A,8.0,8.0
AMY1B,8.0,8.0
AMY1C,8.0,8.0
AMY2B,1.0,5.0
ANGPT1,17.0,18.0
ANGPT2,9.0,13.0
ANK2,28.0,46.0
SLC25A4,19.0,22.0
SLC25A5,2661.0,2949.0
SLC25A6,2438.0,2608.0
ANXA1,568.0,920.0
ANXA2,648.0,740.0
303,6.0,8.0
ANXA4,333.0,511.0
ANXA5,364.0,558.0
ANXA6,163.0,170.0
ANXA7,355.0,461.0
ANXA11,284.0,274.0
AOC2,2.0,2.0
APAF1,244.0,445.0
NUDT2,77.0,92.0
APBA1,111.0,139.0
APBA2,16.0,10.0
APBB1,15.0,24.0
APBB2,19.0,33.0
APC,138.0,201.0
APEH,70.0,89.0
APEX1,2311.0,2608.0
BIRC2,84.0,124.0
BIRC3,4.0,14.0
XIAP,572.0,858.0
BIRC5,1427.0,1755.0
APLP1,3.0,6.0
APLP2,1951.0,2404.0
APOA1,3.0,3.0
APOC1,18.0,24.0
APOC2,2063.0,3222.0
APOD,0.0,1.0
APP,760.0,929.0
APRT,506.0,694.0
FAS,3.0,3.0
AQP1,25.0,27.0
AQP3,62.0,74.0
AQP6,0.0,1.0
AR,10.0,6.0
ARAF,111.0,131.0
ARCN1,2666.0,3269.0
TRIM23,45.0,76.0
ARF1,2848.0,3064.0
ARF3,4406.0,4964.0
ARF4,1894.0,2833.0
ARF5,224.0,270.0
ARF6,1818.0,2904.0
ARG2,546.0,682.0
RHOA,9981.0,12394.0
RHOB,33.0,50.0
RHOC,34.0,48.0
RHOG,321.0,390.0
ARHGAP1,285.0,305.0
ARHGAP4,64.0,80.0
ARHGAP6,4.0,2.0
ARHGDIA,2249.0,2094.0
ARHGDIB,15334.0,17151.0
RHOH,7.0,11.0
ARL1,914.0,1318.0
ARL2,166.0,210.0
ARL3,82.0,108.0
ARNT,386.0,473.0
ARNTL,30.0,48.0
ARRB1,798.0,916.0
ARRB2,374.0,469.0
ARSA,27.0,26.0
ARSB,504.0,567.0
STS,180.0,236.0
ARSD,212.0,247.0
ARSL,0.0,0.0
ARVCF,2.0,3.0
ASAH1,907.0,1197.0
ASGR2,23.0,19.0
ASL,8.0,9.0
GET3,126.0,190.0
ASNS,136.0,161.0
ASPH,840.0,1260.0
ASS1,566.0,508.0
ZFHX3,19.0,24.0
ATF1,461.0,821.0
ATF3,81.0,121.0
ATF4,524.0,848.0
ATIC,244.0,312.0
ATM,534.0,880.0
RERE,78.0,72.0
ATOX1,222.0,288.0
ATP1A1,418.0,467.0
ATP1A3,33.0,39.0
ATP1B1,59.0,77.0
ATP1B3,2258.0,2564.0
ATP2A1,3.0,6.0
ATP2A2,949.0,1248.0
ATP2A3,134.0,160.0
ATP2B1,1057.0,2024.0
ATP2B2,3.0,5.0
ATP2B3,9.0,10.0
ATP2B4,734.0,943.0
ATP5F1A,1195.0,1452.0
ATP5F1B,1236.0,1706.0
ATP5F1C,419.0,656.0
ATP5F1D,362.0,525.0
ATP5F1E,1093.0,1418.0
ATP5PB,2156.0,2917.0
ATP5MC1,231.0,348.0
ATP5MC2,1621.0,2052.0
ATP5MC3,2644.0,3746.0
ATP5ME,1153.0,1630.0
ATP5PF,584.0,877.0
ATP6V1A,1197.0,1749.0
ATP6V1B2,3178.0,4304.0
ATP6V0C,372.0,448.0
