GENE,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
A1BG,0,0,0,0,0,0,0,0,0,0
NAT1,15,7,12,25,13,5,13,7,20,10
AAMP,6,6,3,21,7,6,7,7,11,10
AARS1,2,21,16,28,9,16,12,13,15,8
ABAT,3,1,5,0,3,1,1,2,5,2
ABCA1,0,0,0,1,5,1,2,3,3,3
ABCA2,1,0,0,1,3,0,0,0,0,0
ABCB7,1,1,0,0,0,2,1,0,1,2
ABCF1,14,18,28,39,24,14,26,15,13,10
ABL1,14,18,25,20,12,16,24,15,35,21
ABL2,23,27,33,54,23,17,37,21,35,11
ABR,15,14,26,39,14,39,34,26,44,18
ACAA1,6,5,11,23,16,14,15,13,15,8
ACACA,19,28,34,70,34,50,63,23,45,31
ACACB,0,0,5,2,0,0,3,0,1,1
ACADM,8,6,5,24,5,3,9,5,7,3
ACADS,1,0,0,0,2,1,3,1,1,1
ACADSB,5,11,18,34,15,10,11,15,14,10
ACADVL,2,2,2,4,0,2,3,3,2,4
ACAT1,0,5,5,6,6,1,4,3,3,3
ACAT2,5,6,5,22,6,3,1,8,3,2
ASIC1,1,0,0,3,0,3,1,0,2,2
ACLY,15,16,22,34,25,20,24,14,21,13
ACO1,1,1,0,11,0,4,4,0,0,0
ACO2,3,4,4,12,4,2,7,6,10,6
ACOX1,11,15,15,31,19,17,16,25,24,13
ACP1,54,42,45,117,62,59,73,54,52,45
ACP2,1,9,6,2,5,4,1,0,2,2
ACP3,8,8,4,16,7,9,4,3,6,4
ACRV1,0,2,0,0,0,0,0,0,0,0
ACTB,126,201,205,393,204,390,544,395,511,325
ACTG1,294,410,551,907,462,966,1312,1052,1286,840
ACTN4,14,24,13,43,16,23,25,24,21,9
ACTL6A,5,2,1,12,6,7,14,8,12,5
ACTN1,2,7,0,5,4,12,6,4,7,4
ACVR1,3,4,3,6,3,2,2,2,1,0
ACVR1B,7,13,14,17,10,10,22,8,9,9
ACVR2A,1,2,1,7,2,5,3,3,3,0
ACVR2B,6,7,12,18,5,8,12,10,10,2
ACVRL1,1,1,0,2,0,2,1,1,1,1
ACY1,0,1,0,1,0,1,1,0,3,0
ACYP1,6,4,11,30,12,12,14,7,8,1
ACYP2,0,0,0,4,3,0,4,1,2,1
ADA,6,3,6,4,8,3,4,4,6,7
ADAM8,1,0,1,0,0,3,4,1,2,0
ADAM10,30,47,35,139,32,41,58,38,66,29
ADAR,40,53,71,166,76,63,86,62,97,40
ADARB1,4,10,1,6,4,8,2,10,9,4
ADCY3,2,3,6,8,0,1,5,2,11,1
ADCY5,0,0,0,0,0,0,0,0,0,0
ADCY7,12,11,22,54,23,21,19,23,26,9
ADCY9,8,19,13,27,26,16,26,13,20,9
ADD1,9,10,22,49,13,8,14,18,19,9
ADD2,7,13,12,29,8,14,12,4,8,6
ADD3,4,1,1,19,8,8,6,10,12,4
PLIN2,3,13,13,21,8,9,11,4,13,11
ADH5,15,12,11,41,10,12,20,16,12,15
ADK,3,4,4,3,9,6,4,13,7,3
ADORA1,0,0,0,0,0,0,0,0,0,0
ADORA2A,0,0,0,0,1,2,2,0,0,0
ADORA2B,15,6,6,40,12,15,18,15,15,9
ADORA3,0,1,0,0,0,1,0,1,3,1
PARP1,11,7,5,27,11,8,14,13,19,8
PARP4,1,3,0,2,0,3,4,3,5,1
ADRB1,1,0,0,0,1,0,3,0,1,2
ADRB2,10,6,12,24,8,2,4,3,8,2
GRK2,7,13,9,22,14,10,14,15,20,10
GRK3,14,24,18,40,19,13,20,21,27,10
ADSL,2,2,4,2,0,2,4,5,6,1
ADSS2,14,6,21,25,13,9,14,7,22,8
AP2A1,1,0,4,2,3,3,2,0,0,0
AP2A2,3,2,1,10,1,3,6,3,8,3
AP1B1,1,3,2,8,6,5,5,2,13,3
AP2B1,19,37,43,97,43,39,45,34,67,39
AP1G1,81,77,72,233,108,106,109,92,111,72
TLE5,2,0,3,2,0,1,5,3,6,2
AFG3L1P,15,20,23,36,22,28,30,18,37,22
AGA,1,4,5,19,5,11,8,4,6,7
AGER,3,1,2,5,2,4,1,5,8,1
AGL,7,7,1,3,3,8,6,5,6,3
JAG1,0,2,3,0,1,1,1,2,0,0
AGT,0,0,3,1,0,0,0,0,0,0
AHCY,17,17,39,46,30,16,27,14,27,25
AHR,35,34,40,104,43,31,36,30,32,16
AIF1,5,9,9,22,6,6,3,10,13,7
CRYBG1,4,11,4,24,7,10,18,18,18,13
AK1,0,0,0,0,0,0,0,0,0,0
AK2,97,128,159,375,146,165,167,144,190,95
AK4,0,0,0,0,0,0,1,0,1,0
AKT1,11,4,17,8,4,8,9,11,6,6
AKT2,6,11,13,13,10,9,7,12,8,5
ALAD,12,8,12,23,23,11,19,7,12,13
ALAS1,2,6,0,9,4,4,5,6,3,3
ALCAM,13,8,9,24,9,11,17,10,19,11
ABCD1,1,3,3,2,0,2,3,2,1,2
ALDH2,0,0,0,1,0,2,0,0,1,0
ALDH1B1,15,16,16,54,30,34,46,29,37,42
ALDH1A3,0,0,0,1,1,0,1,1,1,0
ALDH3B1,0,0,4,2,5,2,3,1,2,3
ALDH9A1,22,19,10,44,24,21,33,25,28,23
ALDH3A2,5,4,1,10,4,3,2,1,8,0
ABCD2,1,1,3,6,0,1,1,2,3,3
ALDOA,26,32,49,81,36,33,41,18,37,35
ALDOB,0,0,0,0,0,0,0,0,0,0
ALDOC,0,1,0,0,4,1,0,2,4,1
AKR1B1,2,2,7,3,2,2,0,2,2,3
ALOX12,0,0,0,0,1,0,1,0,0,0
ALOX5AP,3,2,1,1,3,5,1,4,2,3
ALOX15,0,0,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,0,0,0,0,0,0
AMD1,182,198,156,521,221,215,293,250,319,155
AMFR,4,10,8,11,6,3,5,6,6,1
AMH,0,0,0,0,0,0,0,0,0,0
AMPD2,4,1,4,6,5,7,4,2,2,1
AMPD3,0,0,1,5,0,0,1,2,1,0
AMPH,0,0,0,0,0,0,0,0,0,0
BIN1,0,1,0,0,0,0,0,0,0,0
AMT,0,0,1,0,0,0,0,2,0,0
AMY1A,0,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0,0
