GENE,MV411-DMSO,MV411-Mebendazole
A1BG,1.4,1.0
NAT1,142.8,147.4
AAMP,327.0,400.6
AARS1,258.0,244.6
ABAT,75.4,73.0
ABCA1,18.8,33.8
ABCA2,30.4,36.2
ABCB7,51.2,73.4
ABCF1,365.6,363.6
ABL1,194.4,222.2
ABL2,248.8,247.2
ABR,516.2,537.6
ACAA1,516.2,537.2
ACACA,483.4,542.0
ACACB,10.6,14.6
ACADM,930.2,1200.0
ACADS,27.4,36.8
ACADSB,989.2,1065.2
ACADVL,156.8,214.8
ACAT1,433.2,494.4
ACAT2,2449.4,2730.8
ASIC1,84.4,87.2
ACLY,1149.6,1248.4
ACO1,113.0,125.6
ACO2,313.2,312.6
ACOX1,384.0,425.0
ACP1,2139.0,2440.6
ACP2,40.0,33.0
ACP3,377.8,403.4
ACRV1,2.4,2.6
ACTB,19985.4,26580.2
ACTG1,24912.6,29533.8
ACTN4,926.0,1165.4
ACTL6A,783.2,940.8
ACTN1,325.6,415.0
ACVR1,17.8,18.2
ACVR1B,99.4,100.0
ACVR2A,47.6,64.0
ACVR2B,60.6,81.6
ACVRL1,22.4,27.0
ACY1,47.8,68.6
ACYP1,356.0,369.0
ACYP2,102.2,129.6
ADA,475.6,470.2
ADAM8,11.0,15.0
ADAM10,2198.0,2752.8
ADAR,1853.4,1914.0
ADARB1,89.2,120.0
ADCY3,234.6,210.6
ADCY5,5.4,4.0
ADCY7,421.8,531.8
ADCY9,148.4,167.8
ADD1,531.4,504.0
ADD2,465.4,467.0
ADD3,521.2,727.4
PLIN2,247.8,260.0
ADH5,830.8,1004.6
ADK,782.6,981.0
ADORA1,0.2,2.4
ADORA2A,5.0,5.2
ADORA2B,199.0,234.0
ADORA3,3.4,4.8
PARP1,949.0,1050.2
PARP4,54.8,60.8
ADRB1,1.2,4.6
ADRB2,46.2,27.2
GRK2,383.4,485.4
GRK3,378.8,424.0
ADSL,242.0,329.2
ADSS2,867.8,1118.2
AP2A1,78.2,111.8
AP2A2,66.2,74.4
AP1B1,155.2,179.0
AP2B1,2125.8,2330.0
AP1G1,2300.8,2484.4
TLE5,203.8,225.4
AFG3L1P,268.4,290.2
AGA,493.6,539.2
AGER,47.2,48.8
AGL,243.8,332.0
JAG1,6.4,8.2
AGT,23.2,18.0
AHCY,1769.8,1832.6
AHR,605.6,757.2
AIF1,999.4,1423.2
CRYBG1,390.4,468.0
AK1,8.6,10.2
AK2,13265.0,15381.6
AK4,10.2,14.2
AKT1,590.8,662.2
AKT2,609.0,700.4
ALAD,413.2,444.2
ALAS1,36.4,35.2
ALCAM,728.6,893.8
ABCD1,66.0,65.6
ALDH2,3.8,5.0
ALDH1B1,673.8,742.2
ALDH1A3,26.0,31.2
ALDH3B1,115.4,126.2
ALDH9A1,928.4,1005.2
ALDH3A2,105.6,127.8
ABCD2,103.0,126.4
ALDOA,2172.6,2397.0
ALDOB,2.0,5.2
ALDOC,116.6,142.8
AKR1B1,316.4,375.4
ALOX12,10.0,11.2
ALOX5AP,629.2,701.0
ALOX15,4.0,3.4
ALX3,7.6,6.0
AMD1,4343.2,5956.6
AMFR,192.4,212.6
AMH,0.6,1.0
AMPD2,54.4,71.8
AMPD3,22.0,26.0
AMPH,2.4,1.0
BIN1,4.8,10.4
AMT,34.8,33.0
AMY1A,8.2,7.0
AMY1B,8.2,7.0
AMY1C,8.2,7.0
AMY2B,1.2,5.0
ANGPT1,15.0,20.8
ANGPT2,12.4,14.4
ANK2,32.4,45.4
SLC25A4,20.2,20.8
SLC25A5,2758.6,2856.2
SLC25A6,2605.6,2945.4
ANXA1,681.2,912.2
ANXA2,696.6,741.0
303,6.2,7.6
ANXA4,392.6,498.2
ANXA5,430.4,527.8
ANXA6,177.8,174.0
ANXA7,426.6,472.0
ANXA11,284.2,303.0
AOC2,3.6,2.6
APAF1,288.2,444.6
NUDT2,83.2,90.4
APBA1,121.4,144.4
APBA2,13.0,10.6
APBB1,18.2,23.0
APBB2,22.6,34.4
APC,170.4,199.2
APEH,77.8,92.0
APEX1,2438.0,2424.0
BIRC2,106.6,118.2
BIRC3,4.8,14.0
XIAP,685.2,852.4
BIRC5,1530.4,1751.0
APLP1,4.8,5.4
APLP2,2091.0,2371.2
APOA1,2.6,2.8
APOC1,17.6,25.0
APOC2,2323.6,3165.4
APOD,1.6,0.8
APP,820.6,886.8
APRT,551.4,688.6
FAS,3.6,2.8
AQP1,26.8,30.0
AQP3,72.2,77.6
AQP6,1.6,0.6
AR,9.4,7.4
ARAF,111.8,139.6
ARCN1,2884.0,3226.2
TRIM23,52.6,76.4
ARF1,3159.8,3309.2
ARF3,4715.4,5229.8
ARF4,2145.6,2806.2
ARF5,225.2,272.2
ARF6,2280.2,2912.0
ARG2,605.8,636.2
RHOA,10813.0,12155.0
RHOB,39.0,51.6
RHOC,37.2,46.2
RHOG,328.0,394.6
ARHGAP1,287.4,309.2
ARHGAP4,61.2,81.0
ARHGAP6,4.2,2.6
ARHGDIA,2244.2,2210.4
ARHGDIB,15804.2,17226.4
RHOH,8.0,11.0
ARL1,1090.8,1266.6
ARL2,163.0,203.6
ARL3,94.0,104.2
ARNT,392.4,452.0
ARNTL,35.4,46.8
ARRB1,832.8,939.8
ARRB2,416.6,503.4
ARSA,30.0,26.0
