,sum,max,mean,std
CEBPA,56524,123.66274,10.371735539729144,60.99032917798547
HOXA9,1264,36.84465,7.179491998945158,11.735557295902675
PLAGL2,13978,1424.57,8.478562053942097,277.4887955114948
MEIS1,51650,99.0501,10.12147406176211,101.92422926881798
ETV6,6671,80.06743333333334,9.824713471707076,41.801550572828425
FLAG_GFI1,22234,82.7514,5.985914262390878,30.92923447820914
RUNX1,51965,85.43705000000001,8.414745060532896,24.43595349599245
FOSL2,4109,367.017,10.657883996106102,127.10351421716624
FLI1,52978,512.89,16.315432419495785,442.1422003154761
GATA2,10475,191.227,17.097016581145475,390.2899257436497
SP1,24126,684.427,14.856560794827242,414.1417867386822
E2F3,14916,598.145,11.18966119200855,145.31104691786473
ZNF281,16694,3947.19,21.532452945968572,7005.143886579785
SREBF1,4153,645.24,7.150708591379752,173.4733963065468
LMO2,15365,43.67068500000001,6.623871506128676,11.15195850040689
STAT5B,28950,293.2390000000001,6.149333407599292,107.92614515341951
ZMYND8,21677,45.17605,7.411960248491356,12.587722891972392
LYL1,11810,89.225,8.952360691786648,54.52213016886
MYC,58860,83.14914499999999,5.712393221510122,16.8608741725731
TFAP4,27208,1356.1,8.83208664951467,178.54395900542718
RUNX2,71214,75.82466666666667,9.623175536249791,62.596967682838816
MAX,68593,110.47425,10.234018536006094,62.38488034789126
IRF8,55518,259.9731033333333,11.331605263201224,175.48545454080738
MYB,24565,125.9535,8.42918804532179,49.77671888838042
ZEB2,8049,812.1889333333335,7.417450182879851,237.67787095784013
RXRA,14205,1240.17,7.340064830693373,169.8267055590674
SPI1,73329,200.8460333333333,14.725139860203345,152.38360305125752
MEF2C,19413,84.65211833333333,5.479833447054406,11.248523109387497
FLAG_MEF2D,22536,133.33396666666667,4.339930961082967,5.421074677592156
activation,85159,29.194000000000003,5.703073695334908,22.1042751593883
repression,39035,17.2976,3.966243457437871,1.7622592306730642
ELF2,34737,114.32690000000001,11.612418774304658,89.55899546298077
JUND,3162,63.0745,5.608475302204103,5.345258319633726
FLAG_SPI1,82307,64.5072,15.664356594708732,154.19121937668962
FLAG_IRF2BP2,16175,30.6387,4.817518940669758,3.4525854346749316
SMC1,40466,86.7097,9.918946703454878,80.23698270827678
LDB1,88,30.1347,9.134164772727269,22.653048966080984
H3K79me2,23703,16.2274,5.375271011264382,6.073717224345507
WDR5,567,42.445660000000004,9.31267159406231,52.14772571518306
H3K27ac,55607,18.188991666666666,4.475423972016491,3.7214005139536765
H3K27me3,3952,16.9388,3.9688268793016155,1.110934322050548
MYBL2,307,35.3844,8.556340016286647,19.60231889034308
CDK9,45893,65.1886,5.592976814717556,8.097747461002248
H3K4me3,23976,29.194000000000003,11.895385474641309,34.07096829350271
FOXP1,42321,78.395,6.836583803567442,17.23126806563152
MLL_KTM2A,33016,17.2413,4.8186526848144995,1.3301409253694554
RARA,5109,343.55300000000005,8.061526172440788,80.0962045671137
IKZF1,28271,75.8411,6.871603415487804,12.785701043719133
AFF4,3133,96.5899,5.648706296786892,14.856113393104085
CTCF,16360,77.6791,19.215043725550046,126.866555012838
BRD4,44231,13.187515000000001,3.9281234842066577,1.002453896177028
CEBPB,53787,150.145,9.429517873759512,90.24340617054645
H3K36me2,36006,17.2976,3.9479159914643835,1.825127850959634
PSER2,23665,59.9647,7.823841759623879,50.82371673196033
H3K36me3,9440,14.5761,3.6302483184321956,1.1035356267617242
H3K9ac,41113,20.6376,5.751186762508164,11.299245198270283
CDK13,88,75.1149,7.155729545454545,73.54250800764449
H3K4me1,46853,5.40321,2.998510588525122,0.12866487416671568
POLII,32181,94.57036,4.176735677814777,10.533572509348991
MED1,35716,29.56706,3.877879877596754,1.5502054691203466
super_enhancer,9571,36.16949159767471,6.1721872466589485,12.823486261940676
promoters,10123,1.0,1.0,0.0
