Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr22	29442122	29442455	5988	333	+	0	0	112	0	0	0	0	0	-1.0	-1.0
chr19	13961529	13962694	5989	1165	-	0.00178477690289	20.5132257462	242	9525	17	460	8	0	-1.0	-1.0
chr12	109448654	109451813	83892	3159	-	0.00230267365997	17.5254298223	921	7817	18	393	9	0	-1.0	-1.0
chr12	109456117	109456313	83892	196	-	0	0	57	0	0	0	0	0	-1.0	-1.0
chr12	109457629	109457682	83892	53	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	109457991	109458078	83892	87	-	0	0	20	0	0	0	0	0	-1.0	-1.0
chr12	109460635	109460805	83892	170	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr12	109469514	109469728	83892	214	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr12	109477259	109477544	83892	285	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	74231501	74232105	5982	604	-	0.0	18.5510911096	138	5606	0	416	0	0	-1.0	-1.0
chr13	33836295	33837507	5983	1212	+	0.0	17.8375876054	467	9156	0	400	0	1	-1.0	-1.0
chr13	33966125	33966558	5983	433	+	0.0	0.75809747323	140	331	0	17	0	1	-1.0	-1.0
chr6	111299030	111300015	5980	985	-	0.00895054822108	7.84853854638	385	4469	40	176	15	0	-1.0	-1.0
chr4	39287448	39288760	5981	1312	-	0.00375907731739	23.3672397631	431	11705	44	524	12	0	-1.0	-1.0
chr17	82047901	82048725	5986	824	-	0.0	6.42153153795	158	2512	0	144	0	0	-1.0	-1.0
chr6	28903001	28904069	5987	1068	-	0.000701038812058	44.2818112304	337	15691	11	993	4	0	-1.0	-1.0
chr6_GL000250v2_alt	168585	169653	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	393696	394764	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	168756	169824	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	168583	169651	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	212403	213471	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	186789892	186789968	5984	76	-	0.000346921075455	40.3575419572	22	11530	4	905	2	0	-1.0	-1.0
chr12	118031278	118032237	5985	959	+	0.000148948054366	55.2965215768	310	26855	4	1240	2	1	-1.0	-1.0
chr17	40999192	40999556	83897	364	-	0	0	127	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	148587	148951	83897	364	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr15	70570957	70573431	101929151	2474	-	0	0	760	0	0	0	0	0	-1.0	-1.0
chr15	70585874	70586606	101929151	732	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr17	41026025	41026630	83895	605	-	0	0	204	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	175420	176025	83895	605	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	49549305	49551442	100132677	2137	-	0	0	458	0	0	0	0	0	-1.0	-1.0
chr3	49553547	49553687	100132677	140	-	0	0	43	0	0	0	0	0	-1.0	-1.0
chr3	49554040	49554366	100132677	326	-	0	0	50	0	0	0	0	0	-1.0	-1.0
chr15	45164901	45165578	53905	677	+	0	0	168	0	0	0	0	0	-1.0	-1.0
chr6	30812865	30814772	401247	1907	-	0.0	0.178375876054	425	30	0	4	0	1	-1.0	-1.0
chr6	30830514	30830659	401247	145	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2292590	2294497	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2310245	2310390	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069152	2069718	401247	566	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069738	2071078	401247	1340	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2086777	2086923	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2123107	2125014	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2140759	2140904	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2067966	2069877	401247	1911	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2085620	2085765	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2114577	2115524	401247	947	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2131221	2131367	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6	28859624	28862015	401242	2391	-	0	0	727	0	0	0	0	0	-1.0	-1.0
chr6	28863283	28863677	401242	394	-	0	0	107	0	0	0	0	0	-1.0	-1.0
chr6_GL000250v2_alt	125208	127599	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000250v2_alt	128867	129261	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	350141	352527	401242	2386	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	353823	354217	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	125226	127617	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	128885	129279	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	125182	127573	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	128841	129235	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	125221	127612	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	128877	129271	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	125205	127596	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	128865	129259	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	168872	171263	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	172528	172922	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr1	47050174	47050754	260293	580	+	0	0	214	0	0	0	0	0	-1.0	-1.0
chr7	72948292	72948597	260294	305	-	0.0	9.63229730692	58	3523	0	216	0	145	-1.0	-1.0
chr7	72948667	72948808	260294	141	-	0.0	0.445939690135	27	14	0	10	0	0	-1.0	-1.0
chr7	72948891	72949102	260294	211	-	0.0	0.356751752108	36	128	0	8	0	8	-1.0	-1.0
chr7	72949312	72949491	260294	179	-	0	0	46	0	0	0	0	0	-1.0	-1.0
chr7	72949845	72949961	260294	116	-	0	0	22	0	0	0	0	0	-1.0	-1.0
chr7	72950057	72950196	260294	139	-	0	0	29	0	0	0	0	0	-1.0	-1.0
chr7	72952151	72952295	260294	144	-	0.0	0.936473349284	36	222	0	21	0	18	-1.0	-1.0
chr7	72953325	72953430	260294	105	-	0	0	32	0	0	0	0	0	-1.0	-1.0
chr7	72953510	72953677	260294	167	-	0.0	0.089187938027	40	18	0	2	0	2	-1.0	-1.0
chr7	72954358	72954479	260294	121	-	0	0	19	0	0	0	0	0	-1.0	-1.0
chr7	72954624	72954763	260294	139	-	0.0	0.222969845068	22	50	0	5	0	5	-1.0	-1.0
chr1	114673098	114673113	270	15	-	0	0	1	0	0	0	0	0	-1.0	-1.0
chr1	109631152	109632055	271	903	+	0.0	13.5119726111	236	5785	0	303	0	0	-1.0	-1.0
chr11	10505884	10507579	272	1695	+	0.0	7.49178679427	595	4088	0	168	0	0	-1.0	-1.0
chr7	38383695	38384817	273	1122	-	0	0	354	0	0	0	0	0	-1.0	-1.0
chr2	127048022	127048525	274	503	-	0.0	0.0445939690135	118	14	0	1	0	0	-1.0	-1.0
chr3	49416777	49417718	275	941	-	0.00113571834185	4.23642705628	241	1761	2	95	1	0	-1.0	-1.0
chr3	49417817	49417973	275	156	-	0.0	0.0445939690135	28	10	0	1	0	0	-1.0	-1.0
chr3	49418970	49419151	275	181	-	0.0	0.312157783095	32	64	0	7	0	0	-1.0	-1.0
chr3	49419259	49419405	275	146	-	0	0	29	0	0	0	0	0	-1.0	-1.0
chr3	49419709	49419788	275	79	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr3	49420210	49420342	275	132	-	0	0	34	0	0	0	0	0	-1.0	-1.0
chr3	49421491	49421572	275	81	-	0	0	16	0	0	0	0	0	-1.0	-1.0
chr3	49422103	49422257	275	154	-	0	0	33	0	0	0	0	0	-1.0	-1.0
chr3	49422360	49422678	275	318	-	0	0	75	0	0	0	0	0	-1.0	-1.0
chr1	103664520	103664551	276	31	-	0	0	16	0	0	0	0	0	-1.0	-1.0
chr1	103687417	103687448	276	31	-	0	0	7	0	0	0	0	0	-1.0	-1.0
chr1	103758658	103758689	276	31	-	0	0	16	0	0	0	0	0	-1.0	-1.0
chr1	103664520	103664550	277	30	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr1	103687418	103687448	277	30	-	0	0	7	0	0	0	0	0	-1.0	-1.0
chr1	103758658	103758688	277	30	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr1	103664520	103664550	278	30	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr1	103687418	103687448	278	30	-	0	0	7	0	0	0	0	0	-1.0	-1.0
chr1	103758658	103758688	278	30	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr1	103625746	103625780	279	34	+	0	0	10	0	0	0	0	0	-1.0	-1.0
chr9	88647178	88647388	286238	210	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr5	146084312	146084431	153770	119	-	0.0	0.178375876054	36	80	0	4	0	0	-1.0	-1.0
chr6	3268973	3273412	63027	4439	-	0	0	1068	0	0	0	0	0	-1.0	-1.0
chr6	3283851	3283975	63027	124	-	0	0	32	0	0	0	0	0	-1.0	-1.0
chr6	3285078	3285111	63027	33	-	0	0	5	0	0	0	0	0	-1.0	-1.0
chr6	3286858	3287091	63027	233	-	0	0	50	0	0	0	0	0	-1.0	-1.0
chr6	3289763	3289866	63027	103	-	0	0	21	0	0	0	0	0	-1.0	-1.0
chr6	3298090	3298218	63027	128	-	0	0	25	0	0	0	0	0	-1.0	-1.0
chr6	3323265	3323318	63027	53	-	0	0	17	0	0	0	0	0	-1.0	-1.0
chr6	3323323	3323829	63027	506	-	0	0	142	0	0	0	0	0	-1.0	-1.0
chr6	3323833	3324002	63027	169	-	0	0	41	0	0	0	0	0	-1.0	-1.0
chr6	3410187	3410342	63027	155	-	0	0	54	0	0	0	0	0	-1.0	-1.0
chr6	3415751	3415855	63027	104	-	0	0	37	0	0	0	0	0	-1.0	-1.0
chr6	3444818	3445013	63027	195	-	0	0	38	0	0	0	0	0	-1.0	-1.0
chr8	8784488	8786021	9258	1533	-	0.00385651891088	68.2287725907	466	21522	83	1530	33	0	-1.0	-1.0
chr17	58301226	58302447	9256	1221	-	0.000623112930353	456.776024606	278	197396	123	10243	47	2	-1.0	-1.0
chr17	58304337	58304369	9256	32	-	0	0	7	0	0	0	0	0	-1.0	-1.0
chr3	50362612	50364665	9254	2053	-	0.0	0.089187938027	471	50	0	2	0	0	-1.0	-1.0
chr4	106347692	106349224	9255	1532	+	0.00167006865838	25.9982839349	512	5389	9	583	4	1	-1.0	-1.0
chr14	90868121	90872073	9252	3952	-	0.016339869281	11.9511836956	1345	7038	115	268	36	0	-1.0	-1.0
chr14	90893974	90894406	9252	432	-	0	0	179	0	0	0	0	0	-1.0	-1.0
chr19	40665905	40667467	9253	1562	-	0.0	11.0147103463	363	6936	0	247	0	1	-1.0	-1.0
chr5	138744429	138744762	105379194	333	-	0	0	71	0	0	0	0	0	-1.0	-1.0
chr5	138753051	138753309	105379194	258	-	0	0	32	0	0	0	0	0	-1.0	-1.0
chr5	138753522	138753924	105379194	402	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr13	32024055	32026096	100507099	2041	-	0.00182982616651	4.05805118023	491	1093	2	91	1	0	-1.0	-1.0
chr13	32027202	32027253	100507099	51	-	0.0	0.133781907041	18	54	0	3	0	0	-1.0	-1.0
chr13	32027574	32027666	100507099	92	-	0.0	0.401345721122	23	121	0	9	0	0	-1.0	-1.0
chr13	32031450	32031639	100507099	189	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr16	80603778	80604387	124359	609	-	0	0	176	0	0	0	0	0	-1.0	-1.0
chr17	47898385	47900378	100506325	1993	-	0.0	0.089187938027	503	34	0	2	0	0	-1.0	-1.0
chr17	47918451	47918571	100506325	120	-	0.0	0.0445939690135	26	11	0	1	0	0	-1.0	-1.0
chr17	47941335	47941404	100506325	69	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	48184707	48185926	387856	1219	+	0	0	335	0	0	0	0	0	-1.0	-1.0
chr17	29572924	29573157	90313	233	+	0.0	35.3184234587	49	12563	0	792	0	0	-1.0	-1.0
chrX	89922811	89922883	90316	72	+	0	0	23	0	0	0	0	0	-1.0	-1.0
chr19	52113090	52117024	90317	3934	-	0.003003003003	1.60538288449	1021	666	2	36	1	0	-1.0	-1.0
chr19	52122359	52122457	90317	98	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr19	52123922	52124049	90317	127	-	0	0	33	0	0	0	0	0	-1.0	-1.0
chr19	52130500	52130588	90317	88	-	0	0	17	0	0	0	0	0	-1.0	-1.0
chr19	52139731	52139938	90317	207	-	0.0	0.267563814081	54	36	0	6	0	0	-1.0	-1.0
chr1	43383907	43385041	112950	1134	-	0.0	22.7429241969	324	8818	0	510	0	0	-1.0	-1.0
chr12	118758753	118759031	105370014	278	-	0	0	64	0	0	0	0	0	-1.0	-1.0
chr12	118759973	118760067	105370014	94	-	0	0	17	0	0	0	0	0	-1.0	-1.0
chr12	118761591	118761679	105370014	88	-	0.0	0.0445939690135	19	10	0	1	0	0	-1.0	-1.0
chr12	118818805	118819021	105370016	216	-	0	0	65	0	0	0	0	0	-1.0	-1.0
chr12	118832961	118833043	105370016	82	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	118833386	118833536	105370016	150	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr10	23193906	23194252	256297	346	+	0	0	138	0	0	0	0	0	-1.0	-1.0
chr2	11099850	11100063	285150	213	-	0	0	34	0	0	0	0	0	-1.0	-1.0
chr2	11105316	11105662	285150	346	-	0	0	77	0	0	0	0	0	-1.0	-1.0
chr2	11106695	11106787	285150	92	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr2	11120762	11120962	285150	200	-	0	0	45	0	0	0	0	0	-1.0	-1.0
chr2	11123151	11123289	285150	138	-	0	0	38	0	0	0	0	0	-1.0	-1.0
chr2	11124582	11124785	285150	203	-	0	0	40	0	0	0	0	0	-1.0	-1.0
chr2	11128720	11128886	285150	166	-	0	0	47	0	0	0	0	0	-1.0	-1.0
chr2	11128983	11129098	285150	115	-	0	0	27	0	0	0	0	0	-1.0	-1.0
chr2	11132014	11132176	285150	162	-	0	0	28	0	0	0	0	0	-1.0	-1.0
chr19	12899079	12899340	256126	261	-	0.0	0.178375876054	62	55	0	4	0	0	-1.0	-1.0
chr1	151169986	151170080	29765	94	-	0.0	0.490533659149	28	148	0	11	0	0	-1.0	-1.0
chr15	51808454	51816361	29767	7907	+	0.0	0.312157783095	2524	112	0	7	0	0	-1.0	-1.0
chr15	51908810	51912134	29766	3324	+	0.000589188392989	13.155220859	1155	6789	4	295	2	0	-1.0	-1.0
chr21	15878475	15880071	29761	1596	+	0.0	2.09591654364	607	972	0	47	0	0	-1.0	-1.0
chr10	96191698	96192092	29760	394	-	0.0	0.0445939690135	131	29	0	1	0	0	-1.0	-1.0
chr10	96196907	96197063	29760	156	-	0	0	45	0	0	0	0	0	-1.0	-1.0
chr10	96200074	96200158	29760	84	-	0	0	18	0	0	0	0	0	-1.0	-1.0
chr10	96200981	96201058	29760	77	-	0	0	19	0	0	0	0	0	-1.0	-1.0
chr10	96204056	96204088	29760	32	-	0	0	4	0	0	0	0	0	-1.0	-1.0
chr10	96204531	96204616	29760	85	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr10	96207010	96207053	29760	43	-	0	0	13	0	0	0	0	0	-1.0	-1.0
chr10	96207871	96207899	29760	28	-	0	0	1	0	0	0	0	0	-1.0	-1.0
chr10	96209837	96209907	29760	70	-	0	0	9	0	0	0	0	0	-1.0	-1.0
chr10	96215320	96215389	29760	69	-	0	0	13	0	0	0	0	0	-1.0	-1.0
chr10	96216652	96216734	29760	82	-	0	0	19	0	0	0	0	0	-1.0	-1.0
chr10	96223825	96223989	29760	164	-	0	0	26	0	0	0	0	0	-1.0	-1.0
chr10	96227409	96227566	29760	157	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr10	96230793	96230834	29760	41	-	0	0	8	0	0	0	0	0	-1.0	-1.0
chr10	96242729	96242784	29760	55	-	0	0	11	0	0	0	0	0	-1.0	-1.0
chr10	96246983	96247049	29760	66	-	0	0	14	0	0	0	0	0	-1.0	-1.0
chr10	96271351	96271516	29760	165	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr11	47177521	47177930	29763	409	-	0.0	5.88640390979	88	2327	0	132	0	0	-1.0	-1.0
chr5	115906856	115906861	1176	5	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr5	115913361	115914081	1176	720	+	0.0	23.9915553293	250	12742	0	538	0	260	-1.0	-1.0
chr19	46838157	46838446	1175	289	-	0.000633165192799	163.838242156	53	47381	30	3674	11	2	-1.0	-1.0
chr7	101160566	101161276	1174	710	+	0.0	40.2237600502	186	16709	0	902	0	0	-1.0	-1.0
chr3	184183616	184184091	1173	475	+	0.0	98.4188896128	111	37101	0	2207	0	0	-1.0	-1.0
chr20	32217050	32217923	23509	873	+	0.0	0.0445939690135	228	17	0	1	0	0	-1.0	-1.0
chr20	32234661	32238664	23509	4003	+	0.0	16.633550442	1089	7357	0	373	0	0	-1.0	-1.0
chr14	70671155	70675360	23508	4205	+	0	0	1228	0	0	0	0	0	-1.0	-1.0
chr1	89593043	89597861	23507	4818	+	0.00712788259958	6.10937375485	1705	2385	17	137	4	0	-1.0	-1.0
chr6	42865446	42868560	23506	3114	+	0.001547075291	22.0740146617	1047	13574	21	495	9	0	-1.0	-1.0
chr2	97756337	97757098	23505	761	-	0.0	10.6133646252	255	4783	0	238	0	0	-1.0	-1.0
chr12	130396135	130399134	23504	2999	-	0	0	904	0	0	0	0	0	-1.0	-1.0
chr14	67746519	67748435	23503	1916	-	0.0	2.6310441718	537	941	0	59	0	0	-1.0	-1.0
chr1	86500045	86500291	1179	246	+	0	0	85	0	0	0	0	0	-1.0	-1.0
chr19	39731252	39731379	1178	127	-	0.0	4.32561499431	38	745	0	97	0	0	-1.0	-1.0
chr8	117172681	117176714	169026	4033	+	0	0	1258	0	0	0	0	0	-1.0	-1.0
chr20	61953545	61953662	100302168	117	-	0	0	27	0	0	0	0	0	-1.0	-1.0
chr20_KI270869v1_alt	64116	64233	100302168	117	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chrX	140926171	140926219	100302169	48	-	0	0	15	0	0	0	0	0	-1.0	-1.0
chr3	138935188	138938436	103344930	3248	-	0	0	745	0	0	0	0	0	-1.0	-1.0
chr3	138942383	138942618	103344930	235	-	0	0	29	0	0	0	0	0	-1.0	-1.0
chr3	138943965	138944020	103344930	55	-	0	0	14	0	0	0	0	0	-1.0	-1.0
chr1	146151907	146156152	388677	4245	-	0.0	3.79048736615	1461	1190	0	85	0	85	-1.0	-1.0
chr15	34382068	34382150	100302160	82	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr15	34528289	34528371	100302160	82	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr8	100023981	100024084	100302165	103	-	0.0	0.089187938027	21	12	0	2	0	0	-1.0	-1.0
chr8	10825372	10825443	100302166	71	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr9	40929009	40929092	100302167	83	-	0	0	22	0	0	0	0	0	-1.0	-1.0
chr3	46719582	46719998	100287362	416	-	0	0	108	0	0	0	0	0	-1.0	-1.0
chr15	48142351	48142392	283652	41	+	0	0	13	0	0	0	0	0	-1.0	-1.0
chr12	71584734	71586308	8549	1574	+	0	0	537	0	0	0	0	0	-1.0	-1.0
chr1	169377036	169377383	8548	347	+	0	0	113	0	0	0	0	0	-1.0	-1.0
chr1	169387182	169388305	8548	1123	+	0.0	5.12830643656	371	2523	0	115	0	1	-1.0	-1.0
chr1	169395893	169396542	8548	649	+	0.0	0.401345721122	173	54	0	9	4	0	-1.0	-1.0
chr3	88051949	88055472	8545	3523	-	0.0	13.7795364252	1281	6300	0	309	2	0	-1.0	-1.0
chr15	55611540	55620011	283659	8471	-	0	0	2963	0	0	0	0	0	-1.0	-1.0
chr1	27369109	27369235	8547	126	-	0	0	37	0	0	0	0	0	-1.0	-1.0
chr5	78002325	78002901	8546	576	-	0.00165334802976	7.80394457737	205	3629	6	175	3	0	-1.0	-1.0
chr19	49150138	49150151	8541	13	+	0	0	2	0	0	0	0	0	-1.0	-1.0
chr19	49150235	49151030	8541	795	+	0.0	1.78375876054	152	429	0	40	0	0	-1.0	-1.0
chr2	177538195	177543836	8540	5641	+	0.00247652461046	19.3091885829	2029	9691	24	433	9	11	-1.0	-1.0
chr1	87344796	87348923	8543	4127	+	0.000772238042377	85.2636687539	1296	41438	32	1912	13	0	-1.0	-1.0
chr22	36266033	36267531	8542	1498	+	0.0	0.847285411257	324	234	0	19	0	0	-1.0	-1.0
chr14	96241504	96244329	624	2825	+	0	0	602	0	0	0	0	0	-1.0	-1.0
chr14	51649515	51651744	145438	2229	-	0	0	504	0	0	0	0	0	-1.0	-1.0
chr6	31952030	31952084	629	54	+	0.0	0.089187938027	11	16	0	2	0	0	-1.0	-1.0
chr6_GL000251v2_alt	3429457	3429511	629	54	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	3199810	3199864	629	54	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	3294066	3294120	629	54	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	3208005	3208059	629	54	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	3253219	3253273	629	54	+	0	0	0	0	0	0	0	0	-1.0	-1.0
chr1	23961877	23963459	55629	1582	+	0.00130064381869	35.2738294897	535	15377	20	791	4	325	-1.0	-1.0
chr18	74804069	74804627	55628	558	+	0.0	0.178375876054	199	102	0	4	0	0	-1.0	-1.0
chr18	74920712	74921057	55628	345	+	0	0	126	0	0	0	0	0	-1.0	-1.0
chr18	75064468	75065672	55628	1204	+	0.0	2.85401401687	365	1720	0	64	0	0	-1.0	-1.0
chr19	48196827	48197620	374920	793	+	0.0014987510408	14.3592580224	135	6005	9	322	4	2	-1.0	-1.0
chr16	20733665	20736879	55623	3214	-	0.0	25.7753140898	1033	13010	0	578	0	5	-1.0	-1.0
