Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr22	29442122	29442455	5988	333	+	0	0	112	0	0	0	0	0	-1.0	-1.0
chr19	13961529	13962694	5989	1165	-	0.000969663388281	29.8729515816	242	14438	14	720	7	0	-1.0	-1.0
chr12	109448654	109451813	83892	3159	-	0.0	14.0236911592	921	6699	0	338	0	0	-1.0	-1.0
chr12	109456117	109456313	83892	196	-	0	0	57	0	0	0	0	0	-1.0	-1.0
chr12	109457629	109457682	83892	53	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	109457991	109458078	83892	87	-	0	0	20	0	0	0	0	0	-1.0	-1.0
chr12	109460635	109460805	83892	170	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr12	109469514	109469728	83892	214	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr12	109477259	109477544	83892	285	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	74231501	74232105	5982	604	-	0.0	14.8949855803	138	4859	0	359	0	0	-1.0	-1.0
chr13	33836295	33837507	5983	1212	+	0.0	13.8162401065	467	8167	0	333	0	0	-1.0	-1.0
chr13	33966125	33966558	5983	433	+	0.00766283524904	0.622353157951	140	261	2	15	1	0	-1.0	-1.0
chr6	111299030	111300015	5980	985	-	0.0219810795771	5.76713926368	385	3594	79	139	29	0	-1.0	-1.0
chr4	39287448	39288760	5981	1312	-	0.00054914881933	20.745105265	431	10926	6	500	2	0	-1.0	-1.0
chr17	82047901	82048725	5986	824	-	0.0	5.89160989527	158	2550	0	142	0	0	-1.0	-1.0
chr6	28903001	28904069	5987	1068	-	0.00295652173913	44.850917583	337	17250	51	1081	16	0	-1.0	-1.0
chr6_GL000250v2_alt	168585	169653	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	393696	394764	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	168756	169824	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	168583	169651	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	212403	213471	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	186789892	186789968	5984	76	-	0.0018190637885	27.4250291604	22	8246	15	661	8	0	-1.0	-1.0
chr12	118031278	118032237	5985	959	+	0.0	74.5579083225	310	39343	0	1797	0	0	-1.0	-1.0
chr17	40999192	40999556	83897	364	-	0	0	127	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	148587	148951	83897	364	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr15	70570957	70573431	101929151	2474	-	0	0	760	0	0	0	0	0	-1.0	-1.0
chr15	70585874	70586606	101929151	732	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr17	41026025	41026630	83895	605	-	0	0	204	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	175420	176025	83895	605	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	49549305	49551442	100132677	2137	-	0	0	458	0	0	0	0	0	-1.0	-1.0
chr3	49553547	49553687	100132677	140	-	0	0	43	0	0	0	0	0	-1.0	-1.0
chr3	49554040	49554366	100132677	326	-	0	0	50	0	0	0	0	0	-1.0	-1.0
chr15	45164901	45165578	53905	677	+	0	0	168	0	0	0	0	0	-1.0	-1.0
chr6	30812865	30814772	401247	1907	-	0	0	425	0	0	0	0	0	-1.0	-1.0
chr6	30830514	30830659	401247	145	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2292590	2294497	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2310245	2310390	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069152	2069718	401247	566	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069738	2071078	401247	1340	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2086777	2086923	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2123107	2125014	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2140759	2140904	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2067966	2069877	401247	1911	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2085620	2085765	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2114577	2115524	401247	947	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2131221	2131367	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6	28859624	28862015	401242	2391	-	0	0	727	0	0	0	0	0	-1.0	-1.0
chr6	28863283	28863677	401242	394	-	0	0	107	0	0	0	0	0	-1.0	-1.0
chr6_GL000250v2_alt	125208	127599	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000250v2_alt	128867	129261	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	350141	352527	401242	2386	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	353823	354217	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	125226	127617	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	128885	129279	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	125182	127573	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	128841	129235	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	125221	127612	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	128877	129271	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	125205	127596	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	128865	129259	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	168872	171263	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	172528	172922	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr1	47050174	47050754	260293	580	+	0	0	214	0	0	0	0	0	-1.0	-1.0
chr7	72948292	72948597	260294	305	-	0.000376364320662	12.5300435801	58	5314	2	302	1	239	-1.0	-1.0
chr7	72948667	72948808	260294	141	-	0.0	0.539372736891	27	58	0	13	0	0	-1.0	-1.0
chr7	72948891	72949102	260294	211	-	0.0	0.16596084212	36	52	0	4	0	4	-1.0	-1.0
chr7	72949312	72949491	260294	179	-	0	0	46	0	0	0	0	0	-1.0	-1.0
chr7	72949845	72949961	260294	116	-	0	0	22	0	0	0	0	0	-1.0	-1.0
chr7	72950057	72950196	260294	139	-	0	0	29	0	0	0	0	0	-1.0	-1.0
chr7	72952151	72952295	260294	144	-	0.0	1.12023568431	36	348	0	27	0	22	-1.0	-1.0
chr7	72953325	72953430	260294	105	-	0.0	0.12447063159	32	57	0	3	0	3	-1.0	-1.0
chr7	72953510	72953677	260294	167	-	0	0	40	0	0	0	0	0	-1.0	-1.0
chr7	72954358	72954479	260294	121	-	0	0	19	0	0	0	0	0	-1.0	-1.0
chr7	72954624	72954763	260294	139	-	0	0	22	0	0	0	0	0	-1.0	-1.0
chr1	114673098	114673113	270	15	-	0	0	1	0	0	0	0	0	-1.0	-1.0
chr1	109631152	109632055	271	903	+	0.0	9.62572884297	236	4604	0	232	0	0	-1.0	-1.0
