Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr22	29442122	29442455	5988	333	+	0	0	112	0	0	0	0	0	-1.0	-1.0
chr19	13961529	13962694	5989	1165	-	0.000230520977409	32.5122260949	242	13014	3	662	1	0	-1.0	-1.0
chr12	109448654	109451813	83892	3159	-	0.0	14.291628087	921	5781	0	291	0	3	-1.0	-1.0
chr12	109456117	109456313	83892	196	-	0	0	57	0	0	0	0	0	-1.0	-1.0
chr12	109457629	109457682	83892	53	-	0	0	10	0	0	0	0	0	-1.0	-1.0
chr12	109457991	109458078	83892	87	-	0	0	20	0	0	0	0	0	-1.0	-1.0
chr12	109460635	109460805	83892	170	-	0	0	31	0	0	0	0	0	-1.0	-1.0
chr12	109469514	109469728	83892	214	-	0	0	35	0	0	0	0	0	-1.0	-1.0
chr12	109477259	109477544	83892	285	-	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	74231501	74232105	5982	604	-	0.0	18.3188222559	138	5120	0	373	0	0	-1.0	-1.0
chr13	33836295	33837507	5983	1212	+	0.00156637514685	15.9123281794	467	7661	12	324	6	2	-1.0	-1.0
chr13	33966125	33966558	5983	433	+	0.0	0.589345488126	140	257	0	12	0	0	-1.0	-1.0
chr6	111299030	111300015	5980	985	-	0.00620539869687	6.23723974933	385	3223	20	127	9	0	-1.0	-1.0
chr4	39287448	39288760	5981	1312	-	0.00169090294217	26.1276499736	431	11828	20	532	8	0	-1.0	-1.0
chr17	82047901	82048725	5986	824	-	0.00066401062417	9.67508843006	158	3012	2	197	1	0	-1.0	-1.0
chr6	28903001	28904069	5987	1068	-	0.0	41.7453054089	337	13673	0	850	0	0	-1.0	-1.0
chr6_GL000250v2_alt	168585	169653	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	393696	394764	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	168756	169824	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	168583	169651	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	212403	213471	5987	1068	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	186789892	186789968	5984	76	-	0.000839630562552	28.04302281	22	7146	6	571	4	0	-1.0	-1.0
chr12	118031278	118032237	5985	959	+	0.0	74.6013163719	310	32769	0	1519	0	0	-1.0	-1.0
chr17	40999192	40999556	83897	364	-	0	0	127	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	148587	148951	83897	364	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr15	70570957	70573431	101929151	2474	-	0	0	760	0	0	0	0	0	-1.0	-1.0
chr15	70585874	70586606	101929151	732	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr17	41026025	41026630	83895	605	-	0	0	204	0	0	0	0	0	-1.0	-1.0
chr17_JH159146v1_alt	175420	176025	83895	605	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr3	49549305	49551442	100132677	2137	-	0	0	458	0	0	0	0	0	-1.0	-1.0
chr3	49553547	49553687	100132677	140	-	0	0	43	0	0	0	0	0	-1.0	-1.0
chr3	49554040	49554366	100132677	326	-	0	0	50	0	0	0	0	0	-1.0	-1.0
chr15	45164901	45165578	53905	677	+	0	0	168	0	0	0	0	0	-1.0	-1.0
chr6	30812865	30814772	401247	1907	-	0.0	0.147336372031	425	24	0	3	0	0	-1.0	-1.0
chr6	30830514	30830659	401247	145	-	0	0	23	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2292590	2294497	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	2310245	2310390	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069152	2069718	401247	566	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2069738	2071078	401247	1340	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	2086777	2086923	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2123107	2125014	401247	1907	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	2140759	2140904	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2067966	2069877	401247	1911	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	2085620	2085765	401247	145	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2114577	2115524	401247	947	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	2131221	2131367	401247	146	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6	28859624	28862015	401242	2391	-	0	0	727	0	0	0	0	0	-1.0	-1.0
chr6	28863283	28863677	401242	394	-	0.0	0.343784868073	107	35	0	7	0	0	-1.0	-1.0
chr6_GL000250v2_alt	125208	127599	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000250v2_alt	128867	129261	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	350141	352527	401242	2386	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000251v2_alt	353823	354217	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	125226	127617	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000252v2_alt	128885	129279	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	125182	127573	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000253v2_alt	128841	129235	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	125221	127612	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000254v2_alt	128877	129271	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	125205	127596	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000255v2_alt	128865	129259	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	168872	171263	401242	2391	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr6_GL000256v2_alt	172528	172922	401242	394	-	0	0	0	0	0	0	0	0	-1.0	-1.0
chr1	47050174	47050754	260293	580	+	0	0	214	0	0	0	0	0	-1.0	-1.0
chr7	72948292	72948597	260294	305	-	0.0	13.8005068469	58	4894	0	281	0	204	-1.0	-1.0
chr7	72948667	72948808	260294	141	-	0.0	0.638457612136	27	14	0	13	0	0	-1.0	-1.0
chr7	72948891	72949102	260294	211	-	0	0	36	0	0	0	0	0	-1.0	-1.0
chr7	72949312	72949491	260294	179	-	0.0	0.0491121240105	46	16	0	1	0	1	-1.0	-1.0
chr7	72949845	72949961	260294	116	-	0	0	22	0	0	0	0	0	-1.0	-1.0
chr7	72950057	72950196	260294	139	-	0	0	29	0	0	0	0	0	-1.0	-1.0
chr7	72952151	72952295	260294	144	-	0.0	0.736681860157	36	203	0	15	0	6	-1.0	-1.0
chr7	72953325	72953430	260294	105	-	0	0	32	0	0	0	0	0	-1.0	-1.0
chr7	72953510	72953677	260294	167	-	0	0	40	0	0	0	0	0	-1.0	-1.0
chr7	72954358	72954479	260294	121	-	0	0	19	0	0	0	0	0	-1.0	-1.0
chr7	72954624	72954763	260294	139	-	0.0	0.392896992084	22	80	0	8	0	8	-1.0	-1.0
chr1	114673098	114673113	270	15	-	0	0	1	0	0	0	0	0	-1.0	-1.0
