,DMSO,YLK
NAT1,106.0,81.75
AAMP,1406.5,951.0
AARS1,788.25,585.75
ABAT,178.75,126.0
ABCA1,28.25,22.75
ABCA2,395.25,246.75
ABCA3,4.0,5.0
ABCB7,39.75,37.25
ABCF1,2.75,3.25
ABL1,1660.5,1082.5
ABL2,712.5,473.0
ABO,8.75,4.75
ABR,75.25,52.75
ACAA1,2173.0,1444.0
ACACA,6.5,2.75
ACACB,68.75,48.5
ACADM,645.0,522.0
ACADS,191.25,124.25
ACADSB,1419.0,1037.25
ACADVL,705.5,541.25
ACAT1,606.25,460.75
ACAT2,2737.0,2696.5
ASIC1,270.75,182.25
ACLY,4304.0,3329.0
ACO1,389.5,296.25
ACO2,1385.75,984.25
ACOX1,963.25,740.75
ACP1,2427.0,1913.0
ACP2,187.25,145.5
ACPP,721.5,544.5
ACTA2,12.75,5.0
ACTB,132328.25,101500.25
ACTG1,138490.5,95774.75
ACTN4,10526.5,7269.75
ACTL6A,710.5,550.0
ACTN1,2760.0,1964.0
ACVR1,67.0,48.25
ACVR1B,567.75,306.25
ACVR2A,46.25,38.5
ACVR2B,316.0,191.0
ACVRL1,222.5,141.5
ACY1,217.75,171.25
ACYP1,417.5,313.25
ACYP2,65.0,59.5
ADA,2395.5,1591.25
ADAM8,34.0,23.5
ADAM10,4204.5,3298.25
ADAR,6997.0,4928.25
ADARB1,764.0,548.5
ADCY1,43.0,24.25
ADCY3,1222.25,870.75
ADCY5,3.25,2.5
ADCY6,18.0,12.5
ADCY7,2953.75,2136.0
ADCY9,4343.0,2602.25
ADD1,4764.5,3030.25
ADD2,3579.25,2277.0
ADD3,618.25,507.25
PLIN2,685.0,473.0
ADH5,1066.75,783.75
ADK,741.5,570.75
ADORA1,4.25,3.5
ADORA2A,37.5,66.0
ADORA2B,183.5,156.5
ADORA3,4.25,1.5
ADPRH,220.75,166.5
PARP1,2481.75,1944.0
PARP4,17.5,10.0
ADRA2C,16.5,8.75
ADRB1,9.0,5.25
ADRB2,99.25,22.25
GRK2,5374.25,3212.25
GRK3,730.75,509.75
ADSL,210.75,144.75
ADSS2,1129.25,921.25
AP2A1,1238.75,976.0
AP2A2,120.25,83.5
AP1B1,1716.5,1088.0
AP2B1,5855.25,4207.0
AP1G1,4285.25,3039.0
TLE5,1928.25,1259.5
AFG3L1P,520.0,379.75
AGA,665.5,479.0
AGL,302.75,260.75
JAG1,15.25,8.0
AGT,174.5,130.5
AHCY,5815.0,4358.25
AHR,930.5,871.75
CRYBG1,435.25,333.75
AK1,17.75,12.25
AK2,27170.25,20318.5
AK4,60.25,47.5
AKT1,4015.0,2656.0
AKT2,3990.5,2496.75
ALAD,2060.25,1484.25
ALAS1,54.0,49.75
ALCAM,1112.25,955.75
ABCD1,1025.25,666.25
ALDH2,12.25,7.75
ALDH1B1,2218.75,1723.75
ALDH1A3,214.75,149.25
ALDH3B1,971.75,648.0
ALDH9A1,1379.75,1104.25
ALDH3A2,529.25,372.75
ABCD2,148.75,121.0
ALDOA,7890.0,5815.75
ALDOB,5.5,3.75
ALDOC,353.75,272.25
AKR1B1,867.0,596.0
ALOX12,197.5,164.0
