,DMSO,YLK
NAT1,14.0,7.0
AAMP,25.5,15.0
AARS1,24.5,17.0
ABAT,4.5,2.0
ABCA1,7.5,5.5
ABCA2,2.0,1.0
ABCA3,0.0,0.0
ABCB7,0.5,1.0
ABCF1,0.5,0.0
ABL1,107.5,75.5
ABL2,69.0,40.0
ABO,0.0,0.0
ABR,7.5,7.0
ACAA1,25.5,16.0
ACACA,2.0,1.0
ACACB,5.0,2.0
ACADM,7.5,3.5
ACADS,3.5,1.0
ACADSB,17.5,10.0
ACADVL,5.0,4.0
ACAT1,5.0,1.5
ACAT2,10.5,6.0
ASIC1,1.5,1.0
ACLY,73.5,46.5
ACO1,2.0,2.0
ACO2,9.5,8.0
ACOX1,34.5,23.5
ACP1,100.5,83.5
ACP2,7.5,5.5
ACPP,12.5,6.0
ACTA2,0.0,0.0
ACTB,1731.0,1194.0
ACTG1,2244.0,1631.0
ACTN4,112.5,79.5
ACTL6A,11.0,8.0
ACTN1,23.5,15.0
ACVR1,3.5,3.0
ACVR1B,75.5,39.0
ACVR2A,3.0,2.0
ACVR2B,65.0,32.5
ACVRL1,3.0,1.5
ACY1,1.0,1.5
ACYP1,6.5,9.0
ACYP2,0.0,0.0
ADA,14.0,3.0
ADAM8,3.0,3.0
ADAM10,76.0,71.5
ADAR,165.0,127.0
ADARB1,23.0,13.0
ADCY1,1.0,0.0
ADCY3,14.0,10.0
ADCY5,0.0,0.0
ADCY6,1.5,0.5
ADCY7,88.0,47.0
ADCY9,456.0,242.5
ADD1,62.5,31.0
ADD2,49.0,39.0
ADD3,5.5,4.5
PLIN2,31.5,19.0
ADH5,12.0,8.0
ADK,7.5,7.0
ADORA1,0.0,0.0
ADORA2A,2.0,7.5
ADORA2B,16.5,12.5
ADORA3,0.0,0.0
ADPRH,5.5,7.0
PARP1,35.0,18.0
PARP4,0.0,0.0
ADRA2C,0.0,0.0
ADRB1,2.5,1.0
ADRB2,31.0,5.5
GRK2,102.5,50.0
GRK3,35.0,28.0
ADSL,5.5,2.0
ADSS2,20.0,17.0
AP2A1,8.0,7.5
AP2A2,1.5,1.0
AP1B1,19.5,16.0
AP2B1,57.5,43.0
AP1G1,210.0,149.5
TLE5,11.0,6.0
AFG3L1P,33.0,26.5
AGA,8.0,7.0
AGL,3.0,2.0
JAG1,4.0,1.0
AGT,1.0,0.5
AHCY,57.5,49.5
AHR,118.0,130.5
CRYBG1,10.5,9.5
AK1,0.0,0.0
AK2,367.5,283.5
AK4,1.0,0.0
AKT1,44.0,26.5
AKT2,43.5,28.5
ALAD,21.0,18.5
ALAS1,8.0,9.0
ALCAM,13.0,13.0
ABCD1,13.5,12.0
ALDH2,0.0,0.0
ALDH1B1,133.0,89.0
ALDH1A3,11.5,5.0
ALDH3B1,15.0,8.5
ALDH9A1,52.5,38.5
ALDH3A2,13.0,9.0
ABCD2,7.0,5.0
ALDOA,84.5,53.0
ALDOB,0.0,0.0
ALDOC,0.5,1.0
AKR1B1,3.0,2.0
ALOX12,7.5,9.5
ALOX5AP,6.0,1.0
ALX3,0.0,0.0
AMD1,421.5,306.0
AMFR,23.0,13.0
AMPD2,18.5,18.0
AMPD3,5.5,2.0
BIN1,0.0,0.0
AMT,2.5,0.5
ANG,0.5,0.0
ANGPT1,1.0,0.0
ANGPT2,0.0,0.0
ANK1,0.0,0.0
ANK2,0.5,0.5
SLC25A4,0.0,0.0
SLC25A5,71.0,42.5
SLC25A6,205.5,127.5
ANXA1,6.5,11.5
ANXA2,12.0,7.0
ANXA2P1,0.0,0.5
ANXA4,2.0,0.5
ANXA5,7.0,5.5
ANXA6,4.0,3.5
ANXA7,6.5,4.5
ANXA11,18.0,10.5
AOAH,0.0,0.0
