,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
NAT1,7,20,6,5,7,13,15,9
AAMP,15,27,20,13,15,24,29,24
AARS1,16,15,32,18,11,25,24,39
ABAT,3,4,7,0,3,5,4,1
ABCA1,5,9,7,3,6,8,5,6
ABCA2,2,3,8,0,3,1,1,0
ABCA3,1,0,0,0,0,0,1,0
ABCB7,0,1,0,1,1,0,2,1
ABCF1,0,0,1,0,1,2,0,0
ABL1,57,93,115,72,79,116,100,134
ABL2,51,72,68,23,29,66,70,69
ABO,0,0,0,0,0,0,0,0
ABR,5,7,4,2,9,8,9,17
ACAA1,9,27,32,8,23,21,24,30
ACACA,2,1,3,0,3,6,0,0
ACACB,3,5,5,1,2,4,6,2
ACADM,3,13,7,0,4,8,4,7
ACADS,0,6,1,0,2,5,2,4
ACADSB,10,16,16,10,3,20,19,15
ACADVL,2,6,4,4,4,4,7,11
ACAT1,1,3,7,1,2,2,8,3
ACAT2,4,7,11,1,8,10,15,19
ASIC1,0,2,1,1,1,1,3,2
ACLY,41,78,70,33,52,77,69,62
ACO1,2,2,0,1,3,5,2,2
ACO2,10,11,8,2,8,7,22,8
ACOX1,31,31,35,7,16,35,34,31
ACP1,75,108,96,38,92,105,64,116
ACP2,6,6,13,5,4,6,9,10
ACPP,3,10,15,2,9,19,7,9
ACTA2,0,0,0,0,0,0,0,0
ACTB,1245,1538,1685,892,1143,2159,1777,2003
ACTG1,1529,2127,2338,1323,1733,2691,2150,2720
ACTN4,78,109,106,62,81,116,134,153
ACTL6A,9,12,7,2,7,12,10,19
ACTN1,13,17,32,17,9,20,27,32
ACVR1,2,6,3,3,3,2,4,5
ACVR1B,21,68,78,15,57,85,73,69
ACVR2A,4,1,2,0,0,7,4,4
ACVR2B,34,66,47,16,31,64,66,44
ACVRL1,2,3,0,2,1,4,3,1
ACY1,2,2,0,1,1,0,3,2
ACYP1,10,4,8,8,7,5,19,11
ACYP2,1,2,0,0,0,0,0,0
ADA,3,9,18,3,3,15,13,6
ADAM8,4,4,0,1,2,2,4,6
ADAM10,71,69,73,27,72,110,79,82
ADAR,126,148,184,74,128,182,137,207
ADARB1,13,28,18,10,13,16,28,28
ADCY1,0,1,1,0,1,2,0,0
ADCY3,6,12,16,12,8,16,12,28
ADCY5,0,0,0,0,0,0,0,0
ADCY6,0,3,1,1,0,0,2,1
ADCY7,46,104,88,30,48,88,73,92
ADCY9,241,377,438,172,244,506,474,370
ADD1,28,52,68,34,25,64,61,52
ADD2,39,60,49,22,39,49,46,65
ADD3,4,8,7,3,5,4,3,8
PLIN2,18,26,32,18,20,35,31,23
ADH5,4,10,14,4,12,27,9,12
ADK,8,8,7,13,6,8,7,3
ADORA1,0,0,0,0,0,0,2,1
ADORA2A,6,1,2,6,9,2,3,21
ADORA2B,15,11,20,10,10,26,13,28
ADORA3,0,0,0,0,0,1,0,0
ADPRH,7,3,6,3,7,8,5,7
PARP1,15,37,37,17,19,32,33,29
PARP4,0,1,0,0,0,0,0,0
ADRA2C,0,0,0,0,0,0,0,0
ADRB1,0,3,3,1,1,1,2,1
ADRB2,7,20,36,0,6,37,26,5
GRK2,40,97,123,46,54,102,103,99
GRK3,25,39,22,17,31,58,31,39
ADSL,0,3,7,1,4,4,9,3
ADSS2,17,25,17,4,17,23,10,25
AP2A1,9,5,12,6,10,7,9,6
AP2A2,1,2,1,1,1,1,2,2
AP1B1,13,23,20,16,16,17,19,30
AP2B1,39,53,62,23,47,62,53,69
AP1G1,143,211,196,86,156,251,209,234
TLE5,5,11,11,4,7,11,19,10
AFG3L1P,14,30,42,24,29,36,28,55
AGA,9,6,9,5,4,12,7,11
AGL,2,4,1,0,3,6,2,2
JAG1,1,2,3,0,1,5,5,2
AGT,0,1,4,0,1,1,1,2
AHCY,50,62,65,38,49,52,53,50
AHR,129,111,125,58,132,165,105,140
CRYBG1,11,8,10,2,8,11,16,15
AK1,0,1,0,0,0,0,0,1
AK2,273,337,383,154,294,390,352,428
AK4,0,1,2,0,0,1,1,2
AKT1,24,42,46,20,29,36,50,67
AKT2,15,43,46,26,31,44,41,59
ALAD,15,15,27,14,22,21,21,26
ALAS1,9,4,6,4,9,10,11,12
ALCAM,17,10,14,5,14,17,12,12
ABCD1,11,16,12,6,13,15,12,20
ALDH2,0,0,1,1,0,0,0,0
ALDH1B1,87,118,134,71,91,154,132,127
ALDH1A3,5,11,12,6,3,10,16,5
ALDH3B1,9,13,17,9,8,18,10,6
ALDH9A1,41,41,51,23,36,61,54,47
ALDH3A2,11,14,7,2,9,12,17,9
ABCD2,8,8,3,1,3,9,6,7
ALDOA,39,64,88,49,57,92,81,123
ALDOB,0,0,0,0,0,0,0,0
ALDOC,1,0,1,3,1,1,0,1
AKR1B1,2,2,5,3,2,4,2,2
ALOX12,9,8,5,5,10,12,7,12
ALOX5AP,0,4,6,2,0,7,6,3
ALX3,0,0,0,0,0,0,0,0
AMD1,346,410,375,102,266,653,433,390
AMFR,11,16,23,15,8,23,31,19
AMPD2,17,17,24,17,19,18,19,27
AMPD3,1,3,6,2,4,5,6,2
BIN1,0,0,0,0,0,0,0,0
AMT,1,2,1,0,0,3,4,4
ANG,0,1,0,0,0,0,1,0
ANGPT1,0,1,1,0,0,1,0,0
ANGPT2,0,0,0,0,0,0,0,0
ANK1,0,0,0,0,0,0,1,0
ANK2,0,1,1,1,2,0,0,0
SLC25A4,0,0,0,0,0,0,1,0
SLC25A5,38,67,43,29,47,91,75,69
SLC25A6,124,199,212,131,121,291,197,266
ANXA1,13,6,5,7,10,7,8,16
ANXA2,7,9,17,6,7,14,10,10
ANXA2P1,1,1,0,2,0,0,0,0
ANXA4,1,1,2,0,2,2,3,0
ANXA5,6,5,8,4,5,9,6,10
ANXA6,2,4,4,4,3,6,2,5
ANXA7,3,5,5,1,8,9,8,6
ANXA11,4,12,24,8,13,19,17,22
AOAH,0,0,0,0,0,1,0,0
AOX1,0,0,0,0,0,1,0,0
APAF1,39,52,34,19,23,46,46,48
NUDT2,1,8,11,1,4,5,5,5
APBA2,0,0,0,1,0,1,0,0
APBB1,0,11,11,5,4,16,16,7
APBB2,3,2,2,0,1,8,4,3
APC,9,13,8,3,10,19,11,18
APEH,3,4,11,1,6,2,4,8
APEX1,48,64,68,38,33,78,60,97
BIRC2,3,11,3,8,2,13,15,1
BIRC3,1,0,0,0,0,0,2,3
XIAP,69,95,94,44,63,125,98,109
BIRC5,76,144,136,64,87,174,143,147
APLP1,1,0,0,0,0,0,0,0
APLP2,39,46,59,29,37,86,77,48
APOA1,0,0,1,0,0,0,0,0
APOC1,1,0,0,0,0,0,0,0
APOC2,15,18,24,14,16,16,16,45
APP,7,9,7,0,7,10,5,8
APRT,7,16,24,7,12,15,16,19
FAS,5,7,2,0,4,5,4,2
AQP1,1,4,1,0,2,0,1,3
AQP3,3,4,4,0,0,6,7,3
AR,0,2,0,0,0,2,0,0
ARAF,8,11,15,10,15,17,18,18
ARCN1,224,304,322,149,215,451,375,321
TRIM23,12,11,11,5,14,16,12,6
ARF1,265,340,374,217,275,478,366,477
ARF3,79,180,208,72,94,223,176,190
ARF4,66,63,58,35,57,116,73,83
ARL4D,0,1,1,2,3,4,0,6
ARF5,4,8,5,8,6,7,7,11
ARF6,389,480,541,191,324,705,540,489
ARG2,4,0,0,0,0,0,0,0
RHOA,239,292,351,148,250,404,296,324
RHOB,21,9,12,23,22,27,14,43
RHOC,1,1,1,1,0,2,2,2
RHOG,80,172,181,75,72,210,153,156
ARHGAP1,37,86,79,41,47,126,106,91
ARHGAP4,0,2,1,1,1,1,0,4
ARHGAP6,1,0,4,0,0,0,1,0
ARHGDIA,200,368,371,216,240,418,344,462
ARHGDIB,226,379,433,185,221,507,376,407
RHOH,3,4,11,4,3,13,10,15
ARL1,27,27,28,18,25,42,38,28
PHOX2A,0,0,0,0,0,0,0,0
ARL2,3,5,6,2,2,4,5,5
ARL3,1,0,2,2,0,1,1,4
ARNT,50,45,49,28,52,71,42,80
ARNTL,1,3,1,2,3,2,3,2
ARRB1,46,110,141,45,66,151,88,68
ARRB2,20,22,20,10,22,17,14,38
ARSA,0,1,7,1,3,2,6,4
ARSB,18,44,33,9,18,34,42,31
STS,9,20,19,1,10,18,22,12
ARSD,10,18,21,10,13,20,26,24
ARVCF,0,0,0,0,0,0,0,0
ASAH1,11,21,12,6,15,22,9,13
ASCL2,2,1,2,2,5,2,1,2
ASGR1,0,0,0,0,1,1,0,0
ASGR2,0,0,0,0,0,0,0,0
ASL,2,1,1,1,0,2,1,1
GET3,0,4,9,2,2,5,4,6
ASNS,0,0,3,0,1,0,0,2
ASPH,32,26,37,10,27,70,44,32
ASS1,2,1,2,0,3,4,1,0
ZFHX3,0,0,1,0,1,3,2,0
ATF1,27,21,31,8,23,40,35,23
ATF3,46,35,27,38,54,55,28,51
ATF4,46,46,54,35,41,55,48,42
ATIC,2,5,6,5,1,7,5,3
ATM,29,36,38,15,34,43,46,46
RERE,36,48,47,26,32,63,57,49
ATOX1,0,0,3,1,3,1,2,0
ATP1A1,18,14,36,8,15,14,20,33
ATP1A3,1,3,4,0,0,3,0,4
ATP1B1,2,0,0,0,0,1,2,1
ATP1B3,26,26,34,15,34,29,29,41
ATP2A1,0,0,0,0,0,0,0,0
ATP2A2,165,230,211,74,195,286,245,249
ATP2A3,16,30,28,17,14,34,28,30
ATP2B1,142,85,87,80,120,111,95,183
ATP2B2,0,0,0,0,0,0,0,0
ATP2B3,0,1,1,0,1,1,0,0
ATP2B4,69,94,91,33,63,110,92,107
ATP5F1A,16,9,9,10,7,17,14,15
ATP5F1B,17,34,36,13,27,31,32,37
ATP5F1C,7,8,3,2,4,13,6,7
ATP5F1D,2,14,11,11,4,7,10,18
ATP5F1E,4,8,10,8,2,13,11,6
ATP5PB,18,15,22,15,8,24,17,29
ATP5MC1,0,1,5,0,1,2,2,2
ATP5MC2,25,21,16,6,17,25,19,16
ATP5MC3,64,93,106,47,55,140,80,70
ATP5ME,4,8,6,6,7,9,7,6
ATP5PF,1,2,4,1,2,9,1,5
ATP6V1A,25,43,32,13,34,58,42,46
ATP6V1B2,163,147,170,114,166,236,157,244
ATP6V0C,65,96,88,53,73,118,109,126
ATP6V1C1,63,69,64,20,43,104,87,86
ATP6V1E1,44,62,64,32,56,70,67,95
ATP6V0B,35,89,65,27,32,67,86,87
ATP6V0A1,6,18,16,10,14,12,15,22
ATP6AP1,13,20,21,7,17,23,23,25
ATP7A,1,0,2,0,0,3,1,0
ATP5PO,1,3,3,0,4,2,5,6
ATP7B,1,0,0,0,0,0,0,0
ATR,2,1,2,0,0,0,1,1
ATRX,21,15,24,15,16,26,28,31
KIF1A,0,0,0,0,0,0,0,0
AUH,0,0,1,0,0,0,1,0
AUP1,127,207,254,124,162,201,233,236
AVPR2,0,0,0,0,0,0,0,0
AXL,0,1,1,1,4,2,3,2
AZU1,0,0,0,0,0,0,0,0
B2M,15,18,20,8,10,34,23,16
BACH1,130,193,174,70,109,263,175,158
BAD,0,1,7,1,2,0,2,5
BAG1,50,68,90,40,63,90,85,94
ADGRB1,0,0,1,0,0,0,0,0
BAK1,14,37,51,33,30,58,51,42
NKX3-2,0,0,2,0,0,0,2,2
BARD1,94,128,122,32,95,185,153,115
BAX,23,28,30,10,14,23,22,26
BBS1,1,4,4,2,1,4,8,4
BBS2,1,1,2,0,1,1,2,1
BBS4,2,1,2,0,2,0,0,7
BCAT1,47,52,60,15,40,106,67,71
BCAT2,5,5,3,2,1,5,2,1
BCKDHA,3,6,10,6,4,13,9,6
BCKDHB,5,3,6,1,3,4,1,3
CCND1,9,11,12,3,8,11,16,13
BCL2,350,522,533,188,342,706,588,433
BCL2A1,0,0,0,2,2,1,0,1
BCL2L1,34,57,98,35,42,70,70,66
BCL2L2,28,48,60,27,36,60,72,58
BCL3,8,4,13,9,7,8,7,35
BCL6,2,0,3,2,8,4,1,7
BCL7A,95,120,145,64,88,184,168,199
BCL9,3,4,6,2,4,5,4,4
HCN2,0,0,0,0,0,0,0,0
OPN1SW,0,0,0,0,0,0,0,0
BCR,5,5,6,3,6,3,2,5
BCS1L,0,0,1,1,0,1,0,0
BDH1,0,0,0,0,0,0,0,0
BDNF,10,2,8,4,12,5,7,10
BFSP1,0,0,0,0,0,0,1,0
BGLAP,0,0,1,0,0,1,1,1
BICD1,0,1,0,0,2,1,1,0
BID,103,83,89,75,100,130,85,125
BIK,0,4,3,4,3,9,5,2
PRDM1,14,3,6,7,12,8,12,21
BLK,0,0,0,0,0,0,1,0
BLM,4,6,4,4,5,3,5,9
BLMH,9,11,14,12,9,21,24,22
CXCR5,0,0,0,0,1,2,0,0
BLVRA,0,0,0,0,0,0,0,0
BLVRB,0,0,0,0,0,0,0,0
BMI1,20,23,21,12,19,44,22,30
BMP1,4,8,8,1,0,4,6,7
BMP2,5,11,4,2,7,7,6,8
BMP6,0,2,0,0,1,0,0,0
BMP8B,11,10,24,10,12,14,20,19
BMPR1A,5,10,11,3,7,14,12,12
BMPR2,6,7,2,3,5,11,5,7
POLR3D,31,47,55,19,34,65,41,62
BNIP1,7,22,24,10,10,33,25,17
BNIP2,165,203,229,81,169,322,270,223
BNIP3,1,2,1,2,2,1,0,3
BNIP3L,9,25,17,3,14,29,19,24
BOK,0,0,0,0,0,0,0,0
DST,0,1,0,0,1,0,0,0
BPGM,6,10,4,0,1,15,3,10
BPHL,1,1,1,1,0,1,1,1
BPI,0,0,0,0,0,0,0,0
BRCA1,38,43,56,22,56,57,53,94
BRAF,0,0,0,1,0,1,1,0
BRCA2,22,31,25,18,25,42,36,38
ZFP36L1,19,23,27,11,23,43,45,23
ZFP36L2,1522,2994,2975,827,1412,4630,3312,2291
BSG,53,87,114,48,68,121,108,125
BST1,0,1,0,0,0,1,0,0
BST2,2,1,8,0,2,3,1,2
BTD,1,1,2,0,4,4,1,2
KLF9,117,148,166,71,103,223,184,150
KLF5,4,9,6,5,9,15,13,11
BTF3,44,43,46,26,31,76,59,60
BTG1,77,56,60,45,70,117,67,107
BTK,5,13,10,4,0,17,10,7
BUB1,6,0,1,1,0,1,4,1
BUB1B,16,16,12,4,19,22,12,15
BYSL,24,52,57,30,35,58,45,57
TSPO,4,1,6,3,2,1,2,6
C1QBP,26,34,42,16,30,47,39,49
C1S,0,0,0,0,0,0,0,0
C3AR1,39,4,2,27,32,17,7,60
CAPN5,0,0,1,0,0,0,0,2
C5,0,1,0,0,1,0,2,1
C5AR1,0,0,0,0,0,0,0,0
OSGIN2,33,37,44,19,37,80,57,64
VPS51,0,0,0,2,0,0,1,0
MRPL49,45,99,94,52,64,107,99,96
ZNHIT2,3,1,3,1,3,4,1,1
