,DMSO,YLK
NAT1,13.5,7.0
AAMP,25.0,16.75
AARS1,24.0,21.0
ABAT,5.0,1.75
ABCA1,7.25,5.0
ABCA2,3.25,1.25
ABCA3,0.25,0.25
ABCB7,0.75,0.75
ABCF1,0.75,0.25
ABL1,106.0,85.5
ABL2,69.0,43.0
ABO,0.0,0.0
ABR,7.0,8.25
ACAA1,26.0,17.5
ACACA,2.5,1.25
ACACB,5.0,2.0
ACADM,8.0,3.5
ACADS,3.5,1.5
ACADSB,17.75,9.5
ACADVL,5.25,5.25
ACAT1,5.0,1.75
ACAT2,10.75,8.0
ASIC1,1.75,1.0
ACLY,73.5,47.0
ACO1,2.25,2.0
ACO2,12.0,7.0
ACOX1,33.75,21.25
ACP1,93.25,80.25
ACP2,8.5,6.25
ACPP,12.75,5.75
ACTA2,0.0,0.0
ACTB,1789.75,1320.75
ACTG1,2326.5,1826.25
ACTN4,116.25,93.5
ACTL6A,10.25,9.25
ACTN1,24.0,17.75
ACVR1,3.75,3.25
ACVR1B,76.0,40.5
ACVR2A,3.5,2.0
ACVR2B,60.75,31.25
ACVRL1,2.5,1.5
ACY1,1.25,1.5
ACYP1,9.0,9.0
ACYP2,0.5,0.25
ADA,13.75,3.75
ADAM8,2.5,3.25
ADAM10,82.75,63.0
ADAR,162.75,133.75
ADARB1,22.5,16.0
ADCY1,1.0,0.25
ADCY3,14.0,13.5
ADCY5,0.0,0.0
ADCY6,1.5,0.5
ADCY7,88.25,54.0
ADCY9,448.75,256.75
ADD1,61.25,34.75
ADD2,51.0,41.25
ADD3,5.5,5.0
PLIN2,31.0,19.75
ADH5,15.0,8.0
ADK,7.5,7.5
ADORA1,0.5,0.25
ADORA2A,2.0,10.5
ADORA2B,17.5,15.75
ADORA3,0.25,0.0
ADPRH,5.5,6.0
PARP1,34.75,20.0
PARP4,0.25,0.0
ADRA2C,0.0,0.0
ADRB1,2.25,0.75
ADRB2,29.75,4.5
GRK2,106.25,59.75
GRK3,37.5,28.0
ADSL,5.75,2.0
ADSS2,18.75,15.75
AP2A1,8.25,7.75
AP2A2,1.5,1.25
AP1B1,19.75,18.75
AP2B1,57.5,44.5
AP1G1,216.75,154.75
TLE5,13.0,6.5
AFG3L1P,34.0,30.5
AGA,8.5,7.25
AGL,3.25,1.75
JAG1,3.75,1.0
AGT,1.75,0.75
AHCY,58.0,46.75
AHR,126.5,114.75
CRYBG1,11.25,9.0
AK1,0.25,0.25
AK2,365.5,287.25
AK4,1.25,0.5
AKT1,43.5,35.0
AKT2,43.5,32.75
ALAD,21.0,19.25
ALAS1,7.75,8.5
ALCAM,13.25,12.0
ABCD1,13.75,12.5
ALDH2,0.25,0.25
ALDH1B1,134.5,94.0
ALDH1A3,12.25,4.75
ALDH3B1,14.5,8.0
ALDH9A1,51.75,36.75
ALDH3A2,12.5,7.75
ABCD2,6.5,4.75
ALDOA,81.25,67.0
ALDOB,0.0,0.0
ALDOC,0.5,1.5
AKR1B1,3.25,2.25
ALOX12,8.0,9.0
ALOX5AP,5.75,1.25
ALX3,0.0,0.0
AMD1,467.75,276.0
AMFR,23.25,13.25
AMPD2,19.5,20.0
AMPD3,5.0,2.25
BIN1,0.0,0.0
AMT,2.5,1.25
ANG,0.5,0.0
ANGPT1,0.75,0.0
ANGPT2,0.0,0.0
ANK1,0.25,0.0
ANK2,0.5,0.75
SLC25A4,0.25,0.0
SLC25A5,69.0,45.75
SLC25A6,224.75,160.5
ANXA1,6.5,11.5
ANXA2,12.5,7.5
ANXA2P1,0.25,0.75
ANXA4,2.0,0.75
ANXA5,7.0,6.25
ANXA6,4.0,3.5
ANXA7,6.75,4.5
ANXA11,18.0,11.75
AOAH,0.25,0.0
AOX1,0.25,0.0
APAF1,44.5,32.25
NUDT2,7.25,2.75
APBA2,0.25,0.25
APBB1,13.5,4.0
APBB2,4.0,1.75
APC,12.75,10.0
APEH,5.25,4.5
APEX1,67.5,54.0
BIRC2,10.5,3.5
BIRC3,0.5,1.0
XIAP,103.0,71.25
BIRC5,149.25,93.5
APLP1,0.0,0.25
APLP2,67.0,38.25
APOA1,0.25,0.0
APOC1,0.0,0.25
APOC2,18.5,22.5
APP,7.75,5.5
APRT,17.75,11.25
FAS,4.5,2.75
AQP1,1.5,1.5
AQP3,5.25,1.5
AR,1.0,0.0
ARAF,15.25,12.75
ARCN1,363.0,227.25
TRIM23,12.5,9.25
ARF1,389.5,308.5
ARF3,196.75,108.75
ARF4,77.5,60.25
ARL4D,1.5,2.75
ARF5,6.75,7.25
ARF6,566.5,348.25
ARG2,0.0,1.0
RHOA,335.75,240.25
RHOB,15.5,27.25
RHOC,1.5,1.0
RHOG,179.0,95.75
ARHGAP1,99.25,54.0
ARHGAP4,1.0,1.5
ARHGAP6,1.25,0.25
ARHGDIA,375.25,279.5
ARHGDIB,423.75,259.75
RHOH,9.5,6.25
ARL1,33.75,24.5
PHOX2A,0.0,0.0
ARL2,5.0,3.0
ARL3,1.0,1.75
ARNT,51.75,52.5
ARNTL,2.25,2.0
ARRB1,122.5,56.25
ARRB2,18.25,22.5
ARSA,4.0,2.0
ARSB,38.25,19.0
STS,19.75,8.0
ARSD,21.25,14.25
ARVCF,0.0,0.0
ASAH1,16.0,11.25
ASCL2,1.5,2.75
ASGR1,0.25,0.25
ASGR2,0.0,0.0
ASL,1.25,1.0
GET3,5.5,2.5
ASNS,0.75,0.75
ASPH,44.25,25.25
