PeakID (cmd=annotatePeaks.pl M6_1_125_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_125_R1_peak_445	chr12	6688826	6690037	+	2450	NA	promoter-TSS (ZNF384)	NA	-56	ZNF384								
M6_1_125_R1_peak_2272	chr9	128370902	128371730	+	2406	NA	promoter-TSS (URM1)	NA	-3	URM1								
M6_1_125_R1_peak_2045	chr7	1504066	1504708	+	2151	NA	promoter-TSS (INTS1)	NA	-5	INTS1								
M6_1_125_R1_peak_444	chr12	6662954	6663628	+	2074	NA	promoter-TSS (ING4)	NA	-149	ING4								
M6_1_125_R1_peak_314	chr11	2399962	2400851	+	2034	NA	promoter-TSS (TSSC4)	NA	-152	TSSC4								
M6_1_125_R1_peak_2203	chr8	144078215	144079036	+	1793	NA	promoter-TSS (EXOSC4)	NA	6	EXOSC4								
M6_1_125_R1_peak_569	chr12	123633372	123633999	+	1720	NA	promoter-TSS (GTF2H3)	NA	-54	GTF2H3								
M6_1_125_R1_peak_1154	chr19	41859534	41860370	+	1719	NA	promoter-TSS (RPS19)	NA	34	RPS19								
M6_1_125_R1_peak_2244	chr9	92669961	92670569	+	1712	NA	promoter-TSS (IPPK)	NA	0	IPPK								
M6_1_125_R1_peak_338	chr11	46700385	46701114	+	1633	NA	promoter-TSS (ZNF408)	NA	-84	ARHGAP1								
M6_1_125_R1_peak_1	chr1	1375050	1375687	+	1619	NA	promoter-TSS (AURKAIP1)	NA	70	AURKAIP1								
M6_1_125_R1_peak_133	chr1	151165773	151166240	+	1588	NA	promoter-TSS (LYSMD1)	NA	-16	SCNM1								
M6_1_125_R1_peak_1247	chr2	32165582	32166056	+	1482	NA	promoter-TSS (SLC30A6)	NA	-22	SLC30A6								
