PeakID (cmd=annotatePeaks.pl MV411_1_115_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_115_R1_peak_1382	chr12	19908822	19909196	+	1573	NA	Intergenic	NA	-105676	RP11-664H17.1								
MV411_1_115_R1_peak_6513	chr8	18846957	18847397	+	1513	NA	intron (PSD3, intron 3 of 14)	NA	166509	PSD3								
MV411_1_115_R1_peak_5969	chr6	96917115	96917540	+	1482	NA	Intergenic	NA	-7293	KLHL32								
MV411_1_115_R1_peak_2961	chr18	62815392	62815824	+	1368	NA	intron (PHLPP1, intron 1 of 16)	NA	100169	PHLPP1								
MV411_1_115_R1_peak_3008	chr18	79819930	79820526	+	1287	NA	Intergenic	NA	-43440	KCNG2								
MV411_1_115_R1_peak_3257	chr19	41328776	41329242	+	1252	NA	Intergenic	NA	18820	CCDC97								
MV411_1_115_R1_peak_2407	chr16	50281957	50282350	+	1188	NA	intron (ADCY7, intron 1 of 22)	NA	8022	ADCY7								
MV411_1_115_R1_peak_2321	chr16	19493672	19494137	+	1112	NA	intron (TMC5, intron 18 of 20)	NA	28209	GDE1								
MV411_1_115_R1_peak_6772	chr8	90005705	90006122	+	1069	NA	intron (DECR1, intron 1 of 8)	NA	4454	DECR1								
MV411_1_115_R1_peak_5889	chr6	40719488	40719995	+	1051	NA	Intergenic	NA	-4372	LOC101929535								
MV411_1_115_R1_peak_7027	chr9	27352437	27352796	+	1024	NA	intron (MOB3B, intron 3 of 3)	NA	-55477	EQTN								
MV411_1_115_R1_peak_6951	chr8	140169396	140169815	+	978	NA	intron (TRAPPC9, intron 16 of 21)	NA	288139	TRAPPC9								
MV411_1_115_R1_peak_4395	chr22	22714926	22715343	+	969	NA	Intergenic	NA	68822	GGTLC2								
MV411_1_115_R1_peak_4627	chr3	44439749	44440147	+	926	NA	exon (ZNF445, exon 8 of 8)	NA	12246	LOC100506319								
MV411_1_115_R1_peak_2933	chr18	51211586	51211989	+	869	NA	Intergenic	NA	-14106	MEX3C								
MV411_1_115_R1_peak_392	chr1	153945875	153946362	+	864	NA	promoter-TSS (DENND4B)	NA	-847	DENND4B								
MV411_1_115_R1_peak_391	chr1	153805470	153805786	+	859	NA	exon (GATAD2B, exon 11 of 11)	NA	30336	SLC27A3								
MV411_1_115_R1_peak_12	chr1	4007556	4007915	+	851	NA	Intergenic	NA	22144	LOC102724415								
MV411_1_115_R1_peak_4396	chr22	22774266	22774581	+	847	NA	Intergenic	NA	-48353	MIR650								
MV411_1_115_R1_peak_5465	chr5	78483754	78484111	+	846	NA	Intergenic	NA	-123391	LOC728769								
MV411_1_115_R1_peak_1876	chr14	68268215	68268565	+	846	NA	intron (RAD51B, intron 7 of 10)	NA	131989	LOC101927971								
MV411_1_115_R1_peak_7181	chr9	124202440	124202888	+	836	NA	Intergenic	NA	-89307	NEK6								
MV411_1_115_R1_peak_3308	chr19	45419481	45419907	+	830	NA	intron (ERCC1, intron 4 of 8)	NA	4156	ERCC1								
MV411_1_115_R1_peak_3519	chr2	42752275	42752691	+	814	NA	intron (MTA3, intron 16 of 16)	NA	11778	OXER1								
MV411_1_115_R1_peak_1703	chr13	28527659	28528008	+	802	NA	Intergenic	NA	-32705	FLT1								
MV411_1_115_R1_peak_440	chr1	161499705	161500096	+	799	NA	Intergenic	NA	-5515	FCGR2A								
MV411_1_115_R1_peak_2826	chr17	77465609	77465951	+	784	NA	promoter-TSS (SEPT9)	NA	21076	LOC100996273								
MV411_1_115_R1_peak_396	chr1	154407180	154407651	+	784	NA	promoter-TSS (LOC101928101)	NA	-592	LOC101928101								
MV411_1_115_R1_peak_6911	chr8	129418537	129419008	+	772	NA	Intergenic	NA	65370	MIR3686								
MV411_1_115_R1_peak_2780	chr17	68491401	68491753	+	769	NA	Intergenic	NA	-18286	LOC102724296								
MV411_1_115_R1_peak_5621	chr5	150058759	150059088	+	764	NA	intron (CSF1R, intron 13 of 19)	NA	27717	CSF1R								
MV411_1_115_R1_peak_294	chr1	97164297	97164680	+	735	NA	intron (DPYD, intron 20 of 22)	NA	68565	DPYD-AS1								
MV411_1_115_R1_peak_2417	chr16	55226161	55226551	+	734	NA	Intergenic	NA	-98138	IRX6								
MV411_1_115_R1_peak_7156	chr9	117704105	117704508	+	733	NA	exon (TLR4, exon 1 of 4)	NA	131	TLR4								
MV411_1_115_R1_peak_3564	chr2	55871614	55872017	+	728	NA	intron (EFEMP1, intron 7 of 9)	NA	52348	EFEMP1								
MV411_1_115_R1_peak_3163	chr19	17523199	17523605	+	722	NA	exon (FAM129C, exon 1 of 16)	NA	-3861	FAM129C								
MV411_1_115_R1_peak_4966	chr3	194737167	194737668	+	722	NA	intron (AC090505.6, intron 1 of 3)	NA	28996	AC090505.6								
MV411_1_115_R1_peak_5073	chr4	40307632	40308027	+	719	NA	intron (LOC101930098, intron 2 of 3)	NA	-8656	LOC101060498								
MV411_1_115_R1_peak_3393	chr19	55005890	55006367	+	702	NA	Intergenic	NA	32136	GP6								
MV411_1_115_R1_peak_6950	chr8	140168372	140168718	+	702	NA	intron (TRAPPC9, intron 16 of 21)	NA	289199	TRAPPC9								
MV411_1_115_R1_peak_2528	chr16	88599230	88599516	+	702	NA	intron (ZC3H18, intron 6 of 18)	NA	28992	ZC3H18								
MV411_1_115_R1_peak_1411	chr12	32674798	32675105	+	702	NA	Intergenic	NA	-4249	DNM1L								
MV411_1_115_R1_peak_6547	chr8	23074225	23074692	+	695	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-5271	TNFRSF10B								
MV411_1_115_R1_peak_2054	chr15	49706779	49707206	+	695	NA	Intergenic	NA	85963	DTWD1								
MV411_1_115_R1_peak_2582	chr17	7842889	7843366	+	679	NA	promoter-TSS (KDM6B)	NA	3210	KDM6B								
MV411_1_115_R1_peak_7258	chrX	1239667	1240014	+	676	NA	Intergenic	NA	-27206	CRLF2								
MV411_1_115_R1_peak_7190	chr9	125649308	125649677	+	671	NA	intron (MAPKAP1, intron 4 of 10)	NA	57742	MAPKAP1								
MV411_1_115_R1_peak_1349	chr12	8037107	8037463	+	658	NA	intron (FOXJ2, intron 1 of 10)	NA	3210	FOXJ2								
MV411_1_115_R1_peak_2391	chr16	46658938	46659334	+	656	NA	TTS (VPS35)	NA	30096	VPS35								
MV411_1_115_R1_peak_3126	chr19	13151504	13151801	+	656	NA	intron (IER2, intron 1 of 1)	NA	1184	IER2								
MV411_1_115_R1_peak_962	chr11	1839810	1840173	+	656	NA	promoter-TSS (TNNI2)	NA	988	TNNI2								
MV411_1_115_R1_peak_5569	chr5	135481425	135481714	+	644	NA	Intergenic	NA	-29170	TIFAB								
MV411_1_115_R1_peak_6844	chr8	113685112	113685472	+	635	NA	Intergenic	NA	-248279	CSMD3								
MV411_1_115_R1_peak_7124	chr9	105385429	105385756	+	634	NA	exon (SLC44A1, exon 15 of 15)	NA	-62447	FSD1L								
MV411_1_115_R1_peak_4146	chr20	23655735	23656156	+	634	NA	Intergenic	NA	-17897	CST3								
MV411_1_115_R1_peak_6353	chr7	99380182	99380533	+	629	NA	intron (ARPC1B, intron 1 of 9)	NA	5682	ARPC1B								
MV411_1_115_R1_peak_1621	chr12	112014641	112014912	+	622	NA	intron (ERP29, intron 1 of 1)	NA	1428	ERP29								
MV411_1_115_R1_peak_3286	chr19	43765287	43765843	+	620	NA	TTS (KCNN4)	NA	-10575	SMG9								
MV411_1_115_R1_peak_6665	chr8	51021011	51021369	+	619	NA	Intergenic	NA	-694646	LOC102724313								
MV411_1_115_R1_peak_1459	chr12	52118457	52118858	+	618	NA	Intergenic	NA	48683	C12orf44								
MV411_1_115_R1_peak_554	chr1	212414945	212415250	+	614	NA	promoter-TSS (TMEM206)	NA	-228	TMEM206								
MV411_1_115_R1_peak_5111	chr4	69831786	69832077	+	613	NA	Intergenic	NA	28221	SULT1E1								
MV411_1_115_R1_peak_6754	chr8	79443626	79443985	+	612	NA	Intergenic	NA	-177153	STMN2								
MV411_1_115_R1_peak_6432	chr7	141960686	141961245	+	608	NA	intron (MGAM, intron 1 of 70)	NA	12808	TAS2R38								
MV411_1_115_R1_peak_216	chr1	52637012	52637488	+	607	NA	intron (FAM159A, intron 1 of 2)	NA	3856	FAM159A								
MV411_1_115_R1_peak_3135	chr19	14383908	14384260	+	603	NA	intron (CD97, intron 1 of 19)	NA	3493	CD97								
MV411_1_115_R1_peak_4848	chr3	135784607	135784963	+	600	NA	Intergenic	NA	-237950	PPP2R3A								
MV411_1_115_R1_peak_1945	chr14	91241846	91242263	+	600	NA	exon (LOC102724476, exon 1 of 4)	NA	267	LOC102724476								
MV411_1_115_R1_peak_3165	chr19	17717419	17717820	+	600	NA	Intergenic	NA	-1875	MAP1S								
MV411_1_115_R1_peak_7025	chr9	27341483	27341880	+	599	NA	intron (MOB3B, intron 3 of 3)	NA	-44542	EQTN								
MV411_1_115_R1_peak_4241	chr20	51828835	51829146	+	599	NA	Intergenic	NA	-26481	SALL4								
