PeakID (cmd=annotatePeaks.pl D0_1_7_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D0_1_7_R1_peak_8658	chr2	91476783	91479784	+	5955	NA	Intergenic	NA	37603	LOC102724613								
D0_1_7_R1_peak_2055	chr10	100719655	100758184	+	4513	NA	Intergenic	NA	-6792	PAX2								
D0_1_7_R1_peak_8654	chr2	91441711	91443430	+	4471	NA	Intergenic	NA	73316	LOC102724613								
D0_1_7_R1_peak_15661	chr9	130654623	130669219	+	3914	NA	Intergenic	NA	-2673	PRDM12								
D0_1_7_R1_peak_14317	chr7	155445532	155477030	+	3634	NA	intron (EN2, intron 1 of 1)	NA	3152	EN2								
D0_1_7_R1_peak_6456	chr17	36927348	36948573	+	3561	NA	exon (LHX1, exon 1 of 5)	NA	485	LHX1								
D0_1_7_R1_peak_2160	chr10	101213633	101243961	+	3559	NA	promoter-TSS (LBX1-AS1)	NA	163	LBX1								
D0_1_7_R1_peak_9143	chr2	219054410	219064794	+	3521	NA	promoter-TSS (MIR3131)	NA	-855	MIR3131								
D0_1_7_R1_peak_9009	chr2	176064727	176141906	+	3501	NA	Intergenic	NA	3514	HOXD12								
D0_1_7_R1_peak_3762	chr12	53922684	54063284	+	3483	NA	Intergenic	NA	1185	MIR196A2								
D0_1_7_R1_peak_15545	chr9	123995164	124025256	+	3475	NA	promoter-TSS (LOC100505588)	NA	-814	LOC100505588								
D0_1_7_R1_peak_6460	chr17	37740022	37748428	+	3473	NA	intron (HNF1B, intron 1 of 8)	NA	880	HNF1B								
D0_1_7_R1_peak_2284	chr10	117528788	117557287	+	3383	NA	exon (EMX2, exon 1 of 3)	NA	592	EMX2								
D0_1_7_R1_peak_5222	chr15	67817117	67836530	+	3368	NA	intron (SKOR1, intron 5 of 14)	NA	7119	SKOR1								
D0_1_7_R1_peak_14507	chr8	11673868	11716433	+	3337	NA	intron (LOC101929490, intron 7 of 7)	NA	-8811	GATA4								
D0_1_7_R1_peak_8583	chr2	72912391	72929884	+	3321	NA	intron (EMX1, intron 1 of 2)	NA	3629	EMX1								
D0_1_7_R1_peak_13648	chr7	1222769	1258930	+	3313	NA	Intergenic	NA	7831	UNCX								
D0_1_7_R1_peak_14289	chr7	155368767	155387679	+	3312	NA	Intergenic	NA	-3853	LOC100286906								
D0_1_7_R1_peak_8667	chr2	94272490	94274476	+	3309	NA	Intergenic	NA	313700	LOC100133920								
D0_1_7_R1_peak_4407	chr13	99952543	100000723	+	3261	NA	Intergenic	NA	-4709	ZIC5								
