PeakID (cmd=annotatePeaks.pl MV411_8_715_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_8_715_R1_peak_11347	chr5	1544476	1546269	+	6043	NA	Intergenic	NA	-21411	LPCAT1								
MV411_8_715_R1_peak_8000	chr2	8500536	8501352	+	5985	NA	Intergenic	NA	82848	AC011747.4								
MV411_8_715_R1_peak_3712	chr13	113664500	113667099	+	5953	NA	Intergenic	NA	-1480	GRK1								
MV411_8_715_R1_peak_5345	chr16	90030682	90034404	+	5869	NA	intron (GAS8, intron 3 of 10)	NA	-2642	C16orf3								
MV411_8_715_R1_peak_3510	chr12	132429015	132430609	+	5806	NA	intron (LOC101928629, intron 4 of 4)	NA	24722	LOC101928629								
MV411_8_715_R1_peak_9488	chr20	63814832	63816934	+	5750	NA	intron (LOC101928604, intron 1 of 2)	NA	7807	LOC101928604								
MV411_8_715_R1_peak_17	chr1	1122745	1124751	+	5570	NA	Intergenic	NA	-7387	C1orf159								
MV411_8_715_R1_peak_9402	chr20	52422700	52425641	+	5548	NA	Intergenic	NA	-196668	RP4-723E3.1								
MV411_8_715_R1_peak_14457	chr9	93670037	93673941	+	5547	NA	exon (LOC101929519, exon 2 of 3)	NA	1345	LOC101929519								
MV411_8_715_R1_peak_1350	chr1	230587942	230589189	+	5527	NA	Intergenic	NA	7018	LOC101927553								
MV411_8_715_R1_peak_1266	chr1	209769812	209772329	+	5484	NA	intron (TRAF3IP3, intron 1 of 9)	NA	13475	C1orf74								
MV411_8_715_R1_peak_2010	chr10	133056876	133058872	+	5396	NA	Intergenic	NA	-13055	GPR123								
MV411_8_715_R1_peak_628	chr1	53555258	53557635	+	5315	NA	intron (GLIS1, intron 3 of 9)	NA	97047	DMRTB1								
MV411_8_715_R1_peak_10007	chr22	44730671	44731795	+	5263	NA	intron (PRR5-ARHGAP8, intron 4 of 14)	NA	-21325	ARHGAP8								
MV411_8_715_R1_peak_12678	chr6	167392035	167394141	+	5254	NA	Intergenic	NA	-8578	TCP10								
MV411_8_715_R1_peak_14262	chr8	144221838	144223624	+	5244	NA	intron (MROH1, intron 13 of 42)	NA	40006	MIR7112-2								
MV411_8_715_R1_peak_10859	chr4	622100	623748	+	5241	NA	Intergenic	NA	-29349	PDE6B								
MV411_8_715_R1_peak_7009	chr19	11208145	11212829	+	5158	NA	intron (DOCK6, intron 34 of 44)	NA	-12920	KANK2								
MV411_8_715_R1_peak_1461	chr10	1571327	1572623	+	5128	NA	intron (ADARB2, intron 1 of 9)	NA	45345	ADARB2-AS1								
MV411_8_715_R1_peak_8984	chr2	241571422	241574083	+	5116	NA	exon (BOK, exon 5 of 5)	NA	-13609	BOK-AS1								
MV411_8_715_R1_peak_5274	chr16	86337252	86338987	+	5116	NA	exon (LINC00917, exon 3 of 7)	NA	7560	LINC00917								
MV411_8_715_R1_peak_256	chr1	17674796	17677000	+	5066	NA	intron (ARHGEF10L, intron 24 of 26)	NA	-79415	ACTL8								
MV411_8_715_R1_peak_7086	chr19	14266943	14267949	+	5040	NA	Intergenic	NA	-61366	LPHN1								
MV411_8_715_R1_peak_6233	chr17	83096001	83097316	+	4985	NA	Intergenic	NA	14536	METRNL								
MV411_8_715_R1_peak_2480	chr11	69497542	69499766	+	4984	NA	Intergenic	NA	13093	LOC101928292								
MV411_8_715_R1_peak_6939	chr19	9857963	9859561	+	4940	NA	intron (OLFM2, intron 2 of 5)	NA	23555	PIN1								
MV411_8_715_R1_peak_2499	chr11	71447272	71448910	+	4804	NA	intron (DHCR7, intron 1 of 8)	NA	340	DHCR7								
MV411_8_715_R1_peak_4056	chr14	99550838	99552133	+	4799	NA	intron (CCDC85C, intron 1 of 5)	NA	52905	CCDC85C								
MV411_8_715_R1_peak_3709	chr13	113592141	113595067	+	4779	NA	intron (TFDP1, intron 2 of 10)	NA	8326	TFDP1								
MV411_8_715_R1_peak_3699	chr13	112714683	112716426	+	4732	NA	intron (ATP11A, intron 1 of 28)	NA	25225	ATP11A								
MV411_8_715_R1_peak_13426	chr8	1857259	1858989	+	4718	NA	intron (ARHGEF10, intron 3 of 28)	NA	34141	ARHGEF10								
MV411_8_715_R1_peak_14216	chr8	142101610	142102881	+	4660	NA	Intergenic	NA	-74151	MIR4472-1								
MV411_8_715_R1_peak_6924	chr19	8528195	8530506	+	4491	NA	exon (MYO1F, exon 22 of 22)	NA	-15186	ZNF414								
MV411_8_715_R1_peak_7185	chr19	17036183	17039524	+	4404	NA	Intergenic	NA	-11038	CPAMD8								
MV411_8_715_R1_peak_13369	chr7	151669285	151670501	+	4345	NA	intron (PRKAG2, intron 4 of 15)	NA	-61450	PRKAG2								
MV411_8_715_R1_peak_8960	chr2	239718315	239720766	+	4291	NA	Intergenic	NA	-43320	LOC150935								
MV411_8_715_R1_peak_5333	chr16	89685785	89686714	+	4204	NA	promoter-TSS (CDK10)	NA	-572	CDK10								
MV411_8_715_R1_peak_3569	chr13	27990353	27992203	+	4166	NA	Intergenic	NA	-2641	URAD								
MV411_8_715_R1_peak_2097	chr11	3257042	3258181	+	4144	NA	Intergenic	NA	-25225	MRGPRE								
MV411_8_715_R1_peak_2062	chr11	1258721	1259718	+	4118	NA	intron (MUC5B, intron 44 of 48)	NA	2571	MIR6744								
MV411_8_715_R1_peak_14748	chr9	135562726	135563876	+	4101	NA	intron (PAEP, intron 3 of 3)	NA	1543	PAEP								
MV411_8_715_R1_peak_10050	chr22	49527898	49529872	+	4081	NA	Intergenic	NA	14537	MIR3667								
MV411_8_715_R1_peak_7538	chr19	41924083	41926932	+	3983	NA	intron (LOC390937, intron 1 of 5)	NA	2587	LOC390937								
MV411_8_715_R1_peak_13136	chr7	98547537	98549700	+	3959	NA	Intergenic	NA	-68667	NPTX2								
MV411_8_715_R1_peak_321	chr1	24344271	24345833	+	3931	NA	intron (GRHL3, intron 12 of 15)	NA	22012	GRHL3								
