PeakID (cmd=annotatePeaks.pl M6_1_123_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_123_R1_peak_1731	chr10	101353627	101354246	+	1217	NA	promoter-TSS (BTRC)	NA	-97	BTRC								
M6_1_123_R1_peak_1884	chr10	132588363	132589337	+	1106	NA	intron (INPP5A, intron 1 of 15)	NA	51001	INPP5A								
M6_1_123_R1_peak_11603	chr7	92133449	92134220	+	1083	NA	intron (CYP51A1, intron 1 of 9)	NA	911	CYP51A1								
M6_1_123_R1_peak_4693	chr16	29745842	29746325	+	1065	NA	promoter-TSS (C16orf54)	NA	-64	C16orf54								
M6_1_123_R1_peak_3569	chr14	22556159	22556901	+	1047	NA	Intergenic	NA	32707	DAD1								
M6_1_123_R1_peak_7568	chr2	196211086	196211689	+	1011	NA	intron (HECW2, intron 27 of 27)	NA	-39775	STK17B								
M6_1_123_R1_peak_7300	chr2	105129625	105130303	+	996	NA	Intergenic	NA	-27020	AC104655.2								
M6_1_123_R1_peak_2331	chr11	68213175	68214206	+	962	NA	promoter-TSS (SUV420H1)	NA	-394	SUV420H1								
M6_1_123_R1_peak_12748	chr9	126470931	126471477	+	947	NA	intron (MVB12B, intron 7 of 9)	NA	-60700	NRON								
M6_1_123_R1_peak_5076	chr17	2400809	2402331	+	945	NA	promoter-TSS (MNT)	NA	-606	MNT								
M6_1_123_R1_peak_6344	chr19	16896745	16897754	+	923	NA	intron (CPAMD8, intron 39 of 41)	NA	8234	F2RL3								
M6_1_123_R1_peak_1225	chr1	231460509	231461075	+	921	NA	Intergenic	NA	15733	SNRPD2P2								
M6_1_123_R1_peak_6038	chr19	2096045	2096971	+	919	NA	promoter-TSS (IZUMO4)	NA	85	IZUMO4								
M6_1_123_R1_peak_328	chr1	35268479	35269172	+	904	NA	promoter-TSS (ZMYM4)	NA	-40177	ZMYM4								
M6_1_123_R1_peak_10635	chr6	17600009	17600567	+	898	NA	promoter-TSS (FAM8A1)	NA	1	FAM8A1								
M6_1_123_R1_peak_1254	chr1	234963111	234963826	+	882	NA	Intergenic	NA	106350	LOC731656								
M6_1_123_R1_peak_2559	chr11	125887424	125887923	+	850	NA	promoter-TSS (HYLS1)	NA	613	HYLS1								
M6_1_123_R1_peak_2280	chr11	65918841	65919664	+	846	NA	promoter-TSS (C11orf68)	NA	-5	DRAP1								
M6_1_123_R1_peak_6945	chr2	28359164	28359788	+	837	NA	Intergenic	NA	-34805	FOSL2								
M6_1_123_R1_peak_4138	chr15	59657175	59657733	+	816	NA	promoter-TSS (GTF2A2)	NA	-218	GTF2A2								
M6_1_123_R1_peak_3182	chr12	121649614	121650271	+	815	NA	Intergenic	NA	22679	MORN3								
M6_1_123_R1_peak_9099	chr3	128674744	128675193	+	815	NA	Intergenic	NA	-24092	RPN1								
M6_1_123_R1_peak_4901	chr16	71808656	71809245	+	815	NA	exon (AP1G1, exon 1 of 23)	NA	123	AP1G1								
M6_1_123_R1_peak_10158	chr5	96934960	96935564	+	810	NA	promoter-TSS (LNPEP)	NA	825	LOC101929747								
M6_1_123_R1_peak_8219	chr21	35048782	35049674	+	799	NA	promoter-TSS (RUNX1)	NA	106	RUNX1								
M6_1_123_R1_peak_9599	chr4	54064315	54064942	+	796	NA	promoter-TSS (CHIC2)	NA	750	CHIC2								
M6_1_123_R1_peak_829	chr1	159910265	159910892	+	795	NA	Intergenic	NA	-10462	CCDC19								
M6_1_123_R1_peak_11801	chr7	140252848	140253427	+	775	NA	Intergenic	NA	75876	JHDM1D-AS1								
M6_1_123_R1_peak_2111	chr11	46336755	46337159	+	772	NA	intron (DGKZ, intron 1 of 30)	NA	-27380	DGKZ								
M6_1_123_R1_peak_1885	chr10	132616184	132616837	+	769	NA	intron (INPP5A, intron 2 of 15)	NA	78661	INPP5A								
M6_1_123_R1_peak_6569	chr19	44753261	44753768	+	765	NA	intron (BCL3, intron 2 of 8)	NA	4793	BCL3								
M6_1_123_R1_peak_8336	chr22	20858397	20859190	+	765	NA	promoter-TSS (SNAP29)	NA	19	PI4KA								
M6_1_123_R1_peak_2860	chr12	54304109	54304754	+	765	NA	intron (NFE2, intron 1 of 2)	NA	-3394	NFE2								
M6_1_123_R1_peak_487	chr1	61140692	61141220	+	763	NA	intron (NFIA, intron 2 of 9)	NA	30987	LOC102724281								
M6_1_123_R1_peak_12435	chr9	27573228	27573791	+	759	NA	promoter-TSS (C9orf72)	NA	-26	C9orf72								
M6_1_123_R1_peak_2352	chr11	70398310	70398926	+	757	NA	intron (CTTN, intron 1 of 16)	NA	112	CTTN								
M6_1_123_R1_peak_4639	chr16	21608897	21609456	+	754	NA	intron (METTL9, intron 1 of 4)	NA	9700	METTL9								
M6_1_123_R1_peak_6037	chr19	2085245	2085670	+	748	NA	intron (MOB3A, intron 1 of 4)	NA	10813	MOB3A								
M6_1_123_R1_peak_9648	chr4	77075891	77076755	+	746	NA	promoter-TSS (CCNI)	NA	-351	CCNI								
M6_1_123_R1_peak_11940	chr8	22704779	22705549	+	746	NA	Intergenic	NA	-11862	EGR3								
M6_1_123_R1_peak_11582	chr7	77536770	77537661	+	740	NA	promoter-TSS (PTPN12)	NA	-820	PTPN12								
M6_1_123_R1_peak_8044	chr20	48787663	48788160	+	735	NA	intron (PREX1, intron 1 of 39)	NA	-131316	PREX1								
M6_1_123_R1_peak_12308	chr8	141036048	141036455	+	731	NA	Intergenic	NA	-34966	PTK2								
M6_1_123_R1_peak_4924	chr16	75075111	75075644	+	728	NA	intron (ZNRF1, intron 1 of 4)	NA	41395	LDHD								
M6_1_123_R1_peak_6183	chr19	8671144	8671671	+	712	NA	Intergenic	NA	27423	ACTL9								
M6_1_123_R1_peak_6273	chr19	13846408	13847101	+	709	NA	Intergenic	NA	-10139	MIR23A								
M6_1_123_R1_peak_4591	chr16	11915851	11916391	+	709	NA	promoter-TSS (GSPT1)	NA	541	GSPT1								
M6_1_123_R1_peak_10626	chr6	16224346	16224834	+	709	NA	Intergenic	NA	-13990	GMPR								
M6_1_123_R1_peak_3220	chr12	124913724	124915220	+	709	NA	intron (UBC, intron 1 of 1)	NA	569	UBC								
M6_1_123_R1_peak_11124	chr6	137033829	137034281	+	697	NA	intron (IL20RA, intron 1 of 5)	NA	10257	IL20RA								
M6_1_123_R1_peak_5097	chr17	4206910	4207445	+	694	NA	intron (ANKFY1, intron 6 of 24)	NA	56796	ANKFY1								
M6_1_123_R1_peak_6279	chr19	14006651	14007406	+	694	NA	promoter-TSS (RFX1)	NA	-8888	RFX1								
M6_1_123_R1_peak_1025	chr1	198681749	198682242	+	679	NA	intron (PTPRC, intron 2 of 31)	NA	43027	PTPRC								
M6_1_123_R1_peak_4218	chr15	70486456	70487161	+	677	NA	Intergenic	NA	99798	LOC101929151								
M6_1_123_R1_peak_10574	chr6	7313017	7313626	+	677	NA	promoter-TSS (SSR1)	NA	-13	SSR1								
M6_1_123_R1_peak_9071	chr3	125141486	125142130	+	674	NA	intron (SLC12A8, intron 4 of 12)	NA	9744	MIR5092								
M6_1_123_R1_peak_7597	chr2	201116518	201117040	+	663	NA	intron (CFLAR, intron 1 of 8)	NA	625	CFLAR								
M6_1_123_R1_peak_7034	chr2	47176304	47177003	+	647	NA	promoter-TSS (CALM2)	NA	-52	CALM2								
M6_1_123_R1_peak_6643	chr19	48321822	48322378	+	645	NA	promoter-TSS (CCDC114)	NA	-1693	CCDC114								
M6_1_123_R1_peak_2918	chr12	57935840	57936321	+	645	NA	promoter-TSS (RP11-620J15.3)	NA	84	RP11-620J15.3								
M6_1_123_R1_peak_8128	chr20	63553240	63553866	+	630	NA	promoter-TSS (C20orf195)	NA	533	C20orf195								
M6_1_123_R1_peak_12326	chr8	142777067	142777766	+	629	NA	promoter-TSS (LYNX1)	NA	-88	LYNX1								
M6_1_123_R1_peak_12927	chrX	1249546	1249977	+	628	NA	Intergenic	NA	-15071	CSF2RA								
M6_1_123_R1_peak_6450	chr19	35757730	35758316	+	628	NA	promoter-TSS (HSPB6)	NA	-120	C19orf55								
M6_1_123_R1_peak_10538	chr6	2542740	2543241	+	624	NA	Intergenic	NA	92074	C6orf195								
M6_1_123_R1_peak_12409	chr9	15422410	15422899	+	623	NA	promoter-TSS (SNAPC3)	NA	-42	SNAPC3								
M6_1_123_R1_peak_12352	chr8	144078262	144078816	+	622	NA	promoter-TSS (EXOSC4)	NA	-80	EXOSC4								
M6_1_123_R1_peak_8405	chr22	30183787	30184276	+	620	NA	Intergenic	NA	73350	LIF								
M6_1_123_R1_peak_1124	chr1	211258875	211259598	+	618	NA	promoter-TSS (RCOR3)	NA	-149	RCOR3								
M6_1_123_R1_peak_2941	chr12	66169279	66170169	+	614	NA	intron (TMBIM4, intron 1 of 7)	NA	348	TMBIM4								
M6_1_123_R1_peak_2311	chr11	67317490	67317935	+	614	NA	promoter-TSS (LOC100130987)	NA	-127	LOC100130987								
M6_1_123_R1_peak_9660	chr4	79578533	79579005	+	614	NA	Intergenic	NA	-17773	LOC101928918								
M6_1_123_R1_peak_5012	chr16	88978814	88979387	+	614	NA	Intergenic	NA	-37777	CBFA2T3								
M6_1_123_R1_peak_4347	chr15	90034967	90035439	+	614	NA	intron (ZNF710, intron 1 of 3)	NA	28439	MIR3174								
M6_1_123_R1_peak_9396	chr3	196632148	196633035	+	614	NA	promoter-TSS (LINC01063)	NA	47	LINC01063								
M6_1_123_R1_peak_12801	chr9	129069268	129069785	+	612	NA	intron (FAM73B, intron 14 of 15)	NA	-11578	DOLPP1								
M6_1_123_R1_peak_10851	chr6	41939308	41939790	+	612	NA	intron (CCND3, intron 1 of 3)	NA	18322	BYSL								
M6_1_123_R1_peak_6435	chr19	34677178	34678049	+	612	NA	promoter-TSS (ZNF302)	NA	-26	ZNF302								
M6_1_123_R1_peak_6198	chr19	10270223	10270692	+	612	NA	promoter-TSS (ICAM1)	NA	-384	ICAM1								
M6_1_123_R1_peak_11878	chr7	158710738	158711181	+	610	NA	Intergenic	NA	-6130	NCAPG2								
M6_1_123_R1_peak_1104	chr1	207321117	207321813	+	606	NA	promoter-TSS (CD55)	NA	-7	CD55								
M6_1_123_R1_peak_12894	chr9	136619612	136620217	+	605	NA	intron (LOC101928581, intron 1 of 2)	NA	-3022	HCCAT4								
M6_1_123_R1_peak_1372	chr10	11178567	11179135	+	605	NA	intron (CELF2, intron 2 of 12)	NA	13821	CELF2								
M6_1_123_R1_peak_2343	chr11	69297085	69297777	+	603	NA	TTS (MYEOV)	NA	2309	MYEOV								
M6_1_123_R1_peak_10074	chr5	72232297	72232719	+	601	NA	exon (MRPS27, exon 8 of 12)	NA	52880	MAP1B								
M6_1_123_R1_peak_5112	chr17	5281840	5282611	+	601	NA	promoter-TSS (RABEP1)	NA	-38	RABEP1								
M6_1_123_R1_peak_1326	chr1	248925154	248925641	+	601	NA	Intergenic	NA	19154	PGBD2								
M6_1_123_R1_peak_4219	chr15	70492233	70493236	+	597	NA	Intergenic	NA	93872	LOC101929151								
M6_1_123_R1_peak_8784	chr3	40623581	40624188	+	597	NA	Intergenic	NA	99006	ZNF621								
M6_1_123_R1_peak_7803	chr20	1434836	1435296	+	594	NA	Intergenic	NA	-11141	LOC102724529								
M6_1_123_R1_peak_3140	chr12	113208071	113208950	+	594	NA	intron (IQCD, intron 1 of 4)	NA	12770	IQCD								
M6_1_123_R1_peak_12410	chr9	15510791	15511479	+	592	NA	promoter-TSS (PSIP1)	NA	-130	PSIP1								
M6_1_123_R1_peak_8245	chr21	38984992	38985519	+	592	NA	Intergenic	NA	-7481	AF064858.7								
M6_1_123_R1_peak_7338	chr2	112706262	112706628	+	584	NA	Intergenic	NA	30227	LOC102724955								
M6_1_123_R1_peak_8012	chr20	44531651	44532185	+	584	NA	exon (PKIG, exon 1 of 6)	NA	137	PKIG								
M6_1_123_R1_peak_8787	chr3	41199171	41199629	+	584	NA	promoter-TSS (CTNNB1)	NA	-748	CTNNB1								
M6_1_123_R1_peak_2166	chr11	61160978	61161851	+	584	NA	promoter-TSS (VPS37C)	NA	30	VPS37C								
M6_1_123_R1_peak_8412	chr22	30266703	30267528	+	583	NA	promoter-TSS (OSM)	NA	-1750	OSM								
M6_1_123_R1_peak_4774	chr16	50281956	50282430	+	581	NA	intron (ADCY7, intron 1 of 22)	NA	8034	ADCY7								
M6_1_123_R1_peak_5415	chr17	43773336	43773768	+	581	NA	intron (DUSP3, intron 2 of 2)	NA	5448	DUSP3								
M6_1_123_R1_peak_6182	chr19	8569034	8569555	+	577	NA	intron (MYO1F, intron 1 of 27)	NA	8153	MYO1F								
M6_1_123_R1_peak_8834	chr3	46987660	46988147	+	577	NA	promoter-TSS (NBEAL2)	NA	8217	NBEAL2								
M6_1_123_R1_peak_6752	chr19	54210711	54211171	+	577	NA	Intergenic	NA	10083	RPS9								
M6_1_123_R1_peak_11619	chr7	98133187	98133686	+	574	NA	intron (LMTK2, intron 1 of 13)	NA	26551	LMTK2								
M6_1_123_R1_peak_9153	chr3	141498743	141499226	+	567	NA	intron (RASA2, intron 1 of 23)	NA	-30736	RASA2								
M6_1_123_R1_peak_8557	chr22	43187409	43187880	+	565	NA	promoter-TSS (TTLL12)	NA	-513	TTLL12								
M6_1_123_R1_peak_3120	chr12	110742681	110743320	+	565	NA	promoter-TSS (PPP1CC)	NA	-22	PPP1CC								
M6_1_123_R1_peak_7907	chr20	23361551	23362292	+	563	NA	promoter-TSS (GZF1)	NA	-211	GZF1								
M6_1_123_R1_peak_959	chr1	182259281	182259933	+	563	NA	intron (GS1-122H1.2, intron 2 of 2)	NA	54454	GS1-122H1.2								
M6_1_123_R1_peak_2682	chr12	9650702	9651090	+	562	NA	intron (LOC374443, intron 1 of 3)	NA	2849	LOC374443								
M6_1_123_R1_peak_876	chr1	165392964	165393482	+	561	NA	Intergenic	NA	-36982	LMX1A								
M6_1_123_R1_peak_8028	chr20	45971604	45972654	+	561	NA	promoter-TSS (ZNF335)	NA	65	ZNF335								
M6_1_123_R1_peak_13025	chrX	48936958	48937428	+	551	NA	intron (OTUD5, intron 2 of 8)	NA	-18057	PIM2								
M6_1_123_R1_peak_12815	chr9	129863069	129863577	+	551	NA	intron (USP20, intron 5 of 20)	NA	5260	USP20								
M6_1_123_R1_peak_6532	chr19	41327370	41328097	+	551	NA	Intergenic	NA	17264	CCDC97								
M6_1_123_R1_peak_4555	chr16	4767004	4767510	+	549	NA	promoter-TSS (ZNF500)	NA	-4090	ZNF500								
M6_1_123_R1_peak_10849	chr6	41936109	41936626	+	549	NA	intron (CCND3, intron 4 of 4)	NA	15140	BYSL								
M6_1_123_R1_peak_7069	chr2	55419692	55420236	+	549	NA	promoter-TSS (CCDC88A)	NA	-60	CCDC88A								
M6_1_123_R1_peak_7570	chr2	196240193	196240646	+	549	NA	intron (HECW2, intron 20 of 27)	NA	-19605	AC020571.3								
M6_1_123_R1_peak_2802	chr12	49060459	49061109	+	548	NA	promoter-TSS (KMT2D)	NA	-637	KMT2D								
M6_1_123_R1_peak_4033	chr15	41230642	41231293	+	548	NA	promoter-TSS (CHP1)	NA	-176	CHP1								
