PeakID (cmd=annotatePeaks.pl M6_1_128_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_128_R1_peak_210	chr14	101947840	101948520	+	3474	NA	Intergenic	NA	-16348	DYNC1H1								
M6_1_128_R1_peak_488	chr3	49093655	49094461	+	3391	NA	promoter-TSS (QRICH1)	NA	13	QRICH1								
M6_1_128_R1_peak_673	chr9	95875208	95875982	+	3155	NA	promoter-TSS (ERCC6L2)	NA	-23	ERCC6L2								
M6_1_128_R1_peak_296	chr17	39461098	39461821	+	3119	NA	promoter-TSS (CDK12)	NA	-27	CDK12								
M6_1_128_R1_peak_160	chr12	122752453	122753165	+	3098	NA	promoter-TSS (DENR)	NA	-15	DENR								
M6_1_128_R1_peak_372	chr19	49495890	49496568	+	2913	NA	promoter-TSS (RPS11)	NA	-136	RPS11								
M6_1_128_R1_peak_446	chr20	35741842	35742720	+	2772	NA	promoter-TSS (RBM39)	NA	55	RBM39								
M6_1_128_R1_peak_102	chr11	13462920	13463592	+	2646	NA	promoter-TSS (BTBD10)	NA	-22982	BTBD10								
M6_1_128_R1_peak_679	chr9	120842664	120843386	+	2569	NA	promoter-TSS (PSMD5)	NA	-4	PSMD5								
M6_1_128_R1_peak_171	chr13	21176321	21176903	+	2519	NA	promoter-TSS (SKA3)	NA	-64	SKA3								
M6_1_128_R1_peak_300	chr17	54968417	54968944	+	2436	NA	promoter-TSS (COX11)	NA	23	COX11								
M6_1_128_R1_peak_511	chr3	194583686	194584261	+	2432	NA	promoter-TSS (TMEM44-AS1)	NA	-295	TMEM44-AS1								
M6_1_128_R1_peak_445	chr20	32357848	32358351	+	2415	NA	promoter-TSS (ASXL1)	NA	83	LOC100996873								
M6_1_128_R1_peak_390	chr2	55617376	55618103	+	2330	NA	promoter-TSS (SMEK2)	NA	-14	SMEK2								
M6_1_128_R1_peak_235	chr15	78437827	78438576	+	2305	NA	promoter-TSS (IREB2)	NA	25	IREB2								
M6_1_128_R1_peak_379	chr2	677142	677716	+	2268	NA	promoter-TSS (TMEM18)	NA	10	TMEM18								
M6_1_128_R1_peak_332	chr19	4123801	4124453	+	2266	NA	promoter-TSS (MAP2K2)	NA	62	MAP2K2								
M6_1_128_R1_peak_663	chr9	6412864	6413495	+	2254	NA	promoter-TSS (UHRF2)	NA	-48	UHRF2								
M6_1_128_R1_peak_409	chr2	159712111	159712734	+	2161	NA	promoter-TSS (MARCH7)	NA	17	LOC102723926								
M6_1_128_R1_peak_664	chr9	6681340	6682016	+	2152	NA	Intergenic	NA	-35986	GLDC								
M6_1_128_R1_peak_275	chr17	4263681	4264276	+	2146	NA	promoter-TSS (ANKFY1)	NA	1	ANKFY1								
