PeakID (cmd=annotatePeaks.pl MV411_7_714_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_7_714_R1_peak_1356	chr2	8500681	8501324	+	2429	NA	Intergenic	NA	82790	AC011747.4								
MV411_7_714_R1_peak_253	chr1	230588062	230589059	+	2368	NA	Intergenic	NA	7023	LOC101927553								
MV411_7_714_R1_peak_925	chr16	90031205	90033059	+	2360	NA	intron (GAS8, intron 3 of 10)	NA	-2231	C16orf3								
MV411_7_714_R1_peak_1849	chr5	1544734	1546086	+	2345	NA	Intergenic	NA	-21449	LPCAT1								
MV411_7_714_R1_peak_1559	chr20	52423247	52425037	+	2305	NA	Intergenic	NA	-196696	RP4-723E3.1								
MV411_7_714_R1_peak_597	chr12	132429478	132430589	+	2278	NA	intron (LOC101928629, intron 4 of 4)	NA	24943	LOC101928629								
MV411_7_714_R1_peak_1573	chr20	63814945	63816527	+	2236	NA	intron (LOC101928604, intron 1 of 2)	NA	7660	LOC101928604								
MV411_7_714_R1_peak_3	chr1	1123214	1124569	+	2143	NA	Intergenic	NA	-7802	C1orf159								
MV411_7_714_R1_peak_358	chr10	133057400	133058792	+	2131	NA	Intergenic	NA	-29809	GPR123								
MV411_7_714_R1_peak_1763	chr4	622304	623401	+	2071	NA	Intergenic	NA	-30325	PDE6B								
MV411_7_714_R1_peak_1199	chr19	11208713	11212564	+	2043	NA	intron (DOCK6, intron 39 of 49)	NA	-16048	KANK2								
MV411_7_714_R1_peak_1491	chr2	241572361	241573665	+	2030	NA	exon (BOK, exon 5 of 5)	NA	13719	BOK								
MV411_7_714_R1_peak_95	chr1	53555371	53557312	+	1994	NA	intron (GLIS1, intron 3 of 9)	NA	96942	DMRTB1								
MV411_7_714_R1_peak_915	chr16	86337747	86338782	+	1993	NA	exon (LINC00917, exon 3 of 7)	NA	7415	LINC00917								
MV411_7_714_R1_peak_456	chr11	71447992	71448548	+	1970	NA	intron (DHCR7, intron 1 of 8)	NA	161	DHCR7								
MV411_7_714_R1_peak_662	chr13	113665021	113666881	+	1919	NA	Intergenic	NA	-1328	GRK1								
MV411_7_714_R1_peak_651	chr13	112714810	112715742	+	1875	NA	intron (ATP11A, intron 1 of 28)	NA	25228	ATP11A								
MV411_7_714_R1_peak_47	chr1	17675124	17676662	+	1874	NA	intron (ARHGEF10L, intron 25 of 27)	NA	-79420	ACTL8								
MV411_7_714_R1_peak_1657	chr22	44730911	44731582	+	1858	NA	intron (PRR5-ARHGAP8, intron 4 of 14)	NA	-21312	ARHGAP8								
MV411_7_714_R1_peak_2371	chr9	135563045	135563749	+	1794	NA	intron (PAEP, intron 3 of 3)	NA	1639	PAEP								
MV411_7_714_R1_peak_2327	chr9	93670677	93673570	+	1782	NA	exon (LOC101929519, exon 2 of 3)	NA	1211	LOC101929519								
MV411_7_714_R1_peak_1214	chr19	14267191	14267747	+	1766	NA	Intergenic	NA	-61284	LPHN1								
MV411_7_714_R1_peak_2038	chr6	167392322	167393648	+	1758	NA	Intergenic	NA	-8475	TCP10								
MV411_7_714_R1_peak_276	chr10	1571445	1572443	+	1742	NA	intron (ADARB2, intron 1 of 9)	NA	45314	ADARB2-AS1								
MV411_7_714_R1_peak_1077	chr17	83096160	83097161	+	1722	NA	Intergenic	NA	-14931	LOC101930496								
MV411_7_714_R1_peak_236	chr1	209770056	209772158	+	1704	NA	intron (TRAF3IP3, intron 1 of 9)	NA	13438	C1orf74								
MV411_7_714_R1_peak_1191	chr19	9858671	9859206	+	1685	NA	intron (OLFM2, intron 2 of 5)	NA	23731	PIN1								
MV411_7_714_R1_peak_2155	chr8	1857923	1858475	+	1667	NA	intron (ARHGEF10, intron 3 of 27)	NA	32088	ARHGEF10								
MV411_7_714_R1_peak_1190	chr19	8528459	8530318	+	1666	NA	exon (MYO1F, exon 22 of 22)	NA	-15383	ZNF414								
