PeakID (cmd=annotatePeaks.pl MV411_1_106_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_106_R1_peak_20385	chr5	138178487	138179315	+	6398	NA	promoter-TSS (BRD8)	NA	177	KIF20A								
MV411_1_106_R1_peak_16308	chr22	24871470	24872298	+	5363	NA	intron (SGSM1, intron 12 of 23)	NA	65715	SGSM1								
MV411_1_106_R1_peak_8730	chr16	29805242	29806528	+	5229	NA	promoter-TSS (MAZ)	NA	-214	MAZ								
MV411_1_106_R1_peak_4359	chr11	68751186	68751789	+	5108	NA	promoter-TSS (MTL5)	NA	33	MTL5								
MV411_1_106_R1_peak_11316	chr19	823394	824414	+	4956	NA	Intergenic	NA	-1952	LPPR3								
MV411_1_106_R1_peak_24962	chr8	124247157	124247903	+	4928	NA	promoter-TSS (RP11-37N22.1)	NA	-132	RP11-37N22.1								
MV411_1_106_R1_peak_5702	chr12	89733447	89734183	+	4900	NA	Intergenic	NA	24860	LINC00936								
MV411_1_106_R1_peak_21565	chr6	40378000	40378647	+	4891	NA	promoter-TSS (TDRG1)	NA	-101	TDRG1								
MV411_1_106_R1_peak_25293	chr9	899478	900175	+	4801	NA	intron (DMRT1, intron 3 of 4)	NA	58179	DMRT1								
MV411_1_106_R1_peak_13428	chr2	60099895	60100558	+	4730	NA	Intergenic	NA	287219	MIR4432								
MV411_1_106_R1_peak_6066	chr12	121425143	121425790	+	4669	NA	Intergenic	NA	18881	MIR7107								
MV411_1_106_R1_peak_12391	chr19	43950845	43951531	+	4622	NA	promoter-TSS (ZNF221)	NA	-57	ZNF221								
MV411_1_106_R1_peak_11421	chr19	2546053	2547065	+	4614	NA	intron (GNG7, intron 3 of 4)	NA	-32988	LOC101929097								
MV411_1_106_R1_peak_1407	chr1	151945584	151946311	+	4577	NA	Intergenic	NA	-36062	THEM4								
MV411_1_106_R1_peak_7506	chr15	34047309	34048018	+	4577	NA	intron (CHRM5, intron 2 of 2)	NA	-8561	AVEN								
MV411_1_106_R1_peak_7674	chr15	50065163	50065758	+	4558	NA	intron (ATP8B4, intron 3 of 20)	NA	45057	ATP8B4								
MV411_1_106_R1_peak_5542	chr12	57935731	57936408	+	4556	NA	promoter-TSS (RP11-620J15.3)	NA	95	RP11-620J15.3								
MV411_1_106_R1_peak_14067	chr2	136008008	136008851	+	4474	NA	TTS (AC093391.2)	NA	-22777	DARS								
MV411_1_106_R1_peak_4257	chr11	65497217	65497908	+	4457	NA	promoter-TSS (MALAT1)	NA	-200	MALAT1								
MV411_1_106_R1_peak_6097	chr12	122646676	122647289	+	4291	NA	Intergenic	NA	56375	HCAR2								
MV411_1_106_R1_peak_11318	chr19	827443	828266	+	4271	NA	promoter-TSS (AZU1)	NA	23	AZU1								
MV411_1_106_R1_peak_24721	chr8	101136892	101137787	+	4268	NA	Intergenic	NA	68393	ZNF706								
MV411_1_106_R1_peak_13488	chr2	64946100	64946758	+	4249	NA	Intergenic	NA	-13982	AC007386.2								
MV411_1_106_R1_peak_4273	chr11	65766440	65767126	+	4235	NA	Intergenic	NA	13808	AP5B1								
MV411_1_106_R1_peak_11571	chr19	6577312	6578143	+	4215	NA	Intergenic	NA	13425	CD70								
MV411_1_106_R1_peak_391	chr1	25082105	25082819	+	4210	NA	Intergenic	NA	58959	MIR4425								
MV411_1_106_R1_peak_8723	chr16	29663057	29663978	+	4189	NA	intron (SPN, intron 1 of 1)	NA	298	SPN								
MV411_1_106_R1_peak_9485	chr17	6948558	6949245	+	4150	NA	Intergenic	NA	-47731	ALOX12								
MV411_1_106_R1_peak_10072	chr17	47895674	47896602	+	4121	NA	promoter-TSS (SP2)	NA	-12	SP2								
MV411_1_106_R1_peak_12746	chr19	54368955	54369549	+	4113	NA	intron (LAIR1, intron 1 of 9)	NA	1301	LAIR1								
MV411_1_106_R1_peak_5117	chr12	14365329	14366084	+	4104	NA	promoter-TSS (ATF7IP)	NA	74	ATF7IP								
MV411_1_106_R1_peak_717	chr1	43834205	43835636	+	4102	NA	intron (ST3GAL3, intron 5 of 12)	NA	-3702	MIR6079								
MV411_1_106_R1_peak_8587	chr16	17342898	17343631	+	4069	NA	intron (XYLT1, intron 2 of 11)	NA	127617	XYLT1								
MV411_1_106_R1_peak_12441	chr19	45370472	45371010	+	4015	NA	promoter-TSS (ERCC2)	NA	-193	ERCC2								
MV411_1_106_R1_peak_6262	chr13	22992365	22992946	+	3997	NA	Intergenic	NA	-94474	BASP1P1								
MV411_1_106_R1_peak_22704	chr7	17058444	17059026	+	3976	NA	Intergenic	NA	-177999	AGR3								
MV411_1_106_R1_peak_23503	chr7	130912798	130913780	+	3969	NA	promoter-TSS (AC058791.1)	NA	21	AC058791.1								
MV411_1_106_R1_peak_2317	chr1	234522495	234523375	+	3939	NA	Intergenic	NA	8844	RP5-855F14.1								
MV411_1_106_R1_peak_15531	chr20	45857171	45857833	+	3866	NA	promoter-TSS (ZSWIM3)	NA	-93	ACOT8								
MV411_1_106_R1_peak_11889	chr19	16139548	16140261	+	3838	NA	intron (HSH2D, intron 1 of 7)	NA	5876	HSH2D								
MV411_1_106_R1_peak_17256	chr3	49021365	49022494	+	3829	NA	promoter-TSS (DALRD3)	NA	-1277	MIR191								
MV411_1_106_R1_peak_20678	chr5	165188645	165189514	+	3808	NA	Intergenic	NA	718800	LOC102546299								
MV411_1_106_R1_peak_2341	chr1	234980384	234981480	+	3788	NA	Intergenic	NA	88886	LOC731656								
MV411_1_106_R1_peak_5048	chr12	9367104	9367775	+	3783	NA	promoter-TSS (LOC101930452)	NA	45	LOC101930452								
MV411_1_106_R1_peak_9227	chr16	85733087	85734057	+	3775	NA	intron (C16orf74, intron 2 of 3)	NA	2735	C16orf74								
MV411_1_106_R1_peak_71	chr1	4311988	4312585	+	3754	NA	Intergenic	NA	-99765	RP5-1166F10.1								
MV411_1_106_R1_peak_13786	chr2	99827174	99827812	+	3733	NA	intron (AFF3, intron 7 of 23)	NA	-119845	AFF3								
MV411_1_106_R1_peak_21599	chr6	42333543	42334217	+	3728	NA	intron (TRERF1, intron 3 of 17)	NA	-116015	MRPS10								
MV411_1_106_R1_peak_4328	chr11	67277383	67277988	+	3719	NA	intron (ADRBK1, intron 2 of 20)	NA	11251	ADRBK1								
MV411_1_106_R1_peak_3701	chr11	6200791	6201430	+	3673	NA	TTS (OR52W1)	NA	1886	OR52W1								
MV411_1_106_R1_peak_2365	chr1	235942067	235942900	+	3670	NA	Intergenic	NA	-89423	MIR1537								
MV411_1_106_R1_peak_939	chr1	71881451	71882141	+	3667	NA	intron (NEGR1, intron 2 of 6)	NA	-44784	NEGR1-IT1								
MV411_1_106_R1_peak_5502	chr12	56336490	56337109	+	3546	NA	Intergenic	NA	-2080	IL23A								
MV411_1_106_R1_peak_21754	chr6	67888853	67889715	+	3515	NA	Intergenic	NA	-151639	LOC102723883								
MV411_1_106_R1_peak_12788	chr19	55338856	55340112	+	3505	NA	promoter-TSS (SUV420H2)	NA	-3728	SUV420H2								
MV411_1_106_R1_peak_14133	chr2	144703821	144704500	+	3501	NA	intron (TEX41, intron 1 of 4)	NA	36193	TEX41								
MV411_1_106_R1_peak_17430	chr3	60856108	60856819	+	3500	NA	intron (FHIT, intron 2 of 8)	NA	394844	FHIT								
MV411_1_106_R1_peak_12123	chr19	33373284	33374333	+	3494	NA	promoter-TSS (CEBPG)	NA	-716	CEBPG								
MV411_1_106_R1_peak_18085	chr3	168024430	168025051	+	3493	NA	intron (GOLIM4, intron 12 of 14)	NA	71184	GOLIM4								
MV411_1_106_R1_peak_6366	chr13	32116148	32116750	+	3490	NA	intron (FRY, intron 3 of 62)	NA	-84810	FRY-AS1								
MV411_1_106_R1_peak_10210	chr17	58337719	58338407	+	3481	NA	intron (BZRAP1-AS1, intron 1 of 2)	NA	861	BZRAP1-AS1								
