PeakID (cmd=annotatePeaks.pl OCIAML3_1_195_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML3_1_195_R1_peak_20168	chr22	29266768	29269656	+	2192	NA	promoter-TSS (EWSR1)	NA	-127	RHBDD3								
OCIAML3_1_195_R1_peak_27476	chr7	2353423	2356000	+	2060	NA	promoter-TSS (EIF3B)	NA	-128	EIF3B								
OCIAML3_1_195_R1_peak_1845	chr1	154935926	154937987	+	1935	NA	promoter-TSS (PMVK)	NA	52	PMVK								
OCIAML3_1_195_R1_peak_1792	chr1	153633938	153634731	+	1933	NA	promoter-TSS (S100A13)	NA	258	CHTOP								
OCIAML3_1_195_R1_peak_18999	chr20	35740374	35742351	+	1902	NA	intron (RBM39, intron 1 of 16)	NA	940	RBM39								
OCIAML3_1_195_R1_peak_3476	chr10	12041676	12043885	+	1867	NA	promoter-TSS (UPF2)	NA	390	UPF2								
OCIAML3_1_195_R1_peak_23889	chr5	6632242	6633704	+	1835	NA	promoter-TSS (SRD5A1)	NA	387	NSUN2								
OCIAML3_1_195_R1_peak_29378	chr8	33512383	33513915	+	1824	NA	promoter-TSS (SNORD13)	NA	36	TTI2								
OCIAML3_1_195_R1_peak_7932	chr12	131710235	131712299	+	1809	NA	exon (SFSWAP, exon 1 of 19)	NA	172	SFSWAP								
OCIAML3_1_195_R1_peak_13395	chr17	75204611	75206632	+	1785	NA	promoter-TSS (NUP85)	NA	-69	NUP85								
OCIAML3_1_195_R1_peak_7614	chr12	110402731	110404355	+	1713	NA	exon (ANAPC7, exon 1 of 10)	NA	146	ANAPC7								
OCIAML3_1_195_R1_peak_15523	chr19	47110497	47114261	+	1709	NA	promoter-TSS (ZC3H4)	NA	-132	ZC3H4								
OCIAML3_1_195_R1_peak_23898	chr5	10248919	10251677	+	1694	NA	promoter-TSS (FAM173B)	NA	128	CCT5								
OCIAML3_1_195_R1_peak_11300	chr16	30956859	30958742	+	1674	NA	promoter-TSS (SETD1A)	NA	-518	SETD1A								
OCIAML3_1_195_R1_peak_15506	chr19	46600309	46602023	+	1669	NA	promoter-TSS (CALM3)	NA	-89	CALM3								
OCIAML3_1_195_R1_peak_24047	chr5	32585276	32587016	+	1663	NA	intron (SUB1, intron 1 of 4)	NA	647	SUB1								
OCIAML3_1_195_R1_peak_19161	chr20	45971114	45972533	+	1662	NA	promoter-TSS (ZNF335)	NA	-554	ZNF335								
OCIAML3_1_195_R1_peak_2617	chr1	204515566	204518985	+	1652	NA	intron (MDM4, intron 1 of 12)	NA	869	MDM4								
OCIAML3_1_195_R1_peak_19052	chr20	37526872	37528637	+	1638	NA	promoter-TSS (BLCAP)	NA	177	BLCAP								
OCIAML3_1_195_R1_peak_28415	chr7	100428350	100431110	+	1635	NA	promoter-TSS (ZCWPW1)	NA	-316	ZCWPW1								
OCIAML3_1_195_R1_peak_24623	chr5	98926788	98930441	+	1631	NA	promoter-TSS (LOC100289230)	NA	200	CHD1								
OCIAML3_1_195_R1_peak_13397	chr17	75260543	75262981	+	1630	NA	promoter-TSS (GGA3)	NA	94	MRPS7								
OCIAML3_1_195_R1_peak_31086	chr9	95874738	95877242	+	1625	NA	promoter-TSS (LINC00476)	NA	-13	LINC00476								
OCIAML3_1_195_R1_peak_5521	chr11	65420466	65426132	+	1606	NA	exon (NEAT1, exon 1 of 1)	NA	501	NEAT1								
OCIAML3_1_195_R1_peak_3732	chr10	32346313	32347725	+	1564	NA	promoter-TSS (EPC1)	NA	183	EPC1								
OCIAML3_1_195_R1_peak_12881	chr17	45146778	45148369	+	1558	NA	exon (HEXIM1, exon 1 of 1)	NA	256	HEXIM1								
OCIAML3_1_195_R1_peak_299	chr1	16904429	16905295	+	1546	NA	Intergenic	NA	8882	RNU1-2								
OCIAML3_1_195_R1_peak_15348	chr19	41264242	41266898	+	1543	NA	intron (HNRNPUL1, intron 1 of 14)	NA	3051	HNRNPUL1								
OCIAML3_1_195_R1_peak_30465	chr8	143596490	143599103	+	1532	NA	promoter-TSS (EEF1D)	NA	-108	TIGD5								
OCIAML3_1_195_R1_peak_28650	chr7	120950627	120951619	+	1516	NA	intron (ING3, intron 1 of 4)	NA	360	ING3								
OCIAML3_1_195_R1_peak_2875	chr1	228081697	228084384	+	1512	NA	promoter-TSS (ARF1)	NA	-110	ARF1								
OCIAML3_1_195_R1_peak_16823	chr2	70085653	70089758	+	1509	NA	promoter-TSS (PCBP1-AS1)	NA	252	PCBP1								
OCIAML3_1_195_R1_peak_18498	chr20	2101571	2103613	+	1506	NA	intron (STK35, intron 1 of 3)	NA	710	STK35								
OCIAML3_1_195_R1_peak_23007	chr4	73729751	73735302	+	1497	NA	Intergenic	NA	-7980	IL8								
OCIAML3_1_195_R1_peak_27480	chr7	2554976	2555917	+	1487	NA	promoter-TSS (BRAT1)	NA	274	BRAT1								
