PeakID (cmd=annotatePeaks.pl D9_2_304_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_2_304_R1_peak_23713	chr3	44439571	44440420	+	4607	NA	exon (ZNF445, exon 8 of 8)	NA	12293	LOC100506319								
D9_2_304_R1_peak_5194	chr10	117237095	117237841	+	4284	NA	Intergenic	NA	-3605	SLC18A2								
D9_2_304_R1_peak_26038	chr4	69831583	69832470	+	4180	NA	Intergenic	NA	28126	SULT1E1								
D9_2_304_R1_peak_25380	chr3	194736553	194737810	+	4089	NA	intron (AC090505.6, intron 1 of 3)	NA	28760	AC090505.6								
D9_2_304_R1_peak_29423	chr6	31585909	31587061	+	3968	NA	promoter-TSS (LST1)	NA	276	LST1								
D9_2_304_R1_peak_24845	chr3	151347243	151347981	+	3885	NA	intron (P2RY12, intron 1 of 2)	NA	-6757	P2RY12								
D9_2_304_R1_peak_7687	chr12	19908652	19909362	+	3803	NA	Intergenic	NA	-105678	RP11-664H17.1								
D9_2_304_R1_peak_18496	chr2	42752100	42752853	+	3778	NA	intron (MTA3, intron 16 of 16)	NA	11785	OXER1								
D9_2_304_R1_peak_31484	chr7	43649534	43650282	+	3769	NA	promoter-TSS (COA1)	NA	-14990	LOC101928860								
D9_2_304_R1_peak_14943	chr17	59533682	59534296	+	3601	NA	Intergenic	NA	-7150	RP11-567L7.6								
D9_2_304_R1_peak_7932	chr12	47888791	47889512	+	3585	NA	intron (VDR, intron 1 of 9)	NA	15880	VDR								
D9_2_304_R1_peak_11849	chr15	69666443	69667379	+	3571	NA	Intergenic	NA	105191	RP11-279F6.1								
D9_2_304_R1_peak_12269	chr15	90188944	90189435	+	3445	NA	intron (SEMA4B, intron 1 of 14)	NA	-12141	SEMA4B								
D9_2_304_R1_peak_5439	chr11	1839722	1840411	+	3424	NA	promoter-TSS (TNNI2)	NA	1063	TNNI2								
D9_2_304_R1_peak_17318	chr19	41575818	41576428	+	3363	NA	promoter-TSS (CEACAM21)	NA	-56	CEACAM21								
D9_2_304_R1_peak_7699	chr12	22538812	22539689	+	3326	NA	intron (C2CD5, intron 2 of 27)	NA	5258	C2CD5								
D9_2_304_R1_peak_6549	chr11	72815444	72816090	+	3302	NA	intron (ATG16L2, intron 1 of 17)	NA	1361	ATG16L2								
D9_2_304_R1_peak_35236	chr9	126389727	126390523	+	3293	NA	intron (MVB12B, intron 4 of 9)	NA	20379	NRON								
D9_2_304_R1_peak_16781	chr19	14383737	14384832	+	3222	NA	intron (CD97, intron 1 of 19)	NA	3140	CD97								
D9_2_304_R1_peak_6544	chr11	72807128	72807635	+	3221	NA	Intergenic	NA	-7025	ATG16L2								
D9_2_304_R1_peak_18133	chr2	16625052	16625886	+	3183	NA	intron (FAM49A, intron 1 of 11)	NA	-2312	FAM49A								
D9_2_304_R1_peak_31893	chr7	98133053	98133772	+	3142	NA	intron (LMTK2, intron 1 of 13)	NA	26527	LMTK2								
D9_2_304_R1_peak_12787	chr16	17448933	17449922	+	3088	NA	intron (XYLT1, intron 1 of 11)	NA	21454	XYLT1								
D9_2_304_R1_peak_24179	chr3	72101954	72102622	+	3081	NA	Intergenic	NA	-1833	LINC00877								
D9_2_304_R1_peak_7394	chr12	6140862	6141541	+	3073	NA	Intergenic	NA	-16531	VWF								
D9_2_304_R1_peak_21455	chr20	38167989	38169360	+	3054	NA	Intergenic	NA	-3376	TGM2								
D9_2_304_R1_peak_16370	chr19	3141783	3142488	+	3043	NA	exon (AC005264.2, exon 4 of 4)	NA	5942	GNA15								
D9_2_304_R1_peak_31737	chr7	77192920	77193467	+	3014	NA	TTS (FGL2)	NA	-4934	CCDC146								
D9_2_304_R1_peak_32062	chr7	106344698	106345604	+	3008	NA	Intergenic	NA	-59959	NAMPT								
D9_2_304_R1_peak_15338	chr17	77465467	77466023	+	3003	NA	promoter-TSS (SEPT9)	NA	21041	LOC100996273								
D9_2_304_R1_peak_13975	chr17	7842474	7843441	+	2944	NA	promoter-TSS (KDM6B)	NA	-771	KDM6B								
D9_2_304_R1_peak_2776	chr1	183604161	183605348	+	2915	NA	Intergenic	NA	-14150	NCF2								
D9_2_304_R1_peak_2772	chr1	183590306	183591070	+	2900	NA	promoter-TSS (NCF2)	NA	-84	NCF2								
D9_2_304_R1_peak_31081	chr7	5556004	5556868	+	2859	NA	Intergenic	NA	-25835	ACTB								
D9_2_304_R1_peak_20125	chr2	181456541	181457636	+	2851	NA	exon (ITGA4, exon 1 of 28)	NA	196	ITGA4								
D9_2_304_R1_peak_8852	chr12	111170459	111171110	+	2839	NA	intron (CUX2, intron 2 of 22)	NA	-133358	MIR6760								
D9_2_304_R1_peak_31977	chr7	100887415	100888154	+	2838	NA	TTS (UFSP1)	NA	1934	UFSP1								
D9_2_304_R1_peak_15900	chr18	36129346	36130208	+	2833	NA	promoter-TSS (ELP2)	NA	-97	ELP2								
D9_2_304_R1_peak_28694	chr5	177494002	177494774	+	2822	NA	intron (PDLIM7, intron 2 of 12)	NA	3212	PDLIM7								
D9_2_304_R1_peak_27664	chr5	95048483	95049184	+	2807	NA	intron (MCTP1, intron 1 of 22)	NA	33008	MCTP1								
D9_2_304_R1_peak_22183	chr21	36150086	36150803	+	2800	NA	intron (CBR3-AS1, intron 1 of 2)	NA	5864	CBR3-AS1								
D9_2_304_R1_peak_21631	chr20	48772231	48772892	+	2770	NA	intron (PREX1, intron 1 of 39)	NA	-115966	PREX1								
D9_2_304_R1_peak_21812	chr20	57432708	57433437	+	2757	NA	Intergenic	NA	41606	RBM38								
D9_2_304_R1_peak_15570	chr18	812489	813808	+	2728	NA	promoter-TSS (YES1)	NA	-877	YES1								
D9_2_304_R1_peak_7441	chr12	6745483	6746238	+	2723	NA	Intergenic	NA	7610	MLF2								
D9_2_304_R1_peak_35081	chr9	117704009	117704648	+	2718	NA	exon (TLR4, exon 1 of 3)	NA	153	TLR4								
D9_2_304_R1_peak_16907	chr19	17717220	17717839	+	2690	NA	Intergenic	NA	-1965	MAP1S								
D9_2_304_R1_peak_34118	chr9	272673	273255	+	2680	NA	promoter-TSS (DOCK8)	NA	-84	DOCK8								
D9_2_304_R1_peak_35229	chr9	125649181	125649757	+	2670	NA	intron (MAPKAP1, intron 4 of 11)	NA	57765	MAPKAP1								
D9_2_304_R1_peak_7418	chr12	6461588	6462490	+	2655	NA	TTS (TAPBPL)	NA	8638	VAMP1								
D9_2_304_R1_peak_586	chr1	27116515	27117255	+	2651	NA	intron (SLC9A1, intron 1 of 11)	NA	38245	SLC9A1								
D9_2_304_R1_peak_13088	chr16	46658864	46659468	+	2644	NA	TTS (VPS35)	NA	30066	VPS35								
D9_2_304_R1_peak_11431	chr15	49706754	49707302	+	2629	NA	Intergenic	NA	85993	DTWD1								
D9_2_304_R1_peak_7487	chr12	8037034	8037633	+	2620	NA	intron (FOXJ2, intron 1 of 10)	NA	4631	FOXJ2								
D9_2_304_R1_peak_3031	chr1	203289259	203290004	+	2615	NA	TTS (RP11-134P9.3)	NA	2595	RP11-134P9.3								
D9_2_304_R1_peak_32738	chr8	22704849	22705586	+	2593	NA	Intergenic	NA	-12637	EGR3								
D9_2_304_R1_peak_5515	chr11	4455095	4455974	+	2554	NA	Intergenic	NA	6239	OR52K2								
D9_2_304_R1_peak_31086	chr7	5693291	5693987	+	2530	NA	intron (RNF216, intron 13 of 16)	NA	-3161	LOC101927301								
D9_2_304_R1_peak_18682	chr2	60439282	60439886	+	2522	NA	Intergenic	NA	-37467	LOC102724142								
D9_2_304_R1_peak_2164	chr1	153945731	153946541	+	2519	NA	promoter-TSS (DENND4B)	NA	-1064	DENND4B								
D9_2_304_R1_peak_18589	chr2	47179130	47179767	+	2503	NA	Intergenic	NA	-2847	CALM2								
D9_2_304_R1_peak_401	chr1	22018926	22019718	+	2496	NA	Intergenic	NA	-6182	LINC00339								
D9_2_304_R1_peak_13295	chr16	66524615	66525324	+	2489	NA	intron (TK2, intron 5 of 8)	NA	25443	TK2								
D9_2_304_R1_peak_10560	chr14	69702951	69703655	+	2483	NA	intron (KIAA0247, intron 2 of 5)	NA	-63792	SRSF5								
D9_2_304_R1_peak_28945	chr6	7439185	7439823	+	2481	NA	TTS (LOC102724234)	NA	12598	LOC102724234								
D9_2_304_R1_peak_20214	chr2	191675711	191676312	+	2481	NA	Intergenic	NA	-2125	NABP1								
D9_2_304_R1_peak_19254	chr2	101328074	101328974	+	2470	NA	Intergenic	NA	19071	MIR5696								
D9_2_304_R1_peak_29475	chr6	32794362	32795033	+	2449	NA	Intergenic	NA	22351	HLA-DOB								
D9_2_304_R1_peak_21617	chr20	47727286	47728109	+	2422	NA	intron (SULF2, intron 3 of 20)	NA	57790	SULF2								
D9_2_304_R1_peak_24108	chr3	63934244	63934900	+	2384	NA	intron (ATXN7, intron 3 of 12)	NA	36173	ATXN7								
D9_2_304_R1_peak_19253	chr2	101308496	101309266	+	2381	NA	promoter-TSS (RNF149)	NA	-165	RNF149								
D9_2_304_R1_peak_24588	chr3	129526060	129526615	+	2377	NA	Intergenic	NA	-2302	RHO								
D9_2_304_R1_peak_8628	chr12	96407630	96408146	+	2372	NA	Intergenic	NA	-7300	CDK17								
D9_2_304_R1_peak_9293	chr13	30712988	30713580	+	2336	NA	promoter-TSS (ALOX5AP)	NA	-194	ALOX5AP								
D9_2_304_R1_peak_8156	chr12	55642111	55643165	+	2334	NA	Intergenic	NA	5746	OR10P1								
D9_2_304_R1_peak_29254	chr6	25137946	25138741	+	2325	NA	promoter-TSS (CMAHP)	NA	49	CMAHP								
D9_2_304_R1_peak_19410	chr2	112004076	112004621	+	2316	NA	intron (MERTK, intron 13 of 18)	NA	-50918	TMEM87B								
