PeakID (cmd=annotatePeaks.pl MV411_1_570_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_570_R1_peak_36073	chr9	128117539	128118204	+	2004	NA	intron (RP11-395P17.3, intron 1 of 4)	NA	863	RP11-395P17.3								
MV411_1_570_R1_peak_29995	chr6	72412085	72412568	+	1967	NA	Intergenic	NA	-209517	KCNQ5								
MV411_1_570_R1_peak_17680	chr19	53792925	53793469	+	1939	NA	TTS (NLRP12)	NA	4487	MIR373								
MV411_1_570_R1_peak_16546	chr19	8580689	8581113	+	1895	NA	exon (ADAMTS10, exon 24 of 24)	NA	-3454	MYO1F								
MV411_1_570_R1_peak_10274	chr14	49861946	49862457	+	1873	NA	TTS (RN7SL2)	NA	648	RN7SL2								
MV411_1_570_R1_peak_33088	chr8	9830837	9831408	+	1855	NA	Intergenic	NA	72207	LINC00599								
MV411_1_570_R1_peak_19818	chr2	177164508	177164949	+	1736	NA	Intergenic	NA	-47966	HNRNPA3								
MV411_1_570_R1_peak_3514	chr1	244299379	244299822	+	1733	NA	Intergenic	NA	-53035	C1orf100								
MV411_1_570_R1_peak_16217	chr19	246787	247559	+	1720	NA	promoter-TSS (LOC101928344)	NA	-7338	LOC101928344								
MV411_1_570_R1_peak_32873	chr7	151172408	151173017	+	1718	NA	Intergenic	NA	-5164	GBX1								
MV411_1_570_R1_peak_33918	chr8	73174266	73174765	+	1711	NA	Intergenic	NA	-81243	SBSPON								
MV411_1_570_R1_peak_27997	chr5	111157964	111158504	+	1704	NA	Intergenic	NA	-66015	CAMK4								
MV411_1_570_R1_peak_13122	chr16	57648991	57649432	+	1672	NA	intron (GPR56, intron 1 of 13)	NA	1244	GPR56								
MV411_1_570_R1_peak_11368	chr15	40274592	40275136	+	1665	NA	intron (PAK6, intron 9 of 9)	NA	7722	ANKRD63								
MV411_1_570_R1_peak_32360	chr7	113710219	113710720	+	1657	NA	Intergenic	NA	208558	PPP1R3A								
MV411_1_570_R1_peak_29857	chr6	53171854	53172258	+	1637	NA	Intergenic	NA	-23230	GCM1								
MV411_1_570_R1_peak_33211	chr8	19372044	19372469	+	1602	NA	intron (SH2D4A, intron 7 of 9)	NA	29021	LOC102724881								
MV411_1_570_R1_peak_4524	chr10	86939404	86939815	+	1601	NA	intron (MMRN2, intron 6 of 6)	NA	17976	MMRN2								
MV411_1_570_R1_peak_16016	chr18	62183574	62183980	+	1599	NA	intron (PIGN, intron 1 of 29)	NA	3279	PIGN								
MV411_1_570_R1_peak_17578	chr19	49570070	49570589	+	1588	NA	intron (NOSIP, intron 1 of 8)	NA	10243	NOSIP								
MV411_1_570_R1_peak_30880	chr6	154675530	154675928	+	1583	NA	Intergenic	NA	-57649	SCAF8								
MV411_1_570_R1_peak_34712	chr8	138727266	138727791	+	1583	NA	intron (COL22A1, intron 12 of 52)	NA	155677	COL22A1								
MV411_1_570_R1_peak_17245	chr19	41641851	41642258	+	1575	NA	Intergenic	NA	-14980	CEACAM4								
MV411_1_570_R1_peak_14331	chr17	38667511	38667892	+	1550	NA	Intergenic	NA	7233	C17orf96								
