PeakID (cmd=annotatePeaks.pl MV411_9_718_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_9_718_R1_peak_3752	chr19	17305322	17305818	+	2271	NA	promoter-TSS (MRPL34)	NA	-98	MRPL34								
MV411_9_718_R1_peak_4463	chr2	191020129	191020714	+	1758	NA	Intergenic	NA	-6171	STAT1								
MV411_9_718_R1_peak_2506	chr16	4272463	4273761	+	1613	NA	promoter-TSS (TFAP4)	NA	-112	TFAP4								
MV411_9_718_R1_peak_6906	chr8	2021482	2022135	+	1498	NA	Intergenic	NA	-23235	MYOM2								
MV411_9_718_R1_peak_3826	chr19	35909123	35909727	+	1306	NA	promoter-TSS (TYROBP)	NA	-1116	TYROBP								
MV411_9_718_R1_peak_2822	chr16	89994650	89996293	+	1263	NA	exon (AFG3L1P, exon 11 of 11)	NA	-22639	CENPBD1								
MV411_9_718_R1_peak_1229	chr11	44568879	44569540	+	1223	NA	intron (CD82, intron 1 of 9)	NA	3618	CD82								
MV411_9_718_R1_peak_6684	chr7	44606126	44606694	+	1157	NA	promoter-TSS (OGDH)	NA	-162	OGDH								
MV411_9_718_R1_peak_1383	chr11	69296655	69298299	+	1101	NA	TTS (MYEOV)	NA	3319	MYEOV								
MV411_9_718_R1_peak_6849	chr7	140062810	140063263	+	1086	NA	exon (PARP12, exon 1 of 9)	NA	1250	PARP12								
MV411_9_718_R1_peak_6652	chr7	30225982	30226421	+	1030	NA	Intergenic	NA	-58106	ZNRF2								
MV411_9_718_R1_peak_2394	chr15	74546048	74546653	+	984	NA	intron (ARID3B, intron 2 of 8)	NA	5173	ARID3B								
MV411_9_718_R1_peak_2431	chr15	83108420	83108988	+	982	NA	intron (TM6SF1, intron 1 of 9)	NA	1021	TM6SF1								
MV411_9_718_R1_peak_480	chr1	148522531	148523198	+	968	NA	Intergenic	NA	-6393	TRNAN5-2								
MV411_9_718_R1_peak_5662	chr4	56958203	56958616	+	922	NA	Intergenic	NA	19251	NOA1								
MV411_9_718_R1_peak_4517	chr2	219279048	219279706	+	893	NA	promoter-TSS (DNAJB2)	NA	59	DNAJB2								
MV411_9_718_R1_peak_6617	chr7	7673198	7673493	+	870	NA	exon (RPA3-AS1, exon 2 of 4)	NA	32634	RPA3-AS1								
MV411_9_718_R1_peak_62	chr1	10400361	10400893	+	870	NA	intron (PGD, intron 3 of 12)	NA	1599	PGD								
MV411_9_718_R1_peak_3977	chr19	49987100	49987579	+	858	NA	intron (VRK3, intron 12 of 12)	NA	17684	SIGLEC16								
MV411_9_718_R1_peak_2544	chr16	11328426	11328897	+	854	NA	Intergenic	NA	-16793	RMI2								
MV411_9_718_R1_peak_4672	chr20	20076278	20076673	+	854	NA	intron (C20orf26, intron 6 of 25)	NA	-20429	CRNKL1								
MV411_9_718_R1_peak_4540	chr2	229488960	229489366	+	840	NA	intron (DNER, intron 6 of 11)	NA	-217822	PID1								
MV411_9_718_R1_peak_3128	chr17	56744724	56745256	+	823	NA	Intergenic	NA	75076	C17orf67								
MV411_9_718_R1_peak_4105	chr2	10497796	10498269	+	812	NA	Intergenic	NA	45588	LOC102723993								
MV411_9_718_R1_peak_3911	chr19	45769247	45769708	+	806	NA	promoter-TSS (SIX5)	NA	-238	SIX5								
MV411_9_718_R1_peak_990	chr10	89086668	89087522	+	804	NA	Intergenic	NA	-23693	MIR4679-2								
MV411_9_718_R1_peak_2280	chr15	44728509	44729169	+	798	NA	promoter-TSS (TRIM69)	NA	-7669	TRIM69								
MV411_9_718_R1_peak_2318	chr15	62060280	62060808	+	796	NA	promoter-TSS (VPS13C)	NA	41	LOC101928907								
MV411_9_718_R1_peak_5930	chr5	76402885	76403360	+	792	NA	promoter-TSS (IQGAP2)	NA	-153821	IQGAP2								
MV411_9_718_R1_peak_5390	chr3	127590828	127591296	+	780	NA	promoter-TSS (TPRA1)	NA	-303	TPRA1								
MV411_9_718_R1_peak_6631	chr7	20219544	20220335	+	780	NA	intron (LOC100506098, intron 4 of 4)	NA	2473	LOC100506098								
MV411_9_718_R1_peak_3886	chr19	44753230	44753749	+	777	NA	intron (BCL3, intron 5 of 11)	NA	-5178	MIR8085								
MV411_9_718_R1_peak_4803	chr20	50980222	50980618	+	772	NA	Intergenic	NA	21606	MOCS3								
MV411_9_718_R1_peak_7519	chr9	99819236	99819710	+	759	NA	intron (RP11-554F20.1, intron 1 of 6)	NA	416	RP11-554F20.1								
MV411_9_718_R1_peak_3049	chr17	42388545	42389005	+	746	NA	promoter-TSS (STAT3)	NA	-280	STAT3								
MV411_9_718_R1_peak_1346	chr11	65775432	65776639	+	745	NA	exon (AP5B1, exon 2 of 2)	NA	4556	AP5B1								
MV411_9_718_R1_peak_834	chr10	26437964	26438432	+	736	NA	promoter-TSS (APBB1IP)	NA	-139	APBB1IP								
MV411_9_718_R1_peak_3807	chr19	31214123	31214472	+	731	NA	intron (LOC101927254, intron 1 of 3)	NA	-32974	LOC101927254								
MV411_9_718_R1_peak_2388	chr15	73697028	73697506	+	731	NA	intron (CD276, intron 1 of 9)	NA	12986	CD276								
MV411_9_718_R1_peak_459	chr1	145281027	145281523	+	714	NA	TTS (RNVU1-14)	NA	159	RNVU1-14								
MV411_9_718_R1_peak_3840	chr19	39398176	39398799	+	711	NA	exon (MED29, exon 4 of 4)	NA	7164	MED29								
MV411_9_718_R1_peak_1425	chr11	84714325	84714777	+	705	NA	intron (DLG2, intron 6 of 27)	NA	-441259	DLG2								
MV411_9_718_R1_peak_2419	chr15	77004237	77004598	+	702	NA	intron (PSTPIP1, intron 1 of 10)	NA	9293	PSTPIP1								
MV411_9_718_R1_peak_3742	chr19	16328351	16328780	+	688	NA	Intergenic	NA	3725	KLF2								
MV411_9_718_R1_peak_5171	chr3	13012321	13012769	+	685	NA	intron (IQSEC1, intron 1 of 13)	NA	60572	IQSEC1								
MV411_9_718_R1_peak_1112	chr10	133013423	133013769	+	685	NA	promoter-TSS (LOC102723337)	NA	-129	LOC102723337								
MV411_9_718_R1_peak_5032	chr22	35376848	35377390	+	682	NA	Intergenic	NA	-3948	HMOX1								
MV411_9_718_R1_peak_1147	chr11	2898754	2899223	+	677	NA	promoter-TSS (SLC22A18)	NA	-3294	SLC22A18								
MV411_9_718_R1_peak_3175	chr17	63842614	63842986	+	670	NA	promoter-TSS (SMARCD2)	NA	-340	SMARCD2								
MV411_9_718_R1_peak_2312	chr15	58331628	58332608	+	668	NA	Intergenic	NA	-78636	LIPC								
MV411_9_718_R1_peak_2657	chr16	46387739	46388049	+	664	NA	Intergenic	NA	181203	ANKRD26P1								
MV411_9_718_R1_peak_702	chr1	212630132	212630559	+	655	NA	Intergenic	NA	5898	FAM71A								
MV411_9_718_R1_peak_7079	chr8	55930407	55930867	+	647	NA	intron (LYN, intron 1 of 12)	NA	50810	LYN								
MV411_9_718_R1_peak_255	chr1	44730049	44731551	+	640	NA	TTS (RNU5D-1)	NA	368	RNU5D-1								
MV411_9_718_R1_peak_6882	chr7	155166713	155167038	+	626	NA	Intergenic	NA	-95318	HTR5A-AS1								
MV411_9_718_R1_peak_7358	chr8	143430755	143431072	+	623	NA	promoter-TSS (MAFA)	NA	-481	MAFA								
MV411_9_718_R1_peak_460	chr1	145465365	145465871	+	622	NA	Intergenic	NA	5960	TRNAQ-CUG								
MV411_9_718_R1_peak_3452	chr18	62979226	62979588	+	621	NA	exon (PHLPP1, exon 17 of 17)	NA	263968	PHLPP1								
MV411_9_718_R1_peak_69	chr1	11907787	11910090	+	618	NA	TTS (RNU5E-1)	NA	784	RNU5E-1								
MV411_9_718_R1_peak_7485	chr9	89388183	89388590	+	616	NA	intron (SEMA4D, intron 13 of 17)	NA	69880	SECISBP2								
MV411_9_718_R1_peak_5908	chr5	61408523	61408980	+	611	NA	intron (ZSWIM6, intron 1 of 13)	NA	-112624	ZSWIM6								
MV411_9_718_R1_peak_7370	chr8	143986160	143986678	+	610	NA	promoter-TSS (PARP10)	NA	-148	PARP10								
MV411_9_718_R1_peak_6834	chr7	134084798	134085203	+	606	NA	Intergenic	NA	-42352	LRGUK								
MV411_9_718_R1_peak_6985	chr8	26133799	26134518	+	601	NA	Intergenic	NA	-89034	EBF2								
MV411_9_718_R1_peak_467	chr1	146387330	146387702	+	600	NA	intron (LOC100996756, intron 1 of 1)	NA	361	LOC100996756								
MV411_9_718_R1_peak_1629	chr12	49222552	49222914	+	599	NA	intron (LOC102723916, intron 1 of 2)	NA	13810	LOC102723916								
MV411_9_718_R1_peak_1594	chr12	26274633	26275060	+	595	NA	Intergenic	NA	-60069	LOC101928554								
MV411_9_718_R1_peak_7691	chrUn_GL000216v2	158590	158817	+	593	NA	NA	NA	NA	NA								
MV411_9_718_R1_peak_2370	chr15	70462891	70463408	+	586	NA	Intergenic	NA	123457	LOC101929151								
MV411_9_718_R1_peak_175	chr1	28648247	28649311	+	574	NA	TTS (RNU11)	NA	179	RNU11								
MV411_9_718_R1_peak_7291	chr8	130329876	130330291	+	572	NA	intron (ASAP1, intron 1 of 28)	NA	-33550	ASAP1-IT1								
MV411_9_718_R1_peak_2332	chr15	65295847	65296616	+	571	NA	TTS (RNU5A-1)	NA	180	RNU5A-1								
MV411_9_718_R1_peak_5179	chr3	14431862	14432606	+	567	NA	promoter-TSS (SLC6A6)	NA	29658	SLC6A6								
MV411_9_718_R1_peak_1299	chr11	62840829	62841965	+	567	NA	promoter-TSS (WDR74)	NA	364	RNU2-2P								
MV411_9_718_R1_peak_440	chr1	125179890	125180301	+	562	NA	Intergenic	NA	3660983	EMBP1								
MV411_9_718_R1_peak_2441	chr15	89087874	89088179	+	558	NA	promoter-TSS (ABHD2)	NA	-124	ABHD2								
MV411_9_718_R1_peak_2684	chr16	53098819	53099297	+	554	NA	promoter-TSS (CHD9)	NA	-42126	CHD9								
MV411_9_718_R1_peak_4969	chr22	18892392	18892620	+	553	NA	Intergenic	NA	-13717	DGCR6								
MV411_9_718_R1_peak_1804	chr12	120290899	120292736	+	553	NA	promoter-TSS (RNU4-2)	NA	86	RNU4-2								
MV411_9_718_R1_peak_4721	chr20	35305739	35306093	+	553	NA	intron (UQCC1, intron 8 of 8)	NA	-13494	FAM83C								
MV411_9_718_R1_peak_528	chr1	155244623	155244994	+	553	NA	promoter-TSS (GBA)	NA	54	GBA								
MV411_9_718_R1_peak_4111	chr2	11744096	11744432	+	553	NA	intron (LPIN1, intron 2 of 21)	NA	19915	LPIN1								
MV411_9_718_R1_peak_2652	chr16	34592609	34592855	+	550	NA	Intergenic	NA	160740	LOC102724523								
MV411_9_718_R1_peak_7149	chr8	89983945	89984695	+	547	NA	intron (NBN, intron 1 of 16)	NA	404	NBN								
MV411_9_718_R1_peak_2494	chr16	2535544	2535884	+	540	NA	Intergenic	NA	-2250	PDPK1								
MV411_9_718_R1_peak_2860	chr17	2982879	2983383	+	540	NA	intron (RAP1GAP2, intron 9 of 23)	NA	-16987	LOC101927911								
MV411_9_718_R1_peak_4072	chr1_KI270713v1_random	21643	22250	+	540	NA	Intergenic	NA	6882	TRNAN-GUU-7								
MV411_9_718_R1_peak_2910	chr17	8173158	8173690	+	540	NA	TTS (SNORD118)	NA	164	SNORD118								
MV411_9_718_R1_peak_7203	chr8	102886915	102887397	+	539	NA	Intergenic	NA	22973	LOC100506753								
MV411_9_718_R1_peak_3931	chr19	47315250	47315683	+	531	NA	intron (C5AR1, intron 1 of 1)	NA	5619	C5AR1								
MV411_9_718_R1_peak_4039	chr19	55216416	55217222	+	529	NA	Intergenic	NA	-7313	PTPRH								
MV411_9_718_R1_peak_6463	chr6	129683992	129684306	+	529	NA	intron (ARHGAP18, intron 1 of 13)	NA	26076	ARHGAP18								
MV411_9_718_R1_peak_1308	chr11	64305337	64305683	+	526	NA	promoter-TSS (ESRRA)	NA	-18	ESRRA								
MV411_9_718_R1_peak_2596	chr16	23835739	23836239	+	526	NA	promoter-TSS (PRKCB)	NA	10	PRKCB								
MV411_9_718_R1_peak_4040	chr19	55259050	55259509	+	526	NA	promoter-TSS (PPP6R1)	NA	-249	PPP6R1								
MV411_9_718_R1_peak_3160	chr17	59619200	59619962	+	524	NA	promoter-TSS (CLTC)	NA	-108	CLTC								
MV411_9_718_R1_peak_765	chr1	234723761	234724574	+	519	NA	intron (LINC01132, intron 1 of 2)	NA	125	LINC01132								
MV411_9_718_R1_peak_4980	chr22	20917084	20917356	+	518	NA	promoter-TSS (CRKL)	NA	-206	CRKL								
MV411_9_718_R1_peak_6292	chr6	29964825	29965174	+	512	NA	Intergenic	NA	-10116	HCG9								
MV411_9_718_R1_peak_2589	chr16	23504705	23505126	+	512	NA	intron (GGA2, intron 1 of 16)	NA	5579	GGA2								
MV411_9_718_R1_peak_7186	chr8	101136945	101137629	+	512	NA	Intergenic	NA	68445	ZNF706								
MV411_9_718_R1_peak_512	chr1	153566534	153566875	+	511	NA	promoter-TSS (S100A2)	NA	-874	S100A2								
MV411_9_718_R1_peak_2519	chr16	8884637	8885017	+	510	NA	TTS (LOC101929989)	NA	2087	LOC101929989								
MV411_9_718_R1_peak_783	chr1	243101599	243102005	+	510	NA	promoter-TSS (RP11-261C10.3)	NA	-58	RP11-261C10.3								
MV411_9_718_R1_peak_1850	chr12	124917055	124917643	+	510	NA	Intergenic	NA	1739	MIR5188								
MV411_9_718_R1_peak_1472	chr11	118436059	118436526	+	510	NA	promoter-TSS (KMT2A)	NA	-458	KMT2A								
MV411_9_718_R1_peak_7582	chr9	114894800	114895175	+	507	NA	intron (TNFSF8, intron 4 of 4)	NA	35608	TNFSF8								
MV411_9_718_R1_peak_4568	chr2	234291668	234292378	+	507	NA	Intergenic	NA	205030	ARL4C								
MV411_9_718_R1_peak_658	chr1	203287223	203287781	+	502	NA	intron (RP11-134P9.3, intron 1 of 2)	NA	226	RP11-134P9.3								
MV411_9_718_R1_peak_7218	chr8	115427490	115428039	+	501	NA	intron (TRPS1, intron 4 of 5)	NA	241264	TRPS1								
MV411_9_718_R1_peak_772	chr1	234978382	234979226	+	501	NA	Intergenic	NA	91014	LOC731656								
MV411_9_718_R1_peak_7710	chrUn_KI270467v1	2007	3555	+	500	NA	NA	NA	NA	NA								
MV411_9_718_R1_peak_4085	chr2	8544848	8545497	+	499	NA	Intergenic	NA	38620	AC011747.4								
MV411_9_718_R1_peak_4769	chr20	46111137	46111662	+	497	NA	Intergenic	NA	-6861	CD40								
MV411_9_718_R1_peak_5871	chr5	40486415	40487122	+	496	NA	Intergenic	NA	-194183	PTGER4								
MV411_9_718_R1_peak_151	chr1	27111989	27112510	+	496	NA	intron (SLC9A1, intron 1 of 10)	NA	42881	SLC9A1								
MV411_9_718_R1_peak_7559	chr9	111926598	111927035	+	496	NA	intron (UGCG, intron 5 of 8)	NA	-5284	MIR4668								
MV411_9_718_R1_peak_704	chr1	212636592	212637110	+	495	NA	Intergenic	NA	12404	FAM71A								
MV411_9_718_R1_peak_452	chr1	144412520	144412886	+	494	NA	TTS (RNVU1-15)	NA	127	RNVU1-15								
MV411_9_718_R1_peak_454	chr1	144546288	144546746	+	491	NA	Intergenic	NA	21071	TRNAN15								
MV411_9_718_R1_peak_220	chr1	36386310	36386853	+	486	NA	promoter-TSS (STK40)	NA	-654	STK40								
MV411_9_718_R1_peak_7027	chr8	37737432	37737882	+	486	NA	exon (LOC102723701, exon 1 of 2)	NA	213	LOC102723701								
MV411_9_718_R1_peak_1291	chr11	62621965	62622341	+	486	NA	promoter-TSS (B3GAT3)	NA	22	B3GAT3								
MV411_9_718_R1_peak_4935	chr21	42195400	42195825	+	486	NA	Intergenic	NA	-23545	ABCG1								
MV411_9_718_R1_peak_448	chr1	143264573	143264796	+	483	NA	Intergenic	NA	39652	LOC101929814								
MV411_9_718_R1_peak_4801	chr20	50931545	50931973	+	482	NA	promoter-TSS (ADNP)	NA	-769	ADNP								
MV411_9_718_R1_peak_7669	chr9	136109648	136110006	+	482	NA	Intergenic	NA	-7932	LOC101928645								
MV411_9_718_R1_peak_4361	chr2	121530743	121531626	+	481	NA	TTS (RNU4ATAC)	NA	304	RNU4ATAC								
MV411_9_718_R1_peak_988	chr10	89084289	89084802	+	479	NA	Intergenic	NA	-21143	MIR4679-2								
MV411_9_718_R1_peak_545	chr1	156504892	156505564	+	476	NA	Intergenic	NA	-6597	LOC102724180								
MV411_9_718_R1_peak_2320	chr15	63504273	63504742	+	475	NA	promoter-TSS (USP3)	NA	-86	USP3								
MV411_9_718_R1_peak_3374	chr18	21600607	21601207	+	473	NA	promoter-TSS (ESCO1)	NA	-171	ESCO1								
MV411_9_718_R1_peak_2326	chr15	64387647	64387969	+	468	NA	promoter-TSS (KIAA0101)	NA	-2	TRIP4								
