PeakID (cmd=annotatePeaks.pl MV411_1_320_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_320_R1_peak_2225	chr16	90031106	90033170	+	6193	NA	intron (GAS8, intron 3 of 10)	NA	-2237	C16orf3								
MV411_1_320_R1_peak_1464	chr12	132429562	132430571	+	5686	NA	intron (LOC101928629, intron 4 of 4)	NA	24976	LOC101928629								
MV411_1_320_R1_peak_4829	chr5	1544763	1546122	+	5570	NA	Intergenic	NA	-21481	LPCAT1								
MV411_1_320_R1_peak_4084	chr20	63814950	63816585	+	5421	NA	intron (LOC101928604, intron 1 of 2)	NA	7691	LOC101928604								
MV411_1_320_R1_peak_2198	chr16	86337681	86338882	+	5420	NA	exon (LINC00917, exon 3 of 7)	NA	7398	LINC00917								
MV411_1_320_R1_peak_3458	chr2	8500656	8501364	+	5344	NA	Intergenic	NA	82782	AC011747.4								
MV411_1_320_R1_peak_7	chr1	1123148	1124534	+	5231	NA	Intergenic	NA	-7480	C1orf159								
MV411_1_320_R1_peak_1551	chr13	113664985	113666859	+	5188	NA	Intergenic	NA	-1357	GRK1								
MV411_1_320_R1_peak_98	chr1	17675119	17676726	+	5148	NA	intron (ARHGEF10L, intron 24 of 26)	NA	-79391	ACTL8								
MV411_1_320_R1_peak_2935	chr19	11208669	11212249	+	4800	NA	intron (DOCK6, intron 39 of 49)	NA	-12892	KANK2								
MV411_1_320_R1_peak_6083	chr8	144222224	144223322	+	4766	NA	intron (MROH1, intron 12 of 40)	NA	39964	MIR7112-2								
MV411_1_320_R1_peak_5377	chr6	167392373	167393739	+	4662	NA	Intergenic	NA	-8546	TCP10								
MV411_1_320_R1_peak_4289	chr22	44730951	44731632	+	4452	NA	intron (PRR5-ARHGAP8, intron 4 of 14)	NA	-21267	ARHGAP8								
MV411_1_320_R1_peak_4044	chr20	52423163	52425163	+	4067	NA	Intergenic	NA	-196675	RP4-723E3.1								
MV411_1_320_R1_peak_5691	chr8	1857936	1858512	+	4009	NA	intron (ARHGEF10, intron 3 of 27)	NA	32113	ARHGEF10								
MV411_1_320_R1_peak_1064	chr11	71447906	71448971	+	3970	NA	promoter-TSS (DHCR7)	NA	-7	DHCR7								
MV411_1_320_R1_peak_2901	chr19	8528506	8530497	+	3968	NA	exon (MYO1F, exon 22 of 22)	NA	-15496	ZNF414								
MV411_1_320_R1_peak_6175	chr9	93671912	93673354	+	3967	NA	exon (LOC101929519, exon 2 of 3)	NA	701	LOC101929519								
MV411_1_320_R1_peak_2589	chr17	83096101	83097154	+	3848	NA	Intergenic	NA	14505	METRNL								
MV411_1_320_R1_peak_252	chr1	53555535	53557345	+	3812	NA	intron (GLIS1, intron 3 of 9)	NA	97041	DMRTB1								
MV411_1_320_R1_peak_4618	chr4	622290	623390	+	3770	NA	Intergenic	NA	-2734	PDE6B								
MV411_1_320_R1_peak_1054	chr11	69497661	69499310	+	3570	NA	Intergenic	NA	12924	LOC101928292								
MV411_1_320_R1_peak_566	chr1	230588050	230589070	+	3529	NA	Intergenic	NA	7023	LOC101927553								
MV411_1_320_R1_peak_1539	chr13	112714902	112715751	+	3497	NA	intron (ATP11A, intron 1 of 29)	NA	24997	ATP11A								
MV411_1_320_R1_peak_3016	chr19	17036262	17037589	+	3465	NA	Intergenic	NA	-10110	CPAMD8								
MV411_1_320_R1_peak_2907	chr19	9858631	9859228	+	3253	NA	intron (OLFM2, intron 2 of 5)	NA	23722	PIN1								
MV411_1_320_R1_peak_6174	chr9	93670661	93671804	+	3161	NA	intron (LOC101929519, intron 2 of 2)	NA	2102	LOC101929519								
MV411_1_320_R1_peak_2975	chr19	14267172	14267812	+	3080	NA	Intergenic	NA	-61412	LPHN1								
MV411_1_320_R1_peak_3865	chr2	241572406	241573637	+	3080	NA	exon (BOK, exon 5 of 5)	NA	-13878	BOK-AS1								
MV411_1_320_R1_peak_1465	chr12	132466221	132467138	+	3014	NA	Intergenic	NA	7575	MUC8								
MV411_1_320_R1_peak_5565	chr7	98547737	98548986	+	2926	NA	Intergenic	NA	-68924	NPTX2								
MV411_1_320_R1_peak_3070	chr19	19549962	19550593	+	2912	NA	Intergenic	NA	12012	CILP2								
MV411_1_320_R1_peak_3192	chr19	41924134	41926718	+	2873	NA	intron (LOC390937, intron 1 of 5)	NA	2668	LOC390937								
MV411_1_320_R1_peak_526	chr1	209770155	209772192	+	2861	NA	intron (TRAF3IP3, intron 1 of 9)	NA	2857	TRAF3IP3								
MV411_1_320_R1_peak_862	chr11	693987	695102	+	2847	NA	promoter-TSS (TMEM80)	NA	-611	TMEM80								
MV411_1_320_R1_peak_838	chr10	133057206	133058720	+	2846	NA	Intergenic	NA	-29942	GPR123								
MV411_1_320_R1_peak_5658	chr7	151669599	151670350	+	2797	NA	intron (PRKAG2, intron 2 of 12)	NA	-136760	LOC644090								
MV411_1_320_R1_peak_869	chr11	1258812	1259547	+	2743	NA	intron (MUC5B, intron 44 of 48)	NA	2569	MIR6744								
MV411_1_320_R1_peak_1486	chr13	27990495	27991579	+	2706	NA	Intergenic	NA	-2400	URAD								
MV411_1_320_R1_peak_4300	chr22	49528044	49529642	+	2620	NA	Intergenic	NA	14615	MIR3667								
MV411_1_320_R1_peak_122	chr1	24344573	24345555	+	2615	NA	intron (GRHL3, intron 12 of 15)	NA	25742	GRHL3								
MV411_1_320_R1_peak_6227	chr9	114317830	114318202	+	2605	NA	Intergenic	NA	-5007	ORM1								
MV411_1_320_R1_peak_6057	chr8	142101806	142102590	+	2399	NA	Intergenic	NA	-74141	MIR4472-1								
MV411_1_320_R1_peak_2220	chr16	89685864	89686767	+	2396	NA	promoter-TSS (CDK10)	NA	-1028	CDK10								
MV411_1_320_R1_peak_6373	chrX	1126618	1127418	+	2380	NA	Intergenic	NA	85616	CRLF2								
MV411_1_320_R1_peak_6317	chr9	135563034	135563682	+	2361	NA	intron (PAEP, intron 3 of 3)	NA	1600	PAEP								
MV411_1_320_R1_peak_5681	chr8	350063	351749	+	2256	NA	Intergenic	NA	32268	FAM87A								
MV411_1_320_R1_peak_613	chr10	1571444	1572457	+	2133	NA	intron (ADARB2, intron 1 of 9)	NA	45320	ADARB2-AS1								
MV411_1_320_R1_peak_1548	chr13	113592483	113594762	+	2070	NA	intron (TFDP1, intron 2 of 10)	NA	8924	TFDP1								
MV411_1_320_R1_peak_2176	chr16	81883176	81883792	+	1995	NA	intron (PLCG2, intron 9 of 32)	NA	104190	PLCG2								
MV411_1_320_R1_peak_2840	chr19	4791253	4791885	+	1991	NA	promoter-TSS (FEM1A)	NA	-147	FEM1A								
MV411_1_320_R1_peak_2587	chr17	83050567	83051646	+	1961	NA	intron (B3GNTL1, intron 1 of 11)	NA	680	B3GNTL1								
MV411_1_320_R1_peak_2082	chr16	50281146	50281631	+	1946	NA	intron (ADCY7, intron 1 of 22)	NA	1872	ADCY7								
MV411_1_320_R1_peak_1556	chr13	114150305	114150815	+	1924	NA	Intergenic	NA	-17940	RASA3								
MV411_1_320_R1_peak_4066	chr20	61217559	61219098	+	1902	NA	Intergenic	NA	139264	LOC100506470								
MV411_1_320_R1_peak_1699	chr14	99551161	99551837	+	1865	NA	intron (CCDC85C, intron 1 of 5)	NA	52891	CCDC85C								
MV411_1_320_R1_peak_853	chr11	518653	519383	+	1851	NA	Intergenic	NA	-9466	LOC101059906								
MV411_1_320_R1_peak_153	chr1	27668776	27669459	+	1844	NA	intron (IFI6, intron 2 of 4)	NA	3096	IFI6								
MV411_1_320_R1_peak_3850	chr2	239718406	239720525	+	1829	NA	Intergenic	NA	-43395	LOC150935								
MV411_1_320_R1_peak_5633	chr7	140009435	140010241	+	1821	NA	intron (TBXAS1, intron 11 of 13)	NA	54448	PARP12								
MV411_1_320_R1_peak_2705	chr18	76392237	76392961	+	1811	NA	intron (ZNF516, intron 3 of 6)	NA	-99469	LOC101927989								
MV411_1_320_R1_peak_824	chr10	131850662	131851493	+	1790	NA	Intergenic	NA	38719	LOC101929806								
MV411_1_320_R1_peak_882	chr11	3257307	3257980	+	1730	NA	Intergenic	NA	-25257	MRGPRE								
MV411_1_320_R1_peak_1723	chr14	104777032	104777743	+	1729	NA	intron (AKT1, intron 4 of 14)	NA	9420	LOC102723342								
MV411_1_320_R1_peak_3228	chr19	44890431	44891019	+	1716	NA	promoter-TSS (TOMM40)	NA	-501	TOMM40								
MV411_1_320_R1_peak_2698	chr18	74291196	74292026	+	1707	NA	intron (CYB5A, intron 1 of 5)	NA	405	CYB5A								
MV411_1_320_R1_peak_2895	chr19	7883128	7883538	+	1599	NA	Intergenic	NA	-3101	LOC388499								
MV411_1_320_R1_peak_1735	chr15	23041499	23045389	+	1557	NA	Intergenic	NA	-3867	TUBGCP5								
MV411_1_320_R1_peak_2744	chr18	79832056	79832711	+	1520	NA	Intergenic	NA	-31285	KCNG2								
MV411_1_320_R1_peak_593	chr1	236168932	236169449	+	1457	NA	intron (GPR137B, intron 2 of 5)	NA	26637	GPR137B								
MV411_1_320_R1_peak_3080	chr19	29694915	29697151	+	1422	NA	Intergenic	NA	19512	C19orf12								
MV411_1_320_R1_peak_5715	chr8	10960019	10960470	+	1406	NA	intron (XKR6, intron 1 of 2)	NA	74998	MIR598								
MV411_1_320_R1_peak_4656	chr4	8034044	8034903	+	1392	NA	intron (ABLIM2, intron 10 of 19)	NA	-29140	MIR95								
MV411_1_320_R1_peak_1547	chr13	113556737	113557451	+	1339	NA	Intergenic	NA	-27604	TFDP1								
MV411_1_320_R1_peak_5640	chr7	143408769	143409140	+	1327	NA	promoter-TSS (EPHA1)	NA	-62	EPHA1								
MV411_1_320_R1_peak_4865	chr5	40437048	40437574	+	1303	NA	Intergenic	NA	-243640	PTGER4								
MV411_1_320_R1_peak_85	chr1	16132300	16133191	+	1302	NA	intron (EPHA2, intron 11 of 16)	NA	-22484	LOC101927479								
MV411_1_320_R1_peak_6371	chrX	724325	725704	+	1287	NA	Intergenic	NA	100670	SHOX								
MV411_1_320_R1_peak_89	chr1	16896422	16897108	+	1277	NA	TTS (RNU1-2)	NA	785	RNU1-2								
MV411_1_320_R1_peak_2712	chr18	76531675	76532660	+	1266	NA	intron (LINC00908, intron 2 of 2)	NA	3512	LINC00908								
MV411_1_320_R1_peak_1729	chr14	105567186	105568000	+	1264	NA	Intergenic	NA	40473	TMEM121								
MV411_1_320_R1_peak_2582	chr17	82441061	82441740	+	1234	NA	TTS (HEXDC)	NA	9431	C17orf62								
MV411_1_320_R1_peak_5778	chr8	28889895	28890512	+	1233	NA	promoter-TSS (HMBOX1)	NA	-22	INTS9								
MV411_1_320_R1_peak_2807	chr19	2636680	2637264	+	1217	NA	intron (GNG7, intron 2 of 4)	NA	6257	MIR7850								
