PeakID (cmd=annotatePeaks.pl SKNO1_1_633_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_633_R1_peak_9732	chr19	13104226	13104779	+	1277	NA	TTS (TRMT1)	NA	-2584	LYL1								
SKNO1_1_633_R1_peak_933	chr1	93816844	93817371	+	1271	NA	intron (BCAR3, intron 2 of 13)	NA	-29725	MIR760								
SKNO1_1_633_R1_peak_4066	chr12	388965	389769	+	1230	NA	promoter-TSS (KDM5A)	NA	17	CCDC77								
SKNO1_1_633_R1_peak_4023	chr11	128677922	128678449	+	1226	NA	Intergenic	NA	8762	LOC101929538								
SKNO1_1_633_R1_peak_12916	chr21	37358150	37358823	+	1221	NA	Intergenic	NA	-61814	DYRK1A								
SKNO1_1_633_R1_peak_13559	chr3	9362844	9363409	+	1171	NA	promoter-TSS (THUMPD3)	NA	-427	THUMPD3								
SKNO1_1_633_R1_peak_2111	chr10	1489033	1489580	+	1148	NA	intron (ADARB2, intron 1 of 9)	NA	-37324	ADARB2-AS1								
SKNO1_1_633_R1_peak_11383	chr2	112584167	112584736	+	1133	NA	promoter-TSS (CHCHD5)	NA	0	LOC101927330								
SKNO1_1_633_R1_peak_8661	chr17	73011034	73011516	+	1132	NA	intron (SLC39A11, intron 4 of 6)	NA	81439	SLC39A11								
SKNO1_1_633_R1_peak_1392	chr1	161069625	161070180	+	1127	NA	promoter-TSS (ARHGAP30)	NA	68	ARHGAP30								
SKNO1_1_633_R1_peak_1694	chr1	204516044	204516723	+	1122	NA	promoter-TSS (MDM4)	NA	4	MDM4								
SKNO1_1_633_R1_peak_9039	chr18	3247030	3248022	+	1118	NA	promoter-TSS (MYL12A)	NA	52	MYL12A								
SKNO1_1_633_R1_peak_11777	chr2	191020098	191020687	+	1103	NA	Intergenic	NA	-6142	STAT1								
SKNO1_1_633_R1_peak_9100	chr18	13464804	13465255	+	1102	NA	promoter-TSS (LOC102724634)	NA	5036	MIR5190								
SKNO1_1_633_R1_peak_13969	chr3	49806110	49806784	+	1087	NA	promoter-TSS (MIR5193)	NA	-202	MIR5193								
SKNO1_1_633_R1_peak_4512	chr12	51368877	51369410	+	1078	NA	intron (GALNT6, intron 3 of 10)	NA	13197	GALNT6								
SKNO1_1_633_R1_peak_15287	chr4	74094105	74094659	+	1072	NA	Intergenic	NA	4898	CXCL2								
SKNO1_1_633_R1_peak_16705	chr6	5142832	5143303	+	1070	NA	intron (LYRM4, intron 2 of 3)	NA	5241	MIR3691								
SKNO1_1_633_R1_peak_11000	chr2	60460305	60460826	+	1065	NA	exon (BCL11A, exon 4 of 4)	NA	-58448	LOC102724142								
SKNO1_1_633_R1_peak_20374	chr9	136655814	136656306	+	1058	NA	intron (LOC101928612, intron 1 of 1)	NA	4372	LOC101928612								
SKNO1_1_633_R1_peak_20359	chr9	136529919	136530532	+	1057	NA	intron (NOTCH1, intron 2 of 33)	NA	-10600	MIR4673								
SKNO1_1_633_R1_peak_20053	chr9	120793180	120793654	+	1041	NA	promoter-TSS (FBXW2)	NA	45	FBXW2								
SKNO1_1_633_R1_peak_2721	chr10	92690453	92691147	+	1041	NA	intron (HHEX, intron 1 of 3)	NA	876	HHEX								
SKNO1_1_633_R1_peak_1860	chr1	225999255	226000113	+	1036	NA	promoter-TSS (SDE2)	NA	-319	SDE2								
SKNO1_1_633_R1_peak_13635	chr3	14761235	14761785	+	1036	NA	TTS (C3orf20)	NA	-49230	FGD5								
SKNO1_1_633_R1_peak_9508	chr19	4723631	4724237	+	1036	NA	promoter-TSS (TRNAG3)	NA	-92	DPP9								
SKNO1_1_633_R1_peak_15939	chr5	74766926	74767522	+	1035	NA	promoter-TSS (GFM2)	NA	147	GFM2								
SKNO1_1_633_R1_peak_13625	chr3	14232713	14233179	+	1033	NA	Intergenic	NA	54218	LSM3								
