PeakID (cmd=annotatePeaks.pl MV411_3_426_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_3_426_R1_peak_6722	chr2	17518069	17518866	+	5233	NA	promoter-TSS (RAD51AP2)	NA	-28	RAD51AP2								
MV411_3_426_R1_peak_7717	chr20	62794006	62794810	+	5188	NA	Intergenic	NA	-2044	MRGBP								
MV411_3_426_R1_peak_11508	chr9	127224182	127225740	+	5116	NA	promoter-TSS (GARNL3)	NA	490	GARNL3								
MV411_3_426_R1_peak_4902	chr17	64129910	64130781	+	5018	NA	promoter-TSS (ERN1)	NA	-203	ERN1								
MV411_3_426_R1_peak_10595	chr7	106111923	106112726	+	4986	NA	promoter-TSS (SYPL1)	NA	21	SYPL1								
MV411_3_426_R1_peak_4321	chr17	979479	980306	+	4978	NA	promoter-TSS (NXN)	NA	-17225	TIMM22								
MV411_3_426_R1_peak_3236	chr14	96391682	96392333	+	4973	NA	promoter-TSS (AK7)	NA	-104	AK7								
MV411_3_426_R1_peak_7309	chr2	219387298	219388784	+	4949	NA	promoter-TSS (DNPEP)	NA	-679	DNPEP								
MV411_3_426_R1_peak_331	chr1	30717830	30719006	+	4917	NA	promoter-TSS (MATN1-AS1)	NA	-354	MATN1-AS1								
MV411_3_426_R1_peak_7894	chr21	45642672	45643900	+	4916	NA	Intergenic	NA	-100846	SLC19A1								
MV411_3_426_R1_peak_8188	chr22	45240730	45241534	+	4876	NA	promoter-TSS (KIAA0930)	NA	-28666	KIAA0930								
MV411_3_426_R1_peak_10286	chr7	6503327	6504694	+	4870	NA	intron (GRID2IP, intron 15 of 21)	NA	-1872	LOC101927325								
MV411_3_426_R1_peak_7405	chr2	241881127	241882259	+	4849	NA	intron (AC131097.3, intron 1 of 3)	NA	330	AC131097.3								
MV411_3_426_R1_peak_9907	chr6	37169581	37170411	+	4809	NA	promoter-TSS (PIM1)	NA	-150	PIM1								
MV411_3_426_R1_peak_10366	chr7	43582672	43583569	+	4789	NA	promoter-TSS (STK17A)	NA	27	STK17A								
MV411_3_426_R1_peak_836	chr1	160098340	160099442	+	4768	NA	promoter-TSS (IGSF8)	NA	-41	IGSF8								
MV411_3_426_R1_peak_11720	chrX	1452689	1454410	+	4728	NA	promoter-TSS (ASMTL)	NA	213	ASMTL								
MV411_3_426_R1_peak_3501	chr15	64841251	64842195	+	4671	NA	promoter-TSS (PLEKHO2)	NA	-160	PLEKHO2								
MV411_3_426_R1_peak_8234	chr22	50507386	50508623	+	4668	NA	promoter-TSS (LMF2)	NA	-212	NCAPH2								
MV411_3_426_R1_peak_11061	chr8	123416126	123417157	+	4627	NA	promoter-TSS (WDYHV1)	NA	-84	WDYHV1								
MV411_3_426_R1_peak_4669	chr17	39952563	39953573	+	4627	NA	Intergenic	NA	11594	LRRC3C								
MV411_3_426_R1_peak_8158	chr22	42499921	42500800	+	4582	NA	promoter-TSS (SERHL)	NA	-219	SERHL								
MV411_3_426_R1_peak_5317	chr19	703579	704625	+	4579	NA	Intergenic	NA	-7079	PALM								
MV411_3_426_R1_peak_2812	chr12	132489296	132490256	+	4578	NA	promoter-TSS (FBRSL1)	NA	-679	FBRSL1								
MV411_3_426_R1_peak_10842	chr8	28622209	28623142	+	4524	NA	Intergenic	NA	78789	EXTL3-AS1								
MV411_3_426_R1_peak_9658	chr6	2999400	3000056	+	4520	NA	promoter-TSS (NQO2)	NA	-136	NQO2								
MV411_3_426_R1_peak_2542	chr12	63779513	63780329	+	4517	NA	promoter-TSS (TMEM5)	NA	64	TMEM5								
MV411_3_426_R1_peak_7674	chr20	53594106	53594797	+	4495	NA	promoter-TSS (ZNF217)	NA	14336	ZNF217								
MV411_3_426_R1_peak_11514	chr9	127568671	127569739	+	4489	NA	promoter-TSS (FAM129B)	NA	9802	FAM129B								
MV411_3_426_R1_peak_10240	chr7	2314172	2314849	+	4472	NA	promoter-TSS (SNX8)	NA	-46	SNX8								
MV411_3_426_R1_peak_11560	chr9	129028104	129028731	+	4462	NA	promoter-TSS (SH3GLB2)	NA	-97	SH3GLB2								
MV411_3_426_R1_peak_2623	chr12	103840900	103841753	+	4449	NA	promoter-TSS (NT5DC3)	NA	-102	LOC102723501								
MV411_3_426_R1_peak_11183	chr8	144465120	144466342	+	4432	NA	promoter-TSS (KIFC2)	NA	-209	CYHR1								
MV411_3_426_R1_peak_3919	chr16	22190203	22191564	+	4427	NA	Intergenic	NA	4909	TRNAL7								
MV411_3_426_R1_peak_11114	chr8	142776785	142778056	+	4382	NA	promoter-TSS (LYNX1)	NA	803	LYNX1								
MV411_3_426_R1_peak_3256	chr14	101760238	101761834	+	4379	NA	promoter-TSS (PPP2R5C)	NA	421	PPP2R5C								
MV411_3_426_R1_peak_129	chr1	11272603	11273643	+	4362	NA	promoter-TSS (UBIAD1)	NA	-75	UBIAD1								
MV411_3_426_R1_peak_11197	chr8	144826684	144827799	+	4361	NA	promoter-TSS (ZNF7)	NA	-277	ZNF7								
MV411_3_426_R1_peak_6616	chr19	55623811	55625028	+	4352	NA	intron (ZNF784, intron 1 of 1)	NA	156	ZNF784								
MV411_3_426_R1_peak_10440	chr7	73719564	73720121	+	4301	NA	promoter-TSS (STX1A)	NA	-140	STX1A								
MV411_3_426_R1_peak_10742	chr7	158587603	158588263	+	4295	NA	promoter-TSS (PTPRN2)	NA	-143	PTPRN2								
MV411_3_426_R1_peak_1352	chr10	75234074	75234929	+	4289	NA	intron (COMTD1, intron 6 of 6)	NA	1511	COMTD1								
MV411_3_426_R1_peak_8869	chr4	1580109	1580970	+	4236	NA	promoter-TSS (LOC100507054)	NA	-23	LOC100507054								
MV411_3_426_R1_peak_5638	chr19	9818804	9819935	+	4236	NA	promoter-TSS (FBXL12)	NA	56	FBXL12								
MV411_3_426_R1_peak_5941	chr19	18635818	18637199	+	4235	NA	promoter-TSS (KLHL26)	NA	-23179	KLHL26								
MV411_3_426_R1_peak_8758	chr3	182792997	182793680	+	4222	NA	promoter-TSS (ATP11B)	NA	-166	ATP11B								
MV411_3_426_R1_peak_3756	chr16	1991946	1992716	+	4220	NA	intron (SYNGR3, intron 2 of 3)	NA	2386	SYNGR3								
MV411_3_426_R1_peak_8005	chr22	28882886	28883726	+	4217	NA	promoter-TSS (ZNRF3)	NA	-82734	XBP1								
MV411_3_426_R1_peak_5109	chr17	82751207	82752229	+	4211	NA	promoter-TSS (TBCD)	NA	16142	FN3K								
MV411_3_426_R1_peak_59	chr1	2586191	2587176	+	4205	NA	promoter-TSS (FAM213B)	NA	-67	FAM213B								
MV411_3_426_R1_peak_6712	chr2	11154828	11155713	+	4192	NA	promoter-TSS (PQLC3)	NA	-102	PQLC3								
MV411_3_426_R1_peak_9202	chr4	184649239	184649942	+	4184	NA	promoter-TSS (PRIMPOL)	NA	-115	CASP3								
MV411_3_426_R1_peak_6533	chr19	52527157	52527858	+	4179	NA	promoter-TSS (ZNF808)	NA	-8478	ZNF808								
MV411_3_426_R1_peak_5009	chr17	77280905	77281794	+	4179	NA	promoter-TSS (SEPT9)	NA	-91841	SEPT9								
MV411_3_426_R1_peak_1298	chr10	69408553	69409191	+	4178	NA	intron (TACR2, intron 3 of 4)	NA	8046	TACR2								
MV411_3_426_R1_peak_11701	chr9	137604811	137606006	+	4177	NA	promoter-TSS (ARRDC1)	NA	-232	ARRDC1								
MV411_3_426_R1_peak_3808	chr16	3099958	3100515	+	4163	NA	promoter-TSS (ZSCAN10)	NA	-7376	ZSCAN10								
MV411_3_426_R1_peak_1532	chr10	129466820	129467440	+	4149	NA	promoter-TSS (MGMT)	NA	-162	MGMT								
MV411_3_426_R1_peak_7724	chr20	62861664	62862305	+	4142	NA	promoter-TSS (TCFL5)	NA	-314	TCFL5								
MV411_3_426_R1_peak_10413	chr7	65872687	65873359	+	4103	NA	promoter-TSS (VKORC1L1)	NA	-311	VKORC1L1								
MV411_3_426_R1_peak_7878	chr21	44454939	44455807	+	4101	NA	promoter-TSS (LRRC3-AS1)	NA	-89	LRRC3-AS1								
MV411_3_426_R1_peak_2301	chr12	8242741	8244050	+	4086	NA	promoter-TSS (FAM86FP)	NA	-449	FAM86FP								
MV411_3_426_R1_peak_41	chr1	1908821	1909455	+	4065	NA	Intergenic	NA	-6199	CALML6								
MV411_3_426_R1_peak_2778	chr12	124863601	124864209	+	4042	NA	promoter-TSS (SCARB1)	NA	68	SCARB1								
MV411_3_426_R1_peak_1579	chr11	575667	576618	+	4017	NA	promoter-TSS (PHRF1)	NA	-84	PHRF1								
MV411_3_426_R1_peak_6287	chr19	45496723	45497403	+	3999	NA	promoter-TSS (RTN2)	NA	-14	RTN2								
MV411_3_426_R1_peak_7357	chr2	237691549	237692432	+	3990	NA	promoter-TSS (LRRFIP1)	NA	-174	LRRFIP1								
MV411_3_426_R1_peak_6354	chr19	47256396	47257721	+	3990	NA	promoter-TSS (CCDC9)	NA	-437	CCDC9								
MV411_3_426_R1_peak_7745	chr20	63641353	63642714	+	3971	NA	intron (STMN3, intron 4 of 4)	NA	11577	STMN3								
MV411_3_426_R1_peak_1540	chr10	132307641	132308621	+	3971	NA	promoter-TSS (STK32C)	NA	23721	LOC102724967								
MV411_3_426_R1_peak_8860	chr4	1009295	1010453	+	3961	NA	Intergenic	NA	-1948	FGFRL1								
MV411_3_426_R1_peak_5602	chr19	7920032	7921314	+	3958	NA	promoter-TSS (SNAPC2)	NA	364	SNAPC2								
MV411_3_426_R1_peak_7876	chr21	44338355	44339622	+	3954	NA	promoter-TSS (C21orf2)	NA	-650	C21orf2								
MV411_3_426_R1_peak_7062	chr2	112054141	112055651	+	3943	NA	promoter-TSS (TMEM87B)	NA	-370	TMEM87B								
MV411_3_426_R1_peak_11110	chr8	142475321	142476112	+	3935	NA	intron (BAI1, intron 2 of 29)	NA	11517	BAI1								
MV411_3_426_R1_peak_521	chr1	53326080	53326764	+	3934	NA	intron (LRP8, intron 2 of 17)	NA	1727	LRP8								
MV411_3_426_R1_peak_8339	chr3	33440001	33441033	+	3919	NA	promoter-TSS (UBP1)	NA	-507	UBP1								
MV411_3_426_R1_peak_5316	chr19	680143	681432	+	3916	NA	intron (FSTL3, intron 3 of 4)	NA	4398	FSTL3								
MV411_3_426_R1_peak_8129	chr22	40950871	40951817	+	3907	NA	promoter-TSS (RBX1)	NA	-3	RBX1								
MV411_3_426_R1_peak_1215	chr10	28302516	28303452	+	3907	NA	promoter-TSS (MPP7)	NA	40	MPP7								
MV411_3_426_R1_peak_2315	chr12	13000090	13000661	+	3898	NA	promoter-TSS (HEBP1)	NA	-66	HEBP1								
MV411_3_426_R1_peak_6388	chr19	48492561	48493834	+	3869	NA	intron (LMTK3, intron 12 of 14)	NA	18598	LMTK3								
MV411_3_426_R1_peak_5568	chr19	7068996	7069784	+	3858	NA	promoter-TSS (ZNF557)	NA	-70	ZNF557								
MV411_3_426_R1_peak_5360	chr19	1122951	1123534	+	3848	NA	intron (SBNO2, intron 7 of 31)	NA	19305	GPX4								
MV411_3_426_R1_peak_5290	chr18	80033325	80034765	+	3838	NA	promoter-TSS (RBFA)	NA	-301	RBFA								
MV411_3_426_R1_peak_5236	chr18	59359057	59359716	+	3835	NA	promoter-TSS (LMAN1)	NA	-110	LMAN1								
MV411_3_426_R1_peak_10760	chr8	8227520	8228777	+	3800	NA	promoter-TSS (FAM86B3P)	NA	-422	FAM86B3P								
MV411_3_426_R1_peak_1546	chr10	132537081	132537933	+	3799	NA	promoter-TSS (INPP5A)	NA	-342	INPP5A								
