PeakID (cmd=annotatePeaks.pl MV411_1_117_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_117_R1_peak_2132	chr17	43360264	43361608	+	2701	NA	Intergenic	NA	27962	LINC00910								
MV411_1_117_R1_peak_291	chr1	148522475	148523269	+	2381	NA	Intergenic	NA	-6385	TRNAN5-2								
MV411_1_117_R1_peak_140	chr1	44720855	44722155	+	2051	NA	TTS (RNU5F-1)	NA	396	RNU5F-1								
MV411_1_117_R1_peak_267	chr1	144412442	144413505	+	2033	NA	TTS (RNVU1-15)	NA	397	RNVU1-15								
MV411_1_117_R1_peak_893	chr11	62840144	62842090	+	2003	NA	promoter-TSS (WDR74)	NA	-545	WDR74								
MV411_1_117_R1_peak_85	chr1	28648387	28649513	+	1852	NA	TTS (RNU11)	NA	350	RNU11								
MV411_1_117_R1_peak_1276	chr12	120290901	120293495	+	1825	NA	promoter-TSS (SIRT4)	NA	-295	RNU4-2								
MV411_1_117_R1_peak_2188	chr17	58630795	58632246	+	1747	NA	intron (TEX14, intron 2 of 31)	NA	60535	TEX14								
MV411_1_117_R1_peak_2131	chr17	43315720	43316908	+	1662	NA	Intergenic	NA	72584	LINC00910								
MV411_1_117_R1_peak_1071	chr12	6943473	6945352	+	1661	NA	TTS (RNU7-1)	NA	372	C12orf57								
MV411_1_117_R1_peak_921	chr11	65422617	65425777	+	1628	NA	exon (NEAT1, exon 1 of 1)	NA	1399	NEAT1								
MV411_1_117_R1_peak_2133	chr17	43366769	43368323	+	1605	NA	Intergenic	NA	21352	LINC00910								
MV411_1_117_R1_peak_2633	chr19	13151965	13156107	+	1578	NA	exon (IER2, exon 2 of 2)	NA	3568	IER2								
MV411_1_117_R1_peak_2189	chr17	58658126	58659482	+	1519	NA	intron (TEX14, intron 1 of 32)	NA	33251	TEX14								
MV411_1_117_R1_peak_282	chr1	146376679	146377576	+	1499	NA	Intergenic	NA	7026	TRNAN-GUU-5								
MV411_1_117_R1_peak_29	chr1	11907950	11910108	+	1490	NA	TTS (RNU5E-1)	NA	875	RNU5E-1								
MV411_1_117_R1_peak_272	chr1	145280981	145281827	+	1480	NA	TTS (RNVU1-14)	NA	288	RNVU1-14								
