PeakID (cmd=annotatePeaks.pl SKNO1_1_230_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_230_R1_peak_23272	chr5	61331322	61332423	+	5095	NA	promoter-TSS (ZSWIM6)	NA	-169397	SMIM15								
SKNO1_1_230_R1_peak_23858	chr5	138463919	138465863	+	4908	NA	promoter-TSS (EGR1)	NA	-601	EGR1								
SKNO1_1_230_R1_peak_23859	chr5	138491564	138492573	+	4888	NA	Intergenic	NA	26576	EGR1								
SKNO1_1_230_R1_peak_12102	chr17	42319585	42320754	+	4766	NA	intron (STAT3, intron 21 of 23)	NA	32113	STAT5A								
SKNO1_1_230_R1_peak_27937	chr8	101136766	101137811	+	4593	NA	Intergenic	NA	68444	ZNF706								
SKNO1_1_230_R1_peak_11440	chr16	88977991	88979564	+	4564	NA	Intergenic	NA	-1681	CBFA2T3								
SKNO1_1_230_R1_peak_23906	chr5	139669478	139671995	+	4498	NA	intron (CXXC5, intron 1 of 2)	NA	-4765	CXXC5								
SKNO1_1_230_R1_peak_2888	chr1	234723302	234724671	+	4492	NA	promoter-TSS (LINC01132)	NA	-56	LINC01132								
SKNO1_1_230_R1_peak_14363	chr19	12937023	12938817	+	4477	NA	promoter-TSS (CALR)	NA	-680	CALR								
SKNO1_1_230_R1_peak_6659	chr12	54303986	54304980	+	4415	NA	intron (NFE2, intron 1 of 2)	NA	-3446	NFE2								
SKNO1_1_230_R1_peak_28075	chr8	120065537	120066453	+	4385	NA	Intergenic	NA	-59113	COL14A1								
SKNO1_1_230_R1_peak_11416	chr16	88798937	88800576	+	4332	NA	Intergenic	NA	-4022	CDT1								
SKNO1_1_230_R1_peak_26137	chr7	5457313	5458502	+	4277	NA	Intergenic	NA	-34361	TNRC18								
SKNO1_1_230_R1_peak_5673	chr11	114082569	114083955	+	4188	NA	intron (ZBTB16, intron 2 of 6)	NA	23695	ZBTB16								
SKNO1_1_230_R1_peak_14555	chr19	17305143	17305987	+	4146	NA	promoter-TSS (MRPL34)	NA	-103	MRPL34								
SKNO1_1_230_R1_peak_8350	chr14	22555601	22557456	+	4126	NA	Intergenic	NA	32709	DAD1								
SKNO1_1_230_R1_peak_2737	chr1	225999169	226000223	+	4091	NA	promoter-TSS (SDE2)	NA	-298	SDE2								
SKNO1_1_230_R1_peak_10170	chr15	89813695	89815583	+	4061	NA	intron (ANPEP, intron 1 of 20)	NA	240	ANPEP								
SKNO1_1_230_R1_peak_21618	chr3	194305423	194307229	+	4027	NA	intron (LINC00887, intron 1 of 2)	NA	6478	LINC00887								
SKNO1_1_230_R1_peak_23850	chr5	138178476	138179281	+	4024	NA	promoter-TSS (BRD8)	NA	154	KIF20A								
SKNO1_1_230_R1_peak_21711	chr3	196631693	196633253	+	3958	NA	exon (LINC01063, exon 1 of 2)	NA	165	LINC01063								
SKNO1_1_230_R1_peak_14817	chr19	35909014	35909968	+	3945	NA	promoter-TSS (TYROBP)	NA	-1182	TYROBP								
