PeakID (cmd=annotatePeaks.pl MV411_2_129_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_129_R1_peak_1082	chr2	60495040	60495480	+	1664	NA	intron (BCL11A, intron 2 of 4)	NA	32435	LOC102724155								
MV411_2_129_R1_peak_2074	chr9	135939283	135939836	+	918	NA	intron (UBAC1, intron 8 of 9)	NA	21821	UBAC1								
MV411_2_129_R1_peak_931	chr19	16896786	16897571	+	810	NA	intron (CPAMD8, intron 39 of 41)	NA	8163	F2RL3								
MV411_2_129_R1_peak_1771	chr7	102722	103261	+	788	NA	Intergenic	NA	46464	LOC102723672								
MV411_2_129_R1_peak_1900	chr8	48521162	48521549	+	690	NA	Intergenic	NA	-30212	RP11-770E5.1								
MV411_2_129_R1_peak_1982	chr8	142777127	142777496	+	675	NA	promoter-TSS (LYNX1)	NA	-7483	LYNX1								
MV411_2_129_R1_peak_1411	chr3	128674821	128675072	+	638	NA	Intergenic	NA	-24070	RPN1								
MV411_2_129_R1_peak_53	chr1	30868994	30869406	+	603	NA	TTS (SDC3)	NA	8292	LOC102723832								
MV411_2_129_R1_peak_1977	chr8	141036099	141036399	+	601	NA	Intergenic	NA	-92385	DENND3								
MV411_2_129_R1_peak_255	chr10	101353778	101354093	+	595	NA	promoter-TSS (BTRC)	NA	-98	BTRC								
MV411_2_129_R1_peak_1878	chr8	22715600	22716022	+	556	NA	intron (PEBP4, intron 6 of 6)	NA	-22509	EGR3								
MV411_2_129_R1_peak_1938	chr8	101375223	101375607	+	503	NA	Intergenic	NA	6522	NACAP1								
MV411_2_129_R1_peak_674	chr16	21608982	21609332	+	479	NA	intron (METTL9, intron 1 of 4)	NA	9681	METTL9								
MV411_2_129_R1_peak_747	chr17	4852587	4853508	+	476	NA	intron (MINK1, intron 1 of 31)	NA	19707	MINK1								
MV411_2_129_R1_peak_1999	chr9	15422494	15422840	+	474	NA	promoter-TSS (SNAPC3)	NA	-29	SNAPC3								
MV411_2_129_R1_peak_1752	chr6	148204026	148204356	+	455	NA	Intergenic	NA	-138826	SASH1								
MV411_2_129_R1_peak_749	chr17	6427503	6427797	+	442	NA	intron (AIPL1, intron 2 of 4)	NA	7549	AIPL1								
MV411_2_129_R1_peak_919	chr19	11279833	11280247	+	436	NA	Intergenic	NA	-16099	TSPAN16								
MV411_2_129_R1_peak_352	chr11	70398588	70398836	+	432	NA	intron (CTTN, intron 1 of 13)	NA	206	CTTN								
MV411_2_129_R1_peak_852	chr18	58887590	58887942	+	428	NA	intron (ZNF532, intron 1 of 3)	NA	22296	ZNF532								
MV411_2_129_R1_peak_264	chr10	112227635	112227915	+	428	NA	promoter-TSS (LOC101927600)	NA	-78	LOC101927600								
MV411_2_129_R1_peak_993	chr19	45790947	45791288	+	428	NA	intron (DMWD, intron 1 of 4)	NA	1685	DMWD								
MV411_2_129_R1_peak_302	chr11	11416471	11416962	+	423	NA	intron (GALNT18, intron 3 of 10)	NA	-63359	CSNK2A3								
MV411_2_129_R1_peak_2019	chr9	36842594	36842905	+	419	NA	intron (PAX5, intron 6 of 6)	NA	-19150	MIR4475								
MV411_2_129_R1_peak_353	chr11	70424119	70424478	+	410	NA	intron (CTTN, intron 12 of 13)	NA	25792	CTTN								
MV411_2_129_R1_peak_556	chr14	103607039	103607346	+	407	NA	Intergenic	NA	-21996	KLC1								
MV411_2_129_R1_peak_1912	chr8	60950973	60951298	+	397	NA	Intergenic	NA	16613	LOC100130298								
MV411_2_129_R1_peak_474	chr12	131627133	131627475	+	395	NA	Intergenic	NA	37114	LOC100996701								
MV411_2_129_R1_peak_416	chr12	46217998	46218333	+	394	NA	intron (SLC38A1, intron 5 of 16)	NA	51260	SLC38A1								
MV411_2_129_R1_peak_1966	chr8	130309452	130309739	+	390	NA	intron (ASAP1, intron 1 of 28)	NA	-13062	ASAP1-IT1								
MV411_2_129_R1_peak_1328	chr22	45552690	45552923	+	389	NA	intron (FBLN1, intron 14 of 16)	NA	49967	FBLN1								
MV411_2_129_R1_peak_619	chr15	75153567	75153942	+	380	NA	Intergenic	NA	-48126	C15orf39								
MV411_2_129_R1_peak_68	chr1	42931330	42931645	+	380	NA	intron (SLC2A1, intron 2 of 9)	NA	-27562	SLC2A1-AS1								
MV411_2_129_R1_peak_869	chr18	79682953	79683147	+	380	NA	intron (CTDP1, intron 1 of 12)	NA	3226	CTDP1								
MV411_2_129_R1_peak_581	chr15	51077105	51077467	+	377	NA	intron (TNFAIP8L3, intron 1 of 1)	NA	27990	TNFAIP8L3								
MV411_2_129_R1_peak_1178	chr2	238948072	238948365	+	376	NA	Intergenic	NA	-21949	FLJ43879								
MV411_2_129_R1_peak_950	chr19	28715286	28715524	+	369	NA	Intergenic	NA	-82677	LOC101927210								
MV411_2_129_R1_peak_115	chr1	158248143	158248387	+	366	NA	Intergenic	NA	-5872	CD1A								
MV411_2_129_R1_peak_121	chr1	165393043	165393502	+	364	NA	Intergenic	NA	31712	RXRG								
MV411_2_129_R1_peak_1374	chr3	52244846	52245197	+	354	NA	promoter-TSS (PPM1M)	NA	-759	PPM1M								
MV411_2_129_R1_peak_92	chr1	94602377	94602736	+	353	NA	Intergenic	NA	21860	LOC102723542								
MV411_2_129_R1_peak_981	chr19	42553392	42553649	+	353	NA	intron (LIPE-AS1, intron 2 of 2)	NA	-25011	CEACAM1								
MV411_2_129_R1_peak_112	chr1	156926196	156926474	+	348	NA	intron (LRRC71, intron 5 of 14)	NA	5727	LRRC71								
MV411_2_129_R1_peak_990	chr19	45455891	45456363	+	346	NA	intron (ERCC1, intron 1 of 8)	NA	-11869	FOSB								
MV411_2_129_R1_peak_2086	chrUn_KI270467v1	2026	3528	+	340	NA	NA	NA	NA	NA								
MV411_2_129_R1_peak_771	chr17	29195526	29195790	+	337	NA	Intergenic	NA	-15269	MYO18A								
MV411_2_129_R1_peak_1427	chr3	151170039	151170286	+	336	NA	intron (MED12L, intron 10 of 43)	NA	33048	GPR171								
MV411_2_129_R1_peak_1547	chr5	16976346	16976601	+	333	NA	Intergenic	NA	-234240	MYO10								
MV411_2_129_R1_peak_982	chr19	43444980	43445259	+	329	NA	Intergenic	NA	20560	LYPD3								
MV411_2_129_R1_peak_745	chr17	4206991	4207310	+	329	NA	intron (ANKFY1, intron 6 of 24)	NA	56823	ANKFY1								
MV411_2_129_R1_peak_1098	chr2	105129763	105130085	+	328	NA	Intergenic	NA	-26980	AC104655.2								
MV411_2_129_R1_peak_1867	chr8	11297391	11297803	+	325	NA	intron (MTMR9, intron 2 of 9)	NA	-1147	MTMR9								
MV411_2_129_R1_peak_374	chr11	120344426	120344741	+	324	NA	intron (ARHGEF12, intron 1 of 40)	NA	8028	ARHGEF12								
MV411_2_129_R1_peak_179	chr1	231460699	231460914	+	324	NA	Intergenic	NA	15719	SNRPD2P2								
MV411_2_129_R1_peak_431	chr12	57522563	57522854	+	323	NA	promoter-TSS (MBD6)	NA	-355	MBD6								
MV411_2_129_R1_peak_1	chr1	1371332	1371606	+	323	NA	Intergenic	NA	3713	AURKAIP1								
MV411_2_129_R1_peak_1853	chr7	156475198	156475476	+	323	NA	intron (LINC01006, intron 1 of 1)	NA	-29749	AC073133.1								
MV411_2_129_R1_peak_932	chr19	17138525	17138748	+	321	NA	intron (MYO9B, intron 1 of 38)	NA	36993	MYO9B								
MV411_2_129_R1_peak_1275	chr21	34865614	34865900	+	321	NA	intron (RUNX1, intron 2 of 4)	NA	-17899	LOC101928240								
MV411_2_129_R1_peak_1816	chr7	92133676	92134078	+	315	NA	intron (CYP51A1, intron 1 of 9)	NA	649	CYP51A1								
