PeakID (cmd=annotatePeaks.pl SKNO1_1_233_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_233_R1_peak_6640	chr17	63842305	63843327	+	2715	NA	promoter-TSS (SMARCD2)	NA	-356	SMARCD2								
SKNO1_1_233_R1_peak_14084	chr7	43582674	43583370	+	2266	NA	promoter-TSS (STK17A)	NA	-71	STK17A								
SKNO1_1_233_R1_peak_1102	chr1	160098441	160099220	+	2144	NA	promoter-TSS (IGSF8)	NA	-2	IGSF8								
SKNO1_1_233_R1_peak_15141	chr8	144077851	144079008	+	1892	NA	promoter-TSS (EXOSC4)	NA	-190	EXOSC4								
SKNO1_1_233_R1_peak_12295	chr5	43313038	43314276	+	1852	NA	promoter-TSS (HMGCS1)	NA	-145	HMGCS1								
SKNO1_1_233_R1_peak_2772	chr11	65918836	65919800	+	1784	NA	promoter-TSS (C11orf68)	NA	61	DRAP1								
SKNO1_1_233_R1_peak_1018	chr1	155000614	155001448	+	1704	NA	Intergenic	NA	-1599	ZBTB7B								
SKNO1_1_233_R1_peak_7634	chr19	14206713	14207963	+	1648	NA	Intergenic	NA	-1258	LPHN1								
SKNO1_1_233_R1_peak_13776	chr6	147204183	147204731	+	1628	NA	promoter-TSS (STXBP5)	NA	79	STXBP5								
SKNO1_1_233_R1_peak_14357	chr7	106111696	106112736	+	1625	NA	exon (SYPL1, exon 1 of 5)	NA	431	SYPL1								
SKNO1_1_233_R1_peak_12650	chr5	138337347	138338684	+	1617	NA	promoter-TSS (FAM53C)	NA	0	FAM53C								
SKNO1_1_233_R1_peak_7025	chr18	3247001	3248040	+	1558	NA	promoter-TSS (MYL12A)	NA	-10	MYL12A								
SKNO1_1_233_R1_peak_14976	chr8	124997998	124998745	+	1546	NA	promoter-TSS (SQLE)	NA	-107	SQLE								
SKNO1_1_233_R1_peak_2716	chr11	65027188	65028084	+	1505	NA	exon (SNX15, exon 1 of 7)	NA	228	SNX15								
SKNO1_1_233_R1_peak_14527	chr8	19816979	19817669	+	1502	NA	promoter-TSS (INTS10)	NA	175	INTS10								
SKNO1_1_233_R1_peak_316	chr1	26692153	26693471	+	1484	NA	exon (LOC101928728, exon 2 of 2)	NA	-3219	ARID1A								
SKNO1_1_233_R1_peak_10867	chr3	49132761	49133983	+	1481	NA	promoter-TSS (LAMB2)	NA	-259	LAMB2								
SKNO1_1_233_R1_peak_7360	chr19	3721194	3721803	+	1467	NA	promoter-TSS (TJP3)	NA	13161	TJP3								
SKNO1_1_233_R1_peak_10143	chr21	44338506	44339513	+	1461	NA	promoter-TSS (C21orf2)	NA	393	C21orf2								
SKNO1_1_233_R1_peak_11526	chr3	195259569	195260528	+	1446	NA	promoter-TSS (XXYLT1)	NA	11089	XXYLT1								
SKNO1_1_233_R1_peak_9963	chr20	63641575	63642247	+	1399	NA	intron (STMN3, intron 4 of 4)	NA	11699	STMN3								
SKNO1_1_233_R1_peak_5974	chr16	78099122	78099835	+	1390	NA	promoter-TSS (WWOX)	NA	-176	WWOX								
SKNO1_1_233_R1_peak_11558	chr3	196631986	196633091	+	1384	NA	promoter-TSS (LINC01063)	NA	100	LINC01063								
SKNO1_1_233_R1_peak_5235	chr15	63504187	63504960	+	1351	NA	promoter-TSS (USP3)	NA	-11	USP3								
SKNO1_1_233_R1_peak_317	chr1	26695215	26696052	+	1351	NA	promoter-TSS (ARID1A)	NA	-398	ARID1A								
SKNO1_1_233_R1_peak_8806	chr2	96638053	96638646	+	1326	NA	promoter-TSS (KANSL3)	NA	-282	KANSL3								
SKNO1_1_233_R1_peak_2117	chr10	87862015	87862721	+	1314	NA	exon (KLLN, exon 1 of 1)	NA	1069	KLLN								
SKNO1_1_233_R1_peak_12491	chr5	96934759	96935595	+	1274	NA	promoter-TSS (LNPEP)	NA	910	LOC101929747								
SKNO1_1_233_R1_peak_1313	chr1	200669295	200670526	+	1264	NA	promoter-TSS (DDX59)	NA	-3	DDX59								
SKNO1_1_233_R1_peak_269	chr1	25033710	25034476	+	1252	NA	Intergenic	NA	10541	MIR4425								
SKNO1_1_233_R1_peak_14998	chr8	129581615	129582642	+	1252	NA	Intergenic	NA	-98040	MIR3686								
SKNO1_1_233_R1_peak_15099	chr8	143070888	143071413	+	1252	NA	Intergenic	NA	-9494	LOC101928108								
SKNO1_1_233_R1_peak_5077	chr15	40323236	40323793	+	1224	NA	promoter-TSS (LINC00984)	NA	-18	LINC00984								
SKNO1_1_233_R1_peak_3709	chr12	75329972	75330609	+	1222	NA	promoter-TSS (CAPS2)	NA	-4393	GLIPR1L1								
SKNO1_1_233_R1_peak_7501	chr19	10270140	10270898	+	1203	NA	promoter-TSS (ICAM1)	NA	-322	ICAM1								
SKNO1_1_233_R1_peak_10898	chr3	50321048	50322086	+	1201	NA	promoter-TSS (HYAL2)	NA	-350	HYAL2								
SKNO1_1_233_R1_peak_15217	chr9	15510584	15511527	+	1170	NA	promoter-TSS (PSIP1)	NA	-766	PSIP1								
SKNO1_1_233_R1_peak_8274	chr19	55258780	55259577	+	1158	NA	promoter-TSS (PPP6R1)	NA	-3409	PPP6R1								
SKNO1_1_233_R1_peak_8484	chr2	32010412	32011296	+	1153	NA	promoter-TSS (MEMO1)	NA	-572	MEMO1								
SKNO1_1_233_R1_peak_7370	chr19	4328207	4328794	+	1153	NA	intron (STAP2, intron 6 of 12)	NA	10350	STAP2								
SKNO1_1_233_R1_peak_11155	chr3	128603514	128604367	+	1136	NA	Intergenic	NA	-27854	C3orf27								
SKNO1_1_233_R1_peak_6646	chr17	64129992	64130441	+	1127	NA	promoter-TSS (ERN1)	NA	583	ERN1								
SKNO1_1_233_R1_peak_1512	chr1	225999173	226000144	+	1108	NA	promoter-TSS (SDE2)	NA	-260	SDE2								
SKNO1_1_233_R1_peak_2863	chr11	70398264	70399015	+	1106	NA	intron (CTTN, intron 1 of 13)	NA	133	CTTN								
SKNO1_1_233_R1_peak_7958	chr19	41327166	41328037	+	1101	NA	Intergenic	NA	17412	CCDC97								
SKNO1_1_233_R1_peak_578	chr1	51519104	51519714	+	1075	NA	promoter-TSS (EPS15)	NA	-97288	EPS15								
SKNO1_1_233_R1_peak_6829	chr17	77281010	77281621	+	1073	NA	promoter-TSS (SEPT9)	NA	-95	SEPT9								
SKNO1_1_233_R1_peak_13720	chr6	139374329	139375780	+	1055	NA	promoter-TSS (CITED2)	NA	-841	CITED2								
SKNO1_1_233_R1_peak_12156	chr4	184734006	184734564	+	1052	NA	promoter-TSS (CENPU)	NA	-871	CENPU								
SKNO1_1_233_R1_peak_9945	chr20	62793983	62794770	+	1036	NA	Intergenic	NA	-2077	MRGBP								
SKNO1_1_233_R1_peak_9530	chr20	2101809	2103181	+	1027	NA	intron (STK35, intron 1 of 3)	NA	613	STK35								
SKNO1_1_233_R1_peak_8270	chr19	55216222	55216847	+	1022	NA	Intergenic	NA	-7028	PTPRH								
SKNO1_1_233_R1_peak_1359	chr1	204461269	204462045	+	1018	NA	intron (PIK3C2B, intron 5 of 32)	NA	32266	PIK3C2B								
SKNO1_1_233_R1_peak_11336	chr3	170356705	170357923	+	1014	NA	promoter-TSS (SKIL)	NA	-2309	SKIL								
SKNO1_1_233_R1_peak_11944	chr4	77075480	77076648	+	1012	NA	promoter-TSS (CCNI)	NA	-92	CCNI								
SKNO1_1_233_R1_peak_435	chr1	35268363	35269158	+	1005	NA	promoter-TSS (ZMYM4)	NA	-207	ZMYM4								
SKNO1_1_233_R1_peak_1095	chr1	159910274	159910869	+	987	NA	Intergenic	NA	-10455	CCDC19								
SKNO1_1_233_R1_peak_7857	chr19	35757655	35758330	+	985	NA	promoter-TSS (C19orf55)	NA	-151	C19orf55								
SKNO1_1_233_R1_peak_11156	chr3	128616480	128617044	+	973	NA	Intergenic	NA	34114	RPN1								
SKNO1_1_233_R1_peak_4014	chr12	124914485	124915400	+	973	NA	promoter-TSS (UBC)	NA	99	UBC								
SKNO1_1_233_R1_peak_15191	chr9	2241822	2242739	+	966	NA	Intergenic	NA	83824	SMARCA2								
SKNO1_1_233_R1_peak_10061	chr21	35026699	35027197	+	944	NA	intron (RUNX1, intron 2 of 7)	NA	12478	RUNX1-IT1								
SKNO1_1_233_R1_peak_14350	chr7	105012334	105013740	+	943	NA	exon (KMT2E-AS1, exon 1 of 1)	NA	1104	KMT2E-AS1								
SKNO1_1_233_R1_peak_7137	chr18	35497503	35498213	+	935	NA	promoter-TSS (INO80C)	NA	133	INO80C								
SKNO1_1_233_R1_peak_11832	chr4	54818550	54820002	+	933	NA	Intergenic	NA	161319	KIT								
SKNO1_1_233_R1_peak_50	chr1	2290503	2291146	+	919	NA	intron (SKI, intron 1 of 6)	NA	50322	SKI								
SKNO1_1_233_R1_peak_6292	chr17	38598510	38598936	+	918	NA	intron (SRCIN1, intron 1 of 18)	NA	-25903	SRCIN1								
SKNO1_1_233_R1_peak_6444	chr17	45226014	45226652	+	918	NA	intron (FMNL1, intron 1 of 24)	NA	4427	FMNL1								
SKNO1_1_233_R1_peak_8057	chr19	45790891	45791466	+	917	NA	intron (DMWD, intron 1 of 4)	NA	1624	DMWD								
SKNO1_1_233_R1_peak_8390	chr2	11466027	11466625	+	914	NA	promoter-TSS (E2F6)	NA	-170	E2F6								
SKNO1_1_233_R1_peak_3353	chr12	12725111	12726288	+	900	NA	promoter-TSS (APOLD1)	NA	-218	APOLD1								
SKNO1_1_233_R1_peak_3157	chr11	125887428	125887914	+	898	NA	promoter-TSS (HYLS1)	NA	20	HYLS1								
SKNO1_1_233_R1_peak_5277	chr15	66630526	66631426	+	887	NA	Intergenic	NA	-65479	LCTL								
SKNO1_1_233_R1_peak_3577	chr12	54304178	54304878	+	886	NA	intron (NFE2, intron 1 of 2)	NA	-3491	NFE2								
SKNO1_1_233_R1_peak_11280	chr3	153160979	153162599	+	883	NA	promoter-TSS (RAP2B)	NA	-423	RAP2B								
SKNO1_1_233_R1_peak_10226	chr22	20858251	20859188	+	883	NA	promoter-TSS (PI4KA)	NA	93	PI4KA								
SKNO1_1_233_R1_peak_8066	chr19	46600572	46601384	+	883	NA	promoter-TSS (CALM3)	NA	222	PPP5D1								
SKNO1_1_233_R1_peak_5384	chr15	75153356	75154156	+	874	NA	Intergenic	NA	-48124	C15orf39								
SKNO1_1_233_R1_peak_6585	chr17	59154903	59155700	+	871	NA	promoter-TSS (PRR11)	NA	138	SKA2								
SKNO1_1_233_R1_peak_3042	chr11	114082697	114083349	+	868	NA	intron (ZBTB16, intron 2 of 6)	NA	23455	ZBTB16								
SKNO1_1_233_R1_peak_11138	chr3	127590452	127591287	+	868	NA	promoter-TSS (TPRA1)	NA	-110	TPRA1								
SKNO1_1_233_R1_peak_13329	chr6	37169667	37170431	+	866	NA	promoter-TSS (PIM1)	NA	-97	PIM1								
SKNO1_1_233_R1_peak_14203	chr7	75914752	75915297	+	864	NA	promoter-TSS (MIR4651)	NA	-78	POR								
SKNO1_1_233_R1_peak_15602	chr9	122219001	122219723	+	861	NA	intron (LHX6, intron 4 of 5)	NA	8224	LHX6								
SKNO1_1_233_R1_peak_6632	chr17	63699179	63700966	+	854	NA	promoter-TSS (LIMD2)	NA	61	LIMD2								
SKNO1_1_233_R1_peak_12436	chr5	81750935	81751778	+	840	NA	promoter-TSS (SSBP2)	NA	-103	SSBP2								
SKNO1_1_233_R1_peak_315	chr1	26620215	26621597	+	839	NA	Intergenic	NA	66332	MIR1976								
SKNO1_1_233_R1_peak_10885	chr3	49805995	49806775	+	837	NA	promoter-TSS (MIR5193)	NA	-199	MIR5193								
SKNO1_1_233_R1_peak_6187	chr17	7836741	7837271	+	829	NA	intron (KDM6B, intron 1 of 22)	NA	2803	KDM6B								
SKNO1_1_233_R1_peak_1748	chr10	11894480	11895437	+	826	NA	promoter-TSS (PROSER2-AS1)	NA	-248	PROSER2-AS1								
SKNO1_1_233_R1_peak_4962	chr14	102591655	102592724	+	824	NA	promoter-TSS (RCOR1)	NA	-470	RCOR1								
SKNO1_1_233_R1_peak_364	chr1	28552670	28553306	+	816	NA	promoter-TSS (TRNAU1AP)	NA	-29	TRNAU1AP								
SKNO1_1_233_R1_peak_229	chr1	21334177	21334676	+	816	NA	intron (ECE1, intron 1 of 18)	NA	41136	RP5-1071N3.1								
SKNO1_1_233_R1_peak_14171	chr7	73717947	73718408	+	815	NA	intron (STX1A, intron 1 of 9)	NA	1525	STX1A								
SKNO1_1_233_R1_peak_5243	chr15	64162837	64163660	+	814	NA	promoter-TSS (PPIB)	NA	-93	PPIB								
SKNO1_1_233_R1_peak_2021	chr10	72297077	72297692	+	810	NA	Intergenic	NA	23465	DDIT4								
SKNO1_1_233_R1_peak_7606	chr19	13155693	13156426	+	806	NA	Intergenic	NA	5591	IER2								
SKNO1_1_233_R1_peak_8704	chr2	70123874	70124786	+	797	NA	exon (LOC100133985, exon 2 of 2)	NA	986	LOC100133985								
SKNO1_1_233_R1_peak_5310	chr15	69758994	69759417	+	787	NA	Intergenic	NA	-76029	LINC00593								
SKNO1_1_233_R1_peak_14986	chr8	126558216	126558749	+	782	NA	promoter-TSS (FAM84B)	NA	-16	FAM84B								
SKNO1_1_233_R1_peak_10471	chr22	41603931	41604426	+	782	NA	intron (DESI1, intron 3 of 5)	NA	-15325	PMM1								
SKNO1_1_233_R1_peak_3364	chr12	14257615	14258251	+	782	NA	Intergenic	NA	-107699	ATF7IP								
SKNO1_1_233_R1_peak_9500	chr2	241881400	241882108	+	780	NA	intron (AC131097.3, intron 1 of 3)	NA	391	AC131097.3								
SKNO1_1_233_R1_peak_3300	chr12	6953396	6954219	+	776	NA	intron (PTPN6, intron 3 of 15)	NA	2536	PTPN6								
SKNO1_1_233_R1_peak_1362	chr1	204516181	204516882	+	775	NA	intron (MDM4, intron 1 of 6)	NA	138	MDM4								
SKNO1_1_233_R1_peak_1898	chr10	43417912	43418446	+	774	NA	Intergenic	NA	-18947	ZNF487								
SKNO1_1_233_R1_peak_5485	chr15	89334452	89335294	+	774	NA	promoter-TSS (TRNAR22)	NA	-78	POLG								
SKNO1_1_233_R1_peak_15764	chr9	133375708	133376644	+	773	NA	promoter-TSS (SURF4)	NA	-10	SURF4								
SKNO1_1_233_R1_peak_2260	chr10	103471115	103471752	+	765	NA	Intergenic	NA	7807	CALHM3								
SKNO1_1_233_R1_peak_10296	chr22	28955718	28956285	+	765	NA	intron (ZNRF3, intron 1 of 8)	NA	72234	ZNRF3								
SKNO1_1_233_R1_peak_12403	chr5	75336758	75337684	+	765	NA	promoter-TSS (HMGCR)	NA	53	HMGCR								
SKNO1_1_233_R1_peak_6329	chr17	40321973	40323153	+	763	NA	promoter-TSS (RARA)	NA	4342	RARA								
SKNO1_1_233_R1_peak_15062	chr8	141035904	141036461	+	762	NA	Intergenic	NA	-34869	PTK2								
SKNO1_1_233_R1_peak_11874	chr4	57110343	57111517	+	758	NA	promoter-TSS (IGFBP7)	NA	-545	IGFBP7								
SKNO1_1_233_R1_peak_6710	chr17	68457381	68458116	+	757	NA	promoter-TSS (WIPI1)	NA	-247	WIPI1								
SKNO1_1_233_R1_peak_7586	chr19	12890550	12891337	+	757	NA	promoter-TSS (GCDH)	NA	-217	GCDH								
SKNO1_1_233_R1_peak_374	chr1	30718160	30719036	+	753	NA	promoter-TSS (MATN1-AS1)	NA	-174	MATN1-AS1								
SKNO1_1_233_R1_peak_14042	chr7	32992088	32992595	+	753	NA	intron (FKBP9, intron 7 of 10)	NA	12867	FKBP9								
SKNO1_1_233_R1_peak_9741	chr20	37178790	37179604	+	752	NA	promoter-TSS (RPN2)	NA	146	RPN2								
SKNO1_1_233_R1_peak_11945	chr4	77092809	77093377	+	749	NA	Intergenic	NA	-17121	CCNI								
SKNO1_1_233_R1_peak_9802	chr20	45935066	45935774	+	748	NA	intron (PCIF1, intron 1 of 16)	NA	742	PCIF1								
SKNO1_1_233_R1_peak_10106	chr21	41878914	41879524	+	747	NA	intron (PRDM15, intron 1 of 30)	NA	152	PRDM15								
SKNO1_1_233_R1_peak_1685	chr10	1048737	1049688	+	744	NA	promoter-TSS (IDI1)	NA	-91	IDI1								
SKNO1_1_233_R1_peak_1037	chr1	155308450	155308977	+	744	NA	promoter-TSS (FDPS)	NA	10	PKLR								
SKNO1_1_233_R1_peak_4590	chr14	39266676	39267622	+	743	NA	promoter-TSS (CTAGE5)	NA	-88	LOC100288846								
SKNO1_1_233_R1_peak_8039	chr19	45405745	45406847	+	738	NA	promoter-TSS (CD3EAP)	NA	-333	CD3EAP								
SKNO1_1_233_R1_peak_7434	chr19	7197874	7198405	+	736	NA	intron (INSR, intron 2 of 21)	NA	27899	LOC100996405								
SKNO1_1_233_R1_peak_13668	chr6	135323038	135323632	+	736	NA	intron (AHI1, intron 24 of 28)	NA	84115	MIR548A2								
SKNO1_1_233_R1_peak_12132	chr4	165327224	165327869	+	727	NA	promoter-TSS (MSMO1)	NA	-120	MSMO1								
SKNO1_1_233_R1_peak_2839	chr11	68213395	68214178	+	727	NA	promoter-TSS (SUV420H1)	NA	-3	SUV420H1								
SKNO1_1_233_R1_peak_908	chr1	120850181	120851008	+	726	NA	TTS (RNVU1-19)	NA	391	RNVU1-19								
SKNO1_1_233_R1_peak_4679	chr14	59398760	59399432	+	726	NA	Intergenic	NA	66245	GPR135								
SKNO1_1_233_R1_peak_313	chr1	26541724	26542659	+	726	NA	promoter-TSS (RPS6KA1)	NA	-921	RPS6KA1								
SKNO1_1_233_R1_peak_15096	chr8	143018813	143019413	+	725	NA	promoter-TSS (LOC100133669)	NA	628	LY6E								
SKNO1_1_233_R1_peak_12859	chr5	176448050	176448531	+	724	NA	promoter-TSS (FAF2)	NA	-65	FAF2								
SKNO1_1_233_R1_peak_11916	chr4	74094046	74094583	+	722	NA	Intergenic	NA	4966	CXCL2								
SKNO1_1_233_R1_peak_1300	chr1	198681763	198682256	+	719	NA	intron (PTPRC, intron 2 of 31)	NA	43041	PTPRC								
SKNO1_1_233_R1_peak_11823	chr4	54439656	54440239	+	708	NA	Intergenic	NA	167184	LOC339978								
SKNO1_1_233_R1_peak_7102	chr18	24397478	24398227	+	706	NA	promoter-TSS (OSBPL1A)	NA	17	OSBPL1A								
SKNO1_1_233_R1_peak_3978	chr12	123033912	123034358	+	705	NA	intron (PITPNM2, intron 2 of 24)	NA	-23417	MIR4304								
SKNO1_1_233_R1_peak_13258	chr6	33298841	33300142	+	696	NA	promoter-TSS (RGL2)	NA	-103	RGL2								
SKNO1_1_233_R1_peak_12813	chr5	170278500	170279353	+	693	NA	intron (LCP2, intron 3 of 20)	NA	18892	LCP2								
SKNO1_1_233_R1_peak_9588	chr20	10433949	10434780	+	683	NA	promoter-TSS (SLX4IP)	NA	-2439	MKKS								
SKNO1_1_233_R1_peak_13443	chr6	53544284	53545362	+	681	NA	exon (GCLC, exon 1 of 16)	NA	306	GCLC								
SKNO1_1_233_R1_peak_10865	chr3	49093599	49094861	+	680	NA	promoter-TSS (QRICH1)	NA	-598	QRICH1								
SKNO1_1_233_R1_peak_10583	chr3	4831014	4831695	+	680	NA	intron (ITPR1, intron 57 of 58)	NA	75147	BHLHE40-AS1								
SKNO1_1_233_R1_peak_1410	chr1	207923560	207924127	+	680	NA	Intergenic	NA	-12505	CD34								
SKNO1_1_233_R1_peak_14602	chr8	28401705	28402310	+	677	NA	Intergenic	NA	-15547	ZNF395								
SKNO1_1_233_R1_peak_13188	chr6	30682475	30682974	+	677	NA	intron (PPP1R18, intron 1 of 2)	NA	5171	PPP1R18								
SKNO1_1_233_R1_peak_8242	chr19	54207973	54208607	+	670	NA	TTS (RPS9)	NA	7432	RPS9								
SKNO1_1_233_R1_peak_857	chr1	111203606	111204339	+	670	NA	intron (DENND2D, intron 1 of 11)	NA	-3269	DENND2D								
SKNO1_1_233_R1_peak_6828	chr17	77140260	77141210	+	669	NA	promoter-TSS (SEC14L1)	NA	-188	SEC14L1								
SKNO1_1_233_R1_peak_9457	chr2	237434737	237435367	+	665	NA	Intergenic	NA	-38226	COL6A3								
SKNO1_1_233_R1_peak_5469	chr15	84980260	84981613	+	665	NA	promoter-TSS (PDE8A)	NA	-86193	PDE8A								
SKNO1_1_233_R1_peak_12617	chr5	134370889	134371697	+	663	NA	promoter-TSS (CDKL3)	NA	114	UBE2B								
SKNO1_1_233_R1_peak_2217	chr10	101353673	101354234	+	663	NA	promoter-TSS (BTRC)	NA	-80	BTRC								
SKNO1_1_233_R1_peak_2883	chr11	72741445	72741891	+	662	NA	intron (ARAP1, intron 1 of 34)	NA	10721	ARAP1								
SKNO1_1_233_R1_peak_13723	chr6	139640437	139640948	+	659	NA	Intergenic	NA	-130381	LOC100132735								
SKNO1_1_233_R1_peak_8288	chr19	55624136	55624757	+	657	NA	intron (ZNF784, intron 1 of 1)	NA	129	ZNF784								
SKNO1_1_233_R1_peak_13649	chr6	133983438	133983956	+	655	NA	intron (TBPL1, intron 4 of 6)	NA	31527	TBPL1								
SKNO1_1_233_R1_peak_9824	chr20	48787644	48788139	+	654	NA	intron (PREX1, intron 1 of 39)	NA	39992	PREX1								
SKNO1_1_233_R1_peak_6727	chr17	74463186	74463896	+	653	NA	Intergenic	NA	-2842	CD300A								
SKNO1_1_233_R1_peak_3474	chr12	47215488	47216036	+	652	NA	promoter-TSS (PCED1B)	NA	681	PCED1B-AS1								
SKNO1_1_233_R1_peak_1052	chr1	156096705	156097437	+	652	NA	intron (LMNA, intron 3 of 12)	NA	-15073	MEX3A								
SKNO1_1_233_R1_peak_11819	chr4	54063994	54064984	+	649	NA	exon (CHIC2, exon 1 of 6)	NA	159	CHIC2								
SKNO1_1_233_R1_peak_7141	chr18	36129263	36130086	+	649	NA	promoter-TSS (ELP2)	NA	-200	ELP2								
SKNO1_1_233_R1_peak_9209	chr2	191014008	191014479	+	649	NA	promoter-TSS (STAT1)	NA	7	STAT1								
SKNO1_1_233_R1_peak_9805	chr20	46005169	46005628	+	647	NA	Intergenic	NA	-3510	MMP9								
SKNO1_1_233_R1_peak_6922	chr17	81034707	81035343	+	646	NA	promoter-TSS (BAIAP2)	NA	-122	BAIAP2								
SKNO1_1_233_R1_peak_6591	chr17	59619168	59620109	+	642	NA	promoter-TSS (CLTC)	NA	-239	CLTC								
SKNO1_1_233_R1_peak_10166	chr21	46228590	46229448	+	640	NA	promoter-TSS (LSS)	NA	-225	MCM3AP-AS1								
SKNO1_1_233_R1_peak_6833	chr17	77389255	77390040	+	640	NA	intron (SEPT9, intron 1 of 10)	NA	7397	MIR4316								
SKNO1_1_233_R1_peak_2820	chr11	67436927	67437429	+	637	NA	TTS (CORO1B)	NA	504	PTPRCAP								
SKNO1_1_233_R1_peak_8602	chr2	55419552	55420221	+	637	NA	promoter-TSS (CCDC88A)	NA	18	CCDC88A								
SKNO1_1_233_R1_peak_4587	chr14	39174922	39175453	+	635	NA	promoter-TSS (PNN)	NA	4	PNN								
SKNO1_1_233_R1_peak_8924	chr2	113583845	113584213	+	635	NA	promoter-TSS (MIR1302-3)	NA	376	WASH2P								
SKNO1_1_233_R1_peak_15615	chr9	124216678	124217063	+	634	NA	Intergenic	NA	-69518	NEK6								
SKNO1_1_233_R1_peak_6064	chr16	88700885	88701428	+	634	NA	intron (RNF166, intron 2 of 6)	NA	5265	RNF166								
SKNO1_1_233_R1_peak_2734	chr11	65421947	65423365	+	634	NA	promoter-TSS (NEAT1)	NA	-142	NEAT1								
SKNO1_1_233_R1_peak_8977	chr2	128472805	128473755	+	634	NA	Intergenic	NA	-154683	HS6ST1								
SKNO1_1_233_R1_peak_8514	chr2	39216789	39217299	+	634	NA	intron (CDKL4, intron 3 of 9)	NA	26929	CDKL4								
SKNO1_1_233_R1_peak_5198	chr15	56918298	56919010	+	634	NA	promoter-TSS (TCF12)	NA	-15	TCF12								
SKNO1_1_233_R1_peak_5731	chr16	29745949	29746347	+	634	NA	promoter-TSS (C16orf54)	NA	-129	C16orf54								
SKNO1_1_233_R1_peak_10788	chr3	41961720	41962578	+	634	NA	promoter-TSS (ULK4)	NA	19	ULK4								
SKNO1_1_233_R1_peak_7620	chr19	13846398	13847972	+	633	NA	Intergenic	NA	-10526	MIR23A								
SKNO1_1_233_R1_peak_1424	chr1	211258396	211259538	+	632	NA	promoter-TSS (RCOR3)	NA	-980	RCOR3								
SKNO1_1_233_R1_peak_6404	chr17	43773335	43773714	+	632	NA	intron (DUSP3, intron 2 of 2)	NA	5476	DUSP3								
SKNO1_1_233_R1_peak_5856	chr16	66873139	66873779	+	631	NA	Intergenic	NA	-7148	PDP2								
SKNO1_1_233_R1_peak_4705	chr14	64708428	64709014	+	629	NA	intron (PLEKHG3, intron 1 of 14)	NA	4307	PLEKHG3								
SKNO1_1_233_R1_peak_3684	chr12	68364840	68365754	+	628	NA	Intergenic	NA	-16650	LOC100507195								
SKNO1_1_233_R1_peak_3100	chr11	119095327	119095858	+	627	NA	promoter-TSS (H2AFX)	NA	-125	H2AFX								
SKNO1_1_233_R1_peak_1484	chr1	222617656	222618300	+	626	NA	promoter-TSS (MIA3)	NA	-124	MIA3								
SKNO1_1_233_R1_peak_6142	chr17	2400806	2402244	+	625	NA	promoter-TSS (MNT)	NA	-561	MNT								
SKNO1_1_233_R1_peak_11861	chr4	56653383	56653930	+	619	NA	intron (HOPX, intron 3 of 4)	NA	2866	HOPX								
