PeakID (cmd=annotatePeaks.pl SKNO1_1_232_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_232_R1_peak_10552	chr9	128370732	128371863	+	3280	NA	promoter-TSS (URM1)	NA	-22	URM1								
SKNO1_1_232_R1_peak_10180	chr8	143281226	143282120	+	3248	NA	promoter-TSS (LOC100507316)	NA	3	LOC100507316								
SKNO1_1_232_R1_peak_10209	chr8	144077953	144079445	+	3153	NA	promoter-TSS (EXOSC4)	NA	80	EXOSC4								
SKNO1_1_232_R1_peak_9316	chr7	1503917	1504725	+	3024	NA	promoter-TSS (INTS1)	NA	61	INTS1								
SKNO1_1_232_R1_peak_2216	chr12	6688584	6690026	+	2863	NA	promoter-TSS (ZNF384)	NA	11125	PIANP								
SKNO1_1_232_R1_peak_6411	chr20	31674611	31676217	+	2802	NA	intron (BCL2L1, intron 2 of 2)	NA	36295	COX4I2								
SKNO1_1_232_R1_peak_1162	chr10	11894440	11895228	+	2794	NA	promoter-TSS (PROSER2-AS1)	NA	-124	PROSER2-AS1								
SKNO1_1_232_R1_peak_2791	chr13	28658657	28659745	+	2654	NA	intron (POMP, intron 1 of 5)	NA	197	POMP								
SKNO1_1_232_R1_peak_2586	chr12	105235773	105236793	+	2593	NA	promoter-TSS (APPL2)	NA	-2878	APPL2								
SKNO1_1_232_R1_peak_9149	chr6	133952534	133953594	+	2530	NA	promoter-TSS (TBPL1)	NA	-99	TBPL1								
SKNO1_1_232_R1_peak_10411	chr9	92669513	92670748	+	2527	NA	exon (IPPK, exon 1 of 10)	NA	129	IPPK								
SKNO1_1_232_R1_peak_5078	chr19	13155545	13156490	+	2497	NA	Intergenic	NA	5549	IER2								
SKNO1_1_232_R1_peak_8673	chr5	181222904	181224394	+	2477	NA	exon (TRIM41, exon 1 of 8)	NA	386	TRIM41								
SKNO1_1_232_R1_peak_2698	chr12	123633192	123634100	+	2457	NA	promoter-TSS (GTF2H3)	NA	-93	GTF2H3								
SKNO1_1_232_R1_peak_9796	chr8	22604295	22605427	+	2377	NA	promoter-TSS (CCAR2)	NA	229	CCAR2								
SKNO1_1_232_R1_peak_6591	chr20	62739608	62740939	+	2349	NA	intron (NTSR1, intron 1 of 3)	NA	31436	NTSR1								
SKNO1_1_232_R1_peak_1488	chr10	102393779	102394687	+	2309	NA	promoter-TSS (NFKB2)	NA	123	NFKB2								
SKNO1_1_232_R1_peak_7652	chr3	194736357	194737802	+	2207	NA	intron (AC090505.6, intron 1 of 3)	NA	28658	AC090505.6								
SKNO1_1_232_R1_peak_3934	chr16	67191815	67192546	+	2183	NA	promoter-TSS (E2F4)	NA	15	E2F4								
SKNO1_1_232_R1_peak_4719	chr18	3261485	3262519	+	2179	NA	promoter-TSS (MYL12B)	NA	-611	MYL12B								
SKNO1_1_232_R1_peak_3368	chr15	34342693	34343538	+	2160	NA	promoter-TSS (NUTM1)	NA	46	NOP10								
SKNO1_1_232_R1_peak_10177	chr8	143190960	143191762	+	2115	NA	Intergenic	NA	-21832	GPIHBP1								
SKNO1_1_232_R1_peak_4578	chr17	77088324	77089087	+	2064	NA	promoter-TSS (MIR6516)	NA	62	LINC00338								
SKNO1_1_232_R1_peak_6848	chr22	31630158	31630956	+	2024	NA	promoter-TSS (PISD)	NA	8144	PISD								
SKNO1_1_232_R1_peak_6301	chr20	1392869	1393656	+	2004	NA	promoter-TSS (FKBP1A)	NA	-90	FKBP1A-SDCBP2								
SKNO1_1_232_R1_peak_5299	chr19	41859512	41860386	+	1964	NA	promoter-TSS (RPS19)	NA	31	RPS19								
SKNO1_1_232_R1_peak_9766	chr8	11283910	11285353	+	1962	NA	exon (MTMR9, exon 1 of 10)	NA	-14113	MTMR9								
SKNO1_1_232_R1_peak_2610	chr12	110449653	110450623	+	1910	NA	intron (ARPC3, intron 1 of 6)	NA	273	ARPC3								
SKNO1_1_232_R1_peak_2215	chr12	6662729	6663623	+	1872	NA	promoter-TSS (ING4)	NA	-57	ING4								
SKNO1_1_232_R1_peak_4698	chr17	82592743	82593645	+	1864	NA	promoter-TSS (LOC102723820)	NA	-228	LOC102723820								
SKNO1_1_232_R1_peak_5287	chr19	41327162	41328008	+	1821	NA	Intergenic	NA	17396	CCDC97								
SKNO1_1_232_R1_peak_5906	chr2	112584076	112584801	+	1808	NA	promoter-TSS (CHCHD5)	NA	-21	CHCHD5								
SKNO1_1_232_R1_peak_6162	chr2	216108992	216109949	+	1791	NA	intron (XRCC5, intron 2 of 10)	NA	1812	XRCC5								
SKNO1_1_232_R1_peak_6482	chr20	44885235	44886210	+	1766	NA	exon (YWHAB, exon 1 of 7)	NA	123	YWHAB								
SKNO1_1_232_R1_peak_8154	chr5	6378059	6378888	+	1714	NA	promoter-TSS (MED10)	NA	53	MED10								
SKNO1_1_232_R1_peak_10505	chr9	124216441	124217204	+	1675	NA	Intergenic	NA	-69566	NEK6								
SKNO1_1_232_R1_peak_2991	chr13	113296557	113297343	+	1652	NA	promoter-TSS (LAMP1)	NA	-204	LAMP1								
SKNO1_1_232_R1_peak_9434	chr7	32992085	32992575	+	1615	NA	intron (FKBP9, intron 6 of 9)	NA	34926	FKBP9								
SKNO1_1_232_R1_peak_8019	chr4	84966168	84967245	+	1576	NA	promoter-TSS (WDFY3-AS2)	NA	-112	WDFY3-AS2								
SKNO1_1_232_R1_peak_5343	chr19	45514811	45515782	+	1575	NA	intron (VASP, intron 1 of 12)	NA	7854	VASP								
SKNO1_1_232_R1_peak_6685	chr21	37220290	37221811	+	1564	NA	exon (DSCR9, exon 3 of 3)	NA	12547	DSCR9								
SKNO1_1_232_R1_peak_1573	chr10	128062766	128063631	+	1558	NA	intron (PTPRE, intron 7 of 17)	NA	63006	MKI67								
SKNO1_1_232_R1_peak_8590	chr5	170330813	170331628	+	1521	NA	promoter-TSS (LOC257358)	NA	-173	LOC257358								
SKNO1_1_232_R1_peak_9575	chr7	91880164	91881087	+	1503	NA	promoter-TSS (MTERF)	NA	77	MTERF								
SKNO1_1_232_R1_peak_6	chr1	1375138	1375794	+	1494	NA	promoter-TSS (AURKAIP1)	NA	-266	AURKAIP1								
SKNO1_1_232_R1_peak_1361	chr10	72297122	72297720	+	1490	NA	Intergenic	NA	23502	DDIT4								
SKNO1_1_232_R1_peak_7391	chr3	129160571	129161872	+	1476	NA	promoter-TSS (ISY1)	NA	9	ISY1-RAB43								
SKNO1_1_232_R1_peak_9213	chr6	139323570	139324321	+	1462	NA	promoter-TSS (TXLNB)	NA	66	TXLNB								
SKNO1_1_232_R1_peak_2024	chr11	111446354	111446942	+	1440	NA	intron (RP11-794P6.3, intron 5 of 14)	NA	18150	RP11-794P6.3								
SKNO1_1_232_R1_peak_10634	chr9	134396038	134397273	+	1438	NA	intron (RXRA, intron 1 of 9)	NA	17206	MIR4669								
SKNO1_1_232_R1_peak_6443	chr20	35284304	35285202	+	1435	NA	promoter-TSS (EIF6)	NA	-36	EIF6								
SKNO1_1_232_R1_peak_2259	chr12	11798775	11799302	+	1431	NA	intron (ETV6, intron 2 of 7)	NA	111522	LOC101928186								
SKNO1_1_232_R1_peak_1335	chr10	68955539	68956474	+	1425	NA	promoter-TSS (DDX21)	NA	-117	DDX21								
SKNO1_1_232_R1_peak_7228	chr3	52052654	52053255	+	1413	NA	intron (DUSP7, intron 2 of 2)	NA	3491	DUSP7								
SKNO1_1_232_R1_peak_6793	chr22	21942424	21943028	+	1413	NA	intron (PPM1F, intron 2 of 7)	NA	10152	PPM1F								
SKNO1_1_232_R1_peak_3180	chr14	73886377	73887307	+	1408	NA	exon (ZNF410, exon 1 of 13)	NA	227	ZNF410								
