PeakID (cmd=annotatePeaks.pl SKNO1_1_308_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_308_R1_peak_14951	chr8	123156626	123157597	+	4836	NA	TTS (TRNAM11)	NA	191	TRNAM11								
SKNO1_1_308_R1_peak_8598	chr2	27050245	27051586	+	4224	NA	promoter-TSS (AGBL5)	NA	133	TRNAY4								
SKNO1_1_308_R1_peak_5474	chr15	89334501	89335478	+	3990	NA	promoter-TSS (POLG)	NA	-84	TRNAR22								
SKNO1_1_308_R1_peak_1632	chr1	248873498	248874646	+	3878	NA	promoter-TSS (TRNAE24)	NA	-176	TRNAE24								
SKNO1_1_308_R1_peak_1932	chr10	67764037	67765245	+	3827	NA	TTS (TRNAS21)	NA	138	TRNAS21								
SKNO1_1_308_R1_peak_13785	chr6	144216095	144216968	+	3728	NA	promoter-TSS (TRNAL29)	NA	-16	TRNAL29								
SKNO1_1_308_R1_peak_7674	chr19	4723785	4724331	+	3676	NA	promoter-TSS (DPP9)	NA	-12	TRNAG3								
SKNO1_1_308_R1_peak_6854	chr17	68019580	68020252	+	3598	NA	promoter-TSS (TRNAR4)	NA	53	TRNAR4								
SKNO1_1_308_R1_peak_14788	chr8	66113142	66114330	+	3571	NA	promoter-TSS (TRNAY6)	NA	-252	TRNAY6								
SKNO1_1_308_R1_peak_14299	chr7	92133510	92134559	+	3568	NA	intron (CYP51A1, intron 1 of 9)	NA	492	CYP51A1								
SKNO1_1_308_R1_peak_13266	chr6	28896058	28896576	+	3552	NA	promoter-TSS (TRNAL-CAA)	NA	11	TRNAL-CAA								
SKNO1_1_308_R1_peak_9172	chr2	156400517	156401443	+	3522	NA	TTS (TRNAG19)	NA	211	TRNAA4								
SKNO1_1_308_R1_peak_12569	chr5	96934697	96935558	+	3330	NA	promoter-TSS (LNPEP)	NA	-515	LNPEP								
SKNO1_1_308_R1_peak_912	chr1	146035403	146036285	+	3324	NA	TTS (TRNAE21)	NA	152	TRNAE21								
SKNO1_1_308_R1_peak_8071	chr19	33176704	33177883	+	3303	NA	TTS (TRNAT4)	NA	236	TRNAT4								
SKNO1_1_308_R1_peak_10996	chr3	45688735	45689523	+	3301	NA	promoter-TSS (SACM1L)	NA	-58	TRNAR11								
SKNO1_1_308_R1_peak_2986	chr11	76235286	76236368	+	3250	NA	promoter-TSS (TRNAP14)	NA	69	TRNAP14								
SKNO1_1_308_R1_peak_776	chr1	93847076	93848146	+	3210	NA	promoter-TSS (TRNAR15)	NA	38	TRNAR15								
SKNO1_1_308_R1_peak_4209	chr13	44917583	44918371	+	3137	NA	promoter-TSS (TRNAE7)	NA	21	TRNAE7								
SKNO1_1_308_R1_peak_5247	chr15	65868807	65869640	+	3100	NA	promoter-TSS (RAB11A)	NA	-90	TRNAQ24								
SKNO1_1_308_R1_peak_13012	chr5	181206616	181207201	+	3090	NA	promoter-TSS (TRNAK33)	NA	40	TRNAA26								
SKNO1_1_308_R1_peak_355	chr1	26541609	26542874	+	3047	NA	promoter-TSS (RPS6KA1)	NA	-3611	RPS6KA1								
SKNO1_1_308_R1_peak_3602	chr12	54304088	54304869	+	3042	NA	intron (NFE2, intron 1 of 2)	NA	-3441	NFE2								
SKNO1_1_308_R1_peak_13457	chr6	41935972	41936690	+	3012	NA	intron (CCND3, intron 3 of 3)	NA	15104	BYSL								
SKNO1_1_308_R1_peak_8675	chr2	42810084	42810859	+	2971	NA	promoter-TSS (TRNAI13)	NA	-65	TRNAI13								
SKNO1_1_308_R1_peak_8364	chr19	49987040	49987608	+	2964	NA	intron (VRK3, intron 12 of 12)	NA	17669	SIGLEC16								
SKNO1_1_308_R1_peak_913	chr1	146036778	146037401	+	2953	NA	promoter-TSS (TRNAH4)	NA	28	TRNAG11								
SKNO1_1_308_R1_peak_11677	chr3	196631754	196633136	+	2949	NA	exon (LINC01063, exon 1 of 2)	NA	193	LINC01063								
SKNO1_1_308_R1_peak_13247	chr6	28658050	28658556	+	2939	NA	promoter-TSS (TRNAA7)	NA	5	TRNAA7								
SKNO1_1_308_R1_peak_13253	chr6	28729107	28729602	+	2881	NA	promoter-TSS (TRNAA5)	NA	39	TRNAA5								
SKNO1_1_308_R1_peak_4470	chr14	22929322	22930044	+	2873	NA	promoter-TSS (RP11-298I3.1)	NA	-18	TRNAR21								
SKNO1_1_308_R1_peak_12746	chr5	139669663	139671014	+	2867	NA	intron (CXXC5, intron 1 of 2)	NA	-9509	CXXC5								
SKNO1_1_308_R1_peak_13680	chr6	125780008	125780674	+	2862	NA	promoter-TSS (NCOA7)	NA	-23	TRNAE19								
SKNO1_1_308_R1_peak_5067	chr15	40593561	40594239	+	2857	NA	promoter-TSS (TRNAS18)	NA	6	TRNAS18								
SKNO1_1_308_R1_peak_5008	chr15	26081829	26082582	+	2819	NA	promoter-TSS (TRNAE11)	NA	100	TRNAE11								
SKNO1_1_308_R1_peak_6916	chr17	75033652	75035437	+	2811	NA	promoter-TSS (TRNAR25)	NA	-41	TRNAR20								
SKNO1_1_308_R1_peak_3757	chr12	96035721	96036443	+	2807	NA	promoter-TSS (TRNAD12)	NA	61	TRNAD12								
SKNO1_1_308_R1_peak_4605	chr14	58239647	58240203	+	2802	NA	promoter-TSS (TRNAK13)	NA	42	TRNAK13								
SKNO1_1_308_R1_peak_13011	chr5	181191219	181192106	+	2766	NA	promoter-TSS (TRNAT1)	NA	96	TRNAT1								
SKNO1_1_308_R1_peak_13274	chr6	28981596	28982533	+	2763	NA	promoter-TSS (TRNAF7)	NA	-135	TRNAE6								
SKNO1_1_308_R1_peak_3998	chr12	124939378	124940487	+	2717	NA	promoter-TSS (TRNAA32)	NA	-34	TRNAA32								
SKNO1_1_308_R1_peak_4145	chr13	30673691	30674513	+	2696	NA	promoter-TSS (TRNAN7)	NA	-65	TRNAN7								
SKNO1_1_308_R1_peak_1319	chr1	204506181	204507333	+	2695	NA	TTS (TRNAK34)	NA	230	TRNAK16								
SKNO1_1_308_R1_peak_7236	chr17	82494290	82495065	+	2674	NA	TTS (TRNAM14)	NA	115	TRNAM14								
SKNO1_1_308_R1_peak_8832	chr2	70248745	70249301	+	2673	NA	promoter-TSS (TIA1)	NA	38	TRNAG22								
SKNO1_1_308_R1_peak_11613	chr3	194306002	194307261	+	2661	NA	intron (LINC00887, intron 1 of 2)	NA	6173	LINC00887								
SKNO1_1_308_R1_peak_2830	chr11	66347792	66348445	+	2660	NA	promoter-TSS (B3GNT1)	NA	-2	TRNAS22								
SKNO1_1_308_R1_peak_3101	chr11	114082672	114083744	+	2654	NA	intron (ZBTB16, intron 2 of 4)	NA	23499	ZBTB16								
SKNO1_1_308_R1_peak_6462	chr17	39154174	39154785	+	2624	NA	promoter-TSS (TRNAC29)	NA	83	TRNAC29								
SKNO1_1_308_R1_peak_5478	chr15	89814135	89815381	+	2623	NA	promoter-TSS (ANPEP)	NA	121	ANPEP								
SKNO1_1_308_R1_peak_965	chr1	153670941	153671556	+	2619	NA	promoter-TSS (ILF2)	NA	-2	TRNAM3								
SKNO1_1_308_R1_peak_13202	chr6	27478503	27479184	+	2608	NA	promoter-TSS (TRNAS10)	NA	31	TRNAS10								
SKNO1_1_308_R1_peak_7154	chr17	81427615	81430957	+	2604	NA	intron (BAHCC1, intron 2 of 26)	NA	21887	MIR3186								
SKNO1_1_308_R1_peak_8751	chr2	55419463	55420350	+	2587	NA	promoter-TSS (CCDC88A)	NA	15	CCDC88A								
SKNO1_1_308_R1_peak_5123	chr15	45198302	45199126	+	2582	NA	promoter-TSS (TRNAH1)	NA	-37	TRNAH1								
SKNO1_1_308_R1_peak_13188	chr6	26568618	26569131	+	2569	NA	promoter-TSS (TRNAY10)	NA	16	TRNAY10								
SKNO1_1_308_R1_peak_14855	chr8	95269115	95269977	+	2559	NA	promoter-TSS (C8orf37)	NA	-67	C8orf37								
SKNO1_1_308_R1_peak_5861	chr16	57299747	57300888	+	2533	NA	TTS (TRNAL13)	NA	245	TRNAL11								
SKNO1_1_308_R1_peak_3996	chr12	124921430	124922061	+	2507	NA	promoter-TSS (TRNAA23)	NA	81	TRNAA23								
SKNO1_1_308_R1_peak_4434	chr14	20613090	20614083	+	2503	NA	promoter-TSS (TRNAP2)	NA	-114	TRNAP2								
SKNO1_1_308_R1_peak_13220	chr6	27753048	27753716	+	2489	NA	promoter-TSS (TRNAV7)	NA	90	TRNAV7								
SKNO1_1_308_R1_peak_3997	chr12	124927125	124928143	+	2487	NA	promoter-TSS (TRNAD15)	NA	-218	TRNAD15								
SKNO1_1_308_R1_peak_1094	chr1	161399377	161400062	+	2470	NA	promoter-TSS (TRNAV29)	NA	53	TRNAV29								
SKNO1_1_308_R1_peak_4330	chr13	94549272	94550076	+	2469	NA	promoter-TSS (TRNAF6)	NA	48	TRNAF6								
