PeakID (cmd=annotatePeaks.pl MV411_4_569_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_4_569_R1_peak_1746	chr19	55005718	55006395	+	3028	NA	Intergenic	NA	32208	GP6								
MV411_4_569_R1_peak_699	chr12	6688859	6689950	+	2823	NA	promoter-TSS (ZNF384)	NA	168	ZNF384								
MV411_4_569_R1_peak_2893	chr5	181223020	181223839	+	2550	NA	promoter-TSS (MIR4638)	NA	138	TRIM41								
MV411_4_569_R1_peak_3306	chr8	11284007	11284925	+	2324	NA	promoter-TSS (MTMR9)	NA	-14278	MTMR9								
MV411_4_569_R1_peak_2516	chr3	194736516	194737771	+	2227	NA	intron (AC090505.6, intron 1 of 3)	NA	28722	AC090505.6								
MV411_4_569_R1_peak_3548	chr8	144078246	144078866	+	2127	NA	promoter-TSS (EXOSC4)	NA	-63	EXOSC4								
MV411_4_569_R1_peak_2706	chr5	1889051	1889387	+	1982	NA	intron (CTD-2194D22.4, intron 2 of 3)	NA	1888	CTD-2194D22.4								
MV411_4_569_R1_peak_1680	chr19	41859563	41860274	+	1973	NA	promoter-TSS (RPS19)	NA	0	RPS19								
MV411_4_569_R1_peak_698	chr12	6662944	6663617	+	1953	NA	promoter-TSS (ING4)	NA	-138	ING4								
MV411_4_569_R1_peak_1701	chr19	45515054	45515504	+	1938	NA	intron (VASP, intron 1 of 12)	NA	7837	VASP								
MV411_4_569_R1_peak_3329	chr8	22604384	22604989	+	1933	NA	promoter-TSS (CCAR2)	NA	-340	CCAR2								
MV411_4_569_R1_peak_1694	chr19	44207189	44207688	+	1932	NA	Intergenic	NA	-5090	ZNF227								
MV411_4_569_R1_peak_186	chr1	151165811	151166234	+	1930	NA	promoter-TSS (SCNM1)	NA	0	SCNM1								
MV411_4_569_R1_peak_878	chr13	28658843	28659310	+	1862	NA	promoter-TSS (POMP)	NA	72	POMP								
MV411_4_569_R1_peak_2848	chr5	149345190	149345598	+	1827	NA	promoter-TSS (GRPEL2)	NA	-20	GRPEL2								
MV411_4_569_R1_peak_1880	chr2	73737157	73737755	+	1793	NA	promoter-TSS (TPRKB)	NA	-821	TPRKB								
MV411_4_569_R1_peak_1718	chr19	49580443	49580887	+	1778	NA	promoter-TSS (NOSIP)	NA	-93	NOSIP								
MV411_4_569_R1_peak_3644	chr9	128371115	128371607	+	1778	NA	promoter-TSS (URM1)	NA	42	URM1								
MV411_4_569_R1_peak_3196	chr7	69199053	69199637	+	1755	NA	Intergenic	NA	398150	LOC100507468								
MV411_4_569_R1_peak_1026	chr15	34101778	34102202	+	1705	NA	promoter-TSS (PGBD4)	NA	-83	PGBD4								
MV411_4_569_R1_peak_2440	chr3	129160829	129161801	+	1703	NA	promoter-TSS (ISY1)	NA	-85	ISY1								
MV411_4_569_R1_peak_1196	chr16	30355125	30355558	+	1687	NA	promoter-TSS (LOC101928707)	NA	-36	LOC101928707								
MV411_4_569_R1_peak_1733	chr19	53824266	53824804	+	1625	NA	promoter-TSS (NLRP12)	NA	-132	NLRP12								
MV411_4_569_R1_peak_1764	chr19	58305066	58305569	+	1581	NA	Intergenic	NA	-21725	ZSCAN22								
MV411_4_569_R1_peak_3605	chr9	92670029	92670569	+	1519	NA	promoter-TSS (IPPK)	NA	-34	IPPK								
MV411_4_569_R1_peak_2016	chr2	216109094	216109680	+	1475	NA	promoter-TSS (XRCC5)	NA	1729	XRCC5								
MV411_4_569_R1_peak_3541	chr8	143281469	143281861	+	1434	NA	promoter-TSS (LOC100507316)	NA	11	LOC100507316								
MV411_4_569_R1_peak_2717	chr5	16465512	16465982	+	1361	NA	promoter-TSS (ZNF622)	NA	38	ZNF622								
MV411_4_569_R1_peak_1159	chr16	4182769	4183473	+	1354	NA	Intergenic	NA	58959	SRL								
MV411_4_569_R1_peak_1907	chr2	101328392	101328880	+	1341	NA	Intergenic	NA	19183	MIR5696								
MV411_4_569_R1_peak_2939	chr6	26596649	26597052	+	1332	NA	promoter-TSS (ABT1)	NA	-93	ABT1								
MV411_4_569_R1_peak_825	chr12	105235973	105236489	+	1323	NA	promoter-TSS (APPL2)	NA	-2826	APPL2								
MV411_4_569_R1_peak_2604	chr4	70688137	70688673	+	1315	NA	promoter-TSS (UTP3)	NA	-74	UTP3								
MV411_4_569_R1_peak_1390	chr17	40818738	40819321	+	1280	NA	promoter-TSS (TMEM99)	NA	-63	TMEM99								
MV411_4_569_R1_peak_3195	chr7	67918160	67918538	+	1279	NA	Intergenic	NA	-106142	LOC102723427								
MV411_4_569_R1_peak_2	chr1	1375181	1375666	+	1261	NA	promoter-TSS (AURKAIP1)	NA	15	AURKAIP1								
MV411_4_569_R1_peak_1916	chr2	112584220	112584675	+	1253	NA	promoter-TSS (CHCHD5)	NA	1	CHCHD5								
MV411_4_569_R1_peak_2777	chr5	88827044	88827532	+	1238	NA	intron (MEF2C, intron 2 of 11)	NA	-3361	MEF2C								
MV411_4_569_R1_peak_3121	chr7	1504204	1504618	+	1235	NA	promoter-TSS (INTS1)	NA	-29	INTS1								
