PeakID (cmd=annotatePeaks.pl MV411_1_650_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_650_R1_peak_262	chr2	32915974	32916863	+	620	NA	intron (LINC00486, intron 5 of 5)	NA	-10709	AL121656.5								
MV411_1_650_R1_peak_36	chr1	125179919	125180463	+	471	NA	Intergenic	NA	3661079	EMBP1								
MV411_1_650_R1_peak_545	chrUn_KI270438v1	103853	104994	+	459	NA	NA	NA	NA	NA								
MV411_1_650_R1_peak_200	chr16	34581986	34583760	+	408	NA	Intergenic	NA	150881	LOC102724523								
MV411_1_650_R1_peak_206	chr16	46389416	46390289	+	384	NA	Intergenic	NA	179245	ANKRD26P1								
MV411_1_650_R1_peak_546	chrUn_KI270438v1	109002	110071	+	367	NA	NA	NA	NA	NA								
MV411_1_650_R1_peak_322	chr22	18892232	18892775	+	366	NA	Intergenic	NA	-13720	DGCR6								
MV411_1_650_R1_peak_146	chr13	18211852	18212498	+	365	NA	intron (FAM230C, intron 1 of 7)	NA	16878	FAM230C								
MV411_1_650_R1_peak_552	chrUn_KI270467v1	1882	3664	+	353	NA	NA	NA	NA	NA								
MV411_1_650_R1_peak_209	chr16	46399105	46401704	+	350	NA	Intergenic	NA	168693	ANKRD26P1								
MV411_1_650_R1_peak_448	chr6	73520091	73521220	+	318	NA	intron (EEF1A1, intron 1 of 7)	NA	377	EEF1A1								
MV411_1_650_R1_peak_204	chr16	46386788	46388217	+	300	NA	Intergenic	NA	181595	ANKRD26P1								
MV411_1_650_R1_peak_202	chr16	34592470	34593186	+	285	NA	Intergenic	NA	160836	LOC102724523								
MV411_1_650_R1_peak_205	chr16	46388400	46389280	+	277	NA	Intergenic	NA	180257	ANKRD26P1								
MV411_1_650_R1_peak_199	chr16	34581180	34581892	+	276	NA	Intergenic	NA	149544	LOC102724523								
MV411_1_650_R1_peak_320	chr21	32771882	32772212	+	260	NA	promoter-TSS (C21orf49)	NA	-53	C21orf49								
MV411_1_650_R1_peak_300	chr2	222866479	222867043	+	236	NA	intron (ACSL3, intron 1 of 16)	NA	5747	ACSL3								
MV411_1_650_R1_peak_404	chr5	49659605	49660262	+	211	NA	Intergenic	NA	781467	EMB								
MV411_1_650_R1_peak_144	chr12	124913609	124914963	+	196	NA	intron (UBC, intron 1 of 1)	NA	755	UBC								
MV411_1_650_R1_peak_373	chr4	49711252	49711891	+	187	NA	Intergenic	NA	-222247	LOC101060532								
MV411_1_650_R1_peak_80	chr10	41875175	41875719	+	176	NA	Intergenic	NA	-367076	LOC101929373								
MV411_1_650_R1_peak_371	chr4	49709185	49710021	+	172	NA	Intergenic	NA	-220279	LOC101060532								
MV411_1_650_R1_peak_548	chrUn_KI270438v1	111846	112456	+	163	NA	NA	NA	NA	NA								
MV411_1_650_R1_peak_198	chr16	34573985	34574558	+	149	NA	Intergenic	NA	142279	LOC102724523								
MV411_1_650_R1_peak_219	chr17	26594643	26595169	+	139	NA	Intergenic	NA	699036	MIR4522								
MV411_1_650_R1_peak_403	chr5	49658286	49659260	+	139	NA	Intergenic	NA	782627	EMB								
MV411_1_650_R1_peak_220	chr17	26603659	26604280	+	135	NA	Intergenic	NA	689973	MIR4522								
MV411_1_650_R1_peak_38	chr1	143264406	143264922	+	134	NA	Intergenic	NA	39672	LOC101929814								
MV411_1_650_R1_peak_480	chr7	62454513	62455046	+	132	NA	Intergenic	NA	849277	ZNF733P								
MV411_1_650_R1_peak_203	chr16	34594954	34595479	+	125	NA	Intergenic	NA	163224	LOC102724523								
MV411_1_650_R1_peak_81	chr10	41879185	41879721	+	118	NA	Intergenic	NA	-363070	LOC101929373								
MV411_1_650_R1_peak_342	chr3	74923629	74923930	+	114	NA	Intergenic	NA	-290739	MIR4444-2								
MV411_1_650_R1_peak_570	chrY	11721751	11722282	+	104	NA	Intergenic	NA	699574	GYG2P1								
MV411_1_650_R1_peak_79	chr10	41859680	41860204	+	101	NA	Intergenic	NA	-382581	LOC101929373								
MV411_1_650_R1_peak_276	chr2	89833030	89833558	+	97	NA	Intergenic	NA	-195641	LOC101927050								
MV411_1_650_R1_peak_263	chr2	39295437	39295735	+	95	NA	intron (MAP4K3, intron 15 of 32)	NA	-66054	CDKL4								
MV411_1_650_R1_peak_349	chr3	106219570	106219868	+	95	NA	Intergenic	NA	165962	LOC101929485								
MV411_1_650_R1_peak_210	chr16	70826712	70827016	+	95	NA	intron (HYDIN, intron 83 of 85)	NA	-25693	VAC14								
MV411_1_650_R1_peak_392	chr5	14202016	14202317	+	95	NA	intron (TRIO, intron 1 of 56)	NA	58446	TRIO								
MV411_1_650_R1_peak_48	chr1	192954067	192954368	+	95	NA	intron (LOC102724954, intron 1 of 2)	NA	791	LOC102724954								
MV411_1_650_R1_peak_34	chr1	124059669	124059973	+	95	NA	Intergenic	NA	2540709	EMBP1								
MV411_1_650_R1_peak_91	chr10	81918819	81919117	+	95	NA	intron (NRG3, intron 1 of 10)	NA	43627	NRG3								
MV411_1_650_R1_peak_315	chr21	8219827	8220129	+	95	NA	Intergenic	NA	23095	LOC102723570								
MV411_1_650_R1_peak_14	chr1	50957069	50957369	+	95	NA	intron (FAF1, intron 1 of 18)	NA	3045	FAF1								
MV411_1_650_R1_peak_541	chrUn_GL000216v2	167621	167932	+	94	NA	NA	NA	NA	NA								
MV411_1_650_R1_peak_4	chr1	23355043	23355345	+	94	NA	Intergenic	NA	-10544	HNRNPR								
