PeakID (cmd=annotatePeaks.pl MV411_2_770_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_770_R1_peak_243	chr21	10273321	10273420	+	936	NA	Intergenic	NA	-140162	BAGE2								
MV411_2_770_R1_peak_206	chr19	55407865	55408466	+	848	NA	promoter-TSS (UBE2S)	NA	-208	UBE2S								
MV411_2_770_R1_peak_215	chr2	60460382	60460703	+	501	NA	exon (BCL11A, exon 4 of 4)	NA	-58425	LOC102724142								
MV411_2_770_R1_peak_149	chr16	34592684	34592780	+	496	NA	Intergenic	NA	160740	LOC102724523								
MV411_2_770_R1_peak_116	chr14	105020999	105021477	+	495	NA	promoter-TSS (CDCA4)	NA	-150	CDCA4								
MV411_2_770_R1_peak_242	chr21	10272734	10272911	+	475	NA	Intergenic	NA	-140710	BAGE2								
MV411_2_770_R1_peak_240	chr20	56391956	56392525	+	472	NA	promoter-TSS (AURKA)	NA	-48	AURKA								
MV411_2_770_R1_peak_33	chr1	125180146	125180233	+	471	NA	Intergenic	NA	3661077	EMBP1								
MV411_2_770_R1_peak_363	chrX	39097899	39098001	+	450	NA	Intergenic	NA	229412	RP11-265P11.2								
MV411_2_770_R1_peak_336	chr9	120580079	120580607	+	438	NA	promoter-TSS (CDK5RAP2)	NA	-184	CDK5RAP2								
MV411_2_770_R1_peak_320	chr8	25458633	25459305	+	434	NA	promoter-TSS (KCTD9)	NA	210	CDCA2								
MV411_2_770_R1_peak_35	chr1	143264631	143264727	+	428	NA	Intergenic	NA	41680	LOC101929814								
MV411_2_770_R1_peak_228	chr2	200525936	200526413	+	421	NA	promoter-TSS (SGOL2)	NA	-6140	SGOL2								
MV411_2_770_R1_peak_153	chr16	46387840	46387991	+	403	NA	Intergenic	NA	181182	ANKRD26P1								
MV411_2_770_R1_peak_371	chrY	56685540	56685623	+	402	NA	Intergenic	NA	-270662	SPRY3-2								
MV411_2_770_R1_peak_80	chr11	118477966	118478211	+	400	NA	exon (KMT2A, exon 5 of 36)	NA	39996	LOC101929115								
MV411_2_770_R1_peak_187	chr18	50287648	50288178	+	384	NA	promoter-TSS (CXXC1)	NA	409	CXXC1								
MV411_2_770_R1_peak_284	chr4	168155872	168155967	+	371	NA	intron (ANXA10, intron 3 of 11)	NA	74620	ANXA10								
MV411_2_770_R1_peak_78	chr11	118471660	118474316	+	362	NA	exon (KMT2A, exon 3 of 36)	NA	34896	LOC101929115								
MV411_2_770_R1_peak_17	chr1	68496870	68497279	+	355	NA	exon (DEPDC1, exon 1 of 12)	NA	147	DEPDC1								
MV411_2_770_R1_peak_349	chrUn_GL000216v2	158652	158745	+	353	NA	NA	NA	NA	NA								
MV411_2_770_R1_peak_285	chr4	173334324	173334828	+	349	NA	promoter-TSS (HMGB2)	NA	-807	HMGB2								
MV411_2_770_R1_peak_300	chr6	30717062	30717702	+	348	NA	promoter-TSS (MDC1)	NA	-299	MDC1								
MV411_2_770_R1_peak_251	chr22	18892465	18892552	+	342	NA	Intergenic	NA	-13715	DGCR6								
MV411_2_770_R1_peak_96	chr12	50025275	50025753	+	341	NA	promoter-TSS (RACGAP1)	NA	-4337	RACGAP1								
MV411_2_770_R1_peak_318	chr7	148884572	148885014	+	340	NA	promoter-TSS (EZH2)	NA	-34273	EZH2								
