PeakID (cmd=annotatePeaks.pl MV411_2_435_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_435_R1_peak_18328	chr3	49093181	49094874	+	6397	NA	promoter-TSS (QRICH1)	NA	-554	QRICH1								
MV411_2_435_R1_peak_26264	chr9	95874969	95876356	+	6382	NA	promoter-TSS (ERCC6L2)	NA	44	ERCC6L2								
MV411_2_435_R1_peak_7682	chr15	23039048	23040132	+	6348	NA	promoter-TSS (TUBGCP5)	NA	83	TUBGCP5								
MV411_2_435_R1_peak_19316	chr3	194583493	194584620	+	6301	NA	promoter-TSS (TMEM44-AS1)	NA	-212	TMEM44-AS1								
MV411_2_435_R1_peak_16335	chr20	35741452	35744374	+	6237	NA	promoter-TSS (RBM39)	NA	-611	RBM39								
MV411_2_435_R1_peak_10809	chr17	54968194	54969186	+	6195	NA	promoter-TSS (COX11)	NA	13	COX11								
MV411_2_435_R1_peak_11673	chr18	49491615	49492932	+	6179	NA	promoter-TSS (RPL17-C18orf32)	NA	292	RPL17								
MV411_2_435_R1_peak_23049	chr6	151389674	151391810	+	6157	NA	intron (ZBTB2, intron 1 of 2)	NA	800	ZBTB2								
MV411_2_435_R1_peak_8191	chr15	66356080	66357093	+	6112	NA	promoter-TSS (TIPIN)	NA	129	TIPIN								
MV411_2_435_R1_peak_5534	chr12	29380534	29381622	+	6088	NA	intron (ERGIC2, intron 1 of 13)	NA	132	ERGIC2								
MV411_2_435_R1_peak_23913	chr7	76047626	76048514	+	6060	NA	promoter-TSS (MDH2)	NA	51	MDH2								
MV411_2_435_R1_peak_11182	chr17	76556844	76558246	+	6048	NA	promoter-TSS (SNHG16)	NA	-219	SNHG16								
MV411_2_435_R1_peak_15263	chr2	159711806	159713499	+	6048	NA	promoter-TSS (LOC102723926)	NA	163	MARCH7								
MV411_2_435_R1_peak_5643	chr12	48956964	48958046	+	6044	NA	promoter-TSS (ARF3)	NA	-36	ARF3								
MV411_2_435_R1_peak_25938	chr9	6412126	6414033	+	6035	NA	promoter-TSS (UHRF2)	NA	-148	UHRF2								
MV411_2_435_R1_peak_6303	chr12	118016361	118017165	+	6026	NA	promoter-TSS (RFC5)	NA	62	RFC5								
MV411_2_435_R1_peak_7796	chr15	39782388	39783243	+	6012	NA	promoter-TSS (FSIP1)	NA	23	FSIP1								
MV411_2_435_R1_peak_10508	chr17	39460923	39462271	+	5985	NA	promoter-TSS (CDK12)	NA	111	CDK12								
MV411_2_435_R1_peak_3797	chr10	133373064	133373921	+	5972	NA	promoter-TSS (ECHS1)	NA	-88	ECHS1								
MV411_2_435_R1_peak_18916	chr3	139389222	139390226	+	5964	NA	promoter-TSS (COPB2)	NA	-44	COPB2								
MV411_2_435_R1_peak_17951	chr3	14178184	14179295	+	5949	NA	promoter-TSS (XPC)	NA	11	LSM3								
MV411_2_435_R1_peak_22544	chr6	44387139	44388070	+	5943	NA	promoter-TSS (CDC5L)	NA	90	CDC5L								
MV411_2_435_R1_peak_10056	chr17	7856766	7858076	+	5923	NA	promoter-TSS (CYB5D1)	NA	-546	CYB5D1								
MV411_2_435_R1_peak_2960	chr10	46030000	46030982	+	5904	NA	intron (NCOA4, intron 1 of 10)	NA	-10954	NCOA4								
MV411_2_435_R1_peak_122	chr1	6554082	6554903	+	5903	NA	promoter-TSS (TAS1R1)	NA	106	NOL9								
MV411_2_435_R1_peak_3066	chr10	68331215	68333208	+	5902	NA	promoter-TSS (HNRNPH3)	NA	200	HNRNPH3								
MV411_2_435_R1_peak_26187	chr9	85940664	85941545	+	5897	NA	promoter-TSS (NAA35)	NA	-425	NAA35								
MV411_2_435_R1_peak_19090	chr3	169764359	169765499	+	5884	NA	exon (TERC, exon 1 of 1)	NA	131	TERC								
MV411_2_435_R1_peak_889	chr1	45521462	45522421	+	5882	NA	promoter-TSS (PRDX1)	NA	949	PRDX1								
MV411_2_435_R1_peak_19576	chr4	17810438	17811509	+	5877	NA	promoter-TSS (NCAPG)	NA	160	NCAPG								
MV411_2_435_R1_peak_1259	chr1	110337763	110340190	+	5861	NA	promoter-TSS (RBM15)	NA	195	RP5-1074L1.1								
MV411_2_435_R1_peak_9728	chr16	87492635	87493355	+	5851	NA	promoter-TSS (ZCCHC14)	NA	-1141	ZCCHC14								
MV411_2_435_R1_peak_8633	chr15	99250875	99251796	+	5840	NA	promoter-TSS (TTC23)	NA	-27	LRRC28								
MV411_2_435_R1_peak_15007	chr2	119759337	119760212	+	5840	NA	promoter-TSS (LOC101927764)	NA	-85	LOC101927764								
MV411_2_435_R1_peak_6499	chr12	128823570	128824352	+	5815	NA	promoter-TSS (SLC15A4)	NA	-18	SLC15A4								
MV411_2_435_R1_peak_5369	chr12	11171096	11172052	+	5808	NA	promoter-TSS (PRH1-PRR4)	NA	51	PRH1-PRR4								
MV411_2_435_R1_peak_18898	chr3	138174534	138175283	+	5799	NA	promoter-TSS (DBR1)	NA	41	DBR1								
MV411_2_435_R1_peak_21129	chr5	139293246	139294706	+	5799	NA	exon (MATR3, exon 1 of 15)	NA	15196	SNORA74A								
MV411_2_435_R1_peak_2401	chr1	232804847	232806046	+	5795	NA	exon (MAP10, exon 1 of 1)	NA	554	MAP10								
MV411_2_435_R1_peak_7578	chr14	101947570	101949171	+	5795	NA	Intergenic	NA	-16158	DYNC1H1								
MV411_2_435_R1_peak_7614	chr14	103333121	103335465	+	5762	NA	promoter-TSS (EIF5)	NA	291	EIF5								
MV411_2_435_R1_peak_3948	chr11	8682075	8683337	+	5759	NA	exon (RPL27A, exon 1 of 5)	NA	258	RPL27A								
MV411_2_435_R1_peak_9936	chr17	4263389	4264384	+	5676	NA	promoter-TSS (ANKFY1)	NA	-39	ANKFY1								
MV411_2_435_R1_peak_20493	chr5	39073688	39075289	+	5657	NA	promoter-TSS (RICTOR)	NA	-80	RICTOR								
MV411_2_435_R1_peak_3061	chr10	67849266	67849933	+	5654	NA	Intergenic	NA	-11420	DNAJC12								
MV411_2_435_R1_peak_4280	chr11	58577231	58580129	+	5654	NA	promoter-TSS (LPXN)	NA	-434	ZFP91								
MV411_2_435_R1_peak_22128	chr6	28895288	28896435	+	5615	NA	promoter-TSS (HCG14)	NA	467	TRNAL-CAA								
MV411_2_435_R1_peak_24326	chr7	139358559	139360868	+	5611	NA	promoter-TSS (LUC7L2)	NA	-133	LUC7L2								
MV411_2_435_R1_peak_9812	chr16	90022235	90023000	+	5602	NA	promoter-TSS (GAS8)	NA	17	GAS8								
MV411_2_435_R1_peak_21154	chr5	140113665	140115060	+	5592	NA	exon (PURA, exon 1 of 1)	NA	239	PURA								
MV411_2_435_R1_peak_8398	chr15	76310814	76311916	+	5563	NA	exon (ETFA, exon 1 of 12)	NA	104	ETFA								
MV411_2_435_R1_peak_9662	chr16	84116388	84117575	+	5551	NA	promoter-TSS (MBTPS1)	NA	-69	MBTPS1								
MV411_2_435_R1_peak_6524	chr12	132686878	132687794	+	5551	NA	promoter-TSS (PXMP2)	NA	188	POLE								
MV411_2_435_R1_peak_1056	chr1	77682277	77683639	+	5547	NA	promoter-TSS (ZZZ3)	NA	-300	ZZZ3								
MV411_2_435_R1_peak_4013	chr11	13462792	13463801	+	5547	NA	promoter-TSS (BTBD10)	NA	-23022	BTBD10								
MV411_2_435_R1_peak_26489	chr9	120842488	120843528	+	5547	NA	promoter-TSS (PSMD5)	NA	13	PSMD5								
MV411_2_435_R1_peak_16263	chr20	32357700	32359118	+	5536	NA	promoter-TSS (ASXL1)	NA	65	ASXL1								
MV411_2_435_R1_peak_16118	chr20	17967656	17969663	+	5530	NA	promoter-TSS (MGME1)	NA	-284	MGME1								
MV411_2_435_R1_peak_13940	chr2	676668	677869	+	5488	NA	intron (TMEM18, intron 1 of 4)	NA	171	TMEM18								
MV411_2_435_R1_peak_22623	chr6	70412888	70413856	+	5485	NA	promoter-TSS (FAM135A)	NA	-32	FAM135A								
MV411_2_435_R1_peak_24278	chr7	130204945	130206063	+	5484	NA	promoter-TSS (TMEM209)	NA	-122	TMEM209								
MV411_2_435_R1_peak_25940	chr9	6680777	6682197	+	5468	NA	Intergenic	NA	-35795	GLDC								
MV411_2_435_R1_peak_15079	chr2	135984949	135986054	+	5461	NA	exon (AC093391.2, exon 1 of 4)	NA	151	DARS								
MV411_2_435_R1_peak_24489	chr7	158704304	158705530	+	5452	NA	promoter-TSS (NCAPG2)	NA	-86	NCAPG2								
MV411_2_435_R1_peak_22709	chr6	97282705	97283703	+	5448	NA	promoter-TSS (MMS22L)	NA	12	MMS22L								
MV411_2_435_R1_peak_19930	chr4	102825217	102828640	+	5448	NA	exon (UBE2D3, exon 1 of 8)	NA	1020	UBE2D3								
MV411_2_435_R1_peak_10568	chr17	41966357	41967314	+	5430	NA	promoter-TSS (CNP)	NA	94	CNP								
MV411_2_435_R1_peak_9607	chr16	75622871	75623708	+	5427	NA	promoter-TSS (ADAT1)	NA	34	ADAT1								
MV411_2_435_R1_peak_20648	chr5	57173163	57174758	+	5427	NA	promoter-TSS (GPBP1)	NA	-33	GPBP1								
MV411_2_435_R1_peak_9403	chr16	57447032	57448008	+	5425	NA	promoter-TSS (COQ9)	NA	95	COQ9								
MV411_2_435_R1_peak_7920	chr15	48177733	48178642	+	5421	NA	promoter-TSS (CTXN2)	NA	330	MYEF2								
MV411_2_435_R1_peak_19564	chr4	15681239	15682104	+	5419	NA	promoter-TSS (LOC102723602)	NA	-55	LOC102723602								
MV411_2_435_R1_peak_1200	chr1	103525650	103526436	+	5388	NA	promoter-TSS (LOC101928436)	NA	87	RNPC3								
MV411_2_435_R1_peak_22327	chr6	35467849	35469263	+	5351	NA	intron (RPL10A, intron 1 of 5)	NA	155	RPL10A								
MV411_2_435_R1_peak_1794	chr1	165768522	165769379	+	5350	NA	promoter-TSS (RP11-466F5.8)	NA	21	RP11-466F5.8								
MV411_2_435_R1_peak_17613	chr22	42614016	42616017	+	5350	NA	promoter-TSS (RNU12)	NA	-54	POLDIP3								
MV411_2_435_R1_peak_1680	chr1	156282203	156283213	+	5331	NA	promoter-TSS (TMEM79)	NA	-205	TMEM79								
MV411_2_435_R1_peak_8144	chr15	63833155	63834633	+	5327	NA	promoter-TSS (HERC1)	NA	51	HERC1								
MV411_2_435_R1_peak_8486	chr15	84653971	84654712	+	5327	NA	promoter-TSS (WDR73)	NA	-51	WDR73								
MV411_2_435_R1_peak_18177	chr3	42600055	42601225	+	5325	NA	promoter-TSS (NKTR)	NA	9834	SS18L2								
MV411_2_435_R1_peak_16226	chr20	25623073	25624578	+	5324	NA	intron (NANP, intron 1 of 1)	NA	187	NANP								
MV411_2_435_R1_peak_13056	chr19	34171385	34173348	+	5299	NA	promoter-TSS (LSM14A)	NA	-81	LSM14A								
MV411_2_435_R1_peak_12234	chr19	4123448	4124574	+	5297	NA	exon (MAP2K2, exon 1 of 11)	NA	178	MAP2K2								
MV411_2_435_R1_peak_5916	chr12	67268648	67270544	+	5292	NA	exon (CAND1, exon 1 of 15)	NA	315	CAND1								
MV411_2_435_R1_peak_817	chr1	43358431	43359192	+	5292	NA	promoter-TSS (CDC20)	NA	-144	CDC20								
MV411_2_435_R1_peak_11014	chr17	67717527	67718461	+	5284	NA	promoter-TSS (NOL11)	NA	49	NOL11								
MV411_2_435_R1_peak_10832	chr17	57084622	57086059	+	5276	NA	promoter-TSS (AKAP1)	NA	-416	AKAP1								
MV411_2_435_R1_peak_12307	chr19	5827784	5828777	+	5265	NA	TTS (NRTN)	NA	4473	NRTN								
MV411_2_435_R1_peak_22993	chr6	143842692	143843956	+	5265	NA	promoter-TSS (LTV1)	NA	-47	LTV1								
MV411_2_435_R1_peak_6558	chr13	21176136	21177132	+	5259	NA	promoter-TSS (SKA3)	NA	-32	SKA3								
MV411_2_435_R1_peak_15351	chr2	175167692	175168593	+	5253	NA	promoter-TSS (ATF2)	NA	64	ATF2								
MV411_2_435_R1_peak_27209	chrX	53683160	53684695	+	5249	NA	exon (HUWE1, exon 1 of 83)	NA	-29791	HUWE1								
MV411_2_435_R1_peak_19609	chr4	26319031	26321992	+	5243	NA	promoter-TSS (RBPJ)	NA	-296	RBPJ								
MV411_2_435_R1_peak_9089	chr16	25257403	25258706	+	5242	NA	promoter-TSS (ZKSCAN2)	NA	-520	ZKSCAN2								
MV411_2_435_R1_peak_11778	chr18	62186552	62188281	+	5239	NA	promoter-TSS (PIGN)	NA	143	KIAA1468								
MV411_2_435_R1_peak_24851	chr8	38231086	38232363	+	5237	NA	promoter-TSS (DDHD2)	NA	233	DDHD2								
MV411_2_435_R1_peak_23593	chr7	35800303	35801987	+	5209	NA	promoter-TSS (AC007551.3)	NA	86	SEPT7								
MV411_2_435_R1_peak_6418	chr12	122752404	122753406	+	5206	NA	promoter-TSS (DENR)	NA	81	DENR								
MV411_2_435_R1_peak_12244	chr19	4402052	4403243	+	5206	NA	promoter-TSS (CHAF1A)	NA	-16	CHAF1A								
MV411_2_435_R1_peak_9741	chr16	87950520	87952218	+	5204	NA	promoter-TSS (BANP)	NA	-63	BANP								
MV411_2_435_R1_peak_23232	chr6	169701453	169703127	+	5186	NA	promoter-TSS (WDR27)	NA	129	C6orf120								
MV411_2_435_R1_peak_27025	chrX	13734217	13735338	+	5185	NA	promoter-TSS (TRAPPC2)	NA	64	OFD1								
MV411_2_435_R1_peak_22585	chr6	52419844	52420600	+	5175	NA	promoter-TSS (EFHC1)	NA	26	EFHC1								
MV411_2_435_R1_peak_25970	chr9	19379237	19380675	+	5152	NA	intron (RPS6, intron 1 of 5)	NA	281	RPS6								
MV411_2_435_R1_peak_392	chr1	23979588	23980846	+	5147	NA	exon (SRSF10, exon 1 of 7)	NA	246	SRSF10								
MV411_2_435_R1_peak_120	chr1	6235524	6236382	+	5140	NA	promoter-TSS (ICMT)	NA	31	ICMT								
MV411_2_435_R1_peak_24845	chr8	38104796	38106023	+	5139	NA	promoter-TSS (ASH2L)	NA	-384	ASH2L								
MV411_2_435_R1_peak_9195	chr16	30400387	30401010	+	5097	NA	TTS (ZNF48)	NA	5586	ZNF48								
MV411_2_435_R1_peak_7241	chr14	71320045	71321328	+	5077	NA	Intergenic	NA	-10095	LOC102724015								
MV411_2_435_R1_peak_8355	chr15	75023250	75023951	+	5077	NA	promoter-TSS (PPCDC)	NA	8	PPCDC								
MV411_2_435_R1_peak_14707	chr2	85327179	85328635	+	5051	NA	intron (TGOLN2, intron 1 of 3)	NA	389	TGOLN2								
MV411_2_435_R1_peak_12455	chr19	8513363	8514503	+	5038	NA	promoter-TSS (ZNF414)	NA	231	ZNF414								
MV411_2_435_R1_peak_19468	chr4	2962800	2964164	+	5038	NA	promoter-TSS (NOP14)	NA	-91	NOP14								
MV411_2_435_R1_peak_5182	chr12	401171	401997	+	5035	NA	promoter-TSS (CCDC77)	NA	-12129	KDM5A								
MV411_2_435_R1_peak_27282	chrX	71253920	71254549	+	5035	NA	promoter-TSS (ZMYM3)	NA	415	ZMYM3								
MV411_2_435_R1_peak_26383	chr9	109119718	109120517	+	5025	NA	promoter-TSS (TMEM245)	NA	-172	TMEM245								
MV411_2_435_R1_peak_3483	chr10	101060435	101062143	+	5019	NA	promoter-TSS (KAZALD1)	NA	-492	KAZALD1								
