PeakID (cmd=annotatePeaks.pl MV411_2_325_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_325_R1_peak_14571	chr2	17517815	17518984	+	6122	NA	promoter-TSS (RAD51AP2)	NA	2181	RAD51AP2								
MV411_2_325_R1_peak_26278	chr9	127224050	127225673	+	5953	NA	promoter-TSS (GARNL3)	NA	-39616	GARNL3								
MV411_2_325_R1_peak_9808	chr17	979210	980406	+	5953	NA	promoter-TSS (NXN)	NA	-17309	TIMM22								
MV411_2_325_R1_peak_7523	chr14	96391408	96392389	+	5885	NA	promoter-TSS (AK7)	NA	-213	AK7								
MV411_2_325_R1_peak_23217	chr7	6503035	6504888	+	5763	NA	intron (GRID2IP, intron 15 of 21)	NA	-1921	LOC101927325								
MV411_2_325_R1_peak_25223	chr8	123415991	123417455	+	5693	NA	promoter-TSS (WDYHV1)	NA	-2	WDYHV1								
MV411_2_325_R1_peak_23932	chr7	106111770	106112892	+	5663	NA	promoter-TSS (SYPL1)	NA	283	SYPL1								
MV411_2_325_R1_peak_11923	chr18	74495703	74496997	+	5643	NA	promoter-TSS (CNDP2)	NA	85	CNDP2								
MV411_2_325_R1_peak_16927	chr20	62793916	62794915	+	5615	NA	Intergenic	NA	-2038	MRGBP								
MV411_2_325_R1_peak_11835	chr18	59358891	59359968	+	5609	NA	promoter-TSS (LMAN1)	NA	-153	LMAN1								
MV411_2_325_R1_peak_672	chr1	30717840	30719548	+	5590	NA	promoter-TSS (MATN1-AS1)	NA	-78	MATN1-AS1								
MV411_2_325_R1_peak_22197	chr6	37169276	37170557	+	5586	NA	promoter-TSS (PIM1)	NA	-230	PIM1								
MV411_2_325_R1_peak_17286	chr21	45642519	45643949	+	5583	NA	Intergenic	NA	-100794	SLC19A1								
MV411_2_325_R1_peak_5911	chr12	63779274	63780476	+	5569	NA	promoter-TSS (TMEM5)	NA	72	TMEM5								
MV411_2_325_R1_peak_18260	chr3	33439917	33441371	+	5546	NA	promoter-TSS (UBP1)	NA	-266	UBP1								
MV411_2_325_R1_peak_966	chr1	45303245	45304295	+	5511	NA	promoter-TSS (LINC01144)	NA	-140	LINC01144								
MV411_2_325_R1_peak_3687	chr10	132536950	132538048	+	5496	NA	promoter-TSS (INPP5A)	NA	-350	INPP5A								
MV411_2_325_R1_peak_2810	chr10	28302342	28303671	+	5460	NA	promoter-TSS (MPP7)	NA	18	MPP7								
MV411_2_325_R1_peak_23393	chr7	36152351	36153588	+	5458	NA	promoter-TSS (EEPD1)	NA	-258	EEPD1								
MV411_2_325_R1_peak_23447	chr7	43582574	43583816	+	5432	NA	exon (STK17A, exon 1 of 7)	NA	102	STK17A								
MV411_2_325_R1_peak_103	chr1	2586002	2587369	+	5378	NA	promoter-TSS (FAM213B)	NA	225	FAM213B								
MV411_2_325_R1_peak_11064	chr17	64129457	64130814	+	5362	NA	promoter-TSS (ERN1)	NA	664	ERN1								
MV411_2_325_R1_peak_25561	chr8	144826616	144827955	+	5346	NA	promoter-TSS (ZNF7)	NA	-1028	ZNF7								
MV411_2_325_R1_peak_26354	chr9	129027890	129028916	+	5343	NA	promoter-TSS (SH3GLB2)	NA	-82	SH3GLB2								
MV411_2_325_R1_peak_19495	chr4	705114	706126	+	5294	NA	promoter-TSS (PCGF3)	NA	-160	PCGF3								
MV411_2_325_R1_peak_20344	chr4	184648928	184650148	+	5287	NA	promoter-TSS (PRIMPOL)	NA	-63	CASP3								
MV411_2_325_R1_peak_13154	chr19	18635714	18637402	+	5283	NA	promoter-TSS (KLHL26)	NA	-23129	KLHL26								
MV411_2_325_R1_peak_11333	chr17	78140033	78141170	+	5272	NA	intron (TMC8, intron 15 of 15)	NA	7100	TMC8								
MV411_2_325_R1_peak_1047	chr1	53325921	53327142	+	5272	NA	intron (LRP8, intron 2 of 17)	NA	1528	LRP8								
MV411_2_325_R1_peak_16935	chr20	62861239	62862315	+	5265	NA	promoter-TSS (TCFL5)	NA	-107	TCFL5								
MV411_2_325_R1_peak_25443	chr8	142776544	142778411	+	5250	NA	promoter-TSS (LYNX1)	NA	-7649	LYNX1								
MV411_2_325_R1_peak_23114	chr7	2313963	2314991	+	5250	NA	promoter-TSS (SNX8)	NA	-13	SNX8								
MV411_2_325_R1_peak_8968	chr16	22190018	22191713	+	5250	NA	Intergenic	NA	4927	TRNAL7								
MV411_2_325_R1_peak_12054	chr19	703320	704859	+	5249	NA	Intergenic	NA	-7093	PALM								
MV411_2_325_R1_peak_12627	chr19	9818628	9820078	+	5246	NA	promoter-TSS (FBXL12)	NA	-5192	FBXL12								
MV411_2_325_R1_peak_12581	chr19	8412843	8413785	+	5246	NA	promoter-TSS (MARCH2)	NA	11	MARCH2								
MV411_2_325_R1_peak_16532	chr20	33992806	33994661	+	5245	NA	promoter-TSS (RALY)	NA	-339	RALY								
MV411_2_325_R1_peak_24574	chr8	28621935	28623416	+	5244	NA	Intergenic	NA	78789	EXTL3-AS1								
MV411_2_325_R1_peak_8745	chr16	3099751	3100592	+	5238	NA	promoter-TSS (ZSCAN10)	NA	-7311	ZSCAN10								
MV411_2_325_R1_peak_7577	chr14	101760101	101762071	+	5224	NA	promoter-TSS (PPP2R5C)	NA	471	PPP2R5C								
MV411_2_325_R1_peak_15955	chr2	219387056	219389002	+	5205	NA	promoter-TSS (DNPEP)	NA	-233	DNPEP								
MV411_2_325_R1_peak_27156	chrX	135098414	135099329	+	5202	NA	promoter-TSS (LINC00087)	NA	-168	LINC00087								
MV411_2_325_R1_peak_3153	chr10	75233895	75235086	+	5185	NA	intron (COMTD1, intron 6 of 6)	NA	1522	COMTD1								
MV411_2_325_R1_peak_1845	chr1	160098152	160099636	+	5180	NA	promoter-TSS (IGSF8)	NA	-248	IGSF8								
MV411_2_325_R1_peak_12017	chr18	80033166	80034899	+	5163	NA	promoter-TSS (RBFA)	NA	-314	RBFA								
MV411_2_325_R1_peak_23602	chr7	73737747	73739372	+	5160	NA	promoter-TSS (ABHD11)	NA	301	ABHD11								
MV411_2_325_R1_peak_250	chr1	11272463	11273712	+	5157	NA	promoter-TSS (UBIAD1)	NA	-77	UBIAD1								
