PeakID (cmd=annotatePeaks.pl OCIAML2_1_168_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML2_1_168_R1_peak_3154	chr16	19493687	19494062	+	2031	NA	intron (TMC5, intron 19 of 21)	NA	28254	GDE1								
OCIAML2_1_168_R1_peak_2664	chr14	68268202	68268568	+	1989	NA	intron (RAD51B, intron 7 of 10)	NA	131994	LOC101927971								
OCIAML2_1_168_R1_peak_454	chr1	153945876	153946386	+	1888	NA	promoter-TSS (DENND4B)	NA	-3264	DENND4B								
OCIAML2_1_168_R1_peak_8211	chr8	18846924	18847365	+	1887	NA	intron (PSD3, intron 4 of 9)	NA	166542	PSD3								
OCIAML2_1_168_R1_peak_761	chr1	212414881	212415322	+	1813	NA	promoter-TSS (TMEM206)	NA	-200	TMEM206								
OCIAML2_1_168_R1_peak_7056	chr5	177494191	177494603	+	1799	NA	intron (PDLIM7, intron 2 of 12)	NA	3208	PDLIM7								
OCIAML2_1_168_R1_peak_5396	chr22	26428666	26429109	+	1788	NA	promoter-TSS (ASPHD2)	NA	-427	ASPHD2								
OCIAML2_1_168_R1_peak_8483	chr8	90005738	90006192	+	1774	NA	intron (DECR1, intron 1 of 8)	NA	4506	DECR1								
OCIAML2_1_168_R1_peak_9003	chr9	124202414	124202886	+	1755	NA	Intergenic	NA	-89321	NEK6								
OCIAML2_1_168_R1_peak_1393	chr11	1839857	1840199	+	1735	NA	promoter-TSS (TNNI2)	NA	539	TNNI2								
OCIAML2_1_168_R1_peak_7328	chr6	40719552	40719977	+	1691	NA	Intergenic	NA	-4395	LOC101929535								
OCIAML2_1_168_R1_peak_1906	chr12	19908815	19909234	+	1684	NA	Intergenic	NA	-105661	RP11-664H17.1								
OCIAML2_1_168_R1_peak_3724	chr17	77465571	77465995	+	1658	NA	promoter-TSS (SEPT9)	NA	21079	LOC100996273								
OCIAML2_1_168_R1_peak_769	chr1	212794452	212794990	+	1655	NA	intron (TATDN3, intron 1 of 8)	NA	2893	TATDN3								
OCIAML2_1_168_R1_peak_7479	chr6	96917043	96917492	+	1654	NA	Intergenic	NA	-7353	KLHL32								
OCIAML2_1_168_R1_peak_529	chr1	161718658	161719222	+	1568	NA	Intergenic	NA	-3713	FCRLB								
OCIAML2_1_168_R1_peak_8976	chr9	117704086	117704494	+	1538	NA	exon (TLR4, exon 1 of 4)	NA	115	TLR4								
OCIAML2_1_168_R1_peak_745	chr1	208065895	208066277	+	1528	NA	intron (PLXNA2, intron 12 of 30)	NA	-154748	CD34								
OCIAML2_1_168_R1_peak_941	chr1	243459040	243459393	+	1522	NA	intron (SDCCAG8, intron 15 of 16)	NA	-12809	LOC102724256								
OCIAML2_1_168_R1_peak_6298	chr4	40307639	40308031	+	1518	NA	intron (LOC101930098, intron 2 of 3)	NA	-8650	LOC101060498								
OCIAML2_1_168_R1_peak_8566	chr8	113685106	113685434	+	1501	NA	Intergenic	NA	-248257	CSMD3								
OCIAML2_1_168_R1_peak_8720	chr9	272727	273115	+	1496	NA	promoter-TSS (DOCK8)	NA	-127	DOCK8								
OCIAML2_1_168_R1_peak_8875	chr9	90189310	90189631	+	1474	NA	Intergenic	NA	-147971	RP11-406A20.4								
OCIAML2_1_168_R1_peak_4147	chr19	41328799	41329208	+	1468	NA	Intergenic	NA	18534	CCDC97								
OCIAML2_1_168_R1_peak_2740	chr14	91241877	91242226	+	1439	NA	exon (LOC102724476, exon 1 of 3)	NA	264	LOC102724476								
OCIAML2_1_168_R1_peak_3400	chr17	4436908	4437267	+	1414	NA	intron (SPNS3, intron 1 of 11)	NA	-9661	SPNS3								
OCIAML2_1_168_R1_peak_3919	chr18	79820056	79820455	+	1401	NA	Intergenic	NA	-43413	KCNG2								
OCIAML2_1_168_R1_peak_3670	chr17	68491389	68491710	+	1400	NA	Intergenic	NA	-18314	LOC102724296								
OCIAML2_1_168_R1_peak_459	chr1	154407250	154407682	+	1398	NA	promoter-TSS (LOC101928101)	NA	-643	LOC101928101								
OCIAML2_1_168_R1_peak_5797	chr3	72102123	72102444	+	1362	NA	Intergenic	NA	-1828	LINC00877								
OCIAML2_1_168_R1_peak_6110	chr3	187935788	187936172	+	1355	NA	Intergenic	NA	-201073	BCL6								
OCIAML2_1_168_R1_peak_6147	chr3	194737215	194737686	+	1347	NA	intron (AC090505.6, intron 1 of 3)	NA	29029	AC090505.6								
OCIAML2_1_168_R1_peak_4459	chr2	62039215	62039664	+	1341	NA	intron (COMMD1, intron 2 of 2)	NA	133771	COMMD1								
OCIAML2_1_168_R1_peak_3934	chr19	1077006	1077344	+	1334	NA	exon (HMHA1, exon 1 of 13)	NA	5954	HMHA1								
OCIAML2_1_168_R1_peak_687	chr1	201715666	201716326	+	1330	NA	intron (NAV1, intron 5 of 32)	NA	-3512	MIR5191								
OCIAML2_1_168_R1_peak_1940	chr12	32674805	32675173	+	1327	NA	Intergenic	NA	-4211	DNM1L								
OCIAML2_1_168_R1_peak_5739	chr3	52121749	52122119	+	1327	NA	intron (POC1A, intron 9 of 10)	NA	29151	POC1A								
OCIAML2_1_168_R1_peak_6338	chr4	69831763	69832228	+	1326	NA	Intergenic	NA	28157	SULT1E1								
OCIAML2_1_168_R1_peak_8386	chr8	55885576	55885962	+	1307	NA	intron (LYN, intron 1 of 12)	NA	-48465	LYN								
OCIAML2_1_168_R1_peak_6128	chr3	191246093	191246397	+	1286	NA	intron (OSTN, intron 2 of 2)	NA	46995	OSTN								
OCIAML2_1_168_R1_peak_5072	chr20	23655775	23656197	+	1281	NA	Intergenic	NA	-17938	CST3								
OCIAML2_1_168_R1_peak_4184	chr19	45419462	45419863	+	1281	NA	intron (ERCC1, intron 4 of 8)	NA	4705	ERCC1								
OCIAML2_1_168_R1_peak_9057	chr9	131515545	131516516	+	1271	NA	intron (POMT1, intron 12 of 18)	NA	13056	POMT1								
OCIAML2_1_168_R1_peak_4760	chr2	181456663	181456992	+	1271	NA	promoter-TSS (ITGA4)	NA	-65	ITGA4								
OCIAML2_1_168_R1_peak_9016	chr9	125649326	125649651	+	1267	NA	intron (MAPKAP1, intron 4 of 10)	NA	57746	MAPKAP1								
OCIAML2_1_168_R1_peak_1789	chr11	125072429	125072785	+	1257	NA	intron (SLC37A2, intron 1 of 15)	NA	9490	SLC37A2								
OCIAML2_1_168_R1_peak_1973	chr12	47889001	47889350	+	1252	NA	intron (VDR, intron 1 of 9)	NA	15856	VDR								
OCIAML2_1_168_R1_peak_3232	chr16	50281963	50282342	+	1242	NA	intron (ADCY7, intron 1 of 22)	NA	7993	ADCY7								
OCIAML2_1_168_R1_peak_1424	chr11	7520999	7521315	+	1241	NA	intron (PPFIBP2, intron 1 of 24)	NA	7668	LOC102723874								
OCIAML2_1_168_R1_peak_7165	chr6	14910650	14911030	+	1238	NA	Intergenic	NA	249387	LOC102724463								
OCIAML2_1_168_R1_peak_5102	chr20	37005528	37005880	+	1238	NA	intron (RBL1, intron 20 of 20)	NA	-53861	SAMHD1								
OCIAML2_1_168_R1_peak_2001	chr12	52118478	52118811	+	1222	NA	Intergenic	NA	48670	C12orf44								
OCIAML2_1_168_R1_peak_246	chr1	52637050	52637471	+	1214	NA	intron (FAM159A, intron 1 of 2)	NA	3866	FAM159A								
