PeakID (cmd=annotatePeaks.pl SKNO1_1_231_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_1_231_R1_peak_1986	chr11	118435837	118436692	+	6550	NA	promoter-TSS (KMT2A)	NA	-486	KMT2A								
SKNO1_1_231_R1_peak_5305	chr2	39216516	39217593	+	4992	NA	intron (CDKL4, intron 2 of 7)	NA	12478	CDKL4								
SKNO1_1_231_R1_peak_5660	chr2	121998996	121999826	+	4754	NA	Intergenic	NA	220111	LOC101927801								
SKNO1_1_231_R1_peak_2128	chr12	7677174	7678099	+	4639	NA	Intergenic	NA	-7037	APOBEC1								
SKNO1_1_231_R1_peak_7602	chr4	53365816	53366812	+	4604	NA	promoter-TSS (SCFD2)	NA	-239	SCFD2								
SKNO1_1_231_R1_peak_1953	chr11	114082414	114083549	+	4385	NA	intron (ZBTB16, intron 2 of 4)	NA	23414	ZBTB16								
SKNO1_1_231_R1_peak_2041	chr11	128677840	128678730	+	4182	NA	Intergenic	NA	-8250	FLI1								
SKNO1_1_231_R1_peak_7622	chr4	54818920	54819810	+	4006	NA	Intergenic	NA	161437	KIT								
SKNO1_1_231_R1_peak_2519	chr12	98439775	98440637	+	3889	NA	Intergenic	NA	16939	SLC9A7P1								
SKNO1_1_231_R1_peak_1259	chr10	45470396	45471071	+	3804	NA	intron (MARCH8, intron 3 of 7)	NA	-17600	LOC102724323								
SKNO1_1_231_R1_peak_2247	chr12	31686810	31687534	+	3677	NA	intron (AMN1, intron 7 of 8)	NA	27797	AMN1								
SKNO1_1_231_R1_peak_8279	chr5	95718003	95718872	+	3644	NA	Intergenic	NA	-12709	RHOBTB3								
SKNO1_1_231_R1_peak_5145	chr19	54207852	54208681	+	3525	NA	TTS (RPS9)	NA	7439	RPS9								
SKNO1_1_231_R1_peak_652	chr1	160539917	160540737	+	3514	NA	TTS (CD84)	NA	-17065	SLAMF6								
SKNO1_1_231_R1_peak_1291	chr10	61765342	61766138	+	3502	NA	intron (C10orf107, intron 7 of 7)	NA	102789	C10orf107								
SKNO1_1_231_R1_peak_10125	chr8	129581672	129582773	+	3416	NA	Intergenic	NA	-98080	MIR3686								
SKNO1_1_231_R1_peak_4882	chr19	13102524	13103352	+	3281	NA	exon (LYL1, exon 1 of 4)	NA	222	LYL1								
SKNO1_1_231_R1_peak_2241	chr12	29242795	29243658	+	3183	NA	intron (FAR2, intron 1 of 10)	NA	19603	FAR2								
SKNO1_1_231_R1_peak_8058	chr5	36657396	36658108	+	3167	NA	intron (SLC1A3, intron 3 of 9)	NA	50818	SLC1A3								
SKNO1_1_231_R1_peak_3842	chr16	55435153	55435935	+	3078	NA	intron (LOC102723429, intron 1 of 2)	NA	1042	LOC102723429								
SKNO1_1_231_R1_peak_6412	chr21	34908154	34909044	+	3053	NA	intron (RUNX1, intron 2 of 7)	NA	24943	LOC101928240								
SKNO1_1_231_R1_peak_10287	chr9	33239762	33240437	+	3040	NA	promoter-TSS (SPINK4)	NA	-99	SPINK4								
SKNO1_1_231_R1_peak_1958	chr11	114216618	114217425	+	2975	NA	intron (ZBTB16, intron 4 of 6)	NA	-40480	LOC101928916								
SKNO1_1_231_R1_peak_9314	chr7	5396996	5397594	+	2943	NA	intron (TNRC18, intron 2 of 22)	NA	24209	TNRC18								
SKNO1_1_231_R1_peak_5820	chr2	177263203	177263912	+	2898	NA	exon (NFE2L2, exon 1 of 5)	NA	332	NFE2L2								
SKNO1_1_231_R1_peak_7184	chr3	142046250	142047083	+	2887	NA	intron (TFDP2, intron 3 of 11)	NA	-18001	TFDP2								
SKNO1_1_231_R1_peak_3536	chr15	66701877	66702516	+	2873	NA	promoter-TSS (SMAD6)	NA	-140	SMAD6								
SKNO1_1_231_R1_peak_6168	chr20	23361652	23362284	+	2862	NA	promoter-TSS (GZF1)	NA	-164	GZF1								
SKNO1_1_231_R1_peak_2217	chr12	25385996	25386752	+	2809	NA	Intergenic	NA	-135454	KRAS								
SKNO1_1_231_R1_peak_7001	chr3	72144673	72145199	+	2784	NA	Intergenic	NA	-6321	LINC00870								
SKNO1_1_231_R1_peak_904	chr1	212636559	212637266	+	2765	NA	Intergenic	NA	12465	FAM71A								
SKNO1_1_231_R1_peak_3859	chr16	57689358	57690467	+	2756	NA	TTS (GPR97)	NA	-4889	CCDC135								
SKNO1_1_231_R1_peak_3943	chr16	84617965	84618502	+	2751	NA	promoter-TSS (COTL1)	NA	-137	COTL1								
SKNO1_1_231_R1_peak_4466	chr17	78258334	78259067	+	2733	NA	Intergenic	NA	19792	RP11-219G17.4								
SKNO1_1_231_R1_peak_6341	chr21	14454183	14454796	+	2726	NA	Intergenic	NA	-71301	HSPA13								
SKNO1_1_231_R1_peak_988	chr1	234558244	234558931	+	2724	NA	Intergenic	NA	-26808	RP5-855F14.1								
SKNO1_1_231_R1_peak_3986	chr16	88455068	88456302	+	2697	NA	intron (ZFPM1, intron 1 of 9)	NA	2079	ZFPM1								
SKNO1_1_231_R1_peak_2121	chr12	6890945	6891513	+	2686	NA	Intergenic	NA	6547	DSTNP2								
SKNO1_1_231_R1_peak_5269	chr2	28366477	28367174	+	2674	NA	Intergenic	NA	-26087	FOSL2								
SKNO1_1_231_R1_peak_6478	chr21	44854684	44855429	+	2668	NA	intron (PTTG1IP, intron 2 of 2)	NA	18847	PTTG1IP								
SKNO1_1_231_R1_peak_2036	chr11	127733428	127734067	+	2635	NA	Intergenic	NA	462680	RP11-480C22.1								
SKNO1_1_231_R1_peak_8538	chr5	159341654	159342317	+	2621	NA	intron (AC008697.1, intron 2 of 4)	NA	10467	AC008697.1								
SKNO1_1_231_R1_peak_4470	chr17	78592179	78592869	+	2589	NA	Intergenic	NA	-15130	DNAH17								
SKNO1_1_231_R1_peak_8903	chr6	45445575	45446326	+	2548	NA	intron (RUNX2, intron 3 of 5)	NA	-67899	SUPT3H								
