PeakID (cmd=annotatePeaks.pl M6_1_171_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_171_R1_peak_2007	chr12	124913674	124915075	+	1408	NA	intron (UBC, intron 1 of 1)	NA	667	UBC								
M6_1_171_R1_peak_1660	chr12	19908619	19909228	+	1395	NA	Intergenic	NA	-105762	RP11-664H17.1								
M6_1_171_R1_peak_1377	chr11	72807206	72807615	+	1156	NA	Intergenic	NA	-6997	ATG16L2								
M6_1_171_R1_peak_3957	chr2	42752241	42752748	+	1153	NA	intron (MTA3, intron 16 of 16)	NA	11767	OXER1								
M6_1_171_R1_peak_5722	chr4	69831614	69832133	+	1103	NA	Intergenic	NA	28279	SULT1E1								
M6_1_171_R1_peak_5112	chr3	17401940	17402356	+	998	NA	intron (TBC1D5, intron 6 of 20)	NA	297872	TBC1D5								
M6_1_171_R1_peak_4346	chr2	181456591	181457015	+	936	NA	promoter-TSS (ITGA4)	NA	-89	ITGA4								
M6_1_171_R1_peak_3370	chr17	77465594	77466021	+	923	NA	promoter-TSS (SEPT9)	NA	21103	LOC100996273								
M6_1_171_R1_peak_5587	chr3	194737104	194737724	+	825	NA	intron (AC090505.6, intron 1 of 3)	NA	28993	AC090505.6								
M6_1_171_R1_peak_3399	chr18	813175	813637	+	802	NA	Intergenic	NA	-1135	YES1								
M6_1_171_R1_peak_7108	chr7	100887631	100887985	+	796	NA	TTS (UFSP1)	NA	1910	UFSP1								
M6_1_171_R1_peak_3243	chr17	47200053	47200418	+	768	NA	intron (MYL4, intron 1 of 7)	NA	-8782	MYL4								
M6_1_171_R1_peak_2839	chr16	19493671	19493985	+	768	NA	intron (TMC5, intron 18 of 20)	NA	28285	GDE1								
M6_1_171_R1_peak_6376	chr5	177494228	177494565	+	764	NA	intron (PDLIM7, intron 2 of 13)	NA	3204	PDLIM7								
M6_1_171_R1_peak_4231	chr2	121611144	121612193	+	761	NA	intron (CLASP1, intron 1 of 39)	NA	37779	CLASP1								
M6_1_171_R1_peak_6427	chr6	7439308	7439657	+	759	NA	TTS (LOC102724234)	NA	12576	LOC102724234								
M6_1_171_R1_peak_3818	chr19	54208022	54208614	+	709	NA	TTS (RPS9)	NA	7460	RPS9								
M6_1_171_R1_peak_7099	chr7	98133275	98133584	+	700	NA	intron (LMTK2, intron 1 of 13)	NA	26544	LMTK2								
M6_1_171_R1_peak_5200	chr3	44439760	44440230	+	696	NA	exon (ZNF445, exon 8 of 8)	NA	12293	LOC100506319								
M6_1_171_R1_peak_1674	chr12	25052249	25052743	+	694	NA	promoter-TSS (LRMP)	NA	243	LRMP								
M6_1_171_R1_peak_3283	chr17	59533750	59534110	+	692	NA	Intergenic	NA	-7091	RP11-567L7.6								
M6_1_171_R1_peak_6655	chr6	71403344	71403842	+	691	NA	promoter-TSS (MIR30A)	NA	23	MIR30A								
M6_1_171_R1_peak_4325	chr2	172280817	172281213	+	672	NA	Intergenic	NA	-146571	ITGA6								
M6_1_171_R1_peak_4994	chr22	37284923	37285419	+	632	NA	intron (CYTH4, intron 1 of 12)	NA	2717	CYTH4								
