PeakID (cmd=annotatePeaks.pl M6_1_127_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_127_R1_peak_6673	chr7	43582539	43583450	+	3967	NA	promoter-TSS (STK17A)	NA	-99	STK17A								
M6_1_127_R1_peak_6377	chr6	37169589	37170459	+	3609	NA	promoter-TSS (PIM1)	NA	-122	PIM1								
M6_1_127_R1_peak_6829	chr7	106111931	106112789	+	3383	NA	promoter-TSS (SYPL1)	NA	287	SYPL1								
M6_1_127_R1_peak_2570	chr16	22190193	22191518	+	3272	NA	Intergenic	NA	4937	TRNAL7								
M6_1_127_R1_peak_4977	chr20	62794006	62794841	+	3068	NA	Intergenic	NA	-2029	MRGBP								
M6_1_127_R1_peak_7120	chr8	142776954	142778024	+	2927	NA	promoter-TSS (LYNX1)	NA	735	LYNX1								
M6_1_127_R1_peak_538	chr1	160098375	160099287	+	2884	NA	promoter-TSS (IGSF8)	NA	19	IGSF8								
M6_1_127_R1_peak_3273	chr17	77280970	77281755	+	2808	NA	promoter-TSS (SEPT9)	NA	115692	MIR4316								
M6_1_127_R1_peak_6619	chr7	6503335	6504715	+	2764	NA	intron (GRID2IP, intron 15 of 21)	NA	-1857	LOC101927325								
M6_1_127_R1_peak_7373	chr9	127224274	127225697	+	2753	NA	promoter-TSS (GARNL3)	NA	-10857	GARNL3								
M6_1_127_R1_peak_4992	chr20	63641454	63642356	+	2330	NA	intron (STMN3, intron 4 of 4)	NA	11705	STMN3								
M6_1_127_R1_peak_212	chr1	30717951	30718965	+	2308	NA	promoter-TSS (MATN1-AS1)	NA	-314	MATN1-AS1								
M6_1_127_R1_peak_3564	chr19	4327379	4328903	+	2279	NA	intron (STAP2, intron 6 of 12)	NA	10709	STAP2								
M6_1_127_R1_peak_5286	chr22	45240765	45241383	+	2204	NA	promoter-TSS (KIAA0930)	NA	-305	KIAA0930								
M6_1_127_R1_peak_4239	chr19	52527178	52527897	+	2178	NA	promoter-TSS (ZNF808)	NA	-131	ZNF808								
M6_1_127_R1_peak_5268	chr22	42499999	42500693	+	2149	NA	promoter-TSS (SERHL)	NA	-233	SERHL								
M6_1_127_R1_peak_5067	chr21	44338485	44339596	+	2023	NA	promoter-TSS (C21orf2)	NA	362	C21orf2								
M6_1_127_R1_peak_796	chr10	28302518	28303453	+	1702	NA	promoter-TSS (MPP7)	NA	39	MPP7								
M6_1_127_R1_peak_1952	chr13	113724999	113726048	+	1664	NA	intron (GRK1-2, intron 1 of 3)	NA	2450	GRK1-2								
M6_1_127_R1_peak_3473	chr19	1122907	1123462	+	1651	NA	intron (SBNO2, intron 7 of 31)	NA	19247	GPX4								
M6_1_127_R1_peak_5290	chr22	46035474	46036258	+	1451	NA	Intergenic	NA	9002	LINC00899								
M6_1_127_R1_peak_2460	chr16	1992049	1992677	+	1345	NA	intron (SYNGR3, intron 2 of 3)	NA	2418	SYNGR3								
M6_1_127_R1_peak_3213	chr17	64129948	64130586	+	1336	NA	promoter-TSS (ERN1)	NA	-125	ERN1								
M6_1_127_R1_peak_1262	chr11	65570133	65570565	+	1325	NA	promoter-TSS (SSSCA1-AS1)	NA	64	SSSCA1-AS1								
M6_1_127_R1_peak_7511	chrX	1452714	1454362	+	1307	NA	promoter-TSS (ASMTL)	NA	-561	ASMTL								
M6_1_127_R1_peak_4784	chr2	241881308	241882172	+	1284	NA	intron (AC131097.3, intron 1 of 3)	NA	377	AC131097.3								
M6_1_127_R1_peak_4719	chr2	219387683	219388724	+	1259	NA	promoter-TSS (DNPEP)	NA	-263	DNPEP								
M6_1_127_R1_peak_6592	chr7	2631506	2632069	+	1252	NA	promoter-TSS (TTYH3)	NA	-182	TTYH3								
M6_1_127_R1_peak_7094	chr8	123416294	123416952	+	1193	NA	promoter-TSS (WDYHV1)	NA	-102	WDYHV1								
M6_1_127_R1_peak_2291	chr15	64841238	64842143	+	1181	NA	promoter-TSS (PLEKHO2)	NA	-193	PLEKHO2								
M6_1_127_R1_peak_2826	chr17	490974	491441	+	1168	NA	Intergenic	NA	-45267	FAM101B								
M6_1_127_R1_peak_4301	chr19	55623971	55624914	+	1146	NA	intron (ZNF784, intron 1 of 1)	NA	133	ZNF784								
M6_1_127_R1_peak_7162	chr8	144465342	144466263	+	1140	NA	promoter-TSS (CYHR1)	NA	-154	CYHR1								
M6_1_127_R1_peak_677	chr1	222617672	222618408	+	1106	NA	promoter-TSS (MIA3)	NA	-62	MIA3								
M6_1_127_R1_peak_2828	chr17	979616	980195	+	1103	NA	promoter-TSS (NXN)	NA	-130	NXN								
M6_1_127_R1_peak_1034	chr11	560473	561294	+	1092	NA	promoter-TSS (RASSF7)	NA	-104	C11orf35								
M6_1_127_R1_peak_1006	chr10	132307747	132308524	+	1088	NA	promoter-TSS (STK32C)	NA	23738	LOC102724967								
M6_1_127_R1_peak_239	chr1	33181826	33182424	+	1082	NA	promoter-TSS (TRIM62)	NA	-61	TRIM62								
