PeakID (cmd=annotatePeaks.pl D9_1_156_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_1_156_R1_peak_2093	chr7	43582639	43583346	+	5066	NA	promoter-TSS (STK17A)	NA	-101	STK17A								
D9_1_156_R1_peak_1624	chr20	62794124	62794830	+	4479	NA	Intergenic	NA	-1975	MRGBP								
D9_1_156_R1_peak_2143	chr7	106111996	106112766	+	3903	NA	promoter-TSS (SYPL1)	NA	-36	SYPL1								
D9_1_156_R1_peak_2027	chr6	37169703	37170397	+	3580	NA	promoter-TSS (PIM1)	NA	-96	PIM1								
D9_1_156_R1_peak_1014	chr17	77280959	77281698	+	3490	NA	promoter-TSS (SEPT9)	NA	-94755	SEPT9								
D9_1_156_R1_peak_2079	chr7	6503468	6504316	+	3362	NA	intron (GRID2IP, intron 15 of 21)	NA	-1990	LOC101927325								
D9_1_156_R1_peak_1629	chr20	63641685	63642351	+	3080	NA	intron (STMN3, intron 4 of 4)	NA	10748	STMN3								
D9_1_156_R1_peak_753	chr16	22190365	22191406	+	2684	NA	Intergenic	NA	4907	TRNAL7								
D9_1_156_R1_peak_1096	chr19	1122946	1123422	+	2414	NA	intron (SBNO2, intron 7 of 31)	NA	19247	GPX4								
D9_1_156_R1_peak_76	chr1	30717984	30718900	+	2347	NA	promoter-TSS (MATN1-AS1)	NA	-330	MATN1-AS1								
D9_1_156_R1_peak_1134	chr19	4328117	4328848	+	2306	NA	intron (STAP2, intron 6 of 12)	NA	14304	STAP2								
D9_1_156_R1_peak_1395	chr19	52527302	52527853	+	2249	NA	promoter-TSS (ZNF808)	NA	-79	ZNF808								
D9_1_156_R1_peak_1654	chr21	44338533	44339428	+	2197	NA	promoter-TSS (C21orf2)	NA	422	C21orf2								
D9_1_156_R1_peak_159	chr1	160098446	160099177	+	2078	NA	promoter-TSS (IGSF8)	NA	-162	IGSF8								
D9_1_156_R1_peak_2295	chr9	127224758	127225367	+	1684	NA	promoter-TSS (GARNL3)	NA	-39415	GARNL3								
D9_1_156_R1_peak_866	chr17	490988	491409	+	1477	NA	Intergenic	NA	-45258	FAM101B								
D9_1_156_R1_peak_1724	chr22	42500084	42500637	+	1323	NA	promoter-TSS (SERHL)	NA	-219	SERHL								
D9_1_156_R1_peak_1733	chr22	46035569	46036126	+	1254	NA	Intergenic	NA	9021	LINC00899								
D9_1_156_R1_peak_1730	chr22	45240813	45241352	+	1243	NA	promoter-TSS (KIAA0930)	NA	-313	KIAA0930								
D9_1_156_R1_peak_2219	chr8	142777148	142777762	+	1210	NA	promoter-TSS (LYNX1)	NA	-7627	LYNX1								
D9_1_156_R1_peak_519	chr12	131682125	131682534	+	1003	NA	Intergenic	NA	-17911	LOC100996701								
D9_1_156_R1_peak_549	chr13	113725040	113725678	+	847	NA	intron (GRK1-2, intron 1 of 3)	NA	2286	GRK1-2								
D9_1_156_R1_peak_2382	chrX	1452714	1453658	+	811	NA	promoter-TSS (ASMTL)	NA	-209	ASMTL								
D9_1_156_R1_peak_293	chr10	133378868	133379429	+	802	NA	promoter-TSS (PAOX)	NA	-89	PAOX								
D9_1_156_R1_peak_185	chr1	222617749	222618270	+	785	NA	promoter-TSS (MIA3)	NA	-93	MIA3								
D9_1_156_R1_peak_1727	chr22	43186967	43187733	+	728	NA	promoter-TSS (TTLL12)	NA	-219	TTLL12								
D9_1_156_R1_peak_596	chr14	96391739	96392159	+	714	NA	promoter-TSS (AK7)	NA	-162	AK7								
D9_1_156_R1_peak_1559	chr2	241881364	241882070	+	677	NA	intron (AC131097.3, intron 1 of 3)	NA	354	AC131097.3								
D9_1_156_R1_peak_643	chr15	64841397	64842016	+	674	NA	promoter-TSS (PLEKHO2)	NA	-177	PLEKHO2								
D9_1_156_R1_peak_286	chr10	132307846	132308350	+	671	NA	promoter-TSS (STK32C)	NA	-125	STK32C								
