PeakID (cmd=annotatePeaks.pl MV411_1_357_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_357_R1_peak_4759	chr12	31832612	31833377	+	2712	NA	Intergenic	NA	-40753	H3F3C								
MV411_1_357_R1_peak_8551	chr17	4002336	4003063	+	2654	NA	Intergenic	NA	-38235	ATP2A3								
MV411_1_357_R1_peak_22487	chr9	33289928	33290849	+	2344	NA	promoter-TSS (NFX1)	NA	-32	NFX1								
MV411_1_357_R1_peak_10553	chr19	6199194	6199984	+	2338	NA	Intergenic	NA	58076	ACSBG2								
MV411_1_357_R1_peak_21279	chr8	23246215	23247029	+	2305	NA	promoter-TSS (CHMP7)	NA	2985	CHMP7								
MV411_1_357_R1_peak_10530	chr19	5622506	5623498	+	2238	NA	promoter-TSS (SAFB)	NA	-33	SAFB								
MV411_1_357_R1_peak_10354	chr19	1406925	1407648	+	2118	NA	promoter-TSS (DAZAP1)	NA	-283	DAZAP1								
MV411_1_357_R1_peak_1538	chr1	170182423	170182980	+	2086	NA	Intergenic	NA	-31239	MIR3119-1								
MV411_1_357_R1_peak_10467	chr19	3762436	3763298	+	2052	NA	intron (MRPL54, intron 1 of 2)	NA	200	MRPL54								
MV411_1_357_R1_peak_15997	chr3	119676841	119677717	+	1932	NA	exon (COX17, exon 1 of 3)	NA	117	COX17								
MV411_1_357_R1_peak_8637	chr17	7239349	7240053	+	1924	NA	promoter-TSS (PHF23)	NA	-771	PHF23								
MV411_1_357_R1_peak_11246	chr19	38647291	38647822	+	1889	NA	promoter-TSS (ACTN4)	NA	-60	ACTN4								
MV411_1_357_R1_peak_7716	chr16	11915542	11916434	+	1867	NA	promoter-TSS (GSPT1)	NA	-20	GSPT1								
MV411_1_357_R1_peak_13165	chr2	189661093	189661722	+	1849	NA	promoter-TSS (ASNSD1)	NA	8	ASNSD1								
MV411_1_357_R1_peak_2952	chr10	101353652	101354394	+	1844	NA	promoter-TSS (BTRC)	NA	-91	BTRC								
MV411_1_357_R1_peak_12807	chr2	113756356	113757054	+	1844	NA	promoter-TSS (SLC35F5)	NA	-12	SLC35F5								
MV411_1_357_R1_peak_10775	chr19	12734300	12735014	+	1817	NA	promoter-TSS (C19orf43)	NA	58	C19orf43								
MV411_1_357_R1_peak_11817	chr19	55258750	55259733	+	1813	NA	promoter-TSS (PPP6R1)	NA	-7133	PPP6R1								
MV411_1_357_R1_peak_20912	chr7	139339953	139341176	+	1810	NA	promoter-TSS (TRNAR27)	NA	114	C7orf55								
MV411_1_357_R1_peak_3354	chr11	8688688	8689329	+	1795	NA	exon (RPL27A, exon 5 of 5)	NA	3569	SNORA45								
MV411_1_357_R1_peak_2110	chr1	234963072	234963773	+	1789	NA	Intergenic	NA	106396	LOC731656								
MV411_1_357_R1_peak_10543	chr19	5977908	5978659	+	1777	NA	promoter-TSS (LOC100128568)	NA	26	RANBP3								
MV411_1_357_R1_peak_19785	chr6	149749455	149750080	+	1773	NA	promoter-TSS (PCMT1)	NA	72	PCMT1								
MV411_1_357_R1_peak_948	chr1	89170424	89170954	+	1761	NA	intron (GBP7, intron 2 of 10)	NA	5351	GBP7								
MV411_1_357_R1_peak_4084	chr11	76380920	76381608	+	1760	NA	promoter-TSS (LOC100506127)	NA	-61	LOC100506127								
MV411_1_357_R1_peak_17276	chr4	152535921	152536682	+	1760	NA	promoter-TSS (MIR4453)	NA	37	DKFZP434I0714								
MV411_1_357_R1_peak_13329	chr2	216108984	216109596	+	1746	NA	promoter-TSS (XRCC5)	NA	1632	XRCC5								
MV411_1_357_R1_peak_11446	chr19	44890178	44891580	+	1738	NA	promoter-TSS (TOMM40)	NA	-341	TOMM40								
MV411_1_357_R1_peak_2510	chr10	49257152	49257765	+	1731	NA	Intergenic	NA	41435	C10orf71-AS1								
MV411_1_357_R1_peak_12411	chr2	64523786	64524605	+	1728	NA	promoter-TSS (AFTPH)	NA	-110	AFTPH								
MV411_1_357_R1_peak_18545	chr5	180519133	180519593	+	1727	NA	intron (CNOT6, intron 2 of 12)	NA	24946	CNOT6								
MV411_1_357_R1_peak_11087	chr19	29605951	29606617	+	1716	NA	promoter-TSS (POP4)	NA	21	POP4								
MV411_1_357_R1_peak_3222	chr10	133258887	133259617	+	1711	NA	Intergenic	NA	-11367	MIR202HG								
MV411_1_357_R1_peak_14099	chr20	47123897	47125095	+	1701	NA	intron (EYA2, intron 9 of 13)	NA	-42471	MIR3616								
