PeakID (cmd=annotatePeaks.pl MV411_1_601_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_601_R1_peak_98	chr12	131627219	131627427	+	383	NA	Intergenic	NA	37095	LOC100996701								
MV411_1_601_R1_peak_358	chr5	69602111	69602193	+	335	NA	Intergenic	NA	-14513	LOC101929545								
MV411_1_601_R1_peak_258	chr2	105129773	105129968	+	228	NA	Intergenic	NA	-26926	AC104655.2								
MV411_1_601_R1_peak_18	chr1	42931345	42931570	+	221	NA	intron (SLC2A1, intron 2 of 9)	NA	-27592	SLC2A1-AS1								
MV411_1_601_R1_peak_210	chr19	16896926	16897301	+	220	NA	intron (CPAMD8, intron 39 of 41)	NA	7923	F2RL3								
MV411_1_601_R1_peak_83	chr11	125887608	125887732	+	193	NA	promoter-TSS (HYLS1)	NA	19	HYLS1								
MV411_1_601_R1_peak_169	chr17	29195547	29195749	+	192	NA	Intergenic	NA	-15259	MYO18A								
MV411_1_601_R1_peak_480	chrUn_KI270467v1	2087	2632	+	185	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_49	chr10	22723449	22723643	+	184	NA	Intergenic	NA	-8972	PIP4K2A								
MV411_1_601_R1_peak_364	chr5	130765069	130765151	+	183	NA	Intergenic	NA	400238	HINT1								
MV411_1_601_R1_peak_479	chrUn_KI270467v1	1737	1788	+	179	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_481	chrUn_KI270467v1	2707	3260	+	161	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_475	chrUn_KI270438v1	112054	112166	+	158	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_265	chr2	196211336	196211538	+	151	NA	intron (HECW2, intron 27 of 27)	NA	-39825	STK17B								
MV411_1_601_R1_peak_223	chr19	38213944	38214075	+	142	NA	intron (DPF1, intron 9 of 11)	NA	10241	DPF1								
MV411_1_601_R1_peak_404	chr7	88328967	88329043	+	142	NA	Intergenic	NA	-22092	STEAP4								
MV411_1_601_R1_peak_288	chr20	48787903	48788046	+	139	NA	intron (PREX1, intron 1 of 39)	NA	-131379	PREX1								
MV411_1_601_R1_peak_348	chr4	147780114	147780300	+	137	NA	intron (ARHGAP10, intron 1 of 21)	NA	-2432	MIR4799								
MV411_1_601_R1_peak_378	chr6	16224525	16224676	+	137	NA	Intergenic	NA	-13980	GMPR								
MV411_1_601_R1_peak_466	chr9	135939443	135939710	+	137	NA	intron (UBAC1, intron 8 of 9)	NA	21804	UBAC1								
MV411_1_601_R1_peak_31	chr1	165393161	165393274	+	131	NA	Intergenic	NA	52138	RXRG								
MV411_1_601_R1_peak_426	chr8	60951056	60951209	+	130	NA	Intergenic	NA	16616	LOC100130298								
MV411_1_601_R1_peak_433	chr8	104268820	104268909	+	128	NA	Intergenic	NA	45529	RIMS2								
MV411_1_601_R1_peak_260	chr2	114400992	114401065	+	124	NA	Intergenic	NA	-41389	DPP10								
MV411_1_601_R1_peak_458	chr9	126471112	126471253	+	124	NA	intron (MVB12B, intron 7 of 9)	NA	-60678	NRON								
MV411_1_601_R1_peak_233	chr19	45791120	45791290	+	123	NA	intron (DMWD, intron 1 of 4)	NA	1597	DMWD								
MV411_1_601_R1_peak_178	chr17	81425603	81425796	+	122	NA	intron (BAHCC1, intron 1 of 27)	NA	-24962	MIR4740								
MV411_1_601_R1_peak_174	chr17	49939349	49939533	+	121	NA	Intergenic	NA	-29757	DLX4								
MV411_1_601_R1_peak_236	chr19	48322096	48322201	+	120	NA	promoter-TSS (CCDC114)	NA	-1741	CCDC114								
MV411_1_601_R1_peak_365	chr5	135601071	135601146	+	120	NA	Intergenic	NA	-21829	CXCL14								
MV411_1_601_R1_peak_56	chr10	101353894	101354022	+	118	NA	promoter-TSS (BTRC)	NA	-75	BTRC								
MV411_1_601_R1_peak_73	chr11	70424214	70424372	+	118	NA	intron (CTTN, intron 11 of 18)	NA	25787	CTTN								
MV411_1_601_R1_peak_467	chrUn_KI270333v1	26	160	+	118	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_45	chr1	235504580	235504637	+	118	NA	promoter-TSS (B3GALNT2)	NA	-175	B3GALNT2								
MV411_1_601_R1_peak_109	chr14	96783922	96784002	+	117	NA	Intergenic	NA	-13385	VRK1								
MV411_1_601_R1_peak_140	chr16	46388660	46388791	+	116	NA	Intergenic	NA	180372	ANKRD26P1								
MV411_1_601_R1_peak_197	chr19	4543233	4543450	+	115	NA	exon (SEMA6B, exon 17 of 17)	NA	-3317	LRG1								
MV411_1_601_R1_peak_202	chr19	7268534	7268654	+	113	NA	intron (INSR, intron 1 of 21)	NA	11264	INSR								
MV411_1_601_R1_peak_468	chrUn_KI270333v1	258	308	+	113	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_211	chr19	16897365	16897427	+	112	NA	intron (CPAMD8, intron 39 of 41)	NA	8206	F2RL3								
MV411_1_601_R1_peak_420	chr8	22715787	22716006	+	112	NA	intron (PEBP4, intron 6 of 6)	NA	-23601	EGR3								
MV411_1_601_R1_peak_478	chrUn_KI270466v1	921	1157	+	111	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_482	chrUn_KI270467v1	3319	3508	+	110	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_477	chrUn_KI270466v1	719	795	+	109	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_423	chr8	48521283	48521488	+	107	NA	Intergenic	NA	-30182	RP11-770E5.1								
MV411_1_601_R1_peak_141	chr16	46389639	46389748	+	106	NA	Intergenic	NA	179404	ANKRD26P1								
MV411_1_601_R1_peak_338	chr4	49709723	49709778	+	106	NA	Intergenic	NA	-220426	LOC101060532								
MV411_1_601_R1_peak_431	chr8	101375338	101375459	+	105	NA	Intergenic	NA	6505	NACAP1								
MV411_1_601_R1_peak_382	chr6	36312949	36312998	+	105	NA	Intergenic	NA	23912	C6orf222								
MV411_1_601_R1_peak_442	chr8	141540873	141540939	+	105	NA	Intergenic	NA	-33676	MROH5								
MV411_1_601_R1_peak_339	chr4	49709935	49710046	+	105	NA	Intergenic	NA	-220666	LOC101060532								
MV411_1_601_R1_peak_450	chr9	27573422	27573583	+	105	NA	promoter-TSS (C9orf72)	NA	-19	C9orf72								
MV411_1_601_R1_peak_179	chr17	81426021	81426262	+	104	NA	intron (BAHCC1, intron 1 of 27)	NA	25032	MIR3186								
MV411_1_601_R1_peak_69	chr11	46336905	46336991	+	104	NA	intron (DGKZ, intron 1 of 30)	NA	-10458	DGKZ								
MV411_1_601_R1_peak_472	chrUn_KI270337v1	934	983	+	104	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_160	chr16	84357485	84357614	+	103	NA	Intergenic	NA	-10974	ATP2C2								
MV411_1_601_R1_peak_118	chr15	70486814	70487016	+	102	NA	Intergenic	NA	99691	LOC101929151								
MV411_1_601_R1_peak_177	chr17	74923556	74923781	+	101	NA	promoter-TSS (USH1G)	NA	-405	USH1G								
MV411_1_601_R1_peak_306	chr22	43187560	43187675	+	98	NA	promoter-TSS (TTLL12)	NA	-486	TTLL12								
MV411_1_601_R1_peak_473	chrUn_KI270438v1	104674	104727	+	98	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_357	chr5	66554308	66554427	+	98	NA	Intergenic	NA	-42763	RP11-5P22.3								
MV411_1_601_R1_peak_240	chr19	51565710	51565817	+	98	NA	Intergenic	NA	-5515	ZNF175								
MV411_1_601_R1_peak_134	chr16	21609047	21609222	+	98	NA	intron (METTL9, intron 1 of 4)	NA	9658	METTL9								
MV411_1_601_R1_peak_474	chrUn_KI270438v1	109570	109707	+	97	NA	NA	NA	NA	NA								
MV411_1_601_R1_peak_289	chr20	52269432	52269612	+	95	NA	Intergenic	NA	-93544	ZFP64								
