PeakID (cmd=annotatePeaks.pl D9_1_155_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_1_155_R1_peak_12525	chr2	60099753	60100708	+	6657	NA	Intergenic	NA	287215	MIR4432								
D9_1_155_R1_peak_22197	chr7	129014533	129015358	+	6453	NA	intron (TNPO3, intron 5 of 23)	NA	40228	TNPO3								
D9_1_155_R1_peak_922	chr1	72635477	72636547	+	6413	NA	Intergenic	NA	-139259	RP11-262K1.1								
D9_1_155_R1_peak_10971	chr19	823437	824317	+	6347	NA	Intergenic	NA	-1925	LPPR3								
D9_1_155_R1_peak_14906	chr21	34907588	34908971	+	6204	NA	intron (RUNX1, intron 2 of 8)	NA	-19589	RUNX1								
D9_1_155_R1_peak_19230	chr5	138178338	138179399	+	6197	NA	promoter-TSS (BRD8)	NA	144	KIF20A								
D9_1_155_R1_peak_3629	chr11	4441342	4442209	+	6129	NA	Intergenic	NA	-7520	OR52K2								
D9_1_155_R1_peak_8788	chr16	29805194	29806459	+	6106	NA	promoter-TSS (MAZ)	NA	-824	MAZ								
D9_1_155_R1_peak_3443	chr10	119131333	119132406	+	6089	NA	intron (FAM45A, intron 9 of 10)	NA	27770	FAM45A								
D9_1_155_R1_peak_16669	chr3	139120419	139123007	+	6087	NA	intron (BPESC1, intron 2 of 2)	NA	17528	BPESC1								
D9_1_155_R1_peak_13222	chr2	136008001	136008925	+	6077	NA	TTS (AC093391.2)	NA	-22811	DARS								
D9_1_155_R1_peak_16198	chr3	60855914	60856894	+	6001	NA	intron (FHIT, intron 2 of 8)	NA	395055	FHIT								
D9_1_155_R1_peak_23110	chr8	101136857	101137816	+	6001	NA	Intergenic	NA	68728	ZNF706								
D9_1_155_R1_peak_6705	chr13	109389548	109390444	+	5988	NA	Intergenic	NA	-200491	LOC101927627								
D9_1_155_R1_peak_4967	chr12	11798565	11799556	+	5960	NA	intron (ETV6, intron 2 of 7)	NA	111544	LOC101928186								
D9_1_155_R1_peak_5617	chr12	89733393	89734242	+	5932	NA	Intergenic	NA	24862	LINC00936								
D9_1_155_R1_peak_12610	chr2	64945874	64947057	+	5895	NA	Intergenic	NA	-14018	AC007386.2								
D9_1_155_R1_peak_8689	chr16	20806114	20807339	+	5874	NA	promoter-TSS (ERI2)	NA	-253	ERI2								
D9_1_155_R1_peak_19506	chr5	165188632	165189574	+	5848	NA	Intergenic	NA	718824	LOC102546299								
D9_1_155_R1_peak_24715	chrX	15676531	15677412	+	5836	NA	intron (CA5BP1, intron 2 of 4)	NA	2055	CA5BP1								
D9_1_155_R1_peak_16132	chr3	53249526	53250641	+	5822	NA	intron (TKT, intron 1 of 13)	NA	6031	TKT								
D9_1_155_R1_peak_18282	chr4	177308031	177310035	+	5816	NA	promoter-TSS (NEIL3)	NA	-804	NEIL3								
D9_1_155_R1_peak_16544	chr3	128523425	128524188	+	5812	NA	Intergenic	NA	15971	LOC90246								
D9_1_155_R1_peak_8779	chr16	29662733	29664193	+	5785	NA	intron (SPN, intron 1 of 1)	NA	244	SPN								
D9_1_155_R1_peak_3638	chr11	6200718	6201851	+	5713	NA	Intergenic	NA	2060	OR52W1								
D9_1_155_R1_peak_25037	chrX	78650657	78651407	+	5698	NA	Intergenic	NA	8296	ZCCHC5								
D9_1_155_R1_peak_3548	chr10	132551126	132552090	+	5682	NA	intron (INPP5A, intron 1 of 15)	NA	13759	INPP5A								
D9_1_155_R1_peak_17550	chr4	40600966	40602157	+	5682	NA	intron (RBM47, intron 1 of 6)	NA	-85588	RBM47								
D9_1_155_R1_peak_5483	chr12	66144641	66145717	+	5629	NA	intron (TMBIM4, intron 6 of 7)	NA	-14426	LLPH								
D9_1_155_R1_peak_3956	chr11	47359326	47360169	+	5618	NA	intron (SPI1, intron 3 of 4)	NA	-7045	MYBPC3								
D9_1_155_R1_peak_12031	chr2	3429993	3430770	+	5614	NA	intron (TRAPPC12, intron 5 of 10)	NA	-17868	LOC101927578								
D9_1_155_R1_peak_15722	chr3	15805498	15806305	+	5604	NA	intron (ANKRD28, intron 1 of 27)	NA	-49350	ANKRD28								
D9_1_155_R1_peak_20387	chr6	42333351	42334469	+	5574	NA	intron (TRERF1, intron 3 of 17)	NA	-116015	MRPS10								
D9_1_155_R1_peak_7688	chr15	42284695	42285748	+	5564	NA	intron (GANC, intron 3 of 23)	NA	11053	GANC								
D9_1_155_R1_peak_1615	chr1	167297103	167297895	+	5562	NA	intron (POU2F1, intron 1 of 14)	NA	76670	POU2F1								
D9_1_155_R1_peak_10695	chr18	26710195	26711254	+	5521	NA	Intergenic	NA	-7086	PCAT18								
D9_1_155_R1_peak_11358	chr19	16139571	16140318	+	5513	NA	intron (HSH2D, intron 1 of 7)	NA	5916	HSH2D								
D9_1_155_R1_peak_5423	chr12	57935609	57936562	+	5501	NA	promoter-TSS (RP11-620J15.3)	NA	79	RP11-620J15.3								
D9_1_155_R1_peak_23874	chr9	77909052	77909937	+	5489	NA	intron (GNAQ, intron 2 of 6)	NA	121955	GNAQ								
D9_1_155_R1_peak_24262	chr9	120579978	120580803	+	5456	NA	promoter-TSS (CDK5RAP2)	NA	-220	CDK5RAP2								
D9_1_155_R1_peak_6377	chr13	46295444	46296437	+	5455	NA	TTS (LINC00563)	NA	1904	LINC00563								
D9_1_155_R1_peak_11931	chr19	54364642	54365582	+	5443	NA	promoter-TSS (LAIR1)	NA	5441	LAIR1								
D9_1_155_R1_peak_13697	chr2	200525780	200526612	+	5442	NA	promoter-TSS (SGOL2)	NA	-6118	SGOL2								
D9_1_155_R1_peak_9404	chr17	6948463	6949271	+	5430	NA	Intergenic	NA	-47198	ALOX12								
D9_1_155_R1_peak_21318	chr7	5396987	5397889	+	5429	NA	intron (TNRC18, intron 2 of 29)	NA	26108	TNRC18								
D9_1_155_R1_peak_24421	chr9	129110533	129111699	+	5422	NA	promoter-TSS (PPP2R4)	NA	-572	PPP2R4								
D9_1_155_R1_peak_1026	chr1	92459713	92460562	+	5422	NA	Intergenic	NA	24815	GFI1								
D9_1_155_R1_peak_2325	chr1	235941971	235942990	+	5401	NA	Intergenic	NA	-58772	LYST								
