PeakID (cmd=annotatePeaks.pl M6_2_302_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_2_302_R1_peak_29206	chr5	138178338	138179421	+	7177	NA	promoter-TSS (BRD8)	NA	151	KIF20A								
M6_2_302_R1_peak_13309	chr16	29805143	29806640	+	6896	NA	promoter-TSS (MAZ)	NA	-646	MAZ								
M6_2_302_R1_peak_15168	chr17	47895608	47896672	+	6392	NA	promoter-TSS (SP2)	NA	-10	SP2								
M6_2_302_R1_peak_20313	chr2	136008030	136008897	+	6291	NA	TTS (AC093391.2)	NA	-22811	DARS								
M6_2_302_R1_peak_19498	chr2	64945998	64946878	+	6269	NA	Intergenic	NA	-13991	AC007386.2								
M6_2_302_R1_peak_7635	chr12	11171024	11171933	+	5934	NA	exon (PRH1-PRR4, exon 1 of 11)	NA	147	PRH1-PRR4								
M6_2_302_R1_peak_22826	chr21	34907593	34909029	+	5838	NA	intron (RUNX1, intron 2 of 7)	NA	-18490	RUNX1								
M6_2_302_R1_peak_8603	chr12	89733364	89734213	+	5746	NA	Intergenic	NA	24833	LINC00936								
M6_2_302_R1_peak_8334	chr12	57935687	57936517	+	5743	NA	promoter-TSS (RP11-620J15.3)	NA	62	RP11-620J15.3								
M6_2_302_R1_peak_13298	chr16	29662706	29664280	+	5736	NA	intron (SPN, intron 1 of 1)	NA	543	SPN								
M6_2_302_R1_peak_34937	chr8	101136769	101137949	+	5714	NA	Intergenic	NA	68705	ZNF706								
M6_2_302_R1_peak_24629	chr3	49021080	49022493	+	5712	NA	promoter-TSS (DALRD3)	NA	145	NDUFAF3								
M6_2_302_R1_peak_9177	chr12	122646643	122647330	+	5623	NA	Intergenic	NA	56371	HCAR2								
M6_2_302_R1_peak_7656	chr12	11798431	11799404	+	5608	NA	intron (ETV6, intron 2 of 7)	NA	111401	LOC101928186								
M6_2_302_R1_peak_1403	chr1	71881457	71882656	+	5592	NA	intron (NEGR1, intron 2 of 6)	NA	-45044	NEGR1-IT1								
M6_2_302_R1_peak_19374	chr2	60099797	60100689	+	5389	NA	Intergenic	NA	287202	MIR4432								
M6_2_302_R1_peak_32140	chr6	166998968	167000218	+	5373	NA	intron (FGFR1OP, intron 1 of 11)	NA	276	FGFR1OP								
M6_2_302_R1_peak_29218	chr5	138464509	138466004	+	5342	NA	promoter-TSS (EGR1)	NA	-236	EGR1								
M6_2_302_R1_peak_18108	chr19	43950779	43951597	+	5301	NA	promoter-TSS (ZNF221)	NA	-35	ZNF221								
M6_2_302_R1_peak_17421	chr19	14005049	14007439	+	5253	NA	promoter-TSS (RFX1)	NA	839	RFX1								
M6_2_302_R1_peak_14644	chr17	28041022	28042082	+	5246	NA	promoter-TSS (NLK)	NA	-1110	NLK								
M6_2_302_R1_peak_36597	chr9	120579905	120580762	+	5224	NA	promoter-TSS (CDK5RAP2)	NA	-163	CDK5RAP2								
M6_2_302_R1_peak_10192	chr13	109389624	109390295	+	5219	NA	Intergenic	NA	-200528	LOC101927627								
M6_2_302_R1_peak_13137	chr16	20806214	20807339	+	5193	NA	promoter-TSS (ERI2)	NA	-303	ERI2								
M6_2_302_R1_peak_5273	chr10	119131453	119132440	+	5190	NA	intron (FAM45A, intron 7 of 8)	NA	27864	FAM45A								
M6_2_302_R1_peak_6588	chr11	68751135	68751801	+	5179	NA	promoter-TSS (MTL5)	NA	52	MTL5								
M6_2_302_R1_peak_17023	chr19	4968392	4969308	+	5178	NA	promoter-TSS (KDM4B)	NA	36163	MIR4747								
M6_2_302_R1_peak_9625	chr13	41004752	41005656	+	5099	NA	intron (ELF1, intron 1 of 8)	NA	55605	TRNAE20								
M6_2_302_R1_peak_2845	chr1	199041255	199042093	+	5089	NA	Intergenic	NA	-104245	MIR181A1HG								
M6_2_302_R1_peak_6426	chr11	65497093	65498035	+	5084	NA	promoter-TSS (MALAT1)	NA	-198	MALAT1								
M6_2_302_R1_peak_15339	chr17	58281458	58282299	+	5032	NA	promoter-TSS (MPO)	NA	-943	MPO								
M6_2_302_R1_peak_29598	chr5	165188667	165189394	+	5001	NA	Intergenic	NA	718751	LOC102546299								
M6_2_302_R1_peak_3521	chr1	235941989	235942970	+	4991	NA	Intergenic	NA	-75552	LYST								
M6_2_302_R1_peak_15721	chr17	75784478	75785648	+	4987	NA	promoter-TSS (MIR4738)	NA	-512	MIR4738								
M6_2_302_R1_peak_16781	chr19	823482	824176	+	4950	NA	Intergenic	NA	-1877	LPPR3								
M6_2_302_R1_peak_24880	chr3	60856114	60856797	+	4931	NA	intron (FHIT, intron 2 of 8)	NA	395004	FHIT								
M6_2_302_R1_peak_13097	chr16	17342917	17343609	+	4908	NA	intron (XYLT1, intron 2 of 11)	NA	127618	XYLT1								
M6_2_302_R1_peak_10367	chr14	22556019	22556928	+	4879	NA	Intergenic	NA	32764	DAD1								
M6_2_302_R1_peak_16607	chr18	63099665	63100666	+	4831	NA	Intergenic	NA	219215	BCL2								
M6_2_302_R1_peak_36055	chr9	77909126	77909864	+	4819	NA	intron (GNAQ, intron 2 of 6)	NA	121954	GNAQ								
M6_2_302_R1_peak_5104	chr10	102853898	102854682	+	4783	NA	promoter-TSS (C10orf32-ASMT)	NA	80	C10orf32								
M6_2_302_R1_peak_18515	chr19	55338692	55340108	+	4764	NA	promoter-TSS (SUV420H2)	NA	-453	SUV420H2								
M6_2_302_R1_peak_35604	chr9	6412633	6413485	+	4762	NA	promoter-TSS (UHRF2)	NA	-168	UHRF2								
M6_2_302_R1_peak_16343	chr18	26710306	26711134	+	4740	NA	Intergenic	NA	-7082	PCAT18								
M6_2_302_R1_peak_26302	chr3	195442784	195443716	+	4724	NA	promoter-TSS (ACAP2)	NA	-162	ACAP2								
M6_2_302_R1_peak_3859	chr10	11178479	11179341	+	4714	NA	intron (CELF2, intron 2 of 12)	NA	13818	CELF2								
M6_2_302_R1_peak_3776	chr10	5889648	5890520	+	4685	NA	promoter-TSS (ANKRD16)	NA	-119	FBXO18								
M6_2_302_R1_peak_5446	chr10	132551080	132552102	+	4661	NA	intron (INPP5A, intron 1 of 15)	NA	13742	INPP5A								
M6_2_302_R1_peak_22256	chr20	45857108	45857836	+	4655	NA	promoter-TSS (ACOT8)	NA	-66	ACOT8								
M6_2_302_R1_peak_36838	chr9	129110564	129111719	+	4655	NA	promoter-TSS (PPP2R4)	NA	-173	PPP2R4								
M6_2_302_R1_peak_15656	chr17	74737955	74738966	+	4636	NA	intron (RAB37, intron 1 of 7)	NA	1886	RAB37								
M6_2_302_R1_peak_23499	chr22	36387746	36388649	+	4629	NA	promoter-TSS (MYH9)	NA	-179	MYH9								
M6_2_302_R1_peak_9534	chr13	32116080	32116827	+	4605	NA	intron (FRY, intron 3 of 60)	NA	55567	FRY								
M6_2_302_R1_peak_25446	chr3	129439788	129440813	+	4591	NA	promoter-TSS (MBD4)	NA	-121	MBD4								
M6_2_302_R1_peak_29219	chr5	138491796	138492533	+	4588	NA	Intergenic	NA	26672	EGR1								
M6_2_302_R1_peak_29442	chr5	150764277	150765387	+	4578	NA	Intergenic	NA	-6312	DCTN4								
M6_2_302_R1_peak_24728	chr3	52185534	52186353	+	4562	NA	Intergenic	NA	-12140	ALAS1								
M6_2_302_R1_peak_28458	chr5	61331628	61332453	+	4516	NA	promoter-TSS (ZSWIM6)	NA	-169565	SMIM15								
M6_2_302_R1_peak_10815	chr14	64540136	64540988	+	4496	NA	promoter-TSS (HSPA2)	NA	94	HSPA2								
M6_2_302_R1_peak_13126	chr16	19523492	19524161	+	4479	NA	promoter-TSS (CCP110)	NA	-31	CCP110								
M6_2_302_R1_peak_17367	chr19	12937279	12938696	+	4421	NA	promoter-TSS (CALR)	NA	-613	CALR								
M6_2_302_R1_peak_7710	chr12	14365198	14366261	+	4379	NA	promoter-TSS (ATF7IP)	NA	-52239	ATF7IP								
M6_2_302_R1_peak_3443	chr1	234522435	234523933	+	4372	NA	Intergenic	NA	8595	RP5-855F14.1								
M6_2_302_R1_peak_35120	chr8	120065697	120066287	+	4370	NA	Intergenic	NA	-59116	COL14A1								
