PeakID (cmd=annotatePeaks.pl MV411_1_565_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_565_R1_peak_6	chr11	118436040	118436570	+	2434	NA	promoter-TSS (KMT2A)	NA	-1787	LOC101929115								
MV411_1_565_R1_peak_60	chr5	1889110	1889470	+	1203	NA	intron (CTD-2194D22.4, intron 2 of 3)	NA	1959	CTD-2194D22.4								
MV411_1_565_R1_peak_89	chrUn_KI270438v1	109215	109983	+	599	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_82	chrM	9015	16569	+	569	NA	TTS (TRNH)	NA	526	TRNL2								
MV411_1_565_R1_peak_93	chrUn_KI270467v1	1743	3598	+	507	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_64	chr6	35259478	35259844	+	470	NA	promoter-TSS (LOC101929285)	NA	173	ZNF76								
MV411_1_565_R1_peak_75	chrM	1	1123	+	444	NA	promoter-TSS (RNR1)	NA	-15	TRNF								
MV411_1_565_R1_peak_87	chrUn_KI270438v1	103919	104304	+	361	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_16	chr16	34581102	34581814	+	342	NA	Intergenic	NA	149466	LOC102724523								
MV411_1_565_R1_peak_17	chr16	34582055	34582461	+	332	NA	Intergenic	NA	150266	LOC102724523								
MV411_1_565_R1_peak_76	chrM	1245	4110	+	316	NA	promoter-TSS (TRNL1)	NA	-553	TRNL1								
MV411_1_565_R1_peak_80	chrM	7617	8242	+	315	NA	promoter-TSS (TRNS1)	NA	-366	TRNK								
MV411_1_565_R1_peak_78	chrM	6121	6718	+	282	NA	promoter-TSS (TRNN)	NA	-528	TRNY								
MV411_1_565_R1_peak_81	chrM	8362	8721	+	248	NA	TTS (TRND)	NA	246	TRNK								
MV411_1_565_R1_peak_20	chr16	34588354	34588578	+	242	NA	Intergenic	NA	156474	LOC102724523								
MV411_1_565_R1_peak_94	chrX	71068348	71068659	+	238	NA	promoter-TSS (SNX12)	NA	-55	SNX12								
MV411_1_565_R1_peak_88	chrUn_KI270438v1	104494	104898	+	237	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_91	chrUn_KI270466v1	307	1233	+	235	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_25	chr16	46399211	46399577	+	222	NA	Intergenic	NA	169703	ANKRD26P1								
MV411_1_565_R1_peak_46	chr21	10325645	10326026	+	221	NA	Intergenic	NA	-87697	BAGE2								
MV411_1_565_R1_peak_28	chr16	46401251	46401773	+	214	NA	Intergenic	NA	167585	ANKRD26P1								
MV411_1_565_R1_peak_90	chrUn_KI270438v1	111951	112505	+	213	NA	NA	NA	NA	NA								
MV411_1_565_R1_peak_23	chr16	46388501	46389050	+	207	NA	Intergenic	NA	180322	ANKRD26P1								
MV411_1_565_R1_peak_56	chr4	49709552	49710126	+	190	NA	Intergenic	NA	-220515	LOC101060532								
