PeakID (cmd=annotatePeaks.pl MV411_1_773_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_1_773_R1_peak_311	chr14	64673747	64674220	+	2019	NA	Intergenic	NA	30267	LOC101927856								
MV411_1_773_R1_peak_1056	chr7	146655854	146656471	+	1754	NA	intron (CNTNAP2, intron 1 of 23)	NA	441447	AC006004.1								
MV411_1_773_R1_peak_800	chr4	26342253	26342947	+	1731	NA	promoter-TSS (RBPJ)	NA	22890	RBPJ								
MV411_1_773_R1_peak_123	chr10	27523140	27523734	+	1703	NA	intron (RAB18, intron 2 of 5)	NA	19263	RAB18								
MV411_1_773_R1_peak_866	chr5	40486486	40487370	+	1481	NA	Intergenic	NA	-194023	PTGER4								
MV411_1_773_R1_peak_737	chr3	72756815	72757371	+	1408	NA	intron (SHQ1, intron 10 of 10)	NA	-64964	LOC101927225								
MV411_1_773_R1_peak_862	chr5	25150752	25151270	+	1266	NA	Intergenic	NA	-310428	RP11-730N24.1								
MV411_1_773_R1_peak_891	chr5	98929423	98930027	+	1261	NA	promoter-TSS (CHD1)	NA	591	LOC100289230								
MV411_1_773_R1_peak_938	chr6	20906838	20907417	+	1104	NA	intron (CDKAL1, intron 9 of 15)	NA	372670	CDKAL1								
MV411_1_773_R1_peak_814	chr4	76160249	76160865	+	1081	NA	exon (SCARB2, exon 12 of 12)	NA	-12917	NUP54								
MV411_1_773_R1_peak_735	chr3	63519353	63519886	+	1072	NA	intron (SYNPR, intron 2 of 4)	NA	30432	SYNPR-AS1								
MV411_1_773_R1_peak_928	chr6	6685173	6685779	+	1067	NA	Intergenic	NA	25415	LOC101928004								
MV411_1_773_R1_peak_958	chr6	67896475	67896982	+	1025	NA	Intergenic	NA	-144195	LOC102723883								
MV411_1_773_R1_peak_505	chr19	38543895	38544452	+	1025	NA	intron (RYR1, intron 86 of 104)	NA	73760	MAP4K1								
MV411_1_773_R1_peak_952	chr6	52296692	52297194	+	994	NA	Intergenic	NA	-12062	MCM3								
MV411_1_773_R1_peak_222	chr11	128195076	128195650	+	972	NA	Intergenic	NA	326947	ETS1								
MV411_1_773_R1_peak_708	chr3	15805703	15806253	+	962	NA	intron (ANKRD28, intron 1 of 27)	NA	53568	ANKRD28								
MV411_1_773_R1_peak_1222	chr9	129863082	129863639	+	960	NA	intron (USP20, intron 5 of 20)	NA	-6245	MIR6855								
MV411_1_773_R1_peak_508	chr19	40579965	40580419	+	955	NA	intron (SHKBP1, intron 6 of 17)	NA	3341	SHKBP1								
MV411_1_773_R1_peak_320	chr14	103121977	103122498	+	903	NA	intron (LOC102723726, intron 1 of 3)	NA	885	LOC102723726								
MV411_1_773_R1_peak_645	chr20	44610482	44610964	+	893	NA	intron (PKIG, intron 4 of 5)	NA	41012	ADA								
MV411_1_773_R1_peak_1053	chr7	131188593	131189053	+	892	NA	intron (MKLN1, intron 2 of 18)	NA	-80020	LINC-PINT								
MV411_1_773_R1_peak_384	chr16	48317507	48318048	+	889	NA	intron (LONP2, intron 10 of 13)	NA	-37908	LOC100507577								
MV411_1_773_R1_peak_1193	chr9	35619327	35619760	+	860	NA	promoter-TSS (CD72)	NA	-1116	CD72								
MV411_1_773_R1_peak_829	chr4	118134349	118134906	+	855	NA	intron (NDST3, intron 4 of 13)	NA	100282	NDST3								
MV411_1_773_R1_peak_604	chr2	207632754	207633341	+	854	NA	Intergenic	NA	-8094	METTL21A								
MV411_1_773_R1_peak_571	chr2	126863620	126864093	+	850	NA	Intergenic	NA	207921	GYPC								
MV411_1_773_R1_peak_949	chr6	41784467	41784967	+	845	NA	intron (PRICKLE4, intron 4 of 7)	NA	-2726	TOMM6								
MV411_1_773_R1_peak_614	chr2	232013731	232014237	+	831	NA	intron (DIS3L2, intron 1 of 13)	NA	52401	DIS3L2								
MV411_1_773_R1_peak_970	chr6	109237109	109237510	+	824	NA	intron (LOC100996634, intron 1 of 10)	NA	695	LOC100996634								
MV411_1_773_R1_peak_709	chr3	17196117	17196641	+	820	NA	intron (TBC1D5, intron 18 of 21)	NA	263183	MIR3714								
MV411_1_773_R1_peak_1194	chr9	35937111	35937545	+	810	NA	Intergenic	NA	20826	OR2S2								
MV411_1_773_R1_peak_724	chr3	39656978	39657559	+	803	NA	Intergenic	NA	-152392	MYRIP								
MV411_1_773_R1_peak_27	chr1	54965794	54966369	+	791	NA	Intergenic	NA	-8140	TRNAK-CUU								
MV411_1_773_R1_peak_1160	chr8	124761872	124762349	+	790	NA	Intergenic	NA	-33603	MTSS1								
MV411_1_773_R1_peak_94	chr1	223639345	223639774	+	764	NA	intron (CAPN8-2, intron 2 of 11)	NA	26175	CAPN8-2								
MV411_1_773_R1_peak_663	chr21	14362029	14362445	+	761	NA	Intergenic	NA	20951	HSPA13								
MV411_1_773_R1_peak_860	chr5	16976202	16976679	+	747	NA	Intergenic	NA	-234207	MYO10								
MV411_1_773_R1_peak_826	chr4	110032558	110033023	+	739	NA	Intergenic	NA	40465	RNU6-35P								
MV411_1_773_R1_peak_539	chr2	24329611	24330095	+	731	NA	intron (ITSN2, intron 1 of 39)	NA	30675	ITSN2								
MV411_1_773_R1_peak_1148	chr8	115451332	115451853	+	729	NA	intron (TRPS1, intron 4 of 5)	NA	216702	TRPS1								
MV411_1_773_R1_peak_1080	chr8	25385259	25385638	+	729	NA	intron (DOCK5, intron 40 of 51)	NA	39592	GNRH1								
MV411_1_773_R1_peak_894	chr5	112929843	112930303	+	728	NA	Intergenic	NA	-7739	REEP5								
MV411_1_773_R1_peak_974	chr6	116839970	116840454	+	703	NA	Intergenic	NA	-11155	GPRC6A								
MV411_1_773_R1_peak_550	chr2	47487090	47487537	+	694	NA	intron (MSH2, intron 15 of 15)	NA	83018	KCNK12								
MV411_1_773_R1_peak_962	chr6	83770893	83771406	+	691	NA	Intergenic	NA	-62348	SNAP91								
MV411_1_773_R1_peak_58	chr1	145980101	145980522	+	689	NA	Intergenic	NA	16320	TXNIP								
MV411_1_773_R1_peak_103	chr1	238006169	238006681	+	678	NA	Intergenic	NA	-115503	ZP4								
MV411_1_773_R1_peak_1014	chr7	20221042	20221549	+	678	NA	intron (LOC100506098, intron 3 of 3)	NA	3826	LOC100506098								
MV411_1_773_R1_peak_441	chr17	78631921	78632311	+	641	NA	Intergenic	NA	-1946	LOC101928710								
MV411_1_773_R1_peak_274	chr13	19713567	19713957	+	638	NA	intron (PSPC1, intron 6 of 7)	NA	69224	PSPC1								
MV411_1_773_R1_peak_794	chr4	10703966	10704472	+	636	NA	Intergenic	NA	-19457	CLNK								
MV411_1_773_R1_peak_1155	chr8	120868744	120869254	+	636	NA	Intergenic	NA	-55938	SNTB1								
MV411_1_773_R1_peak_718	chr3	27521435	27521958	+	628	NA	Intergenic	NA	-65013	SLC4A7								
MV411_1_773_R1_peak_1100	chr8	49999989	50000415	+	621	NA	intron (SNTG1, intron 1 of 16)	NA	88774	SNTG1								
MV411_1_773_R1_peak_1087	chr8	33554036	33554522	+	611	NA	intron (RNF122, intron 2 of 5)	NA	12849	RNF122								
MV411_1_773_R1_peak_1238	chrUn_KI270467v1	2597	3552	+	610	NA	NA	NA	NA	NA								
MV411_1_773_R1_peak_762	chr3	141796550	141796968	+	603	NA	intron (GRK7, intron 2 of 3)	NA	18558	GRK7								
MV411_1_773_R1_peak_820	chr4	83369803	83370223	+	591	NA	Intergenic	NA	-35200	HPSE								
MV411_1_773_R1_peak_1176	chr8	143454518	143455002	+	590	NA	intron (ZC3H3, intron 14 of 16)	NA	-24328	MAFA								
MV411_1_773_R1_peak_662	chr21	10273207	10273534	+	582	NA	Intergenic	NA	-140162	BAGE2								
MV411_1_773_R1_peak_628	chr20	19074825	19075257	+	568	NA	Intergenic	NA	26168	LOC102724734								
MV411_1_773_R1_peak_714	chr3	22713881	22714367	+	566	NA	Intergenic	NA	-489038	UBE2E2								
MV411_1_773_R1_peak_792	chr4	7655467	7655937	+	566	NA	intron (SORCS2, intron 5 of 26)	NA	-98388	AFAP1-AS1								
MV411_1_773_R1_peak_869	chr5	42757302	42757808	+	565	NA	intron (CCDC152, intron 1 of 8)	NA	737	CCDC152								
MV411_1_773_R1_peak_1066	chr8	9026070	9026510	+	561	NA	intron (ERI1, intron 6 of 6)	NA	-22163	MIR4660								
MV411_1_773_R1_peak_867	chr5	40677951	40678347	+	558	NA	Intergenic	NA	-2802	PTGER4								
MV411_1_773_R1_peak_705	chr3	12353828	12354271	+	556	NA	intron (PPARG, intron 1 of 6)	NA	-16029	PPARG								
MV411_1_773_R1_peak_552	chr2	55899866	55900222	+	556	NA	intron (EFEMP1, intron 4 of 10)	NA	24119	EFEMP1								
MV411_1_773_R1_peak_754	chr3	125125724	125126219	+	556	NA	intron (SLC12A8, intron 6 of 13)	NA	25525	MIR5092								
MV411_1_773_R1_peak_881	chr5	71834478	71834947	+	556	NA	Intergenic	NA	115549	CARTPT								
MV411_1_773_R1_peak_500	chr19	28213481	28213944	+	554	NA	Intergenic	NA	252981	LOC102724942								
MV411_1_773_R1_peak_773	chr3	171838263	171838708	+	545	NA	Intergenic	NA	-4864	TMEM212								
MV411_1_773_R1_peak_835	chr4	131426393	131426814	+	545	NA	Intergenic	NA	-338434	RP11-614F17.2								
MV411_1_773_R1_peak_299	chr14	21263274	21263725	+	543	NA	intron (HNRNPC, intron 1 of 8)	NA	5980	HNRNPC								
MV411_1_773_R1_peak_775	chr3	177834984	177835510	+	541	NA	intron (LOC102724550, intron 1 of 2)	NA	18382	LOC102724550								
