PeakID (cmd=annotatePeaks.pl MV411_2_358_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_358_R1_peak_3226	chr17	4002448	4002977	+	2103	NA	Intergenic	NA	-38248	ATP2A3								
MV411_2_358_R1_peak_1803	chr12	31832705	31833231	+	1206	NA	Intergenic	NA	-40727	H3F3C								
MV411_2_358_R1_peak_6586	chr4	39458300	39459636	+	966	NA	promoter-TSS (RPL9)	NA	-20	RPL9								
MV411_2_358_R1_peak_613	chr1	170182483	170182868	+	944	NA	Intergenic	NA	-31221	MIR3119-1								
MV411_2_358_R1_peak_7329	chr6	30616624	30618062	+	780	NA	promoter-TSS (PPP1R10)	NA	-36	PPP1R10								
MV411_2_358_R1_peak_1878	chr12	54359136	54359665	+	764	NA	Intergenic	NA	5086	GPR84								
MV411_2_358_R1_peak_6797	chr5	5523043	5523447	+	717	NA	Intergenic	NA	100572	KIAA0947								
MV411_2_358_R1_peak_5583	chr20	47124047	47124720	+	703	NA	intron (EYA2, intron 7 of 13)	NA	-42602	MIR3616								
MV411_2_358_R1_peak_359	chr1	89170498	89170933	+	701	NA	intron (GBP7, intron 2 of 10)	NA	5325	GBP7								
MV411_2_358_R1_peak_6293	chr3	119676792	119677615	+	681	NA	intron (COX17, intron 1 of 2)	NA	193	COX17								
MV411_2_358_R1_peak_4602	chr19	48882008	48882518	+	659	NA	intron (TULP2, intron 9 of 10)	NA	9871	PPP1R15A								
MV411_2_358_R1_peak_7173	chr5	180518999	180519551	+	658	NA	intron (CNOT6, intron 2 of 12)	NA	24875	CNOT6								
MV411_2_358_R1_peak_966	chr10	49257179	49257561	+	640	NA	Intergenic	NA	41523	C10orf71-AS1								
MV411_2_358_R1_peak_3708	chr17	81859968	81861113	+	606	NA	exon (P4HB, exon 1 of 11)	NA	128	P4HB								
MV411_2_358_R1_peak_8518	chr8	144060861	144061377	+	597	NA	promoter-TSS (OPLAH)	NA	-438	OPLAH								
MV411_2_358_R1_peak_8688	chr9	107675798	107676223	+	562	NA	Intergenic	NA	-186447	KLF4								
MV411_2_358_R1_peak_7477	chr6	66897468	66897911	+	558	NA	Intergenic	NA	1109810	SLC25A51P1								
MV411_2_358_R1_peak_855	chr1	243101405	243102016	+	554	NA	promoter-TSS (RP11-261C10.3)	NA	34	RP11-261C10.3								
MV411_2_358_R1_peak_6798	chr5	5585747	5586181	+	550	NA	Intergenic	NA	163291	KIAA0947								
MV411_2_358_R1_peak_3957	chr19	1067991	1068567	+	543	NA	intron (HMHA1, intron 1 of 22)	NA	1113	HMHA1								
MV411_2_358_R1_peak_185	chr1	31605958	31606430	+	539	NA	Intergenic	NA	-11492	HCRTR1								
MV411_2_358_R1_peak_1953	chr12	70242856	70244084	+	539	NA	promoter-TSS (CNOT2)	NA	588	CNOT2								
MV411_2_358_R1_peak_3064	chr16	58629227	58630508	+	534	NA	promoter-TSS (CNOT1)	NA	19	CNOT1								
MV411_2_358_R1_peak_4736	chr19	58278548	58279235	+	530	NA	promoter-TSS (ZNF8)	NA	-61	ZNF8								
MV411_2_358_R1_peak_85	chr1	16904815	16905234	+	527	NA	Intergenic	NA	9044	RNU1-2								
MV411_2_358_R1_peak_3258	chr17	6947804	6948192	+	517	NA	Intergenic	NA	-48634	ALOX12								
MV411_2_358_R1_peak_4270	chr19	18192736	18193311	+	496	NA	promoter-TSS (MPV17L2)	NA	-207	MPV17L2								
MV411_2_358_R1_peak_6731	chr4	149765963	149766425	+	490	NA	Intergenic	NA	-27699	RP11-526A4.1								
MV411_2_358_R1_peak_3875	chr18	68438553	68439079	+	489	NA	Intergenic	NA	-276393	CCDC102B								
MV411_2_358_R1_peak_1934	chr12	64404350	64405514	+	477	NA	intron (XPOT, intron 1 of 24)	NA	559	XPOT								
MV411_2_358_R1_peak_8223	chr8	42795143	42795695	+	473	NA	Intergenic	NA	-26633	CHRNA6								
MV411_2_358_R1_peak_50	chr1	9078253	9078657	+	472	NA	Intergenic	NA	-9129	SLC2A5								
MV411_2_358_R1_peak_8241	chr8	51365736	51366547	+	442	NA	intron (PXDNL, intron 5 of 8)	NA	-349695	LOC102724313								
MV411_2_358_R1_peak_47	chr1	8938429	8938815	+	440	NA	Intergenic	NA	-7212	CA6								
MV411_2_358_R1_peak_757	chr1	225466830	225467693	+	438	NA	Intergenic	NA	-38406	LBR								
MV411_2_358_R1_peak_5539	chr20	35741677	35742488	+	438	NA	exon (RBM39, exon 1 of 18)	NA	220	RBM39								
MV411_2_358_R1_peak_7293	chr6	26550161	26550589	+	437	NA	Intergenic	NA	-3128	TRNAA29								
MV411_2_358_R1_peak_3068	chr16	65769008	65769346	+	425	NA	Intergenic	NA	-192877	LINC00922								
MV411_2_358_R1_peak_6330	chr3	128879109	128879793	+	403	NA	promoter-TSS (ACAD9)	NA	-169	ACAD9								
MV411_2_358_R1_peak_14	chr1	1658857	1659374	+	396	NA	promoter-TSS (CDK11B)	NA	-103	CDK11B								
MV411_2_358_R1_peak_3440	chr17	40140258	40140806	+	395	NA	promoter-TSS (CASC3)	NA	278	CASC3								
MV411_2_358_R1_peak_5144	chr2	144514526	144518680	+	393	NA	intron (ZEB2, intron 2 of 2)	NA	1065	ZEB2								
MV411_2_358_R1_peak_6287	chr3	114056544	114057008	+	390	NA	promoter-TSS (QTRTD1)	NA	41	QTRTD1								
MV411_2_358_R1_peak_4369	chr19	35745001	35745585	+	384	NA	promoter-TSS (PSENEN)	NA	149	U2AF1L4								
MV411_2_358_R1_peak_4265	chr19	17932591	17933131	+	384	NA	promoter-TSS (CCDC124)	NA	-2235	CCDC124								
MV411_2_358_R1_peak_4561	chr19	47110589	47113272	+	379	NA	intron (ZC3H4, intron 1 of 14)	NA	-14975	ZC3H4								
MV411_2_358_R1_peak_4513	chr19	44890194	44891188	+	376	NA	promoter-TSS (TOMM40)	NA	-529	TOMM40								
MV411_2_358_R1_peak_6692	chr4	119454252	119454913	+	375	NA	promoter-TSS (LOC101926918)	NA	-201	LOC645513								
MV411_2_358_R1_peak_7874	chr7	75843691	75844112	+	374	NA	Intergenic	NA	-30186	CCL24								
MV411_2_358_R1_peak_8469	chr8	134712568	134713545	+	371	NA	promoter-TSS (ZFAT)	NA	-7	ZFAT								
MV411_2_358_R1_peak_6359	chr3	138410252	138410636	+	371	NA	Intergenic	NA	-24142	ESYT3								
MV411_2_358_R1_peak_5913	chr22	42725942	42726313	+	368	NA	Intergenic	NA	-4842	A4GALT								
MV411_2_358_R1_peak_2918	chr16	19067472	19067986	+	368	NA	promoter-TSS (COQ7)	NA	-163	COQ7								
MV411_2_358_R1_peak_8309	chr8	73971833	73972784	+	366	NA	promoter-TSS (TCEB1)	NA	-3834	TMEM70								
MV411_2_358_R1_peak_8826	chr9	134371045	134372787	+	366	NA	intron (RXRA, intron 1 of 9)	NA	-7379	RXRA								
MV411_2_358_R1_peak_8418	chr8	124450377	124450923	+	363	NA	promoter-TSS (TRMT12)	NA	-157	TRMT12								
MV411_2_358_R1_peak_2168	chr13	29594723	29595730	+	363	NA	intron (SLC7A1, intron 1 of 12)	NA	462	SLC7A1								
MV411_2_358_R1_peak_6172	chr3	49411060	49411877	+	361	NA	promoter-TSS (TCTA)	NA	625	RHOA								
MV411_2_358_R1_peak_3643	chr17	75666986	75667533	+	358	NA	promoter-TSS (SAP30BP)	NA	-70	RECQL5								
MV411_2_358_R1_peak_4051	chr19	5718824	5720739	+	353	NA	promoter-TSS (CATSPERD)	NA	477	LONP1								
MV411_2_358_R1_peak_7264	chr6	17706159	17707178	+	353	NA	promoter-TSS (NUP153)	NA	-243	NUP153								
MV411_2_358_R1_peak_941	chr10	32346337	32347219	+	349	NA	promoter-TSS (LOC102031319)	NA	-586	LOC102031319								
MV411_2_358_R1_peak_4069	chr19	6425506	6425992	+	346	NA	promoter-TSS (KHSRP)	NA	-966	KHSRP								
MV411_2_358_R1_peak_6049	chr3	28347877	28349395	+	346	NA	promoter-TSS (ZCWPW2)	NA	-312	ZCWPW2								
MV411_2_358_R1_peak_4008	chr19	2545830	2546986	+	345	NA	intron (GNG7, intron 3 of 4)	NA	-32837	LOC101929097								
MV411_2_358_R1_peak_4457	chr19	41263124	41265129	+	344	NA	promoter-TSS (HNRNPUL1)	NA	1640	HNRNPUL1								
MV411_2_358_R1_peak_1382	chr11	47392628	47396019	+	341	NA	Intergenic	NA	-6647	MIR4487								
MV411_2_358_R1_peak_1166	chr10	112183637	112183981	+	341	NA	promoter-TSS (GPAM)	NA	31586	GPAM								
MV411_2_358_R1_peak_6776	chr5	372134	374910	+	341	NA	intron (AHRR, intron 3 of 11)	NA	69346	AHRR								
MV411_2_358_R1_peak_4982	chr2	70085678	70088078	+	334	NA	promoter-TSS (PCBP1)	NA	137	PCBP1-AS1								
MV411_2_358_R1_peak_6469	chr3	186570277	186570956	+	332	NA	promoter-TSS (TBCCD1)	NA	-62	DNAJB11								
MV411_2_358_R1_peak_1873	chr12	53500885	53501786	+	332	NA	promoter-TSS (TARBP2)	NA	-258	TARBP2								
MV411_2_358_R1_peak_6276	chr3	101643789	101644160	+	330	NA	Intergenic	NA	-32456	ZBTB11-AS1								
MV411_2_358_R1_peak_5823	chr22	29267868	29268837	+	323	NA	promoter-TSS (EWSR1)	NA	-267	RHBDD3								
MV411_2_358_R1_peak_5282	chr2	207166347	207167229	+	320	NA	promoter-TSS (KLF7)	NA	388	MIR7845								
MV411_2_358_R1_peak_2542	chr15	40405567	40406161	+	318	NA	promoter-TSS (IVD)	NA	379	IVD								
MV411_2_358_R1_peak_5312	chr2	218568162	218569111	+	317	NA	promoter-TSS (RQCD1)	NA	56	RQCD1								
MV411_2_358_R1_peak_6098	chr3	45065104	45065436	+	316	NA	Intergenic	NA	35135	CLEC3B								
MV411_2_358_R1_peak_696	chr1	204171859	204172177	+	314	NA	Intergenic	NA	-5681	REN								
MV411_2_358_R1_peak_8555	chr9	6412183	6412992	+	312	NA	promoter-TSS (UHRF2)	NA	-564	UHRF2								
MV411_2_358_R1_peak_4412	chr19	38849453	38850007	+	310	NA	exon (HNRNPL, exon 1 of 13)	NA	603	HNRNPL								
MV411_2_358_R1_peak_2410	chr14	90331530	90332169	+	308	NA	promoter-TSS (NRDE2)	NA	86	NRDE2								
MV411_2_358_R1_peak_8197	chr8	37881728	37882426	+	307	NA	intron (RAB11FIP1, intron 1 of 5)	NA	17420	RAB11FIP1								
MV411_2_358_R1_peak_7033	chr5	138574941	138576206	+	306	NA	promoter-TSS (HSPA9)	NA	56	HSPA9								
MV411_2_358_R1_peak_4421	chr19	39402868	39404045	+	305	NA	Intergenic	NA	-3391	ZFP36								
MV411_2_358_R1_peak_4193	chr19	13846186	13848034	+	304	NA	Intergenic	NA	-10459	MIR23A								
MV411_2_358_R1_peak_7940	chr7	101081464	101081790	+	302	NA	Intergenic	NA	-3878	TRIM56								
MV411_2_358_R1_peak_3730	chr17	82457846	82458799	+	302	NA	promoter-TSS (NARF)	NA	-342	NARF								
MV411_2_358_R1_peak_3975	chr19	1652590	1652946	+	301	NA	promoter-TSS (TCF3)	NA	-1490	TCF3								
MV411_2_358_R1_peak_3876	chr18	70205568	70206033	+	299	NA	promoter-TSS (RTTN)	NA	-74	RTTN								
MV411_2_358_R1_peak_3852	chr18	58863531	58864135	+	299	NA	promoter-TSS (ZNF532)	NA	252	ZNF532								
MV411_2_358_R1_peak_4674	chr19	54115475	54115879	+	299	NA	promoter-TSS (PRPF31)	NA	-2	TFPT								
MV411_2_358_R1_peak_4756	chr1_KI270713v1_random	22004	22240	+	295	NA	Intergenic	NA	6706	TRNAN-GUU-7								
