PeakID (cmd=annotatePeaks.pl MV411_2_774_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_2_774_R1_peak_182	chr21	10273322	10273419	+	1393	NA	Intergenic	NA	-140162	BAGE2								
MV411_2_774_R1_peak_157	chr2	60460379	60460712	+	1025	NA	exon (BCL11A, exon 4 of 4)	NA	-58428	LOC102724142								
MV411_2_774_R1_peak_103	chr16	34592679	34592790	+	1008	NA	Intergenic	NA	160742	LOC102724523								
MV411_2_774_R1_peak_107	chr16	46387794	46387997	+	973	NA	Intergenic	NA	181202	ANKRD26P1								
MV411_2_774_R1_peak_21	chr1	125180143	125180238	+	910	NA	Intergenic	NA	3661078	EMBP1								
MV411_2_774_R1_peak_26	chr1	143264625	143264737	+	850	NA	Intergenic	NA	41678	LOC101929814								
MV411_2_774_R1_peak_190	chr22	18892460	18892552	+	647	NA	Intergenic	NA	-13717	DGCR6								
MV411_2_774_R1_peak_338	chrUn_GL000216v2	158649	158748	+	635	NA	NA	NA	NA	NA								
MV411_2_774_R1_peak_51	chr11	118477947	118478205	+	624	NA	exon (KMT2A, exon 5 of 36)	NA	-3743	KMT2A								
MV411_2_774_R1_peak_371	chrY	11747665	11747749	+	566	NA	Intergenic	NA	673883	GYG2P1								
MV411_2_774_R1_peak_67	chr13	18212074	18212174	+	562	NA	intron (FAM230C, intron 1 of 7)	NA	16827	FAM230C								
MV411_2_774_R1_peak_49	chr11	118471659	118474316	+	560	NA	exon (KMT2A, exon 3 of 36)	NA	-8832	KMT2A								
MV411_2_774_R1_peak_106	chr16	46387240	46387345	+	555	NA	Intergenic	NA	181805	ANKRD26P1								
MV411_2_774_R1_peak_130	chr17	24421435	24421517	+	547	NA	Intergenic	NA	-1898290	LOC102723754								
MV411_2_774_R1_peak_362	chrUn_KI270467v1	1934	3540	+	526	NA	NA	NA	NA	NA								
MV411_2_774_R1_peak_98	chr16	34582932	34583171	+	512	NA	Intergenic	NA	151059	LOC102724523								
MV411_2_774_R1_peak_277	chr5	88722204	88723005	+	489	NA	exon (MEF2C, exon 11 of 11)	NA	-37801	LINC00461								
MV411_2_774_R1_peak_102	chr16	34589474	34589565	+	458	NA	Intergenic	NA	157527	LOC102724523								
MV411_2_774_R1_peak_74	chr14	64673832	64674198	+	450	NA	Intergenic	NA	30235	LOC101927856								
MV411_2_774_R1_peak_361	chrUn_KI270467v1	1707	1806	+	444	NA	NA	NA	NA	NA								
MV411_2_774_R1_peak_348	chrUn_KI270438v1	104054	104370	+	438	NA	NA	NA	NA	NA								
MV411_2_774_R1_peak_217	chr3	72756861	72757366	+	420	NA	intron (SHQ1, intron 10 of 10)	NA	-64984	LOC101927225								
MV411_2_774_R1_peak_359	chrUn_KI270466v1	902	1176	+	410	NA	NA	NA	NA	NA								
MV411_2_774_R1_peak_134	chr17	26619988	26620076	+	405	NA	Intergenic	NA	673910	MIR4522								
MV411_2_774_R1_peak_115	chr16	46399248	46399574	+	400	NA	Intergenic	NA	169686	ANKRD26P1								
