PeakID (cmd=annotatePeaks.pl SKNO1_2_637_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SKNO1_2_637_R1_peak_7777	chr19	13104238	13104902	+	2604	NA	TTS (TRMT1)	NA	-1425	LYL1								
SKNO1_2_637_R1_peak_1723	chr10	1489050	1489564	+	2164	NA	intron (ADARB2, intron 1 of 9)	NA	-37323	ADARB2-AS1								
SKNO1_2_637_R1_peak_3248	chr11	128677959	128678462	+	2145	NA	Intergenic	NA	-8325	FLI1								
SKNO1_2_637_R1_peak_15527	chr8	144078210	144079013	+	2072	NA	promoter-TSS (EXOSC4)	NA	-8	EXOSC4								
SKNO1_2_637_R1_peak_1154	chr1	161069692	161070131	+	2044	NA	promoter-TSS (ARHGAP30)	NA	59	ARHGAP30								
SKNO1_2_637_R1_peak_9435	chr2	191020132	191020657	+	2039	NA	Intergenic	NA	-6144	STAT1								
SKNO1_2_637_R1_peak_780	chr1	93816874	93817326	+	1929	NA	intron (BCAR3, intron 2 of 13)	NA	-29780	MIR760								
SKNO1_2_637_R1_peak_1526	chr1	225999257	226000110	+	1928	NA	promoter-TSS (SDE2)	NA	-285	SDE2								
SKNO1_2_637_R1_peak_13534	chr6	30682443	30683084	+	1912	NA	intron (PPP1R18, intron 2 of 3)	NA	4553	PPP1R18								
SKNO1_2_637_R1_peak_9763	chr20	1392987	1393475	+	1878	NA	promoter-TSS (MIR6869)	NA	-59	FKBP1A								
SKNO1_2_637_R1_peak_2668	chr11	47578820	47579241	+	1875	NA	promoter-TSS (KBTBD4)	NA	20	NDUFS3								
SKNO1_2_637_R1_peak_1791	chr10	11894500	11895147	+	1857	NA	promoter-TSS (PROSER2-AS1)	NA	-113	PROSER2-AS1								
SKNO1_2_637_R1_peak_3279	chr12	388926	389790	+	1855	NA	promoter-TSS (CCDC77)	NA	8	CCDC77								
SKNO1_2_637_R1_peak_12234	chr4	74094096	74094634	+	1845	NA	Intergenic	NA	4915	CXCL2								
SKNO1_2_637_R1_peak_13994	chr6	133952857	133953378	+	1778	NA	promoter-TSS (TBPL1)	NA	-46	TBPL1								
SKNO1_2_637_R1_peak_7283	chr18	13464803	13465301	+	1761	NA	promoter-TSS (LOC102724634)	NA	5059	MIR5190								
SKNO1_2_637_R1_peak_9543	chr2	216109184	216109605	+	1757	NA	promoter-TSS (XRCC5)	NA	1736	XRCC5								
SKNO1_2_637_R1_peak_10212	chr20	63653103	63653761	+	1741	NA	promoter-TSS (STMN3)	NA	178	STMN3								
SKNO1_2_637_R1_peak_4124	chr12	123633417	123633901	+	1739	NA	promoter-TSS (GTF2H3)	NA	-80	GTF2H3								
SKNO1_2_637_R1_peak_10341	chr21	37358146	37358821	+	1715	NA	Intergenic	NA	-90359	DSCR3								
SKNO1_2_637_R1_peak_7093	chr17	79942755	79943366	+	1709	NA	TTS (TBC1D16)	NA	7797	TBC1D16								
SKNO1_2_637_R1_peak_8271	chr19	47244032	47244538	+	1686	NA	Intergenic	NA	-12238	CCDC9								
SKNO1_2_637_R1_peak_8489	chr19	58305064	58305628	+	1686	NA	Intergenic	NA	-22154	ZSCAN22								
SKNO1_2_637_R1_peak_14120	chr6	146770975	146771451	+	1678	NA	intron (ADGB, intron 29 of 35)	NA	32611	KATNBL1P6								
SKNO1_2_637_R1_peak_1393	chr1	204516163	204516717	+	1659	NA	promoter-TSS (MDM4)	NA	61	MDM4								
SKNO1_2_637_R1_peak_6839	chr17	64506552	64507096	+	1653	NA	promoter-TSS (CEP95)	NA	-157	DDX5								
SKNO1_2_637_R1_peak_15783	chr9	86353942	86354824	+	1651	NA	promoter-TSS (ZCCHC6)	NA	104	ZCCHC6								
SKNO1_2_637_R1_peak_15956	chr9	120793244	120793669	+	1651	NA	promoter-TSS (FBXW2)	NA	6	FBXW2								
SKNO1_2_637_R1_peak_13294	chr5	181223003	181223892	+	1643	NA	promoter-TSS (MIR4638)	NA	156	TRIM41								
SKNO1_2_637_R1_peak_9123	chr2	112584205	112584748	+	1639	NA	promoter-TSS (CHCHD5)	NA	-25	LOC101927330								
SKNO1_2_637_R1_peak_3644	chr12	51368889	51369347	+	1626	NA	intron (GALNT6, intron 4 of 11)	NA	-22439	CELA1								
SKNO1_2_637_R1_peak_11491	chr3	128616507	128616979	+	1619	NA	Intergenic	NA	34133	RPN1								
SKNO1_2_637_R1_peak_6909	chr17	73011078	73011515	+	1614	NA	intron (SLC39A11, intron 4 of 9)	NA	81418	SLC39A11								
SKNO1_2_637_R1_peak_12739	chr5	74766764	74767470	+	1585	NA	promoter-TSS (GFM2)	NA	126	NSA2								
SKNO1_2_637_R1_peak_12937	chr5	131252756	131253188	+	1581	NA	Intergenic	NA	-11037	CDC42SE2								
SKNO1_2_637_R1_peak_11724	chr3	183555504	183555985	+	1575	NA	promoter-TSS (KLHL6)	NA	-33	KLHL6								
SKNO1_2_637_R1_peak_10879	chr3	9362862	9363337	+	1535	NA	promoter-TSS (THUMPD3)	NA	230	THUMPD3								
SKNO1_2_637_R1_peak_4014	chr12	111599225	111599745	+	1529	NA	promoter-TSS (LOC102723619)	NA	-41	LOC102723619								
SKNO1_2_637_R1_peak_13332	chr6	5142814	5143299	+	1529	NA	intron (LYRM4, intron 2 of 3)	NA	5266	MIR3691								
SKNO1_2_637_R1_peak_7134	chr17	81453657	81454205	+	1500	NA	intron (BAHCC1, intron 13 of 26)	NA	-2758	MIR3186								
SKNO1_2_637_R1_peak_9782	chr20	2470496	2471050	+	1497	NA	promoter-TSS (SNRPB)	NA	80	SNRPB								
SKNO1_2_637_R1_peak_25	chr1	1375061	1375775	+	1487	NA	promoter-TSS (AURKAIP1)	NA	-218	AURKAIP1								
SKNO1_2_637_R1_peak_15990	chr9	122219190	122219737	+	1478	NA	intron (LHX6, intron 4 of 9)	NA	8965	LHX6								
SKNO1_2_637_R1_peak_15486	chr8	143281430	143281933	+	1467	NA	promoter-TSS (LOC100507316)	NA	-5	LOC100507316								
SKNO1_2_637_R1_peak_3613	chr12	49662976	49663379	+	1465	NA	intron (FMNL3, intron 4 of 26)	NA	38315	PRPF40B								
SKNO1_2_637_R1_peak_3935	chr12	103957028	103957459	+	1460	NA	promoter-TSS (C12orf73)	NA	-28	C12orf73								
SKNO1_2_637_R1_peak_4159	chr12	131229842	131230512	+	1443	NA	Intergenic	NA	65166	RP11-638F5.1								
SKNO1_2_637_R1_peak_12583	chr5	36242070	36242606	+	1441	NA	promoter-TSS (NADK2)	NA	-59	NADK2								
SKNO1_2_637_R1_peak_11199	chr3	49806104	49806751	+	1438	NA	promoter-TSS (MIR5193)	NA	-182	MIR5193								
SKNO1_2_637_R1_peak_12829	chr5	95646668	95647204	+	1438	NA	promoter-TSS (RFESD)	NA	57	RFESD								
SKNO1_2_637_R1_peak_2954	chr11	71928205	71929222	+	1438	NA	promoter-TSS (RNF121)	NA	-266	LOC100133315								
SKNO1_2_637_R1_peak_11706	chr3	179071532	179072471	+	1430	NA	promoter-TSS (ZMAT3)	NA	-401	ZMAT3								
SKNO1_2_637_R1_peak_13878	chr6	99394028	99394400	+	1425	NA	promoter-TSS (COQ3)	NA	-16	COQ3								
SKNO1_2_637_R1_peak_1150	chr1	161013669	161014146	+	1423	NA	intron (F11R, intron 1 of 9)	NA	7436	F11R								
SKNO1_2_637_R1_peak_16212	chr9	136529897	136530487	+	1407	NA	intron (NOTCH1, intron 2 of 33)	NA	-10567	MIR4673								
SKNO1_2_637_R1_peak_8140	chr19	41327332	41327920	+	1404	NA	Intergenic	NA	17437	CCDC97								
SKNO1_2_637_R1_peak_3594	chr12	49018622	49019135	+	1393	NA	promoter-TSS (PRKAG1)	NA	-2039	PRKAG1								
SKNO1_2_637_R1_peak_3380	chr12	6723823	6724274	+	1390	NA	promoter-TSS (COPS7A)	NA	64	COPS7A								
SKNO1_2_637_R1_peak_14127	chr6	147204204	147204732	+	1386	NA	promoter-TSS (STXBP5)	NA	110	STXBP5								
SKNO1_2_637_R1_peak_473	chr1	38991007	38991389	+	1386	NA	promoter-TSS (AKIRIN1)	NA	-46	AKIRIN1								
SKNO1_2_637_R1_peak_10788	chr22	46288256	46288700	+	1378	NA	exon (TTC38, exon 11 of 14)	NA	8182	GTSE1-AS1								
