PeakID (cmd=annotatePeaks.pl M6_1_124_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
M6_1_124_R1_peak_1772	chr5	138178507	138179202	+	1866	NA	promoter-TSS (BRD8)	NA	126	KIF20A								
M6_1_124_R1_peak_1237	chr2	64946135	64946624	+	1418	NA	Intergenic	NA	-13932	AC007386.2								
M6_1_124_R1_peak_822	chr16	29805221	29806010	+	1412	NA	promoter-TSS (MAZ)	NA	-922	MAZ								
M6_1_124_R1_peak_820	chr16	29663287	29663822	+	1255	NA	intron (SPN, intron 1 of 1)	NA	604	SPN								
M6_1_124_R1_peak_1280	chr2	136008189	136008744	+	1216	NA	TTS (AC093391.2)	NA	-22814	DARS								
M6_1_124_R1_peak_2123	chr9	6412758	6413304	+	922	NA	promoter-TSS (UHRF2)	NA	-196	UHRF2								
M6_1_124_R1_peak_388	chr11	68751282	68751733	+	920	NA	promoter-TSS (MTL5)	NA	-811	MTL5								
M6_1_124_R1_peak_1407	chr21	34908255	34908838	+	904	NA	intron (RUNX1, intron 2 of 7)	NA	-19856	RUNX1								
M6_1_124_R1_peak_808	chr16	20806456	20806958	+	859	NA	promoter-TSS (ERI2)	NA	-234	ERI2								
M6_1_124_R1_peak_373	chr11	65497194	65497773	+	843	NA	promoter-TSS (MALAT1)	NA	-279	MALAT1								
M6_1_124_R1_peak_1522	chr3	49021422	49022081	+	798	NA	promoter-TSS (DALRD3)	NA	-1042	MIR191								
M6_1_124_R1_peak_559	chr12	122646791	122647229	+	798	NA	Intergenic	NA	56347	HCAR2								
M6_1_124_R1_peak_503	chr12	57935870	57936339	+	791	NA	promoter-TSS (RP11-620J15.3)	NA	60	RP11-620J15.3								
M6_1_124_R1_peak_1008	chr18	63100068	63100518	+	758	NA	Intergenic	NA	219087	BCL2								
M6_1_124_R1_peak_457	chr12	11798750	11799220	+	750	NA	intron (ETV6, intron 2 of 7)	NA	111469	LOC101928186								
M6_1_124_R1_peak_1623	chr3	194255394	194255850	+	707	NA	intron (RP11-513G11.3, intron 3 of 3)	NA	7974	RP11-513G11.3								
M6_1_124_R1_peak_2083	chr8	101137039	101137581	+	707	NA	Intergenic	NA	68422	ZNF706								
M6_1_124_R1_peak_1929	chr6	166999157	166999665	+	707	NA	promoter-TSS (FGFR1OP)	NA	94	FGFR1OP								
M6_1_124_R1_peak_802	chr16	17343080	17343517	+	706	NA	intron (XYLT1, intron 2 of 11)	NA	127583	XYLT1								
M6_1_124_R1_peak_1797	chr5	165188836	165189307	+	702	NA	Intergenic	NA	718792	LOC102546299								
M6_1_124_R1_peak_2093	chr8	120065834	120066236	+	679	NA	Intergenic	NA	-59073	COL14A1								
M6_1_124_R1_peak_632	chr14	22556254	22556788	+	667	NA	Intergenic	NA	32716	DAD1								
M6_1_124_R1_peak_997	chr18	26710526	26710934	+	660	NA	Intergenic	NA	-7092	PCAT18								
M6_1_124_R1_peak_868	chr16	88978730	88979364	+	658	NA	Intergenic	NA	-1891	CBFA2T3								
M6_1_124_R1_peak_858	chr16	85571749	85572087	+	639	NA	intron (GSE1, intron 1 of 14)	NA	117064	GINS2								
M6_1_124_R1_peak_2202	chr9	129863025	129863480	+	632	NA	exon (USP20, exon 5 of 21)	NA	5189	USP20								
M6_1_124_R1_peak_1212	chr2	42927461	42927874	+	625	NA	Intergenic	NA	111880	LOC102723854								
M6_1_124_R1_peak_1482	chr22	49853240	49853691	+	622	NA	promoter-TSS (ZBED4)	NA	-384	ZBED4								
M6_1_124_R1_peak_631	chr14	22460458	22460875	+	619	NA	intron (LOC102724753, intron 1 of 2)	NA	18228	LOC102724753								
M6_1_124_R1_peak_1065	chr19	12937451	12937873	+	616	NA	promoter-TSS (CALR)	NA	-938	CALR								
