PeakID (cmd=annotatePeaks.pl MV411_5_589_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MV411_5_589_R1_peak_969	chr10	124145209	124145458	+	766	NA	Intergenic	NA	-51726	CHST15								
MV411_5_589_R1_peak_3872	chr2	238137108	238137546	+	737	NA	Intergenic	NA	-1395	KLHL30								
MV411_5_589_R1_peak_4475	chr3	42101203	42101475	+	649	NA	intron (TRAK1, intron 1 of 16)	NA	9992	TRAK1								
MV411_5_589_R1_peak_6387	chr8	32487179	32487438	+	636	NA	intron (NRG1, intron 1 of 4)	NA	46562	NRG1-IT3								
MV411_5_589_R1_peak_1895	chr14	73943120	73943396	+	631	NA	intron (FAM161B, intron 3 of 8)	NA	-7052	COQ6								
MV411_5_589_R1_peak_6656	chr8	118905232	118905513	+	614	NA	Intergenic	NA	46772	TNFRSF11B								
MV411_5_589_R1_peak_6743	chr8	133231329	133231676	+	584	NA	TTS (WISP1)	NA	-18588	LOC102723635								
MV411_5_589_R1_peak_3209	chr19	41612530	41612791	+	573	NA	Intergenic	NA	14408	CEACAM4								
MV411_5_589_R1_peak_4480	chr3	43709098	43709374	+	562	NA	intron (ABHD5, intron 3 of 6)	NA	18353	ABHD5								
MV411_5_589_R1_peak_5647	chr6	26596738	26596988	+	554	NA	promoter-TSS (ABT1)	NA	-80	ABT1								
MV411_5_589_R1_peak_1345	chr12	6689340	6689795	+	553	NA	promoter-TSS (ZNF384)	NA	-240	ZNF384								
MV411_5_589_R1_peak_3988	chr20	23225440	23225785	+	540	NA	Intergenic	NA	37990	LOC100505664								
MV411_5_589_R1_peak_2539	chr17	27244977	27245225	+	538	NA	Intergenic	NA	48841	MIR4522								
MV411_5_589_R1_peak_3110	chr19	15587706	15588018	+	535	NA	Intergenic	NA	-27356	CYP4F8								
MV411_5_589_R1_peak_3057	chr19	8540655	8540937	+	534	NA	intron (MYO1F, intron 15 of 27)	NA	-26632	ZNF414								
MV411_5_589_R1_peak_4413	chr3	18725899	18726137	+	530	NA	Intergenic	NA	140385	LOC101927805								
MV411_5_589_R1_peak_6645	chr8	116058251	116058556	+	526	NA	intron (LINC00536, intron 7 of 13)	NA	266656	LINC00536								
