GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
NAT1,364.0,350.0,393.0,367.0
AAMP,531.0,571.0,514.0,431.0
AARS1,899.0,843.0,719.5,685.0
ABAT,163.0,174.0,183.5,207.0
ABCA1,140.0,148.0,53.5,48.0
ABCA2,61.0,81.0,95.5,49.0
ABCA3,3.0,3.0,2.5,1.0
ABCB7,124.0,109.0,121.5,116.0
ABCF1,709.0,717.0,714.0,601.0
ABL1,424.0,462.0,543.5,411.0
ABL2,624.0,694.0,636.0,701.0
ABR,1031.0,1111.0,1060.0,1330.0
ACAA1,1101.0,1114.0,1342.5,1449.0
ACACA,1282.0,1354.0,1219.0,843.0
ACACB,39.0,44.0,49.5,49.0
ACADM,2543.0,2112.0,1899.0,1694.0
ACADS,47.0,37.0,45.0,55.0
ACADSB,1684.0,2038.0,1901.5,1594.0
ACADVL,374.0,387.0,379.5,331.0
ACAT1,1113.0,1090.0,1010.5,786.0
ACAT2,6971.0,6472.0,6226.5,4933.0
ASIC1,165.0,183.0,134.0,93.0
ACLY,3721.0,3719.0,3405.5,2533.0
ACO1,315.0,338.0,342.5,354.0
ACO2,634.0,677.0,671.5,553.0
ACOX1,959.0,1031.0,957.0,981.0
ACP1,3890.0,3968.0,4048.5,3802.0
ACP2,80.0,106.0,99.0,94.0
ACP3,595.0,677.0,629.0,579.0
ACRV1,2.0,5.0,7.0,12.0
ACTB,44952.0,45714.0,42213.5,48204.0
ACTG1,56048.0,57602.0,52094.5,53030.0
ACTN4,2219.0,2216.0,2569.0,2336.0
ACTL6A,2022.0,1740.0,1978.0,1600.0
ACTN1,1128.0,960.0,1112.5,665.0
ACVR1,70.0,77.0,97.0,119.0
ACVR1B,176.0,216.0,223.5,202.0
ACVR2A,117.0,126.0,131.5,177.0
ACVR2B,247.0,264.0,285.0,237.0
ACVRL1,116.0,132.0,100.5,192.0
ACY1,88.0,87.0,81.0,53.0
ACYP1,1081.0,1042.0,1070.0,1002.0
ACYP2,247.0,233.0,194.0,226.0
ADA,1306.0,1216.0,1749.0,1163.0
ADAM8,24.0,20.0,24.0,41.0
ADAM10,6508.0,6394.0,6590.0,8409.0
ADAR,3878.0,4207.0,4526.0,3873.0
ADARB1,232.0,276.0,199.5,224.0
ADCY3,421.0,453.0,501.5,442.0
ADCY5,9.0,11.0,8.5,8.0
ADCY6,0.0,0.0,0.0,3.0
ADCY7,1376.0,1409.0,1637.0,2701.0
ADCY9,379.0,492.0,710.0,458.0
ADCYAP1R1,2.0,2.0,0.0,0.0
ADD1,1158.0,1337.0,1524.0,1903.0
ADD2,805.0,999.0,1224.5,663.0
ADD3,2072.0,2150.0,1703.5,2233.0
PLIN2,912.0,836.0,39.0,83.0
ADH5,2169.0,2139.0,2524.0,2375.0
ADK,2084.0,1856.0,1829.5,1658.0
ADM,1.0,2.0,3.0,4.0
ADORA1,2.0,2.0,2.0,13.0
ADORA2A,16.0,10.0,7.0,26.0
ADORA2B,594.0,545.0,404.0,441.0
ADORA3,22.0,24.0,12.0,27.0
ADPRH,0.0,6.0,45.0,70.0
PARP1,2581.0,2422.0,2865.5,2206.0
PARP4,168.0,193.0,312.5,242.0
ADRA2C,4.0,3.0,0.0,0.0
ADRB1,6.0,7.0,5.0,5.0
ADRB2,69.0,58.0,57.5,53.0
GRK2,1070.0,1027.0,1106.0,757.0
GRK3,797.0,925.0,914.0,663.0
ADSL,501.0,466.0,558.0,389.0
ADSS2,2477.0,2040.0,2296.5,1732.0
AP2A1,133.0,139.0,165.0,176.0
AP2A2,229.0,251.0,196.5,191.0
AP1B1,365.0,352.0,355.0,348.0
AP2B1,4418.0,5050.0,5037.5,3849.0
AP1G1,4351.0,4538.0,4165.5,4179.0
TLE5,445.0,415.0,7.0,11.0
AFG3L1P,506.0,618.0,613.5,693.0
AGA,1065.0,1180.0,1271.5,1420.0
AGER,139.0,154.0,143.0,180.0
AGL,754.0,715.0,697.5,827.0
JAG1,24.0,21.0,9.5,70.0
AGT,50.0,52.0,52.0,87.0
AHCY,4650.0,4298.0,4083.0,3164.0
AHR,975.0,948.0,1080.5,1004.0
AIF1,2206.0,2532.0,2727.5,3741.0
CRYBG1,914.0,979.0,1164.0,664.0
AK1,16.0,15.0,8.0,14.0
AK2,24767.0,25082.0,28718.5,19016.0
AK4,38.0,43.0,172.0,241.0
AKT1,1444.0,1459.0,1660.0,1601.0
AKT2,1223.0,1266.0,1125.0,1074.0
ALAD,1077.0,1212.0,1147.5,1286.0
ALAS1,66.0,97.0,58.5,93.0
ALAS2,1.0,2.0,0.0,1.0
ALCAM,1421.0,1346.0,1194.5,601.0
ABCD1,137.0,129.0,98.5,125.0
ALDH2,17.0,24.0,13.0,22.0
ALDH1B1,1774.0,1674.0,1499.5,1239.0
ALDH1A3,70.0,70.0,56.5,53.0
ALDH3B1,265.0,330.0,184.0,242.0
ALDH9A1,2371.0,2250.0,2226.0,1961.0
ALDH3A2,302.0,342.0,377.0,302.0
ABCD2,243.0,287.0,167.5,422.0
ALDOA,4947.0,4927.0,4375.5,4130.0
ALDOB,6.0,3.0,4.0,3.0
ALDOC,443.0,503.0,350.5,510.0
AKR1B1,759.0,807.0,946.5,917.0
ALOX12,17.0,15.0,15.5,13.0
ALOX5AP,1021.0,1684.0,2017.5,8520.0
ALOX15,1.0,2.0,0.5,4.0
ALX3,9.0,14.0,18.5,11.0
AMD1,7833.0,7347.0,7243.0,5885.0
AMFR,560.0,556.0,594.0,680.0
AMH,1.0,1.0,2.5,1.0
AMPD2,142.0,135.0,112.5,113.0
AMPD3,100.0,111.0,121.0,316.0
AMPH,5.0,7.0,5.5,7.0
BIN1,27.0,27.0,3.5,34.0
AMT,92.0,105.0,94.5,103.0
AMY1A,22.0,22.0,1.0,1.0
AMY1B,22.0,22.0,1.0,1.0
AMY1C,22.0,22.0,1.0,1.0
AMY2B,2.0,3.0,2.5,2.0
ANG,3.0,3.0,4.0,3.0
ANGPT1,48.0,30.0,16.0,14.0
ANGPT2,20.0,25.0,28.5,33.0
ANK2,81.0,123.0,150.0,131.0
ANK3,3.0,7.0,1.5,8.0
SLC25A4,35.0,51.0,53.5,47.0
SLC25A5,7107.0,7098.0,7412.5,7134.0
SLC25A6,5903.0,6078.0,6707.0,7104.0
ANXA1,887.0,844.0,505.0,1141.0
ANXA2,1312.0,1485.0,1630.5,1947.0
303,12.0,12.0,9.5,11.0
ANXA4,933.0,825.0,1138.0,1182.0
ANXA5,897.0,992.0,851.5,1262.0
ANXA6,313.0,310.0,83.0,81.0
ANXA7,1083.0,1115.0,1066.0,979.0
ANXA11,744.0,745.0,718.5,624.0
AOAH,3.0,6.0,2.5,3.0
AOC2,2.0,2.0,3.5,3.0
AOX1,2.0,6.0,10.0,3.0
APAF1,1702.0,1656.0,1788.5,1913.0
NUDT2,213.0,200.0,192.0,180.0
APBA1,389.0,366.0,424.5,226.0
APBA2,24.0,19.0,18.0,26.0
APBB1,50.0,55.0,19.0,12.0
APBB2,102.0,116.0,109.0,121.0
APC,521.0,529.0,464.0,447.0
APEH,196.0,208.0,195.0,134.0
APEX1,5474.0,5239.0,5095.0,3899.0
BIRC2,332.0,328.0,350.0,362.0
BIRC3,6.0,10.0,3.0,9.0
XIAP,1383.0,1313.0,1537.0,1789.0
BIRC5,3530.0,3778.0,3327.5,4067.0
APLP1,18.0,28.0,18.5,16.0
APLP2,4414.0,4515.0,3995.0,3053.0
APOA1,3.0,5.0,6.0,6.0
APOC1,34.0,24.0,12.5,16.0
APOC2,3287.0,3934.0,5585.5,5305.0
APOC4,2.0,2.0,1.5,5.0
APOD,2.0,0.0,2.0,3.0
APP,2276.0,2074.0,2142.5,2141.0
APRT,1143.0,1095.0,990.0,775.0
FAS,9.0,15.0,89.5,112.0
SHROOM2,0.0,2.0,1.0,13.0
AQP1,14.0,23.0,15.0,17.0
AQP3,147.0,170.0,321.0,210.0
AQP6,0.0,2.0,1.5,2.0
AR,14.0,17.0,10.5,38.0
ABCC6,4.0,6.0,3.5,6.0
ARAF,223.0,222.0,211.5,255.0
ARCN1,5228.0,6145.0,6565.0,5962.0
TRIM23,181.0,186.0,196.0,225.0
ARF1,6161.0,6767.0,6501.5,6046.0
ARF3,6707.0,8728.0,7507.5,8007.0
ARF4,4632.0,4822.0,4568.0,4697.0
ARL4D,13.0,9.0,1.0,1.0
ARF5,467.0,465.0,496.0,551.0
ARF6,6515.0,6337.0,6471.0,8051.0
ARG2,1305.0,1223.0,1132.5,1167.0
RHOA,24028.0,26298.0,25929.5,28867.0
RHOB,106.0,127.0,21.0,60.0
RHOC,84.0,89.0,78.5,178.0
RHOG,827.0,948.0,816.5,908.0
ARHGAP1,447.0,542.0,646.5,432.0
ARHGAP4,137.0,134.0,140.0,121.0
ARHGAP6,7.0,11.0,2.5,3.0
ARHGDIA,3004.0,3430.0,3827.0,2741.0
ARHGDIB,30296.0,33239.0,32096.0,28425.0
RHOH,27.0,36.0,75.0,82.0
ARL1,2471.0,2404.0,2549.0,2112.0
PHOX2A,2.0,3.0,1.5,1.0
ARL2,253.0,294.0,252.5,199.0
ARL3,241.0,239.0,196.0,279.0
ARNT,1141.0,1228.0,1183.5,1274.0
ARNTL,166.0,144.0,133.5,173.0
ARRB1,1938.0,2464.0,2767.0,2096.0
ARRB2,1089.0,1133.0,924.5,1641.0
ARSA,78.0,103.0,112.5,151.0
ARSB,1542.0,1648.0,1724.0,1636.0
STS,385.0,410.0,1058.5,550.0
ARSD,518.0,525.0,489.5,627.0
ARVCF,11.0,13.0,6.0,6.0
ASAH1,2252.0,2491.0,2878.0,2697.0
ASGR1,1.0,1.0,1.5,2.0
ASGR2,33.0,40.0,34.0,70.0
ASL,17.0,17.0,13.5,19.0
GET3,248.0,264.0,246.0,253.0
ASNS,296.0,309.0,278.5,216.0
ASPH,3403.0,3042.0,2140.0,2058.0
ASS1,1415.0,1676.0,1226.5,1153.0
ZFHX3,80.0,79.0,66.0,86.0
ATF1,1585.0,1409.0,1383.5,1194.0
ATF3,107.0,143.0,108.5,165.0
ATF4,1283.0,1263.0,1104.0,972.0
ATIC,571.0,540.0,592.0,357.0
ATM,2273.0,2517.0,2718.0,2920.0
RERE,162.0,197.0,204.0,264.0
ATOX1,604.0,527.0,509.5,408.0
ATP1A1,904.0,943.0,803.0,766.0
ATP1A2,0.0,4.0,8.5,44.0
ATP1A3,54.0,73.0,90.0,23.0
ATP1B1,226.0,213.0,155.5,166.0
ATP1B3,5209.0,5094.0,5603.0,4944.0
FXYD2,0.0,1.0,1.5,5.0
ATP2A1,9.0,10.0,11.0,13.0
ATP2A2,2145.0,2305.0,2152.5,2008.0
ATP2A3,375.0,417.0,455.5,462.0
ATP2B1,1609.0,1570.0,1402.5,1350.0
ATP2B2,5.0,6.0,5.0,8.0
ATP2B3,36.0,29.0,48.0,23.0
ATP2B4,2121.0,2288.0,2808.5,1637.0
ATP5F1A,4031.0,3365.0,3509.5,3360.0
ATP5F1B,3368.0,3410.0,3144.5,2861.0
ATP5F1C,1147.0,1040.0,1165.5,992.0
ATP5F1D,810.0,662.0,583.5,430.0
ATP5F1E,2763.0,2702.0,2878.5,3149.0
ATP5PB,6037.0,5366.0,5193.5,5211.0
ATP5MC1,377.0,337.0,363.5,296.0
ATP5MC2,3040.0,3125.0,3010.0,3041.0
ATP5MC3,6763.0,5940.0,6152.0,5835.0
ATP5ME,2130.0,2314.0,2216.0,2008.0
ATP5PF,1437.0,1298.0,1424.0,1361.0
ATP6V1A,3432.0,3441.0,3348.0,4570.0
ATP6V1B2,8090.0,7956.0,8028.5,8166.0
ATP6V0C,699.0,732.0,718.0,669.0
ATP6V1C1,4329.0,4484.0,4811.5,4426.0
ATP6V1E1,1816.0,2041.0,1952.0,1927.0
ATP6V0B,690.0,673.0,663.0,620.0
ATP6V1G2,77.0,90.0,85.5,103.0
ATP6V0A1,155.0,170.0,125.0,333.0
ATP6AP1,368.0,440.0,330.0,408.0
ATP7A,147.0,162.0,173.5,266.0
ATP5PO,1753.0,1877.0,1683.0,1661.0
ATP7B,29.0,29.0,43.5,38.0
ATR,93.0,75.0,99.5,77.0
ATRX,2612.0,2511.0,2587.0,2879.0
AUH,276.0,247.0,238.0,200.0
AUP1,4192.0,4626.0,4178.5,4140.0
AVPR2,1.0,3.0,2.5,4.0
AXL,91.0,90.0,23.5,128.0
AZU1,292.0,275.0,431.5,127.0
B2M,37186.0,37027.0,30990.5,37644.0
BAAT,1.0,3.0,0.5,1.0
BACH1,1395.0,1406.0,1137.5,1020.0
BAD,160.0,184.0,193.5,203.0
BAG1,1276.0,1146.0,1218.0,792.0
ADGRB1,3.0,3.0,2.0,4.0
BAK1,377.0,365.0,307.5,342.0
NKX3-2,24.0,41.0,21.5,21.0
BARD1,1585.0,1686.0,2159.5,1841.0
BAX,393.0,479.0,396.5,413.0
BBS1,94.0,106.0,76.5,70.0
BBS2,244.0,225.0,143.5,152.0
BBS4,325.0,342.0,302.0,352.0
BCAT1,23735.0,21251.0,21140.0,15852.0
BCAT2,355.0,367.0,283.5,250.0
BCKDHA,273.0,274.0,203.0,187.0
BCKDHB,469.0,485.0,528.5,436.0
CCND1,6.0,5.0,6.5,9.0
BCL2,4348.0,4347.0,5299.5,2398.0
BCL2A1,14.0,20.0,6.5,34.0
BCL2L1,407.0,475.0,637.5,583.0
BCL2L2,651.0,722.0,628.5,606.0
BCL3,12.0,16.0,14.0,40.0
BCL6,6.0,8.0,4.0,10.0
BCL7A,743.0,816.0,1104.5,1001.0
BCL9,9.0,18.0,32.0,25.0
OPN1SW,60.0,71.0,69.0,58.0
BCR,36.0,33.0,39.5,22.0
BCS1L,44.0,45.0,48.0,29.0
BDH1,569.0,543.0,345.0,304.0
BDKRB2,1.0,0.0,0.0,3.0
BDNF,2.0,5.0,4.5,5.0
CFB,0.0,2.0,2.0,0.0
BFSP1,10.0,10.0,8.0,12.0
BGLAP,14.0,14.0,12.5,22.0
CEACAM1,1.0,1.0,3.0,5.0
BICD1,18.0,31.0,25.5,22.0
BID,2334.0,2470.0,2842.5,2276.0
BIK,90.0,103.0,129.0,56.0
PRDM1,22.0,37.0,43.5,262.0
BLM,205.0,226.0,241.0,205.0
BLMH,1406.0,1224.0,1191.0,957.0
CXCR5,0.0,1.0,1.5,3.0
BLVRB,194.0,194.0,145.0,224.0
BMI1,2265.0,2264.0,2377.0,2128.0
BMP1,110.0,154.0,212.0,182.0
BMP2,2.0,4.0,2.0,2.0
BMP6,1982.0,1915.0,1982.5,1259.0
BMP8B,79.0,109.0,105.0,90.0
BMPR1A,512.0,466.0,533.5,499.0
BMPR1B,0.0,1.0,1.0,2.0
BMPR2,441.0,429.0,509.5,754.0
POLR3D,367.0,422.0,361.0,240.0
BNIP1,188.0,166.0,111.0,122.0
BNIP2,5262.0,5104.0,5624.5,4697.0
BNIP3,40.0,25.0,4.0,7.0
BNIP3L,6285.0,6250.0,6076.0,10368.0
BOK,1.0,3.0,0.5,2.0
DST,176.0,186.0,117.0,148.0
FOXL2,1.0,0.0,0.0,0.0
BPGM,432.0,477.0,497.5,532.0
BPHL,206.0,201.0,191.0,162.0
BRCA1,8118.0,10428.0,10457.0,9474.0
BRAF,23.0,25.0,20.0,20.0
BRCA2,975.0,1084.0,1117.0,1010.0
ZFP36L1,47.0,70.0,117.0,425.0
ZFP36L2,2730.0,2629.0,2825.0,2102.0
BSG,4575.0,4855.0,4699.5,4312.0
BST1,46.0,33.0,12.5,12.0
BST2,1454.0,1656.0,1813.5,1655.0
BTD,102.0,123.0,122.0,139.0
KLF9,695.0,718.0,515.0,721.0
KLF5,42.0,43.0,37.0,34.0
BTF3,12338.0,11103.0,11141.5,9570.0
BTG1,1213.0,1143.0,1275.0,874.0
BTK,2153.0,2004.0,2008.5,1641.0
BUB1,594.0,620.0,659.0,650.0
BUB1B,1255.0,1198.0,1235.0,1404.0
BYSL,281.0,251.0,276.5,220.0
TSPO,602.0,565.0,607.0,451.0
C1QBP,5672.0,5209.0,4945.5,3819.0
C1R,3.0,3.0,1.5,3.0
C1S,6.0,7.0,1.0,6.0
C2,1.0,0.0,0.0,2.0
C3,6.0,13.0,3.0,5.0
C3AR1,126.0,102.0,21.0,65.0
CAPN5,9.0,6.0,14.0,25.0
C5,266.0,247.0,140.0,118.0
C5AR1,4.0,6.0,2.0,2.0
OSGIN2,1732.0,1557.0,1555.0,1319.0
VPS51,33.0,40.0,33.0,34.0
MRPL49,884.0,1004.0,873.0,829.0
ZNHIT2,7.0,5.0,7.5,4.0
MYRF,14.0,12.0,20.5,11.0
TMEM258,987.0,1004.0,884.0,840.0
DAGLA,15.0,19.0,15.0,11.0
GAS8-AS1,0.0,2.0,2.0,4.0
FMNL1,100.0,106.0,137.0,91.0
LDLRAD4,412.0,440.0,292.5,265.0
PTTG1IP,3367.0,3894.0,3661.5,4046.0
CFAP410,89.0,103.0,97.5,112.0
TMEM50B,2260.0,2528.0,2505.5,2736.0
MPPED1,7.0,13.0,13.0,9.0
CA6,0.0,0.0,8.5,4.0
CA7,5.0,6.0,6.5,4.0
CA11,127.0,141.0,131.5,187.0
CACNA1A,9.0,11.0,6.0,12.0
CACNA1D,5.0,2.0,4.5,2.0
CACNA1E,7.0,11.0,5.0,4.0
CACNB1,0.0,3.0,2.0,6.0
CACNB2,90.0,115.0,127.0,82.0
CACNB3,69.0,82.0,93.0,80.0
CACNB4,47.0,38.0,21.5,36.0
SLC25A20,365.0,378.0,387.0,400.0
CAD,88.0,80.0,111.0,52.0
CALB1,0.0,4.0,3.0,4.0
CALM1,11883.0,12149.0,11754.0,15429.0
CALM2,15807.0,15307.0,14845.0,15938.0
CALM3,5104.0,5855.0,5778.0,5315.0
CALR,10314.0,10458.0,9857.5,7091.0
CALU,7562.0,8259.0,7967.5,6946.0
CAMK2A,0.0,2.0,2.0,1.0
CAMK2B,15.0,16.0,16.0,40.0
CAMK2D,565.0,595.0,572.0,1015.0
CAMK2G,683.0,657.0,578.0,586.0
CAMLG,894.0,770.0,792.0,697.0
CANX,40917.0,41927.0,39980.5,29947.0
CAPG,170.0,206.0,307.0,326.0
CAPN1,426.0,432.0,423.5,434.0
CAPN2,2119.0,2101.0,1039.5,2148.0
CAPN3,76.0,82.0,75.0,68.0
CAPNS1,2071.0,2220.0,2073.0,2284.0
CAPN6,2.0,24.0,187.0,125.0
CAPS,35.0,35.0,35.5,49.0
CAPZA1,25134.0,25765.0,24648.0,24065.0
CAPZA2,4691.0,4482.0,4134.5,4664.0
CAST,764.0,842.0,1006.5,957.0
CAPZB,3259.0,3551.0,3332.0,3594.0
CARS1,2903.0,3588.0,3631.5,3013.0
CASP1,501.0,525.0,441.0,663.0
CASP2,1876.0,2236.0,2776.5,1932.0
CASP3,2858.0,3129.0,3793.0,3778.0
CASP4,293.0,328.0,342.0,346.0
CASP6,790.0,940.0,1029.5,1027.0
CASP7,673.0,697.0,823.0,1127.0
CASP8,756.0,729.0,751.5,940.0
CASP9,209.0,280.0,285.0,277.0
CASP10,543.0,742.0,685.5,792.0
CASQ1,2.0,4.0,5.5,7.0
CAT,5579.0,5016.0,6560.0,2927.0
CAV1,5.0,5.0,55.0,5.0
RUNX2,1486.0,1588.0,2423.0,3546.0
RUNX1,3570.0,3671.0,3936.0,4174.0
CBFA2T3,307.0,315.0,377.0,354.0
RUNX3,799.0,810.0,1354.0,1364.0
CBFB,6715.0,6712.0,6982.0,6251.0
CBL,1413.0,1922.0,1788.5,1703.0
CBLB,220.0,268.0,341.5,393.0
CBLN1,9.0,6.0,0.0,0.0
SERPINH1,600.0,635.0,600.5,680.0
CBR1,183.0,192.0,1097.0,732.0
CBR3,2.0,2.0,1.0,2.0
CBS,29.0,32.0,18.5,14.0
KYAT1,239.0,277.0,293.0,253.0
KRIT1,633.0,694.0,650.0,645.0
CCNA2,6421.0,5907.0,5476.5,6375.0
CCNB1,1704.0,1585.0,1296.0,1502.0
CCNC,4575.0,4133.0,3854.5,3735.0
CCND2,2226.0,2273.0,2723.5,1882.0
CCND3,1341.0,1272.0,1989.5,2713.0
CCNE1,189.0,173.0,87.5,90.0
CCNF,464.0,515.0,540.0,649.0
CCNG1,9887.0,9911.0,8435.0,7380.0
CCNG2,376.0,427.0,480.0,543.0
CCNH,254.0,234.0,271.0,191.0
CCNT1,3557.0,3794.0,3749.5,3109.0
CCNT2,1401.0,1453.0,1429.5,1111.0
CCT6A,10890.0,10034.0,10759.0,8402.0
CD1A,0.0,0.0,0.5,9.0
CD1D,107.0,111.0,26.0,100.0
CD1E,0.0,0.0,1.0,3.0
CD4,1733.0,2073.0,1733.0,1891.0
CD5,2.0,3.0,2.5,3.0
CD6,1.0,4.0,0.0,16.0
CD9,5.0,7.0,2.5,5.0
CD19,4.0,4.0,1.5,7.0
MS4A3,4907.0,4226.0,2812.0,415.0
CD22,1.0,2.0,0.0,2.0
CD27,6.0,11.0,1.0,3.0
CD28,7.0,35.0,22.0,422.0
CD80,4.0,4.0,3.0,6.0
CD86,161.0,190.0,73.0,571.0
TNFRSF8,4.0,5.0,4.0,14.0
TNFSF8,1.0,3.0,8.0,14.0
CD33,1023.0,1032.0,1089.0,1174.0
SIGLEC6,61.0,154.0,89.5,435.0
CD34,1.0,1.0,0.0,1.0
CD36,901.0,1082.0,446.5,5763.0
SCARB1,452.0,433.0,420.5,292.0
SCARB2,556.0,598.0,872.5,966.0
CD37,294.0,288.0,311.0,357.0
CD38,7.0,6.0,5.0,0.0
ENTPD1,2343.0,2629.0,2551.5,1674.0
ENTPD6,298.0,322.0,254.0,264.0
ENTPD5,407.0,472.0,540.5,392.0
CD40,1.0,4.0,0.5,7.0
CD44,3488.0,3452.0,6625.0,4270.0
CD47,3919.0,3804.0,3804.5,4124.0
CD48,6.0,11.0,3.5,13.0
CD53,3697.0,3806.0,5020.5,6697.0
CD58,1131.0,1220.0,1158.0,1371.0
CD59,1.0,21.0,231.5,176.0
CD63,844.0,912.0,887.5,1073.0
CD68,613.0,661.0,458.0,714.0
CD70,28.0,30.0,5.5,10.0
CD72,62.0,83.0,237.5,301.0
CD74,1990.0,2421.0,2321.5,2684.0
CD79A,10.0,10.0,22.0,24.0
CD79B,14.0,9.0,5.0,4.0
CD81,962.0,881.0,815.0,598.0
ADGRE5,281.0,277.0,290.0,389.0
CD151,692.0,662.0,551.0,434.0
CDA,4.0,4.0,3.5,2.0
CDK1,4174.0,3788.0,3660.0,4422.0
CDK11B,11.0,9.0,8.5,12.0
LRBA,460.0,450.0,504.0,547.0
CDC5L,1966.0,1976.0,2191.5,2170.0
SEPTIN7,6044.0,6032.0,6322.5,6977.0
CDC6,1048.0,1153.0,1164.0,1237.0
CDC20,72.0,99.0,94.5,90.0
CDC25A,1453.0,1360.0,1356.5,1063.0
CDC25B,468.0,450.0,361.5,484.0
CDC25C,207.0,208.0,191.5,254.0
CDC27,4562.0,4606.0,4693.0,4383.0
CDC34,278.0,262.0,262.5,232.0
CDC42,14027.0,14255.0,14056.0,14632.0
CDH4,0.0,2.0,2.0,0.0
CDH13,2.0,5.0,2.5,3.0
CDK2,2278.0,2389.0,3011.5,2971.0
CDK3,57.0,58.0,45.5,56.0
CDK4,2426.0,2581.0,2795.5,2427.0
CDK5,62.0,65.0,49.5,49.0
CDK6,11763.0,12904.0,19230.5,10979.0
CDK7,182.0,172.0,193.0,157.0
CDK8,1004.0,847.0,940.5,737.0
CDK9,358.0,357.0,380.5,372.0
CDKN1A,56.0,82.0,36.5,85.0
CDKN1B,1016.0,1007.0,949.0,1179.0
CDKN1C,30.0,24.0,15.0,48.0
CDKN2A,2219.0,2650.0,2387.0,2580.0
CDKN2B,50.0,54.0,41.0,56.0
CDKN2C,502.0,450.0,880.0,1134.0
CDKN2D,211.0,206.0,212.0,346.0
CDKN3,513.0,463.0,512.0,631.0
CDO1,2.0,1.0,2.0,1.0
CDR2,282.0,311.0,347.5,347.0
CD52,65.0,82.0,92.5,223.0
CDX1,4.0,3.0,1.0,4.0
CDX2,11.0,7.0,13.5,12.0
CEBPA,3014.0,3259.0,2644.0,3443.0
CEBPB,164.0,180.0,107.5,157.0
CEBPD,406.0,301.0,249.5,160.0
CEBPE,5.0,6.0,4.5,2.0
CEBPG,6380.0,6677.0,5973.5,4992.0
CENPA,1483.0,1563.0,1394.0,1539.0
CENPB,567.0,568.0,448.0,481.0
CENPC,39.0,35.0,39.5,31.0
CENPE,264.0,267.0,265.0,372.0
CENPF,1233.0,1186.0,1542.5,1805.0
CES1,5.0,9.0,6.5,20.0
CETN2,957.0,999.0,938.0,756.0
CETN3,440.0,414.0,459.0,439.0
CETP,0.0,0.0,0.0,0.0
CFL1,7439.0,7810.0,7554.0,7509.0
CFL2,536.0,549.0,570.0,503.0
CTSC,4439.0,4526.0,4694.5,5192.0
CEACAM4,22.0,30.0,13.5,69.0
CHAD,5.0,5.0,3.0,5.0
RCBTB2,906.0,862.0,835.0,2107.0
RCC1,3910.0,3855.0,3368.5,2637.0
CHD1,1019.0,1082.0,1176.5,901.0
CHD2,862.0,1006.0,937.5,1295.0
CHD3,718.0,748.0,659.5,816.0
CHD4,678.0,650.0,732.0,738.0
AKR1C4,0.0,2.0,4.0,1.0
CHEK1,2970.0,2984.0,3307.5,3094.0
FOXN3,3362.0,3710.0,4469.5,3616.0
CHGB,11.0,13.0,8.5,13.0
CHI3L1,608.0,1107.0,946.5,4468.0
CHI3L2,1.0,2.0,0.0,5.0
CHIT1,0.0,0.0,1.0,3.0
CHKA,681.0,666.0,594.0,570.0
CHKB,102.0,128.0,132.0,167.0
CHM,974.0,998.0,922.5,966.0
CHML,8722.0,9600.0,7387.5,13960.0
CHN1,16.0,18.0,16.0,21.0
LYST,5925.0,5630.0,5870.0,3204.0
CHRM4,1.0,1.0,0.0,0.0
CHRM5,1.0,3.0,4.5,3.0
CHRNA2,1.0,1.0,0.0,1.0
CHRNA3,126.0,133.0,150.0,90.0
CHRNA5,208.0,210.0,256.0,164.0
CHRNA7,1.0,2.0,0.0,2.0
CHRNB1,230.0,243.0,329.5,308.0
CHRNB2,2.0,0.0,2.0,3.0
CHRNE,59.0,62.0,63.5,64.0
CHRNG,8.0,7.0,7.0,14.0
CHUK,1623.0,1503.0,1559.0,1599.0
CKB,7.0,9.0,7.0,8.0
CIRBP,3020.0,3076.0,2565.0,2870.0
CISH,162.0,205.0,175.0,320.0
TBCB,750.0,853.0,839.0,878.0
CKM,2.0,6.0,0.0,0.0
ERCC8,277.0,300.0,305.0,278.0
CKS1B,936.0,838.0,700.0,648.0
CKS2,1935.0,1632.0,1550.5,1312.0
AP2M1,902.0,971.0,830.0,941.0
AP1S1,1439.0,1651.0,1831.0,1639.0
AP2S1,1442.0,1395.0,1099.0,1100.0
AP3S1,3037.0,2617.0,2346.5,2027.0
CLCN2,23.0,21.0,21.5,14.0
CLCN3,1400.0,1477.0,1274.0,1236.0
CLCN4,225.0,242.0,152.0,429.0
CLCN5,461.0,684.0,631.5,976.0
CLCN6,270.0,322.0,223.5,234.0
CLCN7,165.0,196.0,184.0,155.0
CLU,168.0,199.0,134.0,170.0
CLIC1,3162.0,3105.0,3085.5,2557.0
CLIC2,48.0,54.0,52.0,69.0
CLK1,1859.0,1935.0,1802.5,2198.0
CLK2,235.0,256.0,314.0,331.0
1197,452.0,554.0,569.5,530.0
